37697903,Apr/29/2018 04:50,vjudge2,798D - Mike and distribution,GNU C++,Accepted,77 ms,4600 KB,2018-04-29 04:50:00
70622286,Feb/09/2020 14:59,AC_AR,798D - Mike and distribution,GNU C++17,Accepted,77 ms,1200 KB,2020-02-09 14:59:00
48082960,Jan/08/2019 12:14,vjudge2,798D - Mike and distribution,GNU C++17,Accepted,78 ms,1800 KB,2019-01-08 12:14:00
54281239,May/17/2019 16:30,luogu_bot2,798D - Mike and distribution,GNU C++11,Accepted,436 ms,1200 KB,2019-05-17 16:30:00
36339635,Mar/17/2018 05:08,vjudge1,798D - Mike and distribution,GNU C++,Accepted,77 ms,4400 KB,2018-03-17 05:08:00
27660659,Jun/08/2017 03:41,I_Love_Umirzhanova_Amina,798D - Mike and distribution,GNU C++14,Accepted,93 ms,1200 KB,2017-06-08 03:41:00
59271268,Aug/22/2019 15:48,vjudge4,798D - Mike and distribution,MS C++,Accepted,202 ms,1600 KB,2019-08-22 15:48:00
26883107,May/05/2017 17:44,liangziqi,798D - Mike and distribution,GNU C++11,Accepted,61 ms,1600 KB,2017-05-05 17:44:00
27101355,May/14/2017 08:58,Xiaodongdong,798D - Mike and distribution,GNU C++14,Accepted,93 ms,1200 KB,2017-05-14 08:58:00
28121818,Jun/28/2017 16:57,vjudge3,798D - Mike and distribution,GNU C++,Accepted,62 ms,3200 KB,2017-06-28 16:57:00
26575041,Apr/22/2017 08:13,rawr,798D - Mike and distribution,GNU C++14,Accepted,763 ms,5000 KB,2017-04-22 08:13:00
26584041,Apr/22/2017 15:59,halfyarn,798D - Mike and distribution,GNU C++11,Accepted,436 ms,4400 KB,2017-04-22 15:59:00
44036909,Oct/09/2018 16:13,DeaphetS,798D - Mike and distribution,GNU C++11,Accepted,78 ms,2800 KB,2018-10-09 16:13:00
26643670,Apr/24/2017 18:04,daminho,798D - Mike and distribution,GNU C++14,Accepted,764 ms,5000 KB,2017-04-24 18:04:00
59271615,Aug/22/2019 15:57,vjudge2,798D - Mike and distribution,MS C++,Accepted,202 ms,11800 KB,2019-08-22 15:57:00
26596613,Apr/23/2017 09:36,Ehanla0,798D - Mike and distribution,GNU C++,Accepted,187 ms,4400 KB,2017-04-23 09:36:00
61959282,Oct/06/2019 09:56,vjudge1,798D - Mike and distribution,GNU C++17,Accepted,78 ms,1200 KB,2019-10-06 09:56:00
26577971,Apr/22/2017 10:58,OnionPringles,798D - Mike and distribution,GNU C++14,Accepted,62 ms,3000 KB,2017-04-22 10:58:00
26574030,Apr/22/2017 07:00,barriery,798D - Mike and distribution,GNU C++11,Accepted,483 ms,3200 KB,2017-04-22 07:00:00
26583862,Apr/22/2017 15:50,orzwzy,798D - Mike and distribution,GNU C++,Accepted,77 ms,3600 KB,2017-04-22 15:50:00
27006904,May/11/2017 09:03,hj_d,798D - Mike and distribution,GNU C++,Accepted,77 ms,1000 KB,2017-05-11 09:03:00
26590509,Apr/22/2017 22:21,shamim_stat_iu,798D - Mike and distribution,GNU C++11,Accepted,436 ms,4400 KB,2017-04-22 22:21:00
54260459,May/17/2019 03:54,youhuo,798D - Mike and distribution,GNU C++11,Accepted,77 ms,1600 KB,2019-05-17 03:54:00
54264474,May/17/2019 07:55,luogu_bot5,798D - Mike and distribution,GNU C++11,Accepted,77 ms,1600 KB,2019-05-17 07:55:00
26600101,Apr/23/2017 12:28,ZYF1024,798D - Mike and distribution,GNU C++11,Accepted,61 ms,3000 KB,2017-04-23 12:28:00
34356140,Jan/20/2018 17:39,Lanceriet,798D - Mike and distribution,GNU C++14,Accepted,78 ms,3000 KB,2018-01-20 17:39:00
26811567,May/03/2017 05:30,daidew,798D - Mike and distribution,GNU C++11,Accepted,62 ms,3000 KB,2017-05-03 05:30:00
45315283,Nov/05/2018 10:39,siddharthp538,798D - Mike and distribution,GNU C++14,Accepted,358 ms,1600 KB,2018-11-05 10:39:00
36339481,Mar/17/2018 04:55,ZJNU_5taiwei,798D - Mike and distribution,GNU C++14,Accepted,78 ms,4400 KB,2018-03-17 04:55:00
26578473,Apr/22/2017 11:22,Immortal.S,798D - Mike and distribution,GNU C++,Accepted,93 ms,13800 KB,2017-04-22 11:22:00
