25734770,Mar/23/2017 16:40,mittalhimanshu1manu,777D - Cloud of Hashtags,GNU C++14,Accepted,1247 ms,15600 KB,2017-03-23 16:40:00
78229732,Apr/26/2020 22:23,S7a2a7d,777D - Cloud of Hashtags,GNU C++17,Accepted,1778 ms,13700 KB,2020-04-26 22:23:00
79430565,May/09/2020 07:38,abhinay007,777D - Cloud of Hashtags,GNU C++17 (64),Accepted,1528 ms,21800 KB,2020-05-09 07:38:00
24982444,Feb/24/2017 16:18,Tz_rain,777D - Cloud of Hashtags,GNU C++,Accepted,1606 ms,27400 KB,2017-02-24 16:18:00
27976947,Jun/23/2017 07:48,zetapi,777D - Cloud of Hashtags,GNU C++14,Accepted,436 ms,13600 KB,2017-06-23 07:48:00
79249865,May/07/2020 11:42,shub000231,777D - Cloud of Hashtags,GNU C++14,Accepted,451 ms,123000 KB,2020-05-07 11:42:00
72602951,Mar/06/2020 23:40,Matys,777D - Cloud of Hashtags,GNU C++17,Accepted,405 ms,11700 KB,2020-03-06 23:40:00
24973917,Feb/24/2017 14:29,Kerpoo,777D - Cloud of Hashtags,GNU C++,Accepted,1497 ms,15700 KB,2017-02-24 14:29:00
24981601,Feb/24/2017 16:00,cycleke,777D - Cloud of Hashtags,GNU C++11,Accepted,1559 ms,15700 KB,2017-02-24 16:00:00
25207919,Mar/04/2017 13:31,charlieyan,777D - Cloud of Hashtags,GNU C++14,Accepted,1201 ms,16100 KB,2017-03-04 13:31:00
25556348,Mar/16/2017 20:24,alhasan,777D - Cloud of Hashtags,GNU C++11,Accepted,1559 ms,121400 KB,2017-03-16 20:24:00
25002613,Feb/25/2017 08:32,Stronger2020,777D - Cloud of Hashtags,GNU C++11,Accepted,1512 ms,15700 KB,2017-02-25 08:32:00
26582257,Apr/22/2017 14:37,NIHILIYY,777D - Cloud of Hashtags,GNU C++11,Accepted,1481 ms,15700 KB,2017-04-22 14:37:00
25001212,Feb/25/2017 07:28,petrovdanil20,777D - Cloud of Hashtags,GNU C++14,Accepted,1263 ms,15600 KB,2017-02-25 07:28:00
24989653,Feb/24/2017 20:10,Christopher-Perkins,777D - Cloud of Hashtags,Python 3,Accepted,1138 ms,27800 KB,2017-02-24 20:10:00
71904265,Feb/26/2020 12:20,cho12,777D - Cloud of Hashtags,PyPy 3,Accepted,654 ms,26100 KB,2020-02-26 12:20:00
24979266,Feb/24/2017 15:22,WAonce,777D - Cloud of Hashtags,GNU C++,Accepted,1653 ms,15700 KB,2017-02-24 15:22:00
24987536,Feb/24/2017 18:53,Trath,777D - Cloud of Hashtags,GNU C++,Accepted,1560 ms,13700 KB,2017-02-24 18:53:00
