28551095,Jul/14/2017 17:45,vjudge1,425D - Sereja and Squares,GNU C++,Accepted,1778 ms,17500 KB,2017-07-14 17:45:00
54721927,May/27/2019 20:52,IulianOleniuc,425D - Sereja and Squares,GNU C++11,Accepted,1934 ms,11000 KB,2019-05-27 20:52:00
12198728,Jul/23/2015 13:53,fanache99,425D - Sereja and Squares,GNU C++11,Accepted,841 ms,22400 KB,2015-07-23 13:53:00
48885495,Jan/24/2019 15:09,vjudge4,425D - Sereja and Squares,GNU C++11,Accepted,1996 ms,106100 KB,2019-01-24 15:09:00
6536573,May/03/2014 10:57,vjudge3,425D - Sereja and Squares,MS C++,Accepted,514 ms,3200 KB,2014-05-03 10:57:00
28017185,Jun/25/2017 09:52,vjudge5,425D - Sereja and Squares,GNU C++,Accepted,202 ms,7500 KB,2017-06-25 09:52:00
9703260,Feb/03/2015 18:46,vjudge3,425D - Sereja and Squares,GNU C++,Accepted,1918 ms,79700 KB,2015-02-03 18:46:00
17387311,Apr/19/2016 16:02,fengsuiyan,425D - Sereja and Squares,GNU C++11,Accepted,234 ms,7500 KB,2016-04-19 16:02:00
20213455,Aug/28/2016 17:33,Batman,425D - Sereja and Squares,GNU C++11,Accepted,717 ms,35600 KB,2016-08-28 17:33:00
35289995,Feb/15/2018 13:55,Dibagger,425D - Sereja and Squares,GNU C++14,Accepted,1762 ms,17400 KB,2018-02-15 13:55:00
31544532,Oct/20/2017 23:31,jtnydv25,425D - Sereja and Squares,GNU C++14,Accepted,389 ms,14600 KB,2017-10-20 23:31:00
6507959,Apr/30/2014 03:02,choice,425D - Sereja and Squares,GNU C++0x,Accepted,654 ms,30700 KB,2014-04-30 03:02:00
6533232,May/02/2014 23:45,nwi,425D - Sereja and Squares,GNU C++,Accepted,234 ms,9600 KB,2014-05-02 23:45:00
6986294,Jun/30/2014 17:13,laurentM,425D - Sereja and Squares,GNU C++0x,Accepted,733 ms,18500 KB,2014-06-30 17:13:00
7071237,Jul/13/2014 04:31,542395329,425D - Sereja and Squares,GNU C++,Accepted,249 ms,9600 KB,2014-07-13 04:31:00
6600413,May/12/2014 03:54,wangtaowangtao,425D - Sereja and Squares,GNU C++,Accepted,529 ms,2900 KB,2014-05-12 03:54:00
41005171,Jul/31/2018 12:16,ReaLNero1,425D - Sereja and Squares,GNU C++14,Accepted,841 ms,11100 KB,2018-07-31 12:16:00
31538530,Oct/20/2017 18:38,Dalgerok,425D - Sereja and Squares,GNU C++14,Accepted,1153 ms,31000 KB,2017-10-20 18:38:00
11874337,Jul/01/2015 04:49,Dylans,425D - Sereja and Squares,GNU C++,Accepted,1731 ms,11800 KB,2015-07-01 04:49:00
6536435,May/03/2014 10:34,vjudge2,425D - Sereja and Squares,MS C++,Accepted,1294 ms,3900 KB,2014-05-03 10:34:00
