2865760,Jan/02/2013 12:37,havaliza,260D - Black and White Tree,GNU C++,Accepted,234 ms,3200 KB,2013-01-02 12:37:00
2869134,Jan/03/2013 15:23,mstczuo,260D - Black and White Tree,MS C++,Accepted,140 ms,1800 KB,2013-01-03 15:23:00
28684966,Jul/19/2017 08:23,vjudge1,260D - Black and White Tree,GNU C++14,Accepted,249 ms,3900 KB,2017-07-19 08:23:00
27453028,May/30/2017 20:36,rawatds,260D - Black and White Tree,GNU C++14,Accepted,93 ms,1400 KB,2017-05-30 20:36:00
2865831,Jan/02/2013 13:07,iKTatjYX,260D - Black and White Tree,GNU C++,Accepted,156 ms,1600 KB,2013-01-02 13:07:00
28816549,Jul/24/2017 09:41,vjudge2,260D - Black and White Tree,GNU C++,Accepted,998 ms,12200 KB,2017-07-24 09:41:00
48271503,Jan/12/2019 05:32,vjudge2,260D - Black and White Tree,GNU C++14,Accepted,374 ms,2000 KB,2019-01-12 05:32:00
40185260,Jul/11/2018 03:47,vjudge5,260D - Black and White Tree,GNU C++11,Accepted,93 ms,1400 KB,2018-07-11 03:47:00
28815154,Jul/24/2017 08:40,vjudge2,260D - Black and White Tree,GNU C++,Accepted,78 ms,3600 KB,2017-07-24 08:40:00
28813114,Jul/24/2017 06:34,cxt,260D - Black and White Tree,GNU C++14,Accepted,109 ms,4700 KB,2017-07-24 06:34:00
28811482,Jul/24/2017 05:10,vjudge1,260D - Black and White Tree,GNU C++,Accepted,124 ms,4700 KB,2017-07-24 05:10:00
2845604,Dec/27/2012 23:52,serega.belarus,260D - Black and White Tree,GNU C++,Accepted,109 ms,800 KB,2012-12-27 23:52:00
28816555,Jul/24/2017 09:42,vjudge5,260D - Black and White Tree,GNU C++,Accepted,998 ms,6800 KB,2017-07-24 09:42:00
14117215,Nov/07/2015 08:54,130705009,260D - Black and White Tree,GNU C++,Accepted,77 ms,600 KB,2015-11-07 08:54:00
28816540,Jul/24/2017 09:41,vjudge4,260D - Black and White Tree,GNU C++,Accepted,998 ms,6800 KB,2017-07-24 09:41:00
45561917,Nov/11/2018 15:13,vjudge2,260D - Black and White Tree,GNU C++11,Accepted,77 ms,1600 KB,2018-11-11 15:13:00
40099633,Jul/09/2018 06:38,vjudge5,260D - Black and White Tree,GNU C++,Accepted,78 ms,1600 KB,2018-07-09 06:38:00
12621330,Aug/21/2015 02:12,letsLoseOnceAgain,260D - Black and White Tree,GNU C++11,Accepted,670 ms,1900 KB,2015-08-21 02:12:00
12820515,Sep/02/2015 23:17,Alex_PKZDL,260D - Black and White Tree,GNU C++,Accepted,623 ms,1400 KB,2015-09-02 23:17:00
28817224,Jul/24/2017 10:11,yzf,260D - Black and White Tree,GNU C++11,Accepted,577 ms,3700 KB,2017-07-24 10:11:00
3296620,Mar/13/2013 02:43,milenkoviclazar,260D - Black and White Tree,GNU C++,Accepted,406 ms,3200 KB,2013-03-13 02:43:00
28811946,Jul/24/2017 05:37,vjudge2,260D - Black and White Tree,GNU C++,Accepted,608 ms,3700 KB,2017-07-24 05:37:00
2845588,Dec/27/2012 23:47,serega.belarus,260D - Black and White Tree,GNU C++,Accepted,125 ms,800 KB,2012-12-27 23:47:00
15081106,Dec/29/2015 10:52,morva,260D - Black and White Tree,GNU C++,Accepted,608 ms,1800 KB,2015-12-29 10:52:00
28811544,Jul/24/2017 05:14,vjudge5,260D - Black and White Tree,GNU C++,Accepted,93 ms,3400 KB,2017-07-24 05:14:00
2843906,Dec/27/2012 21:33,Vergissmeinnicht,260D - Black and White Tree,GNU C++,Accepted,156 ms,2000 KB,2012-12-27 21:33:00
28811551,Jul/24/2017 05:14,vjudge2,260D - Black and White Tree,GNU C++,Accepted,108 ms,3400 KB,2017-07-24 05:14:00
59426194,Aug/25/2019 05:41,jyf111,260D - Black and White Tree,GNU C++17,Accepted,93 ms,2000 KB,2019-08-25 05:41:00
28695153,Jul/19/2017 14:44,vjudge1,260D - Black and White Tree,GNU C++14,Accepted,421 ms,3900 KB,2017-07-19 14:44:00
2953772,Jan/17/2013 20:58,xlk,260D - Black and White Tree,GNU C++0x,Accepted,234 ms,1400 KB,2013-01-17 20:58:00
39278534,Jun/16/2018 07:01,thebes,260D - Black and White Tree,GNU C++14,Accepted,951 ms,1400 KB,2018-06-16 07:01:00
40933929,Jul/30/2018 06:00,vjudge3,260D - Black and White Tree,GNU C++,Accepted,78 ms,1600 KB,2018-07-30 06:00:00
40110967,Jul/09/2018 14:43,vjudge2,260D - Black and White Tree,GNU C++,Accepted,93 ms,2200 KB,2018-07-09 14:43:00
2846218,Dec/28/2012 04:42,yakitori,260D - Black and White Tree,GNU C++,Accepted,125 ms,1100 KB,2012-12-28 04:42:00
2877939,Jan/06/2013 14:54,tobpro,260D - Black and White Tree,GNU C++,Accepted,281 ms,2100 KB,2013-01-06 14:54:00
4339479,Aug/26/2013 16:56,diego_v1,260D - Black and White Tree,GNU C++0x,Accepted,342 ms,2100 KB,2013-08-26 16:56:00
2846586,Dec/28/2012 07:28,dovegx,260D - Black and White Tree,GNU C++,Accepted,156 ms,2000 KB,2012-12-28 07:28:00
28816072,Jul/24/2017 09:23,vjudge1,260D - Black and White Tree,GNU C++,Accepted,78 ms,3900 KB,2017-07-24 09:23:00
2848001,Dec/28/2012 12:56,hhddff,260D - Black and White Tree,GNU C++,Accepted,703 ms,1600 KB,2012-12-28 12:56:00
15128824,Dec/30/2015 23:13,AHappyFlower,260D - Black and White Tree,GNU C++,Accepted,78 ms,1400 KB,2015-12-30 23:13:00
28810776,Jul/24/2017 04:33,vjudge1,260D - Black and White Tree,GNU C++,Accepted,93 ms,3200 KB,2017-07-24 04:33:00
2845514,Dec/27/2012 23:28,serega.belarus,260D - Black and White Tree,GNU C++,Accepted,125 ms,800 KB,2012-12-27 23:28:00
28813151,Jul/24/2017 06:37,The_Unbeatable,260D - Black and White Tree,GNU C++14,Accepted,93 ms,3100 KB,2017-07-24 06:37:00
2851036,Dec/29/2012 07:09,txhwind,260D - Black and White Tree,GNU C++,Accepted,124 ms,2300 KB,2012-12-29 07:09:00
28813163,Jul/24/2017 06:37,vjudge5,260D - Black and White Tree,GNU C++14,Accepted,93 ms,3100 KB,2017-07-24 06:37:00
28810495,Jul/24/2017 04:16,vjudge5,260D - Black and White Tree,GNU C++,Accepted,78 ms,3400 KB,2017-07-24 04:16:00
28695245,Jul/19/2017 14:48,vjudge4,260D - Black and White Tree,GNU C++14,Accepted,233 ms,3800 KB,2017-07-19 14:48:00
40110943,Jul/09/2018 14:42,psc233,260D - Black and White Tree,GNU C++,Accepted,93 ms,2200 KB,2018-07-09 14:42:00
28811423,Jul/24/2017 05:07,vjudge4,260D - Black and White Tree,GNU C++11,Accepted,78 ms,3900 KB,2017-07-24 05:07:00
