38639614,May/26/2018 19:21,thanh2142,118D - Caesar's Legions,MS C++,Accepted,60 ms,2000 KB,2018-05-26 19:21:00
53600350,May/01/2019 10:18,TanPhat,118D - Caesar's Legions,GNU C++11,Accepted,60 ms,2000 KB,2019-05-01 10:18:00
59678871,Aug/29/2019 22:28,Nihad_Nabelsi,118D - Caesar's Legions,GNU C++17,Accepted,62 ms,5200 KB,2019-08-29 22:28:00
21579520,Oct/19/2016 02:40,hhuuson97,118D - Caesar's Legions,GNU C++11,Accepted,30 ms,2300 KB,2016-10-19 02:40:00
75239745,Apr/02/2020 15:47,Z_Blast,118D - Caesar's Legions,GNU C++14,Accepted,62 ms,2000 KB,2020-04-02 15:47:00
79278894,May/07/2020 17:06,ks3rr,118D - Caesar's Legions,GNU C++17 (64),Accepted,62 ms,9000 KB,2020-05-07 17:06:00
3498802,Apr/10/2013 12:20,ziroth,118D - Caesar's Legions,GNU C++,Accepted,15 ms,100 KB,2013-04-10 12:20:00
42549596,Sep/06/2018 14:16,izat,118D - Caesar's Legions,GNU C++14,Accepted,62 ms,9700 KB,2018-09-06 14:16:00
32310898,Nov/14/2017 15:19,TadijaSebez,118D - Caesar's Legions,GNU C++11,Accepted,30 ms,0 KB,2017-11-14 15:19:00
52941566,Apr/18/2019 12:31,TistPetr-is-ok,118D - Caesar's Legions,GNU C++14,Accepted,62 ms,100 KB,2019-04-18 12:31:00
72879580,Mar/10/2020 11:44,rushi_patel11111,118D - Caesar's Legions,GNU C++17,Accepted,62 ms,100 KB,2020-03-10 11:44:00
80067774,May/14/2020 15:18,Bazigar,118D - Caesar's Legions,GNU C++17,Accepted,62 ms,3700 KB,2020-05-14 15:18:00
28156846,Jun/29/2017 22:10,The_Learners,118D - Caesar's Legions,GNU C++14,Accepted,30 ms,2000 KB,2017-06-29 22:10:00
28472992,Jul/12/2017 15:05,Deadpool,118D - Caesar's Legions,GNU C++14,Accepted,30 ms,2000 KB,2017-07-12 15:05:00
49863362,Feb/13/2019 13:50,ad2313,118D - Caesar's Legions,GNU C++14,Accepted,62 ms,100 KB,2019-02-13 13:50:00
56632182,Jul/06/2019 20:04,Jabaiy_Mysyq,118D - Caesar's Legions,GNU C++11,Accepted,62 ms,100 KB,2019-07-06 20:04:00
68557220,Jan/10/2020 20:59,shivensinha4,118D - Caesar's Legions,PyPy 3,Accepted,684 ms,27100 KB,2020-01-10 20:59:00
68557312,Jan/10/2020 21:00,shivensinha4,118D - Caesar's Legions,Python 3,Accepted,686 ms,13800 KB,2020-01-10 21:00:00
77415906,Apr/21/2020 02:22,mahesh,118D - Caesar's Legions,GNU C++17,Accepted,62 ms,200 KB,2020-04-21 02:22:00
3138927,Feb/17/2013 13:59,Chen_ChaoRui,118D - Caesar's Legions,FPC,Accepted,15 ms,1100 KB,2013-02-17 13:59:00
5659311,Jan/11/2014 16:21,yugle7,118D - Caesar's Legions,Python 3,Accepted,404 ms,2100 KB,2014-01-11 16:21:00
8071711,Oct/03/2014 22:41,WARenie,118D - Caesar's Legions,Python 3,Accepted,374 ms,1700 KB,2014-10-03 22:41:00
23724797,Jan/11/2017 22:29,tabasss_entezami,118D - Caesar's Legions,GNU C++14,Accepted,30 ms,2000 KB,2017-01-11 22:29:00
34225303,Jan/16/2018 18:07,beka00,118D - Caesar's Legions,GNU C++14,Accepted,30 ms,2000 KB,2018-01-16 18:07:00
41674401,Aug/17/2018 10:13,vjudge2,118D - Caesar's Legions,GNU C++,Accepted,62 ms,0 KB,2018-08-17 10:13:00
49733344,Feb/10/2019 19:23,rorar1476,118D - Caesar's Legions,GNU C++14,Accepted,62 ms,4800 KB,2019-02-10 19:23:00
75582301,Apr/05/2020 18:10,awasthiatul10,118D - Caesar's Legions,GNU C++14,Accepted,62 ms,100 KB,2020-04-05 18:10:00
78917583,May/03/2020 21:08,anish_sk,118D - Caesar's Legions,PyPy 3,Accepted,748 ms,33500 KB,2020-05-03 21:08:00
52941546,Apr/18/2019 12:30,vjudge3,118D - Caesar's Legions,GNU C++14,Accepted,60 ms,100 KB,2019-04-18 12:30:00
5659339,Jan/11/2014 16:24,yugle7,118D - Caesar's Legions,Python 2,Accepted,312 ms,2000 KB,2014-01-11 16:24:00
52941527,Apr/18/2019 12:29,vjudge3,118D - Caesar's Legions,GNU C++14,Accepted,62 ms,200 KB,2019-04-18 12:29:00
79736368,May/11/2020 15:06,vjudge4,118D - Caesar's Legions,GNU C++14,Accepted,92 ms,13400 KB,2020-05-11 15:06:00
49825820,Feb/12/2019 14:34,deadmans,118D - Caesar's Legions,GNU C++17,Accepted,62 ms,10700 KB,2019-02-12 14:34:00
52278048,Apr/03/2019 18:37,LittleBeetle,118D - Caesar's Legions,GNU C++11,Accepted,62 ms,1800 KB,2019-04-03 18:37:00
69414034,Jan/23/2020 15:34,Couldnt_Find_Good_Name,118D - Caesar's Legions,GNU C++14,Accepted,62 ms,4800 KB,2020-01-23 15:34:00
10254043,Mar/13/2015 09:10,vjudge1,118D - Caesar's Legions,GNU C++,Accepted,60 ms,100 KB,2015-03-13 09:10:00
13675706,Oct/17/2015 09:44,ITDOI,118D - Caesar's Legions,GNU C++11,Accepted,62 ms,16800 KB,2015-10-17 09:44:00
16830079,Mar/20/2016 05:30,freebsdx,118D - Caesar's Legions,GNU C++11,Accepted,30 ms,2300 KB,2016-03-20 05:30:00
17697180,May/03/2016 13:31,I_Love_Bofei,118D - Caesar's Legions,GNU C++11,Accepted,60 ms,19000 KB,2016-05-03 13:31:00
18123386,May/27/2016 23:34,aezakmiripazha,118D - Caesar's Legions,GNU C++,Accepted,30 ms,19000 KB,2016-05-27 23:34:00
40058227,Jul/07/2018 13:33,micutu,118D - Caesar's Legions,GNU C++,Accepted,62 ms,16800 KB,2018-07-07 13:33:00
19285728,Jul/20/2016 20:50,monk_z,118D - Caesar's Legions,GNU C++11,Accepted,30 ms,100 KB,2016-07-20 20:50:00
29697338,Aug/23/2017 06:53,willhunting,118D - Caesar's Legions,GNU C++14,Accepted,30 ms,100 KB,2017-08-23 06:53:00
46015321,Nov/21/2018 05:31,google_was_my_idea,118D - Caesar's Legions,GNU C++11,Accepted,62 ms,100 KB,2018-11-21 05:31:00
70676276,Feb/09/2020 18:57,andressanabria468,118D - Caesar's Legions,GNU C++14,Accepted,62 ms,100 KB,2020-02-09 18:57:00
14191334,Nov/11/2015 04:22,130705009,118D - Caesar's Legions,GNU C++,Accepted,30 ms,100 KB,2015-11-11 04:22:00
78906463,May/03/2020 18:53,Tokarinkato,118D - Caesar's Legions,GNU C++14,Accepted,62 ms,200 KB,2020-05-03 18:53:00
48887191,Jan/24/2019 15:46,luogu_bot2,118D - Caesar's Legions,GNU C++11,Accepted,62 ms,600 KB,2019-01-24 15:46:00
50250123,Feb/20/2019 19:50,sujoy3kb,118D - Caesar's Legions,GNU C++14,Accepted,62 ms,16800 KB,2019-02-20 19:50:00
770131,Oct/17/2011 00:22,xneby,118D - Caesar's Legions,GNU C++,Accepted,30 ms,6200 KB,2011-10-17 00:22:00
13477534,Oct/07/2015 17:18,vedaanta,118D - Caesar's Legions,GNU C++11,Accepted,60 ms,4800 KB,2015-10-07 17:18:00
7293322,Jul/30/2014 17:55,shubham0007,118D - Caesar's Legions,GNU C++,Accepted,30 ms,100 KB,2014-07-30 17:55:00
13918002,Oct/28/2015 18:40,vjudge5,118D - Caesar's Legions,Python 3,Accepted,372 ms,2100 KB,2015-10-28 18:40:00
