31948920,Nov/01/2017 15:07,Rushfinen,675D - Дерево,GNU C++,Accepted,124 ms,6300 KB,2017-11-01 15:07:00
17954808,May/16/2016 22:03,Freda,675D - Дерево,GNU C++11,Accepted,483 ms,5300 KB,2016-05-16 22:03:00
18111493,May/27/2016 04:43,LFLONG,675D - Дерево,GNU C++,Accepted,670 ms,5300 KB,2016-05-27 04:43:00
17953263,May/16/2016 21:25,xgreenx9999,675D - Дерево,GNU C++11,Accepted,140 ms,8300 KB,2016-05-16 21:25:00
18170522,May/31/2016 18:06,pieszkob,675D - Дерево,GNU C++11,Accepted,93 ms,5300 KB,2016-05-31 18:06:00
18702991,Jun/24/2016 17:49,xy961218,675D - Дерево,GNU C++11,Accepted,124 ms,6300 KB,2016-06-24 17:49:00
43678450,Oct/02/2018 11:52,Chutyap_mat_kro,675D - Дерево,GNU C++14,Accepted,592 ms,6700 KB,2018-10-02 11:52:00
18373219,Jun/11/2016 14:03,deepanker,675D - Дерево,GNU C++11,Accepted,623 ms,8500 KB,2016-06-11 14:03:00
17982638,May/18/2016 19:21,vee_sharp,675D - Дерево,GNU C++11,Accepted,670 ms,8500 KB,2016-05-18 19:21:00
21631832,Oct/21/2016 05:58,Snickeen,675D - Дерево,GNU C++14,Accepted,545 ms,9600 KB,2016-10-21 05:58:00
24586010,Feb/11/2017 12:37,nir123,675D - Дерево,GNU C++14,Accepted,124 ms,8300 KB,2017-02-11 12:37:00
24241820,Jan/29/2017 10:39,playhard,675D - Дерево,GNU C++11,Accepted,780 ms,9200 KB,2017-01-29 10:39:00
17965137,May/17/2016 13:55,rajeevkgp,675D - Дерево,GNU C++11,Accepted,561 ms,8300 KB,2016-05-17 13:55:00
17965155,May/17/2016 13:56,rajeevkgp,675D - Дерево,GNU C++11,Accepted,701 ms,8500 KB,2016-05-17 13:56:00
42137614,Aug/27/2018 04:46,XieXianWang,675D - Дерево,GNU C++17,Accepted,93 ms,3300 KB,2018-08-27 04:46:00
18038205,May/23/2016 05:18,fasajj,675D - Дерево,GNU C++,Accepted,124 ms,8300 KB,2016-05-23 05:18:00
25446964,Mar/13/2017 08:05,AwIDoK,675D - Дерево,GNU C++14,Accepted,312 ms,8300 KB,2017-03-13 08:05:00
17963538,May/17/2016 12:05,orz_liuwei,675D - Дерево,GNU C++11,Accepted,124 ms,5700 KB,2016-05-17 12:05:00
24568156,Feb/10/2017 14:12,logicoder,675D - Дерево,GNU C++11,Accepted,639 ms,8300 KB,2017-02-10 14:12:00
34239568,Jan/17/2018 07:16,tmwilliamlin168,675D - Дерево,GNU C++11,Accepted,187 ms,8300 KB,2018-01-17 07:16:00
17942522,May/16/2016 20:05,* retrograd,675D - Дерево,GNU C++11,Accepted,124 ms,6800 KB,2016-05-16 20:05:00
18046610,May/23/2016 20:26,timo14z,675D - Дерево,GNU C++11,Accepted,686 ms,8300 KB,2016-05-23 20:26:00
18596660,Jun/19/2016 14:19,m.boniecki,675D - Дерево,GNU C++11,Accepted,623 ms,3100 KB,2016-06-19 14:19:00
18245946,Jun/04/2016 18:41,ris147145,675D - Дерево,GNU C++11,Accepted,561 ms,5200 KB,2016-06-04 18:41:00
