63962616,Nov/01/2019 08:54,luogu_bot5,785D - Anton and School - 2,GNU C++11,Accepted,140 ms,6800 KB,2019-11-01 08:54:00
25531939,Mar/15/2017 22:50,jfjq,785D - Anton and School - 2,GNU C,Accepted,31 ms,5200 KB,2017-03-15 22:50:00
38387708,May/18/2018 06:30,vjudge3,785D - Anton and School - 2,GNU C++,Accepted,109 ms,2600 KB,2018-05-18 06:30:00
25566753,Mar/17/2017 11:05,thai9cdb1,785D - Anton and School - 2,GNU C++14,Accepted,124 ms,4700 KB,2017-03-17 11:05:00
25535368,Mar/16/2017 02:53,aayush9,785D - Anton and School - 2,GNU C++14,Accepted,218 ms,14900 KB,2017-03-16 02:53:00
25821670,Mar/26/2017 17:37,jl0x61,785D - Anton and School - 2,GNU C++11,Accepted,139 ms,5700 KB,2017-03-26 17:37:00
25515314,Mar/15/2017 18:56,* hpfdf,785D - Anton and School - 2,GNU C++11,Accepted,109 ms,2200 KB,2017-03-15 18:56:00
26532994,Apr/21/2017 11:00,Scut82,785D - Anton and School - 2,GNU C++,Accepted,171 ms,3000 KB,2017-04-21 11:00:00
35916180,Mar/04/2018 13:13,Turkey,785D - Anton and School - 2,GNU C++14,Accepted,187 ms,4400 KB,2018-03-04 13:13:00
25895155,Mar/29/2017 15:15,OnionPringles#,785D - Anton and School - 2,GNU C++14,Accepted,31 ms,4400 KB,2017-03-29 15:15:00
45073255,Oct/30/2018 00:14,Jester,785D - Anton and School - 2,GNU C++14,Accepted,124 ms,2100 KB,2018-10-30 00:14:00
64655057,Nov/10/2019 22:00,luogu_bot3,785D - Anton and School - 2,GNU C++11,Accepted,46 ms,2600 KB,2019-11-10 22:00:00
25839426,Mar/27/2017 16:41,winnerls,785D - Anton and School - 2,GNU C++14,Accepted,31 ms,8500 KB,2017-03-27 16:41:00
30775343,Sep/27/2017 14:35,derpidc,785D - Anton and School - 2,GNU C++,Accepted,171 ms,3600 KB,2017-09-27 14:35:00
55422349,Jun/11/2019 10:11,jis2712,785D - Anton and School - 2,GNU C++17,Accepted,124 ms,2100 KB,2019-06-11 10:11:00
25563028,Mar/17/2017 05:51,Will.It.Tornado,785D - Anton and School - 2,GNU C++11,Accepted,249 ms,3800 KB,2017-03-17 05:51:00
41562255,Aug/13/2018 18:02,Notbesidemoon,785D - Anton and School - 2,GNU C++17,Accepted,31 ms,4900 KB,2018-08-13 18:02:00
28139390,Jun/29/2017 15:23,vjudge2,785D - Anton and School - 2,GNU C++,Accepted,389 ms,159100 KB,2017-06-29 15:23:00
61271823,Sep/25/2019 17:16,vjudge4,785D - Anton and School - 2,GNU C++14,Accepted,140 ms,5200 KB,2019-09-25 17:16:00
25536363,Mar/16/2017 04:33,lucyanna2018,785D - Anton and School - 2,GNU C++,Accepted,93 ms,3800 KB,2017-03-16 04:33:00
28139306,Jun/29/2017 15:20,vjudge2,785D - Anton and School - 2,GNU C++,Accepted,389 ms,159100 KB,2017-06-29 15:20:00
28421548,Jul/11/2017 09:38,vjudge3,785D - Anton and School - 2,GNU C++,Accepted,405 ms,159100 KB,2017-07-11 09:38:00
25524861,Mar/15/2017 19:57,fish-porridge,785D - Anton and School - 2,GNU C++11,Accepted,187 ms,6200 KB,2017-03-15 19:57:00
44819573,Oct/25/2018 03:44,William324,785D - Anton and School - 2,GNU C++17,Accepted,124 ms,3600 KB,2018-10-25 03:44:00
25821705,Mar/26/2017 17:39,jl0x61,785D - Anton and School - 2,GNU C++11,Accepted,124 ms,5700 KB,2017-03-26 17:39:00
25593511,Mar/18/2017 10:58,45818,785D - Anton and School - 2,GNU C++14,Accepted,31 ms,3600 KB,2017-03-18 10:58:00
25762670,Mar/24/2017 07:26,cipher0,785D - Anton and School - 2,GNU C++14,Accepted,265 ms,4000 KB,2017-03-24 07:26:00
26314478,Apr/12/2017 12:53,Prabowo,785D - Anton and School - 2,GNU C++,Accepted,31 ms,4900 KB,2017-04-12 12:53:00
27256817,May/21/2017 05:34,wanggann,785D - Anton and School - 2,GNU C++14,Accepted,265 ms,2100 KB,2017-05-21 05:34:00
25512038,Mar/15/2017 18:39,* cGx5,785D - Anton and School - 2,GNU C++14,Accepted,327 ms,5500 KB,2017-03-15 18:39:00
25628616,Mar/18/2017 23:01,cgfs10000,785D - Anton and School - 2,PyPy 3,Accepted,701 ms,53500 KB,2017-03-18 23:01:00
75243676,Apr/02/2020 16:15,mh755628,785D - Anton and School - 2,GNU C++11,Accepted,109 ms,2100 KB,2020-04-02 16:15:00
40543966,Jul/19/2018 13:29,Elegia,785D - Anton and School - 2,GNU C++14,Accepted,46 ms,2500 KB,2018-07-19 13:29:00
61087590,Sep/22/2019 22:00,loi.ys,785D - Anton and School - 2,GNU C++11,Accepted,124 ms,4900 KB,2019-09-22 22:00:00
25688878,Mar/21/2017 16:02,1726tgyeuva,785D - Anton and School - 2,GNU C++14,Accepted,156 ms,7100 KB,2017-03-21 16:02:00
80595405,May/18/2020 14:12,Fire_ass,785D - Anton and School - 2,GNU C++14,Accepted,109 ms,7000 KB,2020-05-18 14:12:00
38807488,May/31/2018 19:01,Googal,785D - Anton and School - 2,GNU C++14,Accepted,31 ms,5000 KB,2018-05-31 19:01:00
33831412,Dec/31/2017 15:27,Warawreh,785D - Anton and School - 2,GNU C++14,Accepted,187 ms,5500 KB,2017-12-31 15:27:00
25535798,Mar/16/2017 03:38,zhan8855,785D - Anton and School - 2,GNU C++,Accepted,31 ms,6100 KB,2017-03-16 03:38:00
27305400,May/23/2017 19:38,coder814,785D - Anton and School - 2,GNU C++,Accepted,139 ms,3600 KB,2017-05-23 19:38:00
75955101,Apr/09/2020 08:56,smhh22,785D - Anton and School - 2,GNU C++17,Accepted,171 ms,3600 KB,2020-04-09 08:56:00
25536451,Mar/16/2017 04:41,sds3031,785D - Anton and School - 2,GNU C++11,Accepted,31 ms,3600 KB,2017-03-16 04:41:00
25895449,Mar/29/2017 15:29,wenbaobao,785D - Anton and School - 2,GNU C++14,Accepted,108 ms,3600 KB,2017-03-29 15:29:00
44435462,Oct/17/2018 12:45,mmmod_lqs,785D - Anton and School - 2,GNU C++11,Accepted,31 ms,3300 KB,2018-10-17 12:45:00
26511206,Apr/20/2017 11:42,SoiMae,785D - Anton and School - 2,GNU C++,Accepted,234 ms,3800 KB,2017-04-20 11:42:00
40462417,Jul/17/2018 07:53,Jacklovethree,785D - Anton and School - 2,GNU C++11,Accepted,124 ms,32300 KB,2018-07-17 07:53:00
61821606,Oct/04/2019 05:34,ASeeker,785D - Anton and School - 2,GNU C++11,Accepted,124 ms,2100 KB,2019-10-04 05:34:00
57728668,Jul/25/2019 10:56,luogu_bot3,785D - Anton and School - 2,GNU C++11,Accepted,124 ms,5200 KB,2019-07-25 10:56:00
25708339,Mar/22/2017 13:25,_FengChang_,785D - Anton and School - 2,GNU C++14,Accepted,31 ms,6700 KB,2017-03-22 13:25:00
27147906,May/16/2017 04:22,cilebritain#,785D - Anton and School - 2,GNU C++,Accepted,31 ms,12200 KB,2017-05-16 04:22:00
31598976,Oct/22/2017 12:25,adelacvg,785D - Anton and School - 2,GNU C++11,Accepted,31 ms,10100 KB,2017-10-22 12:25:00
26167310,Apr/06/2017 13:55,vjudge4,785D - Anton and School - 2,GNU C++,Accepted,217 ms,8800 KB,2017-04-06 13:55:00
54276000,May/17/2019 14:11,kzvd4729,785D - Anton and School - 2,GNU C++14,Accepted,187 ms,16200 KB,2019-05-17 14:11:00
25535734,Mar/16/2017 03:32,la1la1la,785D - Anton and School - 2,GNU C++14,Accepted,31 ms,7000 KB,2017-03-16 03:32:00
25565726,Mar/17/2017 10:00,Dark_Red,785D - Anton and School - 2,GNU C++14,Accepted,124 ms,5500 KB,2017-03-17 10:00:00
38763566,May/30/2018 10:20,vjudge5,785D - Anton and School - 2,GNU C++14,Accepted,468 ms,6600 KB,2018-05-30 10:20:00
52925430,Apr/17/2019 23:16,KevinWan,785D - Anton and School - 2,GNU C++17,Accepted,358 ms,3600 KB,2019-04-17 23:16:00
59912063,Sep/02/2019 20:37,Jeffrey,785D - Anton and School - 2,GNU C++14,Accepted,46 ms,5200 KB,2019-09-02 20:37:00
64570721,Nov/09/2019 12:04,luogu_bot2,785D - Anton and School - 2,GNU C++11,Accepted,62 ms,8200 KB,2019-11-09 12:04:00
25715961,Mar/22/2017 18:40,mittalhimanshu1manu,785D - Anton and School - 2,GNU C++14,Accepted,233 ms,3900 KB,2017-03-22 18:40:00
26581907,Apr/22/2017 14:19,Scut82,785D - Anton and School - 2,GNU C++,Accepted,187 ms,3100 KB,2017-04-22 14:19:00
77357662,Apr/20/2020 15:09,vjudge5,785D - Anton and School - 2,GNU C++11,Accepted,61 ms,5100 KB,2020-04-20 15:09:00
25547805,Mar/16/2017 15:12,Garan-no-dou,785D - Anton and School - 2,GNU C++11,Accepted,436 ms,5400 KB,2017-03-16 15:12:00
25552604,Mar/16/2017 17:54,rpSebastian,785D - Anton and School - 2,GNU C++11,Accepted,218 ms,8800 KB,2017-03-16 17:54:00
64591860,Nov/09/2019 18:03,luogu_bot1,785D - Anton and School - 2,GNU C++11,Accepted,62 ms,6800 KB,2019-11-09 18:03:00
72282011,Mar/03/2020 06:22,LANDDKPLA,785D - Anton and School - 2,GNU C++14,Accepted,202 ms,2100 KB,2020-03-03 06:22:00
77171548,Apr/18/2020 13:47,I_love_Marion_Cotillard.,785D - Anton and School - 2,GNU C++17,Accepted,358 ms,3700 KB,2020-04-18 13:47:00
25766084,Mar/24/2017 10:58,RNS3#,785D - Anton and School - 2,GNU C++,Accepted,140 ms,5400 KB,2017-03-24 10:58:00
25529932,Mar/15/2017 21:41,sp_502,785D - Anton and School - 2,GNU C++14,Accepted,46 ms,11600 KB,2017-03-15 21:41:00
26490594,Apr/19/2017 10:28,ejustfor,785D - Anton and School - 2,GNU C++11,Accepted,46 ms,11600 KB,2017-04-19 10:28:00
26490637,Apr/19/2017 10:31,ejustfor,785D - Anton and School - 2,GNU C++,Accepted,46 ms,11600 KB,2017-04-19 10:31:00
25514969,Mar/15/2017 18:54,CommonAnts,785D - Anton and School - 2,GNU C++,Accepted,46 ms,11600 KB,2017-03-15 18:54:00
25517648,Mar/15/2017 19:08,* ILaP,785D - Anton and School - 2,GNU C++11,Accepted,218 ms,5700 KB,2017-03-15 19:08:00
53876621,May/08/2019 15:20,igba,785D - Anton and School - 2,GNU C++17,Accepted,234 ms,1000 KB,2019-05-08 15:20:00
25542029,Mar/16/2017 11:16,dqhungdl,785D - Anton and School - 2,GNU C++,Accepted,171 ms,6900 KB,2017-03-16 11:16:00
25542717,Mar/16/2017 11:46,Aikurce,785D - Anton and School - 2,GNU C++11,Accepted,249 ms,6900 KB,2017-03-16 11:46:00
64277421,Nov/05/2019 01:36,vjudge5,785D - Anton and School - 2,GNU C++14,Accepted,31 ms,5100 KB,2019-11-05 01:36:00
25555004,Mar/16/2017 19:27,Straw,785D - Anton and School - 2,GNU C++11,Accepted,186 ms,6900 KB,2017-03-16 19:27:00
30375024,Sep/16/2017 05:26,pb0207#,785D - Anton and School - 2,GNU C++14,Accepted,31 ms,6500 KB,2017-09-16 05:26:00
25542380,Mar/16/2017 11:33,freefood,785D - Anton and School - 2,GNU C++,Accepted,31 ms,11600 KB,2017-03-16 11:33:00
57752603,Jul/25/2019 18:15,luogu_bot5,785D - Anton and School - 2,GNU C++11,Accepted,124 ms,4900 KB,2019-07-25 18:15:00
61322363,Sep/26/2019 15:56,vjudge1,785D - Anton and School - 2,MS C++,Accepted,46 ms,2600 KB,2019-09-26 15:56:00
27988891,Jun/23/2017 19:23,Sahashoo,785D - Anton and School - 2,GNU C++14,Accepted,171 ms,7100 KB,2017-06-23 19:23:00
64277620,Nov/05/2019 01:46,Liu_shi,785D - Anton and School - 2,GNU C++11,Accepted,46 ms,4900 KB,2019-11-05 01:46:00
34728865,Jan/31/2018 09:57,SebVettel,785D - Anton and School - 2,GNU C++11,Accepted,140 ms,4100 KB,2018-01-31 09:57:00
63986942,Nov/01/2019 15:01,rainy_chen,785D - Anton and School - 2,GNU C++11,Accepted,124 ms,5200 KB,2019-11-01 15:01:00
25556734,Mar/16/2017 20:40,Nijigasaki_MaedaKaori,785D - Anton and School - 2,GNU C++,Accepted,265 ms,3800 KB,2017-03-16 20:40:00
53395798,Apr/27/2019 12:06,Pigbrain,785D - Anton and School - 2,GNU C++11,Accepted,31 ms,2600 KB,2019-04-27 12:06:00
25573193,Mar/17/2017 16:10,garuna,785D - Anton and School - 2,GNU C++14,Accepted,234 ms,8600 KB,2017-03-17 16:10:00
25527515,Mar/15/2017 20:13,mister_dudec,785D - Anton and School - 2,GNU C++14,Accepted,187 ms,10200 KB,2017-03-15 20:13:00
