1259363,Mar/03/2012 11:40,tmt514,59D - Team Arrangement,GNU C++,Accepted,360 ms,7200 KB,2012-03-03 11:40:00
54496111,May/22/2019 20:49,WOSHIGEPACHONG2,59D - Team Arrangement,GNU C++11,Accepted,966 ms,3500 KB,2019-05-22 20:49:00
284639,Feb/14/2011 15:45,ACube,59D - Team Arrangement,GNU C++,Accepted,360 ms,18900 KB,2011-02-14 15:45:00
53705028,May/03/2019 15:47,rianradeck,59D - Team Arrangement,GNU C++17,Accepted,1964 ms,14600 KB,2019-05-03 15:47:00
287161,Feb/18/2011 15:25,Ra16bit,59D - Team Arrangement,GNU C++,Accepted,340 ms,5200 KB,2011-02-18 15:25:00
282500,Feb/12/2011 02:36,Kenny_HORROR,59D - Team Arrangement,MS C++,Accepted,310 ms,4000 KB,2011-02-12 02:36:00
5024549,Nov/07/2013 21:34,vjudge4,59D - Team Arrangement,GNU C++,Accepted,842 ms,3000 KB,2013-11-07 21:34:00
5028599,Nov/08/2013 14:41,vjudge1,59D - Team Arrangement,GNU C++,Accepted,312 ms,5300 KB,2013-11-08 14:41:00
284206,Feb/13/2011 20:30,goooooooopan,59D - Team Arrangement,GNU C++,Accepted,380 ms,6000 KB,2011-02-13 20:30:00
1075294,Jan/18/2012 16:10,amirrr#,59D - Team Arrangement,Delphi,Accepted,160 ms,98800 KB,2012-01-18 16:10:00
2208931,Sep/18/2012 16:26,sspa,59D - Team Arrangement,GNU C++,Accepted,340 ms,7700 KB,2012-09-18 16:26:00
12418029,Aug/08/2015 21:52,ahm.kam_92,59D - Team Arrangement,GNU C++11,Accepted,468 ms,10000 KB,2015-08-08 21:52:00
284195,Feb/13/2011 20:22,goooooooopan,59D - Team Arrangement,GNU C++,Accepted,1550 ms,6000 KB,2011-02-13 20:22:00
283739,Feb/13/2011 04:04,MHieu,59D - Team Arrangement,Python 2,Accepted,1420 ms,25100 KB,2011-02-13 04:04:00
283049,Feb/12/2011 15:22,ajmarin,59D - Team Arrangement,GNU C++,Accepted,420 ms,7200 KB,2011-02-12 15:22:00
38618024,May/26/2018 00:04,Dreamchaser101,59D - Team Arrangement,GNU C++14,Accepted,1870 ms,5800 KB,2018-05-26 00:04:00
33953056,Jan/06/2018 03:12,SamuelT,59D - Team Arrangement,GNU C++,Accepted,966 ms,7900 KB,2018-01-06 03:12:00
281583,Feb/11/2011 20:54,* mR.ilchi,59D - Team Arrangement,GNU C++,Accepted,330 ms,4000 KB,2011-02-11 20:54:00
9189122,Dec/18/2014 18:50,_iris_,59D - Team Arrangement,GNU C++,Accepted,342 ms,11500 KB,2014-12-18 18:50:00
281869,Feb/11/2011 21:52,Aleks,59D - Team Arrangement,GNU C++,Accepted,1510 ms,5400 KB,2011-02-11 21:52:00
573207,Jul/30/2011 21:08,vjudge2,59D - Team Arrangement,GNU C++,Accepted,360 ms,4000 KB,2011-07-30 21:08:00
5028209,Nov/08/2013 13:10,SoroushE,59D - Team Arrangement,GNU C++,Accepted,842 ms,23200 KB,2013-11-08 13:10:00
5028206,Nov/08/2013 13:10,vjudge4,59D - Team Arrangement,GNU C++,Accepted,842 ms,23200 KB,2013-11-08 13:10:00
283738,Feb/13/2011 04:02,MHieu,59D - Team Arrangement,Python 2,Accepted,1440 ms,25000 KB,2011-02-13 04:02:00
2510990,Nov/05/2012 17:05,zsyzgu#,59D - Team Arrangement,GNU C++,Accepted,328 ms,4100 KB,2012-11-05 17:05:00
69180785,Jan/20/2020 13:03,_ShadowSong,59D - Team Arrangement,GNU C++11,Accepted,342 ms,6200 KB,2020-01-20 13:03:00
69244973,Jan/21/2020 15:37,rushibhosle155,59D - Team Arrangement,GNU C++14,Accepted,1652 ms,5700 KB,2020-01-21 15:37:00
10796667,Apr/20/2015 13:57,i_love_redcolor#,59D - Team Arrangement,MS C++,Accepted,1278 ms,7800 KB,2015-04-20 13:57:00
12856746,Sep/05/2015 20:53,vjudge5,59D - Team Arrangement,GNU C++11,Accepted,2464 ms,9500 KB,2015-09-05 20:53:00
70446942,Feb/06/2020 18:21,big_tq,59D - Team Arrangement,GNU C++11,Accepted,372 ms,6200 KB,2020-02-06 18:21:00
61871307,Oct/04/2019 21:18,linus509,59D - Team Arrangement,GNU C++14,Accepted,2806 ms,35300 KB,2019-10-04 21:18:00
283007,Feb/12/2011 15:08,fura2,59D - Team Arrangement,GNU C++,Accepted,360 ms,8300 KB,2011-02-12 15:08:00
7616356,Aug/28/2014 23:39,LiTi,59D - Team Arrangement,GNU C++0x,Accepted,872 ms,7200 KB,2014-08-28 23:39:00
24747124,Feb/18/2017 01:49,bhavya.c,59D - Team Arrangement,GNU C++,Accepted,2496 ms,11000 KB,2017-02-18 01:49:00
280738,Feb/11/2011 20:05,* macs,59D - Team Arrangement,GNU C++,Accepted,360 ms,15900 KB,2011-02-11 20:05:00
339446,Mar/17/2011 20:49,JalbaRu,59D - Team Arrangement,MS C++,Accepted,310 ms,4900 KB,2011-03-17 20:49:00
566778,Jul/27/2011 06:59,vjudge3,59D - Team Arrangement,GNU C++,Accepted,360 ms,6800 KB,2011-07-27 06:59:00
1979934,Aug/06/2012 12:20,Apple_Cplus,59D - Team Arrangement,GNU C++,Accepted,380 ms,8300 KB,2012-08-06 12:20:00
280995,Feb/11/2011 20:20,* watashi,59D - Team Arrangement,GNU C++,Accepted,420 ms,10600 KB,2011-02-11 20:20:00
45096215,Oct/30/2018 14:57,HappyEnd,59D - Team Arrangement,GNU C++17,Accepted,374 ms,3800 KB,2018-10-30 14:57:00
280391,Feb/11/2011 19:49,Sisu,59D - Team Arrangement,GNU C++,Accepted,1610 ms,10100 KB,2011-02-11 19:49:00
7059273,Jul/10/2014 18:00,yummy,59D - Team Arrangement,GNU C++,Accepted,934 ms,6000 KB,2014-07-10 18:00:00
2563427,Nov/15/2012 17:11,vjudge2,59D - Team Arrangement,GNU C++,Accepted,343 ms,8300 KB,2012-11-15 17:11:00
9188559,Dec/18/2014 18:03,vjudge5,59D - Team Arrangement,GNU C++0x,Accepted,904 ms,7200 KB,2014-12-18 18:03:00
2563395,Nov/15/2012 17:05,vjudge5,59D - Team Arrangement,GNU C++,Accepted,328 ms,8300 KB,2012-11-15 17:05:00
2566214,Nov/16/2012 12:02,vjudge5,59D - Team Arrangement,GNU C++,Accepted,328 ms,8300 KB,2012-11-16 12:02:00
281528,Feb/11/2011 20:51,frp,59D - Team Arrangement,GNU C++,Accepted,1980 ms,26700 KB,2011-02-11 20:51:00
286512,Feb/17/2011 11:58,luckyi,59D - Team Arrangement,MS C++,Accepted,1160 ms,8900 KB,2011-02-17 11:58:00
283314,Feb/12/2011 17:26,aytawgf,59D - Team Arrangement,GNU C++,Accepted,1510 ms,6900 KB,2011-02-12 17:26:00
280854,Feb/11/2011 20:12,* alger95,59D - Team Arrangement,GNU C++,Accepted,330 ms,9500 KB,2011-02-11 20:12:00
285915,Feb/16/2011 15:27,Alisafe,59D - Team Arrangement,GNU C++,Accepted,1550 ms,4000 KB,2011-02-16 15:27:00
12628495,Aug/21/2015 16:04,mindbeats,59D - Team Arrangement,GNU C++11,Accepted,1092 ms,8200 KB,2015-08-21 16:04:00
476273,Jun/06/2011 00:34,dreamoon_love_AA,59D - Team Arrangement,GNU C++,Accepted,340 ms,4000 KB,2011-06-06 00:34:00
568343,Jul/28/2011 17:09,vjudge4,59D - Team Arrangement,GNU C++,Accepted,390 ms,4900 KB,2011-07-28 17:09:00
1236033,Feb/26/2012 12:02,QZAR,59D - Team Arrangement,GNU C++,Accepted,730 ms,5200 KB,2012-02-26 12:02:00
9188546,Dec/18/2014 18:02,ArtinTD,59D - Team Arrangement,GNU C++0x,Accepted,872 ms,7200 KB,2014-12-18 18:02:00
9335332,Dec/31/2014 22:28,vjudge1,59D - Team Arrangement,GNU C++0x,Accepted,904 ms,12000 KB,2014-12-31 22:28:00
1070707,Jan/17/2012 04:44,mihail,59D - Team Arrangement,Python 2,Accepted,1730 ms,27300 KB,2012-01-17 04:44:00
313891,Mar/02/2011 09:18,imslavko,59D - Team Arrangement,GNU C++,Accepted,330 ms,17100 KB,2011-03-02 09:18:00
47162286,Dec/17/2018 13:36,ghost_of_sparta1#,59D - Team Arrangement,GNU C++14,Accepted,1684 ms,9500 KB,2018-12-17 13:36:00
65710063,Nov/25/2019 17:01,WangJialei,59D - Team Arrangement,Go,Accepted,2744 ms,12800 KB,2019-11-25 17:01:00
566947,Jul/27/2011 10:40,vjudge1,59D - Team Arrangement,GNU C,Accepted,360 ms,6400 KB,2011-07-27 10:40:00
282637,Feb/12/2011 07:24,pcyu16,59D - Team Arrangement,GNU C++,Accepted,360 ms,6300 KB,2011-02-12 07:24:00
2268969,Sep/29/2012 15:57,API,59D - Team Arrangement,MS C++,Accepted,375 ms,2300 KB,2012-09-29 15:57:00
13818512,Oct/24/2015 08:53,130705009,59D - Team Arrangement,GNU C++,Accepted,404 ms,9500 KB,2015-10-24 08:53:00
12997259,Sep/14/2015 18:19,yajun,59D - Team Arrangement,GNU C++11,Accepted,2994 ms,24200 KB,2015-09-14 18:19:00
9335326,Dec/31/2014 22:26,MamZi,59D - Team Arrangement,GNU C++0x,Accepted,904 ms,12000 KB,2014-12-31 22:26:00
12997365,Sep/14/2015 18:27,yajun,59D - Team Arrangement,GNU C++11,Accepted,1870 ms,35200 KB,2015-09-14 18:27:00
65710119,Nov/25/2019 17:03,vjudge5,59D - Team Arrangement,Go,Accepted,2806 ms,12800 KB,2019-11-25 17:03:00
17468616,Apr/23/2016 14:00,vjudge5,59D - Team Arrangement,GNU C++,Accepted,404 ms,8000 KB,2016-04-23 14:00:00
282075,Feb/11/2011 22:21,luizribeiro,59D - Team Arrangement,GNU C++,Accepted,360 ms,7100 KB,2011-02-11 22:21:00
281858,Feb/11/2011 21:51,grey_wind,59D - Team Arrangement,GNU C++,Accepted,1630 ms,95300 KB,2011-02-11 21:51:00
281327,Feb/11/2011 20:38,* Malinovsky239,59D - Team Arrangement,GNU C++,Accepted,380 ms,6300 KB,2011-02-11 20:38:00
1075276,Jan/18/2012 16:01,Spumote#,59D - Team Arrangement,Delphi,Accepted,160 ms,8000 KB,2012-01-18 16:01:00
49390190,Feb/03/2019 12:26,kenimo,59D - Team Arrangement,GNU C++17,Accepted,404 ms,6900 KB,2019-02-03 12:26:00
45459862,Nov/09/2018 02:25,luogu_bot1,59D - Team Arrangement,FPC,Accepted,1964 ms,12200 KB,2018-11-09 02:25:00
286287,Feb/17/2011 00:22,Psilocybe,59D - Team Arrangement,MS C++,Accepted,840 ms,7600 KB,2011-02-17 00:22:00
283371,Feb/12/2011 18:25,IlyaLos,59D - Team Arrangement,Delphi,Accepted,160 ms,5600 KB,2011-02-12 18:25:00
40993114,Jul/31/2018 04:46,ReaLNero1,59D - Team Arrangement,Delphi,Accepted,280 ms,4800 KB,2018-07-31 04:46:00
566833,Jul/27/2011 08:50,vjudge5,59D - Team Arrangement,GNU C++,Accepted,360 ms,7200 KB,2011-07-27 08:50:00
33857500,Jan/02/2018 06:58,eshyu,59D - Team Arrangement,GNU C++14,Accepted,2088 ms,26500 KB,2018-01-02 06:58:00
34615302,Jan/27/2018 21:56,Qumair,59D - Team Arrangement,GNU C++14,Accepted,404 ms,9600 KB,2018-01-27 21:56:00
1075279,Jan/18/2012 16:04,lightning#,59D - Team Arrangement,Delphi,Accepted,160 ms,12700 KB,2012-01-18 16:04:00
43181891,Sep/21/2018 16:42,Nargess-Seifi,59D - Team Arrangement,GNU C++11,Accepted,2774 ms,7400 KB,2018-09-21 16:42:00
287492,Feb/19/2011 04:14,kiyoshi,59D - Team Arrangement,Java 6,Accepted,2360 ms,42500 KB,2011-02-19 04:14:00
540923,Jul/10/2011 18:12,kirimedia,59D - Team Arrangement,GNU C++,Accepted,940 ms,6100 KB,2011-07-10 18:12:00
