22804376,Dec/08/2016 10:58,jasonvictoryan,249D - Donkey and Stars,GNU C++14,Accepted,124 ms,4200 KB,2016-12-08 10:58:00
3670879,May/05/2013 07:03,lifeich1,249D - Donkey and Stars,GNU C++,Accepted,78 ms,2700 KB,2013-05-05 07:03:00
72131574,Mar/01/2020 07:32,KyuushuKyuuhai,249D - Donkey and Stars,GNU C++11,Accepted,124 ms,2400 KB,2020-03-01 07:32:00
11627583,Jun/18/2015 07:00,cuiaoxiang,249D - Donkey and Stars,GNU C++11,Accepted,92 ms,4100 KB,2015-06-18 07:00:00
72978928,Mar/11/2020 21:50,saza,249D - Donkey and Stars,GNU C++11,Accepted,154 ms,2400 KB,2020-03-11 21:50:00
71545046,Feb/21/2020 14:04,Shiina_Mashiro19,249D - Donkey and Stars,GNU C++11,Accepted,154 ms,4500 KB,2020-02-21 14:04:00
73831421,Mar/20/2020 23:14,CaiJiZXY,249D - Donkey and Stars,GNU C++11,Accepted,124 ms,2400 KB,2020-03-20 23:14:00
71545094,Feb/21/2020 14:05,vjudge2,249D - Donkey and Stars,GNU C++11,Accepted,156 ms,4500 KB,2020-02-21 14:05:00
62913392,Oct/19/2019 11:00,hjk1030,249D - Donkey and Stars,GNU C++17,Accepted,124 ms,2000 KB,2019-10-19 11:00:00
37237547,Apr/12/2018 05:12,SW_Wind,249D - Donkey and Stars,GNU C++11,Accepted,122 ms,6200 KB,2018-04-12 05:12:00
9536878,Jan/24/2015 13:26,faebdc,249D - Donkey and Stars,GNU C++,Accepted,124 ms,2400 KB,2015-01-24 13:26:00
15898279,Feb/08/2016 18:41,sherlock_zhuang,249D - Donkey and Stars,GNU C++,Accepted,248 ms,2400 KB,2016-02-08 18:41:00
71357819,Feb/18/2020 09:38,vjudge4,249D - Donkey and Stars,GNU C++11,Accepted,154 ms,3900 KB,2020-02-18 09:38:00
55007238,Jun/03/2019 11:13,SoiMae,249D - Donkey and Stars,GNU C++11,Accepted,124 ms,3900 KB,2019-06-03 11:13:00
7912331,Sep/22/2014 20:21,apia,249D - Donkey and Stars,GNU C++,Accepted,156 ms,2400 KB,2014-09-22 20:21:00
28959247,Jul/28/2017 20:36,SakurakoujiRuna,249D - Donkey and Stars,GNU C++14,Accepted,218 ms,5400 KB,2017-07-28 20:36:00
71284503,Feb/17/2020 17:45,gay__cjioer,249D - Donkey and Stars,GNU C++11,Accepted,184 ms,3900 KB,2020-02-17 17:45:00
8996876,Dec/06/2014 08:49,Stilwell,249D - Donkey and Stars,GNU C++,Accepted,156 ms,2300 KB,2014-12-06 08:49:00
26899935,May/06/2017 14:29,gzz,249D - Donkey and Stars,GNU C++,Accepted,124 ms,2600 KB,2017-05-06 14:29:00
8998084,Dec/06/2014 12:24,jzc,249D - Donkey and Stars,GNU C++,Accepted,248 ms,2400 KB,2014-12-06 12:24:00
11883779,Jul/01/2015 17:47,gagaga5-gagaga,249D - Donkey and Stars,GNU C++11,Accepted,124 ms,3300 KB,2015-07-01 17:47:00
3563620,Apr/19/2013 15:24,XilinX,249D - Donkey and Stars,MS C++,Accepted,78 ms,3500 KB,2013-04-19 15:24:00
7002670,Jul/03/2014 12:07,jcvb,249D - Donkey and Stars,GNU C++,Accepted,92 ms,2400 KB,2014-07-03 12:07:00
31921051,Oct/31/2017 15:34,Jerryvb,249D - Donkey and Stars,GNU C++,Accepted,92 ms,2500 KB,2017-10-31 15:34:00
3670872,May/05/2013 07:00,sunweijun,249D - Donkey and Stars,GNU C++,Accepted,156 ms,2400 KB,2013-05-05 07:00:00
33639798,Dec/26/2017 11:13,mengdai,249D - Donkey and Stars,GNU C++14,Accepted,560 ms,4200 KB,2017-12-26 11:13:00
71111441,Feb/15/2020 12:48,Itst,249D - Donkey and Stars,GNU C++11,Accepted,186 ms,4700 KB,2020-02-15 12:48:00
9534423,Jan/24/2015 08:56,vjudge4,249D - Donkey and Stars,GNU C++,Accepted,154 ms,3300 KB,2015-01-24 08:56:00
36718492,Mar/29/2018 14:54,cxt,249D - Donkey and Stars,GNU C++11,Accepted,248 ms,6900 KB,2018-03-29 14:54:00
71111515,Feb/15/2020 12:49,vjudge4,249D - Donkey and Stars,GNU C++11,Accepted,186 ms,4700 KB,2020-02-15 12:49:00
2647914,Nov/25/2012 21:09,liouzhou_101,249D - Donkey and Stars,GNU C++,Accepted,125 ms,4100 KB,2012-11-25 21:09:00
33753927,Dec/29/2017 10:52,_SHENZHEBEI_,249D - Donkey and Stars,GNU C++,Accepted,92 ms,4500 KB,2017-12-29 10:52:00
31521362,Oct/20/2017 04:44,wzf2000,249D - Donkey and Stars,GNU C++14,Accepted,156 ms,3800 KB,2017-10-20 04:44:00
8676964,Nov/13/2014 04:38,BigChampion,249D - Donkey and Stars,GNU C++,Accepted,154 ms,3100 KB,2014-11-13 04:38:00
2673829,Nov/28/2012 20:12,Satoshi_Pikachu,249D - Donkey and Stars,GNU C++,Accepted,250 ms,2400 KB,2012-11-28 20:12:00
2673866,Nov/28/2012 20:19,Satoshi_Pikachu,249D - Donkey and Stars,MS C++,Accepted,93 ms,2300 KB,2012-11-28 20:19:00
71119267,Feb/15/2020 14:56,vjudge1,249D - Donkey and Stars,GNU C++14,Accepted,186 ms,3100 KB,2020-02-15 14:56:00
2747311,Dec/10/2012 16:39,ACMonster,249D - Donkey and Stars,GNU C++,Accepted,62 ms,2400 KB,2012-12-10 16:39:00
2646282,Nov/25/2012 20:37,kterry,249D - Donkey and Stars,GNU C++,Accepted,156 ms,3900 KB,2012-11-25 20:37:00
69807974,Jan/30/2020 05:58,Scut82,249D - Donkey and Stars,GNU C++14,Accepted,218 ms,3400 KB,2020-01-30 05:58:00
71119176,Feb/15/2020 14:55,Rubblsh12345,249D - Donkey and Stars,GNU C++11,Accepted,124 ms,3100 KB,2020-02-15 14:55:00
2671801,Nov/28/2012 12:26,vfleaking,249D - Donkey and Stars,GNU C++,Accepted,125 ms,2300 KB,2012-11-28 12:26:00
2717925,Dec/08/2012 01:30,tsotne,249D - Donkey and Stars,GNU C++,Accepted,140 ms,2600 KB,2012-12-08 01:30:00
3014986,Jan/27/2013 09:49,chkaya,249D - Donkey and Stars,GNU C++,Accepted,328 ms,2400 KB,2013-01-27 09:49:00
2656212,Nov/26/2012 10:08,oimaster,249D - Donkey and Stars,GNU C++,Accepted,109 ms,3100 KB,2012-11-26 10:08:00
55004689,Jun/03/2019 09:52,SoiMae,249D - Donkey and Stars,GNU C++11,Accepted,154 ms,3200 KB,2019-06-03 09:52:00
9139441,Dec/15/2014 14:39,wwt15#,249D - Donkey and Stars,GNU C++,Accepted,216 ms,2400 KB,2014-12-15 14:39:00
2646128,Nov/25/2012 20:28,seanwu,249D - Donkey and Stars,GNU C++,Accepted,156 ms,6200 KB,2012-11-25 20:28:00
7980666,Sep/27/2014 10:48,wjh720#,249D - Donkey and Stars,GNU C++,Accepted,280 ms,4700 KB,2014-09-27 10:48:00
12027343,Jul/13/2015 12:20,hykych,249D - Donkey and Stars,GNU C++,Accepted,122 ms,2400 KB,2015-07-13 12:20:00
8771743,Nov/21/2014 10:23,wwx,249D - Donkey and Stars,GNU C++,Accepted,154 ms,3100 KB,2014-11-21 10:23:00
19667132,Aug/06/2016 12:37,SoiMae,249D - Donkey and Stars,GNU C++,Accepted,248 ms,6300 KB,2016-08-06 12:37:00
8794797,Nov/22/2014 06:09,yangle71,249D - Donkey and Stars,GNU C++,Accepted,186 ms,3500 KB,2014-11-22 06:09:00
8497594,Oct/31/2014 15:57,yyt16384,249D - Donkey and Stars,GNU C++,Accepted,124 ms,2700 KB,2014-10-31 15:57:00
2718324,Dec/08/2012 07:54,linyy,249D - Donkey and Stars,GNU C++,Accepted,656 ms,2400 KB,2012-12-08 07:54:00
8247811,Oct/16/2014 16:43,jiry_2,249D - Donkey and Stars,GNU C++0x,Accepted,468 ms,3000 KB,2014-10-16 16:43:00
72044490,Feb/28/2020 18:02,star_magic_young,249D - Donkey and Stars,GNU C++11,Accepted,186 ms,2700 KB,2020-02-28 18:02:00
2680761,Nov/30/2012 18:05,75249,249D - Donkey and Stars,GNU C++,Accepted,125 ms,3300 KB,2012-11-30 18:05:00
55010868,Jun/03/2019 12:57,SoiMae,249D - Donkey and Stars,GNU C++11,Accepted,92 ms,3200 KB,2019-06-03 12:57:00
8425660,Oct/27/2014 06:14,nblt,249D - Donkey and Stars,GNU C++,Accepted,372 ms,3100 KB,2014-10-27 06:14:00
72044504,Feb/28/2020 18:02,vjudge4,249D - Donkey and Stars,GNU C++11,Accepted,154 ms,2700 KB,2020-02-28 18:02:00
2718332,Dec/08/2012 07:58,linyy,249D - Donkey and Stars,GNU C++,Accepted,546 ms,2400 KB,2012-12-08 07:58:00
