23881636,Jan/16/2017 15:34,Momentum,755D - PolandBall and Polygon,GNU C++11,Accepted,405 ms,2000 KB,2017-01-16 15:34:00
26187402,Apr/07/2017 11:34,RNS3#,755D - PolandBall and Polygon,GNU C++,Accepted,373 ms,2000 KB,2017-04-07 11:34:00
23906496,Jan/17/2017 19:33,Gavante,755D - PolandBall and Polygon,GNU C,Accepted,451 ms,1800 KB,2017-01-17 19:33:00
23872625,Jan/16/2017 06:50,CuSO45H2O,755D - PolandBall and Polygon,GNU C++,Accepted,342 ms,1800 KB,2017-01-16 06:50:00
24482322,Feb/07/2017 09:35,calabash_boy,755D - PolandBall and Polygon,GNU C++11,Accepted,701 ms,2000 KB,2017-02-07 09:35:00
24544256,Feb/09/2017 11:19,edisonhello,755D - PolandBall and Polygon,GNU C++11,Accepted,701 ms,2000 KB,2017-02-09 11:19:00
31561765,Oct/21/2017 12:27,vjudge4,755D - PolandBall and Polygon,GNU C++,Accepted,685 ms,2000 KB,2017-10-21 12:27:00
23866087,Jan/15/2017 22:39,RNS_JKS,755D - PolandBall and Polygon,GNU C++,Accepted,748 ms,2000 KB,2017-01-15 22:39:00
23881576,Jan/16/2017 15:31,Momentum,755D - PolandBall and Polygon,GNU C++11,Accepted,623 ms,2000 KB,2017-01-16 15:31:00
23884181,Jan/16/2017 17:47,ivanzuki,755D - PolandBall and Polygon,GNU C++11,Accepted,733 ms,2000 KB,2017-01-16 17:47:00
23894559,Jan/17/2017 07:46,zyyyyy,755D - PolandBall and Polygon,GNU C++11,Accepted,405 ms,2000 KB,2017-01-17 07:46:00
23866672,Jan/15/2017 22:46,GiraffeCoder,755D - PolandBall and Polygon,GNU C++,Accepted,655 ms,2000 KB,2017-01-15 22:46:00
23900619,Jan/17/2017 14:22,MRITuhin,755D - PolandBall and Polygon,GNU C++11,Accepted,1013 ms,2000 KB,2017-01-17 14:22:00
40957951,Jul/30/2018 12:29,The_sound_of_the_fox,755D - PolandBall and Polygon,GNU C++17,Accepted,358 ms,0 KB,2018-07-30 12:29:00
