40247685,Jul/13/2018 05:53,vjudge4,875D - High Cry,GNU C++11,Accepted,171 ms,7400 KB,2018-07-13 05:53:00
31434289,Oct/17/2017 01:58,ShokuhouMisaki,876F - High Cry,GNU C++11,Accepted,171 ms,10700 KB,2017-10-17 01:58:00
31862580,Oct/29/2017 12:56,Storm__Spirit,875D - High Cry,GNU C++11,Accepted,483 ms,7000 KB,2017-10-29 12:56:00
32574789,Nov/23/2017 15:22,Jiburiru,875D - High Cry,GNU C++11,Accepted,467 ms,4100 KB,2017-11-23 15:22:00
31434385,Oct/17/2017 02:09,19992147,876F - High Cry,GNU C++11,Accepted,46 ms,4400 KB,2017-10-17 02:09:00
31413892,Oct/16/2017 17:26,fc_naive,876F - High Cry,GNU C++14,Accepted,78 ms,5000 KB,2017-10-16 17:26:00
40246972,Jul/13/2018 05:09,vjudge5,875D - High Cry,GNU C++,Accepted,61 ms,11800 KB,2018-07-13 05:09:00
40246984,Jul/13/2018 05:09,vjudge3,875D - High Cry,GNU C++,Accepted,61 ms,11800 KB,2018-07-13 05:09:00
78977232,May/04/2020 17:42,illuminati_XY,875D - High Cry,GNU C++11,Accepted,436 ms,7100 KB,2020-05-04 17:42:00
31412471,Oct/16/2017 16:04,everlasting,876F - High Cry,GNU C++,Accepted,46 ms,5200 KB,2017-10-16 16:04:00
31414082,Oct/16/2017 17:28,fc_naive,875D - High Cry,GNU C++14,Accepted,62 ms,5000 KB,2017-10-16 17:28:00
40246664,Jul/13/2018 04:47,vjudge1,875D - High Cry,GNU C++,Accepted,62 ms,11800 KB,2018-07-13 04:47:00
31434678,Oct/17/2017 02:41,LZHlzh,875D - High Cry,GNU C++,Accepted,234 ms,33400 KB,2017-10-17 02:41:00
40247418,Jul/13/2018 05:36,vjudge3,876F - High Cry,GNU C++,Accepted,62 ms,2400 KB,2018-07-13 05:36:00
31497217,Oct/19/2017 07:01,zjhl2,875D - High Cry,GNU C++14,Accepted,187 ms,10700 KB,2017-10-19 07:01:00
40247658,Jul/13/2018 05:52,hhhjhy,875D - High Cry,GNU C++11,Accepted,171 ms,7400 KB,2018-07-13 05:52:00
31413775,Oct/16/2017 17:24,zjt_is_our_red_sun,876F - High Cry,GNU C++11,Accepted,46 ms,4200 KB,2017-10-16 17:24:00
31412182,Oct/16/2017 16:03,black_moon,876F - High Cry,GNU C++14,Accepted,171 ms,17500 KB,2017-10-16 16:03:00
31439894,Oct/17/2017 09:05,Durant_Lee,876F - High Cry,GNU C++11,Accepted,46 ms,4400 KB,2017-10-17 09:05:00
31447242,Oct/17/2017 14:57,lbn187,875D - High Cry,GNU C++11,Accepted,187 ms,11800 KB,2017-10-17 14:57:00
31510663,Oct/19/2017 17:05,very_weak,875D - High Cry,GNU C++14,Accepted,78 ms,6600 KB,2017-10-19 17:05:00
31410252,Oct/16/2017 15:51,Maigo,875D - High Cry,GNU C++11,Accepted,186 ms,10600 KB,2017-10-16 15:51:00
34702599,Jan/30/2018 11:31,392781: Dibagger#,875D - High Cry,GNU C++14,Accepted,171 ms,9100 KB,2018-01-30 11:31:00
31467419,Oct/18/2017 06:22,szawinis,875D - High Cry,GNU C++14,Accepted,62 ms,5200 KB,2017-10-18 06:22:00
31969698,Nov/02/2017 09:33,zzy65513034,876F - High Cry,GNU C++14,Accepted,62 ms,2400 KB,2017-11-02 09:33:00
31439802,Oct/17/2017 09:00,thchuan2001,875D - High Cry,GNU C++,Accepted,62 ms,7000 KB,2017-10-17 09:00:00
31413796,Oct/16/2017 17:25,zjt_is_our_red_sun,876F - High Cry,GNU C++11,Accepted,62 ms,4200 KB,2017-10-16 17:25:00
31410456,Oct/16/2017 15:53,fangbo,876F - High Cry,GNU C++11,Accepted,140 ms,17700 KB,2017-10-16 15:53:00
31402039,Oct/16/2017 14:57,VPigeonKing,875D - High Cry,GNU C++14,Accepted,202 ms,10600 KB,2017-10-16 14:57:00
31439626,Oct/17/2017 08:53,orz010orz,876F - High Cry,GNU C++14,Accepted,108 ms,5700 KB,2017-10-17 08:53:00
31468134,Oct/18/2017 07:13,GreymaneSilverfang,875D - High Cry,GNU C++14,Accepted,93 ms,7600 KB,2017-10-18 07:13:00
31467376,Oct/18/2017 06:19,OHCCHO,876F - High Cry,GNU C++,Accepted,46 ms,8100 KB,2017-10-18 06:19:00
31478537,Oct/18/2017 14:52,Panole233,875D - High Cry,GNU C++,Accepted,171 ms,10700 KB,2017-10-18 14:52:00
35761042,Feb/27/2018 15:09,cen,875D - High Cry,GNU C++11,Accepted,46 ms,4400 KB,2018-02-27 15:09:00
31396800,Oct/16/2017 14:34,MarkF,875D - High Cry,GNU C++,Accepted,202 ms,10000 KB,2017-10-16 14:34:00
31406864,Oct/16/2017 15:27,zx2003,875D - High Cry,GNU C++,Accepted,233 ms,10700 KB,2017-10-16 15:27:00
78977535,May/04/2020 17:45,illuminati_XY,875D - High Cry,GNU C++11,Accepted,124 ms,7100 KB,2020-05-04 17:45:00
32519962,Nov/21/2017 11:45,xuqijie,876F - High Cry,GNU C++,Accepted,234 ms,9400 KB,2017-11-21 11:45:00
40254930,Jul/13/2018 11:30,chuducanhchy,875D - High Cry,GNU C++14,Accepted,93 ms,7100 KB,2018-07-13 11:30:00
31619481,Oct/23/2017 07:41,vjudge4,876F - High Cry,GNU C++,Accepted,233 ms,11500 KB,2017-10-23 07:41:00
31431316,Oct/16/2017 22:20,aviroop123#,876F - High Cry,GNU C++14,Accepted,93 ms,10000 KB,2017-10-16 22:20:00
31434478,Oct/17/2017 02:19,ywwyww,875D - High Cry,GNU C++11,Accepted,61 ms,4200 KB,2017-10-17 02:19:00
31439503,Oct/17/2017 08:47,dsyhy,876F - High Cry,GNU C++11,Accepted,61 ms,5200 KB,2017-10-17 08:47:00
31469683,Oct/18/2017 08:49,JustAni,875D - High Cry,GNU C++14,Accepted,78 ms,4200 KB,2017-10-18 08:49:00
31452549,Oct/17/2017 17:40,Jayzhang,876F - High Cry,GNU C++11,Accepted,46 ms,4400 KB,2017-10-17 17:40:00
31439210,Oct/17/2017 08:32,dsyhy,876F - High Cry,GNU C++11,Accepted,46 ms,5200 KB,2017-10-17 08:32:00
31456492,Oct/17/2017 20:08,shad0w_walker,875D - High Cry,GNU C++14,Accepted,421 ms,59200 KB,2017-10-17 20:08:00
31405870,Oct/16/2017 15:21,zhouyuyang,875D - High Cry,GNU C++14,Accepted,124 ms,66900 KB,2017-10-16 15:21:00
