14620242,Dec/02/2015 16:46,vjudge3,368D - Sereja ans Anagrams,GNU C++,Accepted,62 ms,3100 KB,2015-12-02 16:46:00
17390299,Apr/19/2016 20:07,yusufk,367B - Sereja ans Anagrams,GNU C++,Accepted,311 ms,16300 KB,2016-04-19 20:07:00
28879905,Jul/25/2017 18:09,vjudge2,367B - Sereja ans Anagrams,GNU C++,Accepted,234 ms,16200 KB,2017-07-25 18:09:00
5285917,Nov/28/2013 15:20,tsebayoth,368D - Sereja ans Anagrams,GNU C++,Accepted,218 ms,12800 KB,2013-11-28 15:20:00
37271329,Apr/13/2018 09:41,farukkastamonuda,367B - Sereja ans Anagrams,GNU C++14,Accepted,296 ms,17100 KB,2018-04-13 09:41:00
14620191,Dec/02/2015 16:43,schloss,368D - Sereja ans Anagrams,GNU C++,Accepted,62 ms,3100 KB,2015-12-02 16:43:00
8864983,Nov/27/2014 02:59,Alex7,367B - Sereja ans Anagrams,MS C++,Accepted,218 ms,8300 KB,2014-11-27 02:59:00
8864990,Nov/27/2014 03:05,Alex7,367B - Sereja ans Anagrams,MS C++,Accepted,249 ms,8200 KB,2014-11-27 03:05:00
43390457,Sep/25/2018 03:32,sjhuang26,368D - Sereja ans Anagrams,GNU C++17,Accepted,841 ms,12400 KB,2018-09-25 03:32:00
5285914,Nov/28/2013 15:20,tsebayoth,368D - Sereja ans Anagrams,GNU C++,Accepted,234 ms,12800 KB,2013-11-28 15:20:00
61014643,Sep/21/2019 16:04,vvk05,368D - Sereja ans Anagrams,GNU C++14,Accepted,311 ms,30500 KB,2019-09-21 16:04:00
19878897,Aug/15/2016 05:24,141310111,367B - Sereja ans Anagrams,GNU C++11,Accepted,249 ms,15300 KB,2016-08-15 05:24:00
71986340,Feb/27/2020 18:38,thtsshz_bgwrswh,367B - Sereja ans Anagrams,GNU C++17,Accepted,311 ms,13500 KB,2020-02-27 18:38:00
5267453,Nov/27/2013 06:59,choice,367B - Sereja ans Anagrams,GNU C++0x,Accepted,514 ms,7000 KB,2013-11-27 06:59:00
24695837,Feb/15/2017 15:59,Not_A_SingleDogQrz,367B - Sereja ans Anagrams,GNU C++14,Accepted,389 ms,15300 KB,2017-02-15 15:59:00
7894294,Sep/21/2014 14:00,wwt15,367B - Sereja ans Anagrams,GNU C++,Accepted,234 ms,7000 KB,2014-09-21 14:00:00
14038309,Nov/03/2015 10:35,130705009,367B - Sereja ans Anagrams,GNU C++,Accepted,234 ms,6900 KB,2015-11-03 10:35:00
19555935,Aug/01/2016 12:06,szawinis,367B - Sereja ans Anagrams,GNU C++11,Accepted,217 ms,12700 KB,2016-08-01 12:06:00
5402364,Dec/10/2013 13:59,I_love_Malika,368D - Sereja ans Anagrams,Python 2,Accepted,873 ms,23700 KB,2013-12-10 13:59:00
