1707807,May/21/2012 16:39,vi.dawn,190D - Non-Secret Cypher,GNU C++,Accepted,1090 ms,15500 KB,2012-05-21 16:39:00
9421215,Jan/13/2015 07:17,hkglly,190D - Non-Secret Cypher,GNU C++0x,Accepted,1248 ms,19800 KB,2015-01-13 07:17:00
9345386,Jan/02/2015 13:59,nikola12345,190D - Non-Secret Cypher,GNU C++0x,Accepted,778 ms,14300 KB,2015-01-02 13:59:00
20795122,Sep/21/2016 16:03,RETURNCZQ,190D - Non-Secret Cypher,GNU C++11,Accepted,528 ms,13100 KB,2016-09-21 16:03:00
21004286,Sep/30/2016 02:13,ManiSadati,190D - Non-Secret Cypher,GNU C++14,Accepted,2370 ms,19000 KB,2016-09-30 02:13:00
17087306,Apr/01/2016 12:05,freebsdx,190D - Non-Secret Cypher,GNU C++11,Accepted,654 ms,16200 KB,2016-04-01 12:05:00
61923108,Oct/05/2019 16:52,liza.m,190D - Non-Secret Cypher,GNU C++11,Accepted,2120 ms,14200 KB,2019-10-05 16:52:00
1701746,May/18/2012 18:38,superstar,190D - Non-Secret Cypher,GNU C++,Accepted,1130 ms,15500 KB,2012-05-18 18:38:00
46777581,Dec/09/2018 00:49,blacklogic,190D - Non-Secret Cypher,GNU C++14,Accepted,1528 ms,18100 KB,2018-12-09 00:49:00
3269891,Mar/09/2013 17:08,mondayguy,190D - Non-Secret Cypher,GNU C++,Accepted,1109 ms,14200 KB,2013-03-09 17:08:00
37643694,Apr/26/2018 20:13,fake123_loves_me,190D - Non-Secret Cypher,GNU C++14,Accepted,810 ms,17600 KB,2018-04-26 20:13:00
33990011,Jan/07/2018 22:41,Bassel,190D - Non-Secret Cypher,GNU C++14,Accepted,2182 ms,36500 KB,2018-01-07 22:41:00
33990097,Jan/07/2018 22:48,Bassel,190D - Non-Secret Cypher,GNU C++14,Accepted,1964 ms,27200 KB,2018-01-07 22:48:00
33989832,Jan/07/2018 22:28,Bassel,190D - Non-Secret Cypher,GNU C++14,Accepted,2402 ms,249600 KB,2018-01-07 22:28:00
11673718,Jun/19/2015 22:22,ITDOI,190D - Non-Secret Cypher,GNU C++11,Accepted,1184 ms,18900 KB,2015-06-19 22:22:00
15271317,Jan/09/2016 18:17,cugel,190D - Non-Secret Cypher,Python 3,Accepted,2152 ms,29700 KB,2016-01-09 18:17:00
20172052,Aug/26/2016 12:32,MaiNabil,190D - Non-Secret Cypher,GNU C++11,Accepted,2868 ms,25600 KB,2016-08-26 12:32:00
61922559,Oct/05/2019 16:44,timofeevi741,190D - Non-Secret Cypher,GNU C++17,Accepted,778 ms,14300 KB,2019-10-05 16:44:00
28649704,Jul/18/2017 00:59,abdulla.ashraf,190D - Non-Secret Cypher,GNU C++14,Accepted,2338 ms,16200 KB,2017-07-18 00:59:00
49664337,Feb/09/2019 16:46,luogu_bot2,190D - Non-Secret Cypher,GNU C++11,Accepted,2152 ms,15700 KB,2019-02-09 16:46:00
9006480,Dec/07/2014 08:18,yum,190D - Non-Secret Cypher,GNU C++0x,Accepted,872 ms,13600 KB,2014-12-07 08:18:00
9345346,Jan/02/2015 13:53,nikola12345,190D - Non-Secret Cypher,GNU C++0x,Accepted,716 ms,14300 KB,2015-01-02 13:53:00
16549915,Mar/06/2016 12:55,arnabsamanta,190D - Non-Secret Cypher,GNU C++11,Accepted,748 ms,14200 KB,2016-03-06 12:55:00
11705329,Jun/22/2015 09:15,pulkit96,190D - Non-Secret Cypher,GNU C++,Accepted,2340 ms,15700 KB,2015-06-22 09:15:00
49770491,Feb/11/2019 16:28,truesetu,190D - Non-Secret Cypher,GNU C++14,Accepted,1808 ms,17500 KB,2019-02-11 16:28:00
20999937,Sep/29/2016 20:56,TheDude__,190D - Non-Secret Cypher,GNU C++11,Accepted,810 ms,14100 KB,2016-09-29 20:56:00
28337425,Jul/07/2017 01:34,3os96,190D - Non-Secret Cypher,GNU C++11,Accepted,840 ms,16200 KB,2017-07-07 01:34:00
6981403,Jun/29/2014 20:42,dat09cvp,190D - Non-Secret Cypher,GNU C++,Accepted,654 ms,14400 KB,2014-06-29 20:42:00
28333753,Jul/06/2017 20:54,3os96,190D - Non-Secret Cypher,GNU C++11,Accepted,2900 ms,21700 KB,2017-07-06 20:54:00
34719265,Jan/30/2018 22:13,kataki,190D - Non-Secret Cypher,GNU C++14,Accepted,748 ms,16500 KB,2018-01-30 22:13:00
1707777,May/21/2012 16:28,vi.dawn,190D - Non-Secret Cypher,GNU C++,Accepted,1010 ms,15500 KB,2012-05-21 16:28:00
1769555,Jun/07/2012 17:08,alexandre,190D - Non-Secret Cypher,GNU C++,Accepted,1140 ms,21000 KB,2012-06-07 17:08:00
10991633,May/04/2015 02:36,tahsynx,190D - Non-Secret Cypher,GNU C++,Accepted,654 ms,14200 KB,2015-05-04 02:36:00
67001119,Dec/16/2019 08:46,Koosha_Mv,190D - Non-Secret Cypher,GNU C++11,Accepted,2340 ms,15700 KB,2019-12-16 08:46:00
1851667,Jul/03/2012 17:48,yiyezhiqiu,190D - Non-Secret Cypher,GNU C++,Accepted,1030 ms,15900 KB,2012-07-03 17:48:00
1706545,May/20/2012 20:33,july,190D - Non-Secret Cypher,Ruby,Accepted,1720 ms,41100 KB,2012-05-20 20:33:00
61921400,Oct/05/2019 16:27,FanomYT,190D - Non-Secret Cypher,GNU C++17,Accepted,2058 ms,19000 KB,2019-10-05 16:27:00
61922552,Oct/05/2019 16:44,vika007,190D - Non-Secret Cypher,MS C++ 2017,Accepted,1340 ms,14100 KB,2019-10-05 16:44:00
61922681,Oct/05/2019 16:46,kovakova,190D - Non-Secret Cypher,MS C++ 2017,Accepted,1340 ms,14100 KB,2019-10-05 16:46:00
61921381,Oct/05/2019 16:27,Andromed,190D - Non-Secret Cypher,GNU C++14,Accepted,1964 ms,19000 KB,2019-10-05 16:27:00
6002975,Mar/12/2014 16:37,synapse,190D - Non-Secret Cypher,GNU C++,Accepted,560 ms,14300 KB,2014-03-12 16:37:00
58870864,Aug/15/2019 18:22,JustForRating007,190D - Non-Secret Cypher,GNU C++14,Accepted,1964 ms,17400 KB,2019-08-15 18:22:00
