15213625,Jan/06/2016 22:12,Deemo#,242D - Dispute,GNU C++11,Accepted,466 ms,7000 KB,2016-01-06 22:12:00
41325228,Aug/08/2018 07:48,vjudge3,242D - Dispute,GNU C++,Accepted,998 ms,4400 KB,2018-08-08 07:48:00
33650288,Dec/26/2017 18:06,mellicard,242D - Dispute,GNU C++,Accepted,966 ms,6400 KB,2017-12-26 18:06:00
19057802,Jul/12/2016 23:14,AkuAku,242D - Dispute,GNU C++11,Accepted,1092 ms,5700 KB,2016-07-12 23:14:00
46684635,Dec/06/2018 16:29,MoeenTM,242D - Dispute,GNU C++17,Accepted,624 ms,4500 KB,2018-12-06 16:29:00
79272639,May/07/2020 16:14,vjudge4,242D - Dispute,MS C++ 2017,Accepted,248 ms,12700 KB,2020-05-07 16:14:00
2546239,Nov/12/2012 23:24,Rosetta,242D - Dispute,FPC,Accepted,93 ms,5000 KB,2012-11-12 23:24:00
25017393,Feb/25/2017 19:12,vjudge2,242D - Dispute,GNU C++,Accepted,404 ms,6500 KB,2017-02-25 19:12:00
2538413,Nov/11/2012 20:43,* navi,242D - Dispute,Perl,Accepted,1437 ms,43400 KB,2012-11-11 20:43:00
3170867,Feb/22/2013 10:59,Robert#,242D - Dispute,GNU C++,Accepted,125 ms,4100 KB,2013-02-22 10:59:00
14715396,Dec/09/2015 18:30,bill_kondo,242D - Dispute,GNU C++11,Accepted,156 ms,4400 KB,2015-12-09 18:30:00
26511142,Apr/20/2017 11:39,srinu37,242D - Dispute,GNU C++14,Accepted,218 ms,6000 KB,2017-04-20 11:39:00
2555706,Nov/14/2012 11:48,Apple_Cplus,242D - Dispute,GNU C++,Accepted,156 ms,4200 KB,2012-11-14 11:48:00
2731211,Dec/08/2012 21:58,dr.ikros,242D - Dispute,Python 2,Accepted,968 ms,14800 KB,2012-12-08 21:58:00
46684922,Dec/06/2018 16:36,MatinZare,242D - Dispute,GNU C++17,Accepted,654 ms,4500 KB,2018-12-06 16:36:00
2541631,Nov/12/2012 02:59,xlk,242D - Dispute,GNU C++0x,Accepted,218 ms,4800 KB,2012-11-12 02:59:00
12695205,Aug/25/2015 14:59,Kuzey,242D - Dispute,GNU C++,Accepted,156 ms,4600 KB,2015-08-25 14:59:00
12823818,Sep/03/2015 08:28,Kuzey#,242D - Dispute,GNU C++,Accepted,966 ms,4200 KB,2015-09-03 08:28:00
41330883,Aug/08/2018 11:39,Kianaz.A,242D - Dispute,GNU C++14,Accepted,716 ms,4500 KB,2018-08-08 11:39:00
17528032,Apr/26/2016 23:34,Amir_Ghouil,242D - Dispute,GNU C++11,Accepted,1028 ms,6400 KB,2016-04-26 23:34:00
10751278,Apr/17/2015 16:16,Bera#,242D - Dispute,GNU C++,Accepted,1122 ms,3900 KB,2015-04-17 16:16:00
24796754,Feb/19/2017 10:28,PhantomFighter,242D - Dispute,GNU C++11,Accepted,436 ms,6500 KB,2017-02-19 10:28:00
45904206,Nov/18/2018 10:26,Marinkovic,242D - Dispute,GNU C++11,Accepted,372 ms,4400 KB,2018-11-18 10:26:00
