30909836,Oct/01/2017 16:19,itachi,863D - Yet Another Array Queries Problem,GNU C++14,Accepted,1170 ms,3900 KB,2017-10-01 16:19:00
33266403,Dec/15/2017 16:54,Shayan.P,863D - Yet Another Array Queries Problem,GNU C++14,Accepted,1200 ms,8100 KB,2017-12-15 16:54:00
33863296,Jan/02/2018 15:11,Jiburiru,863D - Yet Another Array Queries Problem,GNU C++11,Accepted,1450 ms,5900 KB,2018-01-02 15:11:00
40690494,Jul/24/2018 08:37,vjudge5,863D - Yet Another Array Queries Problem,GNU C++,Accepted,529 ms,3100 KB,2018-07-24 08:37:00
52617356,Apr/11/2019 22:11,da929,863D - Yet Another Array Queries Problem,GNU C++14,Accepted,1107 ms,3100 KB,2019-04-11 22:11:00
30605954,Sep/22/2017 08:03,Aikurce,863D - Yet Another Array Queries Problem,GNU C++11,Accepted,249 ms,3100 KB,2017-09-22 08:03:00
36128493,Mar/09/2018 22:35,KobetheGOAT,863D - Yet Another Array Queries Problem,GNU C++11,Accepted,1465 ms,5100 KB,2018-03-09 22:35:00
30610948,Sep/22/2017 12:59,MAMATOLDME,863D - Yet Another Array Queries Problem,GNU C++14,Accepted,280 ms,3200 KB,2017-09-22 12:59:00
38612553,May/25/2018 17:59,Perfectxx#,863D - Yet Another Array Queries Problem,GNU C++14,Accepted,545 ms,3100 KB,2018-05-25 17:59:00
30835289,Sep/29/2017 19:25,AmantedelaComida,863D - Yet Another Array Queries Problem,GNU C++,Accepted,1450 ms,3100 KB,2017-09-29 19:25:00
30640085,Sep/23/2017 14:41,Photon_,863D - Yet Another Array Queries Problem,GNU C++14,Accepted,311 ms,3100 KB,2017-09-23 14:41:00
31127469,Oct/07/2017 23:10,Akulyat,863D - Yet Another Array Queries Problem,FPC,Accepted,296 ms,3100 KB,2017-10-07 23:10:00
48872606,Jan/24/2019 09:44,vjudge3,863D - Yet Another Array Queries Problem,GNU C++17,Accepted,327 ms,3400 KB,2019-01-24 09:44:00
30663421,Sep/24/2017 13:57,eight_bitguy,863D - Yet Another Array Queries Problem,GNU C++14,Accepted,1170 ms,3100 KB,2017-09-24 13:57:00
60930532,Sep/20/2019 16:36,luogu_bot5,863D - Yet Another Array Queries Problem,GNU C++11,Accepted,202 ms,15700 KB,2019-09-20 16:36:00
60955619,Sep/21/2019 05:24,qinding,863D - Yet Another Array Queries Problem,GNU C++17,Accepted,249 ms,15700 KB,2019-09-21 05:24:00
31284906,Oct/14/2017 00:11,maiquynhtruong,863D - Yet Another Array Queries Problem,GNU C++14,Accepted,1169 ms,3100 KB,2017-10-14 00:11:00
33089185,Dec/11/2017 07:53,boatinw99,863D - Yet Another Array Queries Problem,GNU C++11,Accepted,218 ms,6700 KB,2017-12-11 07:53:00
30606471,Sep/22/2017 08:40,xuqijie,863D - Yet Another Array Queries Problem,GNU C++,Accepted,249 ms,2900 KB,2017-09-22 08:40:00
33389041,Dec/18/2017 21:12,First4196,863D - Yet Another Array Queries Problem,GNU C++14,Accepted,295 ms,5000 KB,2017-12-18 21:12:00
30738481,Sep/26/2017 05:25,aadishj02,863D - Yet Another Array Queries Problem,GNU C++14,Accepted,1154 ms,3100 KB,2017-09-26 05:25:00
30603409,Sep/22/2017 03:54,cephian,863D - Yet Another Array Queries Problem,GNU C++11,Accepted,249 ms,3100 KB,2017-09-22 03:54:00
39863756,Jul/02/2018 12:40,wlxsq,863D - Yet Another Array Queries Problem,GNU C++11,Accepted,1465 ms,4200 KB,2018-07-02 12:40:00
30627219,Sep/23/2017 02:54,RNS,863D - Yet Another Array Queries Problem,GNU C++11,Accepted,233 ms,3100 KB,2017-09-23 02:54:00
30647662,Sep/23/2017 19:00,kjain1810,863D - Yet Another Array Queries Problem,GNU C++14,Accepted,265 ms,3900 KB,2017-09-23 19:00:00
30587213,Sep/21/2017 18:46,Lesphere,863D - Yet Another Array Queries Problem,GNU C++11,Accepted,218 ms,3700 KB,2017-09-21 18:46:00
70538411,Feb/08/2020 07:46,luogu_bot4,863D - Yet Another Array Queries Problem,GNU C++11,Accepted,202 ms,3100 KB,2020-02-08 07:46:00
30598695,Sep/21/2017 22:58,meetsid20,863D - Yet Another Array Queries Problem,GNU C++11,Accepted,608 ms,6300 KB,2017-09-21 22:58:00
30975703,Oct/03/2017 21:31,pranaykumar1,863D - Yet Another Array Queries Problem,GNU C++14,Accepted,1247 ms,9800 KB,2017-10-03 21:31:00
