6714386,May/26/2014 13:06,yugle7,359D - Pair of Numbers,Python 3,Accepted,624 ms,27800 KB,2014-05-26 13:06:00
4995688,Nov/05/2013 23:01,diego_v1,359D - Pair of Numbers,GNU C++0x,Accepted,171 ms,13500 KB,2013-11-05 23:01:00
12667597,Aug/23/2015 06:22,vjudge4,359D - Pair of Numbers,GNU C++,Accepted,109 ms,2200 KB,2015-08-23 06:22:00
19414004,Jul/26/2016 06:35,phycode,359D - Pair of Numbers,GNU C++11,Accepted,124 ms,2400 KB,2016-07-26 06:35:00
32715498,Nov/27/2017 16:05,sozib_hossain,359D - Pair of Numbers,GNU C++14,Accepted,140 ms,4200 KB,2017-11-27 16:05:00
25006328,Feb/25/2017 11:02,vjudge4,359D - Pair of Numbers,GNU C++,Accepted,139 ms,4200 KB,2017-02-25 11:02:00
56847026,Jul/11/2019 17:01,Jabaiy_Mysyq,359D - Pair of Numbers,GNU C++11,Accepted,109 ms,2400 KB,2019-07-11 17:01:00
4970748,Nov/02/2013 17:43,stas_sl,359D - Pair of Numbers,Ruby,Accepted,1341 ms,37400 KB,2013-11-02 17:43:00
5131953,Nov/17/2013 19:43,alc,359D - Pair of Numbers,FPC,Accepted,78 ms,7800 KB,2013-11-17 19:43:00
23516494,Jan/03/2017 15:44,xehoth,359D - Pair of Numbers,GNU C++14,Accepted,124 ms,4200 KB,2017-01-03 15:44:00
25495370,Mar/15/2017 13:40,Aikurce,359D - Pair of Numbers,GNU C++11,Accepted,140 ms,4400 KB,2017-03-15 13:40:00
35169155,Feb/12/2018 08:26,comalmot,359D - Pair of Numbers,GNU C++14,Accepted,124 ms,5300 KB,2018-02-12 08:26:00
30788110,Sep/27/2017 22:49,Khushboo05,359D - Pair of Numbers,GNU C++14,Accepted,514 ms,4700 KB,2017-09-27 22:49:00
18339119,Jun/09/2016 12:55,Gray_58,359D - Pair of Numbers,FPC,Accepted,467 ms,4500 KB,2016-06-09 12:55:00
19897643,Aug/16/2016 03:59,Xiejiadong,359D - Pair of Numbers,GNU C++,Accepted,124 ms,5200 KB,2016-08-16 03:59:00
4977906,Nov/03/2013 13:41,llkpersonal,359D - Pair of Numbers,GNU C++,Accepted,109 ms,2300 KB,2013-11-03 13:41:00
5020965,Nov/07/2013 12:02,sxyznoip,359D - Pair of Numbers,FPC,Accepted,109 ms,6300 KB,2013-11-07 12:02:00
45242014,Nov/03/2018 15:02,AristocratMarser,359D - Pair of Numbers,GNU C++11,Accepted,109 ms,2400 KB,2018-11-03 15:02:00
