16948231,Mar/26/2016 11:07,levapnilirbuz,649D - Дефрагментация памяти,MS C++,Accepted,467 ms,24300 KB,2016-03-26 11:07:00
16947777,Mar/26/2016 10:57,keymaster,649D - Дефрагментация памяти,MS C++,Accepted,140 ms,6400 KB,2016-03-26 10:57:00
16949219,Mar/26/2016 11:30,Fursin,649D - Дефрагментация памяти,MS C++,Accepted,140 ms,2800 KB,2016-03-26 11:30:00
16949541,Mar/26/2016 11:38,belkka,649D - Дефрагментация памяти,GNU C++,Accepted,46 ms,2000 KB,2016-03-26 11:38:00
16947576,Mar/26/2016 10:52,* 1_alex_10,649D - Дефрагментация памяти,GNU C++11,Accepted,374 ms,3600 KB,2016-03-26 10:52:00
16948533,Mar/26/2016 11:14,NewBacsNewNick,649D - Дефрагментация памяти,MS C++,Accepted,140 ms,2800 KB,2016-03-26 11:14:00
16949023,Mar/26/2016 11:25,nikolayterek,649D - Дефрагментация памяти,GNU C++11,Accepted,358 ms,3600 KB,2016-03-26 11:25:00
16947270,Mar/26/2016 10:44,Lavrenov_temp,649D - Дефрагментация памяти,GNU C++11,Accepted,155 ms,5600 KB,2016-03-26 10:44:00
16949912,Mar/26/2016 11:48,Vladimir_Yankovskiy,649D - Дефрагментация памяти,GNU C++,Accepted,46 ms,2600 KB,2016-03-26 11:48:00
16949869,Mar/26/2016 11:46,Bedragaren,649D - Дефрагментация памяти,GNU C++11,Accepted,358 ms,2000 KB,2016-03-26 11:46:00
16947005,Mar/26/2016 10:38,* maxxaon,649D - Дефрагментация памяти,GNU C++11,Accepted,358 ms,9900 KB,2016-03-26 10:38:00
16947707,Mar/26/2016 10:55,Artemiy_fly,649D - Дефрагментация памяти,GNU C++11,Accepted,358 ms,2000 KB,2016-03-26 10:55:00
16947555,Mar/26/2016 10:51,DmitryBelikov,649D - Дефрагментация памяти,GNU C++11,Accepted,358 ms,5900 KB,2016-03-26 10:51:00
16948922,Mar/26/2016 11:23,* sHack,649D - Дефрагментация памяти,GNU C++11,Accepted,46 ms,2800 KB,2016-03-26 11:23:00
16950008,Mar/26/2016 11:50,landash98,649D - Дефрагментация памяти,GNU C++11,Accepted,420 ms,5600 KB,2016-03-26 11:50:00
16946253,Mar/26/2016 10:21,* SmallBoy,649D - Дефрагментация памяти,GNU C++11,Accepted,171 ms,8200 KB,2016-03-26 10:21:00
16949880,Mar/26/2016 11:47,Atomik,649D - Дефрагментация памяти,GNU C++11,Accepted,374 ms,5100 KB,2016-03-26 11:47:00
16948163,Mar/26/2016 11:05,nbashaev,649D - Дефрагментация памяти,GNU C++11,Accepted,343 ms,2800 KB,2016-03-26 11:05:00
16947730,Mar/26/2016 10:55,yudgin070707,649D - Дефрагментация памяти,GNU C++11,Accepted,358 ms,2800 KB,2016-03-26 10:55:00
16947820,Mar/26/2016 10:58,* videogamez,649D - Дефрагментация памяти,GNU C++11,Accepted,140 ms,7900 KB,2016-03-26 10:58:00
