27050049,May/12/2017 11:36,fxxl,799D - Field expansion,GNU C++11,Accepted,31 ms,800 KB,2017-05-12 11:36:00
27029831,May/11/2017 19:50,pedrosorio,799D - Field expansion,Python 2,Accepted,312 ms,1900 KB,2017-05-11 19:50:00
27038742,May/11/2017 21:41,Nordrassil,799D - Field expansion,GNU C++14,Accepted,31 ms,800 KB,2017-05-11 21:41:00
27043515,May/12/2017 02:22,after,799D - Field expansion,GNU C++14,Accepted,31 ms,800 KB,2017-05-12 02:22:00
34518017,Jan/24/2018 16:22,Testat,799D - Field expansion,GNU C++14,Accepted,31 ms,2400 KB,2018-01-24 16:22:00
27161249,May/16/2017 17:00,rawr,799D - Field expansion,GNU C++14,Accepted,109 ms,28200 KB,2017-05-16 17:00:00
27046594,May/12/2017 07:30,t3a,799D - Field expansion,GNU C++14,Accepted,78 ms,600 KB,2017-05-12 07:30:00
28183352,Jul/01/2017 06:35,yyqchemic,799D - Field expansion,GNU C++,Accepted,30 ms,2200 KB,2017-07-01 06:35:00
27104997,May/14/2017 13:49,JIYEON2__,799D - Field expansion,GNU C++11,Accepted,124 ms,39100 KB,2017-05-14 13:49:00
27336436,May/25/2017 15:31,ZYF1024,799D - Field expansion,GNU C++11,Accepted,30 ms,80200 KB,2017-05-25 15:31:00
27055926,May/12/2017 17:04,tienthang222,799D - Field expansion,GNU C++14,Accepted,31 ms,400 KB,2017-05-12 17:04:00
27682168,Jun/09/2017 07:19,1102301,799D - Field expansion,GNU C++14,Accepted,31 ms,400 KB,2017-06-09 07:19:00
69404936,Jan/23/2020 13:29,kenchan2018,799D - Field expansion,GNU C++14,Accepted,46 ms,600 KB,2020-01-23 13:29:00
28000606,Jun/24/2017 11:22,IcyGirl,799D - Field expansion,GNU C++11,Accepted,46 ms,3100 KB,2017-06-24 11:22:00
27043425,May/12/2017 02:11,Bassel,799D - Field expansion,GNU C++14,Accepted,31 ms,19000 KB,2017-05-12 02:11:00
27888629,Jun/18/2017 20:12,giorgikob,799D - Field expansion,GNU C++,Accepted,171 ms,55600 KB,2017-06-18 20:12:00
27045764,May/12/2017 06:16,MashiroSky,799D - Field expansion,GNU C++,Accepted,31 ms,400 KB,2017-05-12 06:16:00
27206086,May/19/2017 04:13,Manchery#,799D - Field expansion,GNU C++11,Accepted,405 ms,600 KB,2017-05-19 04:13:00
27699250,Jun/10/2017 06:12,warae,799D - Field expansion,GNU C++11,Accepted,31 ms,200 KB,2017-06-10 06:12:00
27043318,May/12/2017 01:57,jerjerinmylefthand,799D - Field expansion,GNU C++11,Accepted,31 ms,1200 KB,2017-05-12 01:57:00
27121048,May/15/2017 15:16,fangcun,799D - Field expansion,GNU C++14,Accepted,46 ms,800 KB,2017-05-15 15:16:00
27110434,May/14/2017 20:16,rawatds,799D - Field expansion,GNU C++14,Accepted,31 ms,600 KB,2017-05-14 20:16:00
27117464,May/15/2017 11:01,179000,799D - Field expansion,GNU C++11,Accepted,124 ms,400 KB,2017-05-15 11:01:00
27044135,May/12/2017 03:42,RNS_JKS,799D - Field expansion,GNU C++11,Accepted,31 ms,17600 KB,2017-05-12 03:42:00
29627558,Aug/20/2017 21:06,igneel,799D - Field expansion,GNU C++11,Accepted,46 ms,17600 KB,2017-08-20 21:06:00
27042979,May/12/2017 01:16,Ahmed-,799D - Field expansion,GNU C++11,Accepted,15 ms,400 KB,2017-05-12 01:16:00
59973216,Sep/04/2019 06:43,Stupid_cdd#,799D - Field expansion,GNU C++11,Accepted,46 ms,3900 KB,2019-09-04 06:43:00
27257521,May/21/2017 06:25,sguar,799D - Field expansion,GNU C++11,Accepted,124 ms,800 KB,2017-05-21 06:25:00
27715164,Jun/11/2017 08:08,Saveng,799D - Field expansion,GNU C++,Accepted,30 ms,400 KB,2017-06-11 08:08:00
27068387,May/13/2017 07:49,mig,799D - Field expansion,GNU C++11,Accepted,62 ms,800 KB,2017-05-13 07:49:00
41606316,Aug/15/2018 05:46,vjudge2,799D - Field expansion,GNU C++,Accepted,46 ms,800 KB,2018-08-15 05:46:00
27052847,May/12/2017 14:31,Hasan,799D - Field expansion,GNU C++11,Accepted,140 ms,79900 KB,2017-05-12 14:31:00
28390290,Jul/09/2017 18:46,Juno,799D - Field expansion,GNU C++11,Accepted,46 ms,3200 KB,2017-07-09 18:46:00
45411393,Nov/07/2018 15:13,OMRailgun,799D - Field expansion,GNU C++17,Accepted,46 ms,800 KB,2018-11-07 15:13:00
27042500,May/12/2017 00:29,Fischer,799D - Field expansion,GNU C++14,Accepted,31 ms,21600 KB,2017-05-12 00:29:00
27043710,May/12/2017 02:49,RALZH,799D - Field expansion,GNU C++11,Accepted,31 ms,2800 KB,2017-05-12 02:49:00
27361305,May/26/2017 20:48,Hoang_Cong,799D - Field expansion,GNU C++14,Accepted,31 ms,79100 KB,2017-05-26 20:48:00
41591741,Aug/14/2018 17:25,vjudge4,799D - Field expansion,GNU C++,Accepted,46 ms,200 KB,2018-08-14 17:25:00
27040950,May/11/2017 22:50,Luqman,799D - Field expansion,GNU C++14,Accepted,62 ms,18000 KB,2017-05-11 22:50:00
27191870,May/18/2017 10:19,JustLikeThat,799D - Field expansion,GNU C++11,Accepted,78 ms,1600 KB,2017-05-18 10:19:00
28259646,Jul/03/2017 18:35,cr0n,799D - Field expansion,GNU C++14,Accepted,93 ms,2800 KB,2017-07-03 18:35:00
27692778,Jun/09/2017 19:17,WangLi,799D - Field expansion,GNU C++,Accepted,46 ms,29800 KB,2017-06-09 19:17:00
27257801,May/21/2017 06:48,vjudge5,799D - Field expansion,GNU C++,Accepted,31 ms,35200 KB,2017-05-21 06:48:00
28944453,Jul/28/2017 09:28,bennieHan,799D - Field expansion,GNU C++11,Accepted,15 ms,2400 KB,2017-07-28 09:28:00
27043081,May/12/2017 01:29,micangela,799D - Field expansion,GNU C++11,Accepted,109 ms,400 KB,2017-05-12 01:29:00
27033567,May/11/2017 20:19,RoundDog,799D - Field expansion,GNU C++11,Accepted,30 ms,4900 KB,2017-05-11 20:19:00
27103804,May/14/2017 12:20,crazyhamada10,799D - Field expansion,GNU C++14,Accepted,46 ms,1300 KB,2017-05-14 12:20:00
27329117,May/25/2017 07:17,dqhungdl,799D - Field expansion,GNU C++,Accepted,171 ms,32100 KB,2017-05-25 07:17:00
27351309,May/26/2017 11:08,AwD,799D - Field expansion,GNU C++14,Accepted,62 ms,94600 KB,2017-05-26 11:08:00
27068305,May/13/2017 07:41,mig,799D - Field expansion,GNU C++11,Accepted,62 ms,800 KB,2017-05-13 07:41:00
29712175,Aug/23/2017 19:01,N.E.R.O,799D - Field expansion,GNU C++14,Accepted,31 ms,16500 KB,2017-08-23 19:01:00
29691256,Aug/22/2017 21:40,ImagineDragons,799D - Field expansion,GNU C++14,Accepted,93 ms,900 KB,2017-08-22 21:40:00
27048295,May/12/2017 09:41,Wubaizhe,799D - Field expansion,GNU C++14,Accepted,30 ms,800 KB,2017-05-12 09:41:00
27029397,May/11/2017 19:48,ditoly,799D - Field expansion,GNU C++11,Accepted,327 ms,600 KB,2017-05-11 19:48:00
