32087722,Nov/06/2017 08:23,gi_sha,884D - Boxes And Balls,GNU C++14,Accepted,421 ms,3100 KB,2017-11-06 08:23:00
32087728,Nov/06/2017 08:23,gi_sha,884D - Boxes And Balls,GNU C++,Accepted,499 ms,3100 KB,2017-11-06 08:23:00
56177833,Jun/27/2019 23:21,Ahmad_Mohammad_Kouja,884D - Boxes And Balls,GNU C++14,Accepted,452 ms,6400 KB,2019-06-27 23:21:00
32436440,Nov/18/2017 20:01,First4196,884D - Boxes And Balls,GNU C++14,Accepted,436 ms,4900 KB,2017-11-18 20:01:00
31821327,Oct/28/2017 02:58,201612201402013,884D - Boxes And Balls,GNU C++,Accepted,109 ms,3100 KB,2017-10-28 02:58:00
31940811,Nov/01/2017 10:14,aadishj02,884D - Boxes And Balls,GNU C++14,Accepted,421 ms,3100 KB,2017-11-01 10:14:00
38008830,May/08/2018 03:40,vjudge2,884D - Boxes And Balls,GNU C++11,Accepted,546 ms,6500 KB,2018-05-08 03:40:00
33044747,Dec/09/2017 12:35,sedrick,884D - Boxes And Balls,GNU C++14,Accepted,467 ms,4900 KB,2017-12-09 12:35:00
35739722,Feb/26/2018 20:11,maratonando,884D - Boxes And Balls,GNU C++11,Accepted,514 ms,5200 KB,2018-02-26 20:11:00
31956723,Nov/01/2017 19:16,physicttm,884D - Boxes And Balls,GNU C++,Accepted,514 ms,3100 KB,2017-11-01 19:16:00
31983117,Nov/02/2017 17:23,jebwizoscar#,884D - Boxes And Balls,GNU C++14,Accepted,124 ms,3100 KB,2017-11-02 17:23:00
32195515,Nov/10/2017 15:52,Aliir,884D - Boxes And Balls,GNU C++11,Accepted,530 ms,4600 KB,2017-11-10 15:52:00
66136425,Dec/01/2019 15:25,vjudge2,884D - Boxes And Balls,GNU C++17,Accepted,421 ms,3100 KB,2019-12-01 15:25:00
32214138,Nov/11/2017 11:17,iIlIi,884D - Boxes And Balls,GNU C++,Accepted,514 ms,3100 KB,2017-11-11 11:17:00
65533397,Nov/22/2019 16:17,justfocusplease,884D - Boxes And Balls,GNU C++17,Accepted,140 ms,3100 KB,2019-11-22 16:17:00
31915136,Oct/31/2017 12:02,Meowl,884D - Boxes And Balls,GNU C++11,Accepted,514 ms,3200 KB,2017-10-31 12:02:00
31877670,Oct/30/2017 00:38,NiakTheWizard,884D - Boxes And Balls,Python 3,Accepted,420 ms,16100 KB,2017-10-30 00:38:00
65858485,Nov/27/2019 18:11,vjudge2,884D - Boxes And Balls,GNU C++14,Accepted,405 ms,3100 KB,2019-11-27 18:11:00
32148486,Nov/09/2017 02:54,hienle,884D - Boxes And Balls,Python 3,Accepted,514 ms,15600 KB,2017-11-09 02:54:00
40622224,Jul/22/2018 05:44,shifanyiakioi,884D - Boxes And Balls,GNU C++14,Accepted,451 ms,3100 KB,2018-07-22 05:44:00
31971524,Nov/02/2017 11:00,EAJOYS,884D - Boxes And Balls,GNU C++11,Accepted,93 ms,3100 KB,2017-11-02 11:00:00
36254304,Mar/13/2018 18:41,Dreamchaser101,884D - Boxes And Balls,GNU C++14,Accepted,124 ms,4900 KB,2018-03-13 18:41:00
59118357,Aug/20/2019 06:12,spectaclehong,884D - Boxes And Balls,GNU C++17,Accepted,109 ms,3100 KB,2019-08-20 06:12:00
32155725,Nov/09/2017 14:02,aaaaajack,884D - Boxes And Balls,GNU C++11,Accepted,109 ms,3100 KB,2017-11-09 14:02:00
31879403,Oct/30/2017 04:10,TaeHooooon,884D - Boxes And Balls,GNU C++14,Accepted,451 ms,4900 KB,2017-10-30 04:10:00
31882909,Oct/30/2017 09:46,e_coder,884D - Boxes And Balls,GNU C++14,Accepted,124 ms,3200 KB,2017-10-30 09:46:00
45390432,Nov/06/2018 23:49,mohammedehab2002,884D - Boxes And Balls,GNU C++14,Accepted,171 ms,6400 KB,2018-11-06 23:49:00
70180732,Feb/03/2020 23:03,zoooma13,884D - Boxes And Balls,GNU C++14,Accepted,109 ms,3400 KB,2020-02-03 23:03:00
31868247,Oct/29/2017 16:39,halid,884D - Boxes And Balls,GNU C++,Accepted,108 ms,2900 KB,2017-10-29 16:39:00
35129819,Feb/10/2018 18:36,abhigyank,884D - Boxes And Balls,PyPy 2,Accepted,1138 ms,35100 KB,2018-02-10 18:36:00
31810325,Oct/27/2017 18:55,JustN,884D - Boxes And Balls,Python 3,Accepted,499 ms,16100 KB,2017-10-27 18:55:00
66042828,Nov/30/2019 17:09,vjudge1,884D - Boxes And Balls,GNU C++14,Accepted,124 ms,3100 KB,2019-11-30 17:09:00
31914849,Oct/31/2017 11:51,rawatds,884D - Boxes And Balls,GNU C++14,Accepted,451 ms,3200 KB,2017-10-31 11:51:00
31943892,Nov/01/2017 12:09,indweller,884D - Boxes And Balls,GNU C++,Accepted,514 ms,3200 KB,2017-11-01 12:09:00
64204328,Nov/04/2019 15:25,luogu_bot1,884D - Boxes And Balls,GNU C++11,Accepted,468 ms,3100 KB,2019-11-04 15:25:00
64204418,Nov/04/2019 15:26,CHENRUIJIE,884D - Boxes And Balls,GNU C++17,Accepted,420 ms,3100 KB,2019-11-04 15:26:00
31885438,Oct/30/2017 11:47,SeventeenYears,884D - Boxes And Balls,GNU C++,Accepted,93 ms,7000 KB,2017-10-30 11:47:00
31894715,Oct/30/2017 16:24,binaryLifter,884D - Boxes And Balls,GNU C++11,Accepted,171 ms,6300 KB,2017-10-30 16:24:00
33911272,Jan/04/2018 23:29,pzdba,884D - Boxes And Balls,GNU C++14,Accepted,109 ms,5700 KB,2018-01-04 23:29:00
40390644,Jul/16/2018 03:10,CrashMaster,884D - Boxes And Balls,MS C++,Accepted,249 ms,3200 KB,2018-07-16 03:10:00
32364943,Nov/16/2017 23:35,Ololoshechkin,884D - Boxes And Balls,GNU C++14,Accepted,109 ms,3100 KB,2017-11-16 23:35:00
31824225,Oct/28/2017 07:20,ZhouTi,884D - Boxes And Balls,GNU C++14,Accepted,452 ms,3100 KB,2017-10-28 07:20:00
33272973,Dec/15/2017 20:49,PaoloB,884D - Boxes And Balls,GNU C++11,Accepted,93 ms,5100 KB,2017-12-15 20:49:00
31979961,Nov/02/2017 15:36,zhan8855,884D - Boxes And Balls,GNU C++,Accepted,202 ms,6300 KB,2017-11-02 15:36:00
31843413,Oct/28/2017 18:45,Allanur#,884D - Boxes And Balls,GNU C++11,Accepted,93 ms,3000 KB,2017-10-28 18:45:00
40018830,Jul/06/2018 08:13,I_LOVE_METSUKA,884D - Boxes And Balls,GNU C++17,Accepted,218 ms,6400 KB,2018-07-06 08:13:00
31828370,Oct/28/2017 11:01,Raoof,884D - Boxes And Balls,GNU C++11,Accepted,171 ms,3600 KB,2017-10-28 11:01:00
32000236,Nov/03/2017 10:42,changzi,884D - Boxes And Balls,GNU C++14,Accepted,436 ms,3100 KB,2017-11-03 10:42:00
32042130,Nov/04/2017 07:26,LegitinateAlex,884D - Boxes And Balls,Python 3,Accepted,452 ms,16100 KB,2017-11-04 07:26:00
72388145,Mar/04/2020 08:01,vjudge5,884D - Boxes And Balls,GNU C++14,Accepted,202 ms,6700 KB,2020-03-04 08:01:00
52067926,Mar/31/2019 09:27,xielinhan,884D - Boxes And Balls,GNU C++11,Accepted,93 ms,7000 KB,2019-03-31 09:27:00
31895940,Oct/30/2017 17:04,calabash_boy,884D - Boxes And Balls,GNU C++11,Accepted,93 ms,3100 KB,2017-10-30 17:04:00
75544257,Apr/05/2020 10:33,lynko#,884D - Boxes And Balls,GNU C++11,Accepted,93 ms,3100 KB,2020-04-05 10:33:00
31927599,Oct/31/2017 19:37,noobforever,884D - Boxes And Balls,GNU C++14,Accepted,187 ms,6400 KB,2017-10-31 19:37:00
32092658,Nov/06/2017 14:36,Thanat0s,884D - Boxes And Balls,GNU C++11,Accepted,109 ms,3100 KB,2017-11-06 14:36:00
32915890,Dec/04/2017 11:31,vjudge2,884D - Boxes And Balls,GNU C++,Accepted,546 ms,5100 KB,2017-12-04 11:31:00
32918134,Dec/04/2017 13:42,vjudge5,884D - Boxes And Balls,GNU C++,Accepted,514 ms,5200 KB,2017-12-04 13:42:00
71102716,Feb/15/2020 10:11,8frames,884D - Boxes And Balls,GNU C++14,Accepted,109 ms,3100 KB,2020-02-15 10:11:00
31921278,Oct/31/2017 15:41,PrashantM,884D - Boxes And Balls,GNU C++14,Accepted,202 ms,6500 KB,2017-10-31 15:41:00
31814511,Oct/27/2017 20:40,MarcosK,884D - Boxes And Balls,GNU C++14,Accepted,421 ms,3900 KB,2017-10-27 20:40:00
32005888,Nov/03/2017 14:38,TLuan,884D - Boxes And Balls,GNU C++14,Accepted,436 ms,3100 KB,2017-11-03 14:38:00
