57803836,Jul/26/2019 17:21,TShT#,633D - Fibonacci-ish,GNU C++11,Accepted,1045 ms,15800 KB,2019-07-26 17:21:00
37281932,Apr/13/2018 14:30,Doto,633D - Fibonacci-ish,GNU C++,Accepted,998 ms,19200 KB,2018-04-13 14:30:00
16385087,Feb/27/2016 17:41,Djok216,633D - Fibonacci-ish,GNU C++11,Accepted,920 ms,14000 KB,2016-02-27 17:41:00
16398239,Feb/28/2016 10:25,fA1sEr,633D - Fibonacci-ish,MS C++,Accepted,1840 ms,15800 KB,2016-02-28 10:25:00
16458298,Mar/02/2016 09:19,gyz_gyz#,633D - Fibonacci-ish,GNU C++,Accepted,904 ms,15800 KB,2016-03-02 09:19:00
16478284,Mar/03/2016 10:43,sowhat_2014,633D - Fibonacci-ish,GNU C++11,Accepted,1060 ms,16100 KB,2016-03-03 10:43:00
16597825,Mar/08/2016 11:49,pradyotprakash,633D - Fibonacci-ish,GNU C++,Accepted,873 ms,15800 KB,2016-03-08 11:49:00
18208278,Jun/02/2016 05:13,Josetapia,633D - Fibonacci-ish,GNU C++11,Accepted,1325 ms,49100 KB,2016-06-02 05:13:00
38719279,May/29/2018 16:06,vjudge3,633D - Fibonacci-ish,MS C++,Accepted,1575 ms,15800 KB,2018-05-29 16:06:00
16368893,Feb/26/2016 22:35,avamsi,633D - Fibonacci-ish,PyPy 2,Accepted,1715 ms,32400 KB,2016-02-26 22:35:00
54457188,May/21/2019 19:30,div24ever,633D - Fibonacci-ish,GNU C++14,Accepted,998 ms,300 KB,2019-05-21 19:30:00
59115957,Aug/20/2019 04:39,luogu_bot2,633D - Fibonacci-ish,GNU C++11,Accepted,826 ms,15800 KB,2019-08-20 04:39:00
37299563,Apr/14/2018 02:50,vjudge5,633D - Fibonacci-ish,GNU C++,Accepted,1809 ms,23100 KB,2018-04-14 02:50:00
16378027,Feb/27/2016 12:34,exp,633D - Fibonacci-ish,GNU C++11,Accepted,1638 ms,19700 KB,2016-02-27 12:34:00
27169248,May/17/2017 01:02,cow02,633D - Fibonacci-ish,GNU C++14,Accepted,1559 ms,19800 KB,2017-05-17 01:02:00
31163964,Oct/09/2017 13:02,phan_2002,633D - Fibonacci-ish,GNU C++14,Accepted,1575 ms,19800 KB,2017-10-09 13:02:00
16424422,Feb/29/2016 13:55,FundamentalEq,633D - Fibonacci-ish,GNU C++,Accepted,780 ms,15800 KB,2016-02-29 13:55:00
58487009,Aug/09/2019 11:04,luogu_bot5,633D - Fibonacci-ish,GNU C++11,Accepted,1185 ms,19700 KB,2019-08-09 11:04:00
30659354,Sep/24/2017 10:42,madn,633D - Fibonacci-ish,PyPy 3,Accepted,2480 ms,5900 KB,2017-09-24 10:42:00
28186820,Jul/01/2017 10:56,mohammedehab2002,633D - Fibonacci-ish,GNU C++11,Accepted,811 ms,17800 KB,2017-07-01 10:56:00
16385101,Feb/27/2016 17:42,Djok216,633D - Fibonacci-ish,GNU C++11,Accepted,982 ms,15800 KB,2016-02-27 17:42:00
59118454,Aug/20/2019 06:16,hai_yang,633D - Fibonacci-ish,GNU C++11,Accepted,811 ms,15800 KB,2019-08-20 06:16:00
59199165,Aug/21/2019 06:32,luogu_bot3,633D - Fibonacci-ish,GNU C++11,Accepted,858 ms,15800 KB,2019-08-21 06:32:00
16457909,Mar/02/2016 08:40,smallling#,633D - Fibonacci-ish,GNU C++,Accepted,1029 ms,15800 KB,2016-03-02 08:40:00
20339634,Sep/02/2016 14:38,agarajaev,633D - Fibonacci-ish,GNU C++11,Accepted,1169 ms,18100 KB,2016-09-02 14:38:00
58162595,Aug/02/2019 10:57,bojverdict1,633D - Fibonacci-ish,GNU C++14,Accepted,1950 ms,19800 KB,2019-08-02 10:57:00
63734187,Oct/29/2019 17:51,WZP2018,633D - Fibonacci-ish,GNU C++11,Accepted,920 ms,15800 KB,2019-10-29 17:51:00
16381691,Feb/27/2016 15:09,progiv,633D - Fibonacci-ish,Python 3,Accepted,1185 ms,600 KB,2016-02-27 15:09:00
37306414,Apr/14/2018 05:52,3208009002,633D - Fibonacci-ish,GNU C++,Accepted,810 ms,19200 KB,2018-04-14 05:52:00
16395078,Feb/28/2016 03:37,3z_sky,633D - Fibonacci-ish,GNU C++,Accepted,763 ms,19700 KB,2016-02-28 03:37:00
16374759,Feb/27/2016 10:29,reku,633D - Fibonacci-ish,GNU C++11,Accepted,842 ms,19700 KB,2016-02-27 10:29:00
16440336,Mar/01/2016 15:01,vjudge5,633D - Fibonacci-ish,GNU C++,Accepted,717 ms,15700 KB,2016-03-01 15:01:00
37306394,Apr/14/2018 05:51,vjudge4,633D - Fibonacci-ish,GNU C++,Accepted,1076 ms,58400 KB,2018-04-14 05:51:00
16365884,Feb/26/2016 22:05,If_Only,633D - Fibonacci-ish,GNU C++11,Accepted,748 ms,15800 KB,2016-02-26 22:05:00
44569534,Oct/20/2018 06:59,vjudge2,633D - Fibonacci-ish,GNU C++11,Accepted,561 ms,15700 KB,2018-10-20 06:59:00
16377062,Feb/27/2016 12:00,vikhs_96,633D - Fibonacci-ish,GNU C++,Accepted,780 ms,15800 KB,2016-02-27 12:00:00
16397587,Feb/28/2016 09:23,abhilash007tt_,633D - Fibonacci-ish,GNU C++,Accepted,780 ms,15800 KB,2016-02-28 09:23:00
17394674,Apr/20/2016 07:49,Megumi#,633D - Fibonacci-ish,GNU C++,Accepted,733 ms,17800 KB,2016-04-20 07:49:00
67961851,Dec/30/2019 14:53,2017331037,633D - Fibonacci-ish,GNU C++11,Accepted,810 ms,15800 KB,2019-12-30 14:53:00
37306373,Apr/14/2018 05:49,vjudge5,633D - Fibonacci-ish,GNU C++,Accepted,951 ms,58400 KB,2018-04-14 05:49:00
71221820,Feb/16/2020 15:29,vjudge5,633D - Fibonacci-ish,GNU C++17,Accepted,592 ms,15900 KB,2020-02-16 15:29:00
56509575,Jul/04/2019 12:40,vjudge4,633D - Fibonacci-ish,GNU C++11,Accepted,810 ms,15800 KB,2019-07-04 12:40:00
37299552,Apr/14/2018 02:48,An_Account,633D - Fibonacci-ish,GNU C++,Accepted,1856 ms,23100 KB,2018-04-14 02:48:00
16380476,Feb/27/2016 14:21,eaststar,633D - Fibonacci-ish,GNU C++11,Accepted,1216 ms,54900 KB,2016-02-27 14:21:00
37287611,Apr/13/2018 17:11,vjudge2,633D - Fibonacci-ish,GNU C++,Accepted,779 ms,19200 KB,2018-04-13 17:11:00
37286071,Apr/13/2018 16:25,vjudge1,633D - Fibonacci-ish,GNU C++,Accepted,686 ms,19200 KB,2018-04-13 16:25:00
