1094893,Jan/19/2012 23:12,mage,144D - Missile Silos,GNU C,Accepted,130 ms,8400 KB,2012-01-19 23:12:00
32783153,Nov/29/2017 17:25,furys#,144D - Missile Silos,GNU C++14,Accepted,872 ms,13000 KB,2017-11-29 17:25:00
48666167,Jan/21/2019 11:15,vjudge3,144D - Missile Silos,GNU C++14,Accepted,810 ms,30200 KB,2019-01-21 11:15:00
62117047,Oct/08/2019 16:38,animeFORever,144D - Missile Silos,GNU C++14,Accepted,342 ms,7400 KB,2019-10-08 16:38:00
28271982,Jul/04/2017 09:12,monk_z,144D - Missile Silos,GNU C++,Accepted,1058 ms,11200 KB,2017-07-04 09:12:00
79799727,May/12/2020 08:03,gaganag50,144D - Missile Silos,GNU C++14,Accepted,810 ms,9400 KB,2020-05-12 08:03:00
61178202,Sep/23/2019 21:56,pimpoponut,144D - Missile Silos,GNU C++14,Accepted,842 ms,9100 KB,2019-09-23 21:56:00
13950758,Oct/30/2015 14:13,Panqvela#,144D - Missile Silos,GNU C++11,Accepted,124 ms,5800 KB,2015-10-30 14:13:00
19978329,Aug/20/2016 11:51,phaiac201,144D - Missile Silos,GNU C++,Accepted,154 ms,7800 KB,2016-08-20 11:51:00
1079772,Jan/18/2012 20:16,Sampson,144D - Missile Silos,GNU C++,Accepted,140 ms,7300 KB,2012-01-18 20:16:00
14181758,Nov/10/2015 11:43,130705009,144D - Missile Silos,GNU C++,Accepted,124 ms,5800 KB,2015-11-10 11:43:00
26682392,Apr/26/2017 16:11,vjudge3,144D - Missile Silos,GNU C++,Accepted,716 ms,11000 KB,2017-04-26 16:11:00
1084927,Jan/19/2012 10:43,ZhouYuChen,144D - Missile Silos,GNU C++,Accepted,190 ms,8800 KB,2012-01-19 10:43:00
22323589,Nov/19/2016 13:29,-Sali-,144D - Missile Silos,GNU C++11,Accepted,1278 ms,11300 KB,2016-11-19 13:29:00
7186291,Jul/20/2014 16:36,MURAT_ECEM_EKICI,144D - Missile Silos,GNU C++,Accepted,186 ms,11900 KB,2014-07-20 16:36:00
46582557,Dec/04/2018 14:50,qwscaln,144D - Missile Silos,GNU C++17,Accepted,686 ms,6200 KB,2018-12-04 14:50:00
80209169,May/15/2020 12:22,otaliptus,144D - Missile Silos,GNU C++17,Accepted,218 ms,15500 KB,2020-05-15 12:22:00
68719732,Jan/13/2020 18:47,ElZahaBy,144D - Missile Silos,GNU C++17,Accepted,218 ms,5400 KB,2020-01-13 18:47:00
68719834,Jan/13/2020 18:49,ElZahaBy,144D - Missile Silos,GNU C++17,Accepted,186 ms,5400 KB,2020-01-13 18:49:00
15774891,Feb/03/2016 20:54,kastarika,144D - Missile Silos,GNU C++11,Accepted,1092 ms,6800 KB,2016-02-03 20:54:00
1079718,Jan/18/2012 20:15,* zzy_troy,144D - Missile Silos,GNU C++,Accepted,130 ms,45200 KB,2012-01-18 20:15:00
1079967,Jan/18/2012 20:20,* zzytory,144D - Missile Silos,GNU C++,Accepted,130 ms,45200 KB,2012-01-18 20:20:00
23045066,Dec/17/2016 13:50,vjudge2,144D - Missile Silos,GNU C++11,Accepted,654 ms,9100 KB,2016-12-17 13:50:00
38707623,May/29/2018 05:28,Scut82,144D - Missile Silos,GNU C++,Accepted,186 ms,6300 KB,2018-05-29 05:28:00
44421387,Oct/17/2018 02:06,akashkw,144D - Missile Silos,Python 3,Accepted,1622 ms,25800 KB,2018-10-17 02:06:00
1084256,Jan/19/2012 08:30,GaryWong,144D - Missile Silos,GNU C++,Accepted,140 ms,8900 KB,2012-01-19 08:30:00
