14474076,Nov/25/2015 17:54,mssjtxwd,602D - Lipshitz Sequence,GNU C++11,Accepted,93 ms,2000 KB,2015-11-25 17:54:00
41413961,Aug/10/2018 03:24,Scut82,601B - Lipshitz Sequence,GNU C++,Accepted,62 ms,1200 KB,2018-08-10 03:24:00
14452836,Nov/24/2015 20:50,jinzhao,601B - Lipshitz Sequence,GNU C++,Accepted,78 ms,1000 KB,2015-11-24 20:50:00
18245427,Jun/04/2016 18:02,shas19#,601B - Lipshitz Sequence,GNU C++,Accepted,358 ms,4700 KB,2016-06-04 18:02:00
15621498,Jan/28/2016 04:21,RNS,601B - Lipshitz Sequence,GNU C++,Accepted,78 ms,2200 KB,2016-01-28 04:21:00
52515991,Apr/09/2019 08:24,xielinhan,601B - Lipshitz Sequence,GNU C++11,Accepted,77 ms,7800 KB,2019-04-09 08:24:00
18072622,May/25/2016 17:03,tianx,601B - Lipshitz Sequence,GNU C++11,Accepted,93 ms,4400 KB,2016-05-25 17:03:00
30788625,Sep/27/2017 23:22,Shawkivich,601B - Lipshitz Sequence,GNU C++11,Accepted,93 ms,2200 KB,2017-09-27 23:22:00
14827787,Dec/16/2015 01:01,SakurakoujiRuna,601B - Lipshitz Sequence,GNU C++11,Accepted,140 ms,1200 KB,2015-12-16 01:01:00
73612776,Mar/19/2020 01:56,luogu_bot5,601B - Lipshitz Sequence,GNU C++11,Accepted,62 ms,15700 KB,2020-03-19 01:56:00
32452224,Nov/19/2017 12:15,Xeonacid,602D - Lipshitz Sequence,GNU C++,Accepted,124 ms,3200 KB,2017-11-19 12:15:00
32489136,Nov/20/2017 07:39,vjudge3,602D - Lipshitz Sequence,GNU C++,Accepted,109 ms,1200 KB,2017-11-20 07:39:00
32184224,Nov/10/2017 04:58,newgate,601B - Lipshitz Sequence,GNU C++11,Accepted,93 ms,2200 KB,2017-11-10 04:58:00
14507623,Nov/27/2015 11:03,shjj#,601B - Lipshitz Sequence,GNU C++,Accepted,78 ms,1200 KB,2015-11-27 11:03:00
14872593,Dec/19/2015 12:00,k_sudharsan,602D - Lipshitz Sequence,GNU C++11,Accepted,249 ms,1600 KB,2015-12-19 12:00:00
14457546,Nov/24/2015 22:43,partinG,602D - Lipshitz Sequence,GNU C++,Accepted,93 ms,2400 KB,2015-11-24 22:43:00
14508359,Nov/27/2015 12:16,YxyxyxyxyxyxyX,602D - Lipshitz Sequence,GNU C++11,Accepted,77 ms,2000 KB,2015-11-27 12:16:00
73612808,Mar/19/2020 01:57,vjudge3,602D - Lipshitz Sequence,GNU C++11,Accepted,62 ms,15700 KB,2020-03-19 01:57:00
