24213455,Jan/28/2017 04:51,jasonvictoryan,762D - Maximum path,GNU C++14,Accepted,109 ms,9700 KB,2017-01-28 04:51:00
24863002,Feb/21/2017 09:25,TylerX,762D - Maximum path,GNU C++11,Accepted,109 ms,6900 KB,2017-02-21 09:25:00
24134635,Jan/25/2017 21:21,0xA28,762D - Maximum path,GNU C++11,Accepted,124 ms,12600 KB,2017-01-25 21:21:00
24627069,Feb/13/2017 15:02,sushant101,762D - Maximum path,Python 2,Accepted,842 ms,28000 KB,2017-02-13 15:02:00
32920781,Dec/04/2017 15:39,DeaphetS#,762D - Maximum path,GNU C++,Accepted,186 ms,8300 KB,2017-12-04 15:39:00
68960406,Jan/17/2020 03:04,jgy002#,762D - Maximum path,GNU C++11,Accepted,46 ms,11000 KB,2020-01-17 03:04:00
24291192,Jan/31/2017 16:31,vjudge3,762D - Maximum path,GNU C++,Accepted,78 ms,6100 KB,2017-01-31 16:31:00
26167364,Apr/06/2017 13:57,vjudge1,762D - Maximum path,GNU C++,Accepted,108 ms,6200 KB,2017-04-06 13:57:00
24149817,Jan/26/2017 16:55,ILaP#,762D - Maximum path,GNU C++11,Accepted,919 ms,6700 KB,2017-01-26 16:55:00
24134938,Jan/25/2017 21:33,0xA28,762D - Maximum path,GNU C++11,Accepted,124 ms,6300 KB,2017-01-25 21:33:00
24291124,Jan/31/2017 16:29,HFYZ_nixinyis,762D - Maximum path,GNU C++,Accepted,93 ms,6100 KB,2017-01-31 16:29:00
25814235,Mar/26/2017 11:34,names_yc,762D - Maximum path,GNU C++14,Accepted,124 ms,6200 KB,2017-03-26 11:34:00
26528681,Apr/21/2017 04:28,Jpdog,762D - Maximum path,GNU C++11,Accepted,78 ms,6200 KB,2017-04-21 04:28:00
25366442,Mar/09/2017 21:12,atomannihilation,762D - Maximum path,GNU C++11,Accepted,93 ms,6700 KB,2017-03-09 21:12:00
38471273,May/21/2018 02:02,mohammedehab2002,762D - Maximum path,GNU C++14,Accepted,124 ms,28800 KB,2018-05-21 02:02:00
36780493,Mar/31/2018 20:36,vjudge3,762D - Maximum path,MS C++,Accepted,93 ms,7700 KB,2018-03-31 20:36:00
26320895,Apr/12/2017 18:23,vjudge4,762D - Maximum path,GNU C++,Accepted,780 ms,7500 KB,2017-04-12 18:23:00
24224501,Jan/28/2017 15:13,AssassinX,762D - Maximum path,GNU C++11,Accepted,218 ms,5600 KB,2017-01-28 15:13:00
37556940,Apr/23/2018 21:14,dqhungdl,762D - Maximum path,GNU C++14,Accepted,124 ms,18900 KB,2018-04-23 21:14:00
24158528,Jan/27/2017 00:43,Bug#,762D - Maximum path,GNU C++11,Accepted,936 ms,13800 KB,2017-01-27 00:43:00
45776126,Nov/15/2018 20:10,NiceBaseballCoder,762D - Maximum path,GNU C++14,Accepted,124 ms,8600 KB,2018-11-15 20:10:00
36124949,Mar/09/2018 20:17,Paradosk#,762D - Maximum path,GNU C++14,Accepted,124 ms,9700 KB,2018-03-09 20:17:00
24182801,Jan/27/2017 10:44,Ha_Nabil,762D - Maximum path,GNU C++14,Accepted,826 ms,7400 KB,2017-01-27 10:44:00
40109224,Jul/09/2018 13:35,PredaBoss,762D - Maximum path,GNU C++14,Accepted,670 ms,5000 KB,2018-07-09 13:35:00
26486190,Apr/19/2017 03:59,cen,762D - Maximum path,GNU C++11,Accepted,93 ms,7500 KB,2017-04-19 03:59:00
26320886,Apr/12/2017 18:23,ilankessler,762D - Maximum path,GNU C++,Accepted,826 ms,7500 KB,2017-04-12 18:23:00
24537190,Feb/09/2017 00:40,jimola,762D - Maximum path,GNU C++14,Accepted,124 ms,6600 KB,2017-02-09 00:40:00
25802885,Mar/25/2017 20:22,vjudge3,762D - Maximum path,MS C++,Accepted,93 ms,6300 KB,2017-03-25 20:22:00
24269537,Jan/30/2017 17:33,OMRailgun,762D - Maximum path,GNU C++14,Accepted,124 ms,8100 KB,2017-01-30 17:33:00
48093067,Jan/08/2019 17:58,CQUzbx,762D - Maximum path,GNU C++11,Accepted,78 ms,4300 KB,2019-01-08 17:58:00
40517260,Jul/18/2018 16:55,rareone0602,762D - Maximum path,GNU C++14,Accepted,124 ms,4700 KB,2018-07-18 16:55:00
25776405,Mar/24/2017 17:54,vjudge3,762D - Maximum path,GNU C++,Accepted,780 ms,6700 KB,2017-03-24 17:54:00
24277361,Jan/30/2017 23:46,gurtej_29,762D - Maximum path,GNU C++11,Accepted,748 ms,7500 KB,2017-01-30 23:46:00
24488357,Feb/07/2017 16:06,chitanda,762D - Maximum path,GNU C++11,Accepted,78 ms,5600 KB,2017-02-07 16:06:00
32518542,Nov/21/2017 10:30,BBuf,762D - Maximum path,GNU C++14,Accepted,109 ms,4300 KB,2017-11-21 10:30:00
24217433,Jan/28/2017 11:47,xiafrog1,762D - Maximum path,GNU C++11,Accepted,124 ms,5600 KB,2017-01-28 11:47:00
24152452,Jan/26/2017 19:00,pszk,762D - Maximum path,GNU C++14,Accepted,171 ms,64500 KB,2017-01-26 19:00:00
28406013,Jul/10/2017 14:39,I_always_love_cc,762D - Maximum path,GNU C++11,Accepted,93 ms,6800 KB,2017-07-10 14:39:00
24747807,Feb/18/2017 03:12,LawrenceXavier,762D - Maximum path,GNU C++14,Accepted,109 ms,5400 KB,2017-02-18 03:12:00
37562175,Apr/24/2018 04:41,cheater2k,762D - Maximum path,GNU C++11,Accepted,202 ms,7000 KB,2018-04-24 04:41:00
