73827352,Mar/20/2020 22:20,CaiJiZXY,195D - Analyzing Polyline,GNU C++11,Accepted,248 ms,4000 KB,2020-03-20 22:20:00
1782237,Jun/11/2012 03:58,mgorvat,195D - Analyzing Polyline,GNU C++,Accepted,420 ms,5400 KB,2012-06-11 03:58:00
1824555,Jun/23/2012 21:40,swift90,195D - Analyzing Polyline,Python 2,Accepted,1300 ms,11600 KB,2012-06-23 21:40:00
31233398,Oct/12/2017 09:24,vjudge4,195D - Analyzing Polyline,GNU C++,Accepted,186 ms,3900 KB,2017-10-12 09:24:00
1786048,Jun/11/2012 20:26,SPAND,195D - Analyzing Polyline,GNU C++,Accepted,1440 ms,5400 KB,2012-06-11 20:26:00
1802580,Jun/14/2012 18:01,zhbit_yola,195D - Analyzing Polyline,GNU C++,Accepted,1440 ms,5400 KB,2012-06-14 18:01:00
14141872,Nov/08/2015 16:54,130705009,195D - Analyzing Polyline,GNU C++,Accepted,1028 ms,4000 KB,2015-11-08 16:54:00
1784664,Jun/11/2012 17:44,fremn,195D - Analyzing Polyline,GNU C++,Accepted,1420 ms,5400 KB,2012-06-11 17:44:00
44546158,Oct/19/2018 16:33,vjudge2,195D - Analyzing Polyline,GNU C++11,Accepted,186 ms,3900 KB,2018-10-19 16:33:00
31210518,Oct/11/2017 11:08,yzyyylx,195D - Analyzing Polyline,GNU C++14,Accepted,218 ms,4100 KB,2017-10-11 11:08:00
31230018,Oct/12/2017 04:15,vjudge4,195D - Analyzing Polyline,GNU C++,Accepted,248 ms,3900 KB,2017-10-12 04:15:00
41564012,Aug/13/2018 19:18,kataki,195D - Analyzing Polyline,GNU C++14,Accepted,218 ms,3300 KB,2018-08-13 19:18:00
1967440,Aug/01/2012 12:12,sdibt2,195D - Analyzing Polyline,GNU C++,Accepted,1550 ms,6100 KB,2012-08-01 12:12:00
2415754,Oct/23/2012 09:04,were,195D - Analyzing Polyline,GNU C++,Accepted,171 ms,3900 KB,2012-10-23 09:04:00
44545049,Oct/19/2018 16:08,Brosea,195D - Analyzing Polyline,GNU C++14,Accepted,372 ms,4100 KB,2018-10-19 16:08:00
70006638,Feb/02/2020 08:13,vjudge1,195D - Analyzing Polyline,GNU C++14,Accepted,186 ms,4100 KB,2020-02-02 08:13:00
67694867,Dec/27/2019 15:35,mota_haathi,195D - Analyzing Polyline,GNU C++14,Accepted,434 ms,4100 KB,2019-12-27 15:35:00
2675810,Nov/29/2012 11:29,watashi,195D - Analyzing Polyline,Haskell,Accepted,765 ms,12500 KB,2012-11-29 11:29:00
31210516,Oct/11/2017 11:08,vjudge1,195D - Analyzing Polyline,GNU C++,Accepted,186 ms,3900 KB,2017-10-11 11:08:00
60389461,Sep/11/2019 15:46,mapleleaves,195D - Analyzing Polyline,GNU C++17,Accepted,186 ms,4100 KB,2019-09-11 15:46:00
1781072,Jun/10/2012 21:51,softmob,195D - Analyzing Polyline,GNU C++0x,Accepted,1450 ms,5400 KB,2012-06-10 21:51:00
