39858023,Jul/02/2018 08:49,ILLENIUM,838D - Airplane Arrangements,GNU C++,Accepted,31 ms,0 KB,2018-07-02 08:49:00
44464447,Oct/18/2018 03:04,vjudge1,838D - Airplane Arrangements,GNU C++11,Accepted,31 ms,0 KB,2018-10-18 03:04:00
29277180,Aug/08/2017 07:12,ksun48,838D - Airplane Arrangements,GNU C++11,Accepted,31 ms,2100 KB,2017-08-08 07:12:00
41529289,Aug/12/2018 16:39,marcos_math,838D - Airplane Arrangements,GNU C++14,Accepted,30 ms,0 KB,2018-08-12 16:39:00
29319736,Aug/10/2017 10:05,wmd,838D - Airplane Arrangements,GNU C++,Accepted,15 ms,1900 KB,2017-08-10 10:05:00
40849081,Jul/27/2018 16:38,Vatinkriv,838D - Airplane Arrangements,GNU C++14,Accepted,31 ms,0 KB,2018-07-27 16:38:00
41260869,Aug/06/2018 05:38,zhaozibo,838D - Airplane Arrangements,GNU C++11,Accepted,31 ms,0 KB,2018-08-06 05:38:00
50821511,Mar/05/2019 16:44,alan_cty,838D - Airplane Arrangements,GNU C++14,Accepted,31 ms,0 KB,2019-03-05 16:44:00
29305348,Aug/09/2017 15:16,ccdream,838D - Airplane Arrangements,GNU C++11,Accepted,31 ms,2100 KB,2017-08-09 15:16:00
41260834,Aug/06/2018 05:36,zhaozibo,838D - Airplane Arrangements,GNU C++11,Accepted,46 ms,0 KB,2018-08-06 05:36:00
44464439,Oct/18/2018 03:03,luogu_bot2,838D - Airplane Arrangements,GNU C++11,Accepted,31 ms,0 KB,2018-10-18 03:03:00
80444260,May/17/2020 10:27,JimmyLI,838D - Airplane Arrangements,GNU C++11,Accepted,31 ms,3800 KB,2020-05-17 10:27:00
29552146,Aug/18/2017 14:22,statusrank,838D - Airplane Arrangements,GNU C++14,Accepted,15 ms,0 KB,2017-08-18 14:22:00
30028158,Sep/03/2017 12:28,kazel#,838D - Airplane Arrangements,GNU C++14,Accepted,15 ms,0 KB,2017-09-03 12:28:00
41260788,Aug/06/2018 05:33,Drug,838D - Airplane Arrangements,GNU C++,Accepted,31 ms,0 KB,2018-08-06 05:33:00
49122985,Jan/28/2019 23:22,ToTLeS,838D - Airplane Arrangements,GNU C++17,Accepted,46 ms,4900 KB,2019-01-28 23:22:00
29359352,Aug/11/2017 20:30,quailty,838D - Airplane Arrangements,GNU C++11,Accepted,15 ms,2100 KB,2017-08-11 20:30:00
29267189,Aug/07/2017 17:40,vjudge4,838D - Airplane Arrangements,GNU C++14,Accepted,15 ms,1900 KB,2017-08-07 17:40:00
56980746,Jul/13/2019 16:48,jerome_wei,838D - Airplane Arrangements,GNU C++14,Accepted,31 ms,0 KB,2019-07-13 16:48:00
39822505,Jul/01/2018 16:30,Imperfect,838D - Airplane Arrangements,GNU C++11,Accepted,31 ms,0 KB,2018-07-01 16:30:00
29639854,Aug/21/2017 12:19,F.Darcy,838D - Airplane Arrangements,GNU C++,Accepted,15 ms,0 KB,2017-08-21 12:19:00
41260956,Aug/06/2018 05:41,luogu_bot1,838D - Airplane Arrangements,GNU C++11,Accepted,31 ms,0 KB,2018-08-06 05:41:00
47684283,Dec/29/2018 16:51,luogu_bot1,838D - Airplane Arrangements,GNU C++11,Accepted,31 ms,0 KB,2018-12-29 16:51:00
29261541,Aug/07/2017 12:47,P_Nyagolov,838D - Airplane Arrangements,GNU C++14,Accepted,15 ms,1900 KB,2017-08-07 12:47:00
41261012,Aug/06/2018 05:44,luogu_bot1,838D - Airplane Arrangements,GNU C++11,Accepted,31 ms,0 KB,2018-08-06 05:44:00
64950751,Nov/15/2019 07:08,hjk1030,838D - Airplane Arrangements,GNU C++17,Accepted,31 ms,0 KB,2019-11-15 07:08:00
31960301,Nov/01/2017 21:40,ericxu0,838D - Airplane Arrangements,GNU C++11,Accepted,15 ms,0 KB,2017-11-01 21:40:00
29629646,Aug/20/2017 23:10,ForgotToUpsolve,838D - Airplane Arrangements,GNU C++14,Accepted,15 ms,0 KB,2017-08-20 23:10:00
70504253,Feb/07/2020 16:05,spacevortex,838D - Airplane Arrangements,GNU C++11,Accepted,31 ms,0 KB,2020-02-07 16:05:00
47682772,Dec/29/2018 15:58,ww3113306,838D - Airplane Arrangements,GNU C++11,Accepted,31 ms,0 KB,2018-12-29 15:58:00
73865055,Mar/21/2020 11:08,CaiJiZXY,838D - Airplane Arrangements,GNU C++11,Accepted,31 ms,0 KB,2020-03-21 11:08:00
61247959,Sep/25/2019 09:57,0724zcs,838D - Airplane Arrangements,GNU C++11,Accepted,31 ms,0 KB,2019-09-25 09:57:00
29529946,Aug/17/2017 19:03,PlayfulPanda,838D - Airplane Arrangements,GNU C++11,Accepted,30 ms,0 KB,2017-08-17 19:03:00
48678941,Jan/21/2019 15:30,Shayan.P,838D - Airplane Arrangements,GNU C++17,Accepted,46 ms,200 KB,2019-01-21 15:30:00
34984528,Feb/07/2018 02:32,KrK#,838D - Airplane Arrangements,GNU C++,Accepted,31 ms,2000 KB,2018-02-07 02:32:00
49347645,Feb/02/2019 09:33,jambow,838D - Airplane Arrangements,GNU C++11,Accepted,46 ms,0 KB,2019-02-02 09:33:00
38879362,Jun/02/2018 11:23,vjudge2,838D - Airplane Arrangements,MS C++,Accepted,30 ms,3400 KB,2018-06-02 11:23:00
41261588,Aug/06/2018 06:11,gjz2017,838D - Airplane Arrangements,GNU C++,Accepted,31 ms,0 KB,2018-08-06 06:11:00
29564805,Aug/18/2017 18:28,derpidc,838D - Airplane Arrangements,GNU C++,Accepted,15 ms,0 KB,2017-08-18 18:28:00
41201577,Aug/04/2018 08:36,Dev-XYS,838D - Airplane Arrangements,GNU C++,Accepted,31 ms,0 KB,2018-08-04 08:36:00
48504844,Jan/17/2019 20:07,alex_Harry,838D - Airplane Arrangements,GNU C++11,Accepted,31 ms,0 KB,2019-01-17 20:07:00
29259543,Aug/07/2017 11:33,fatego,838D - Airplane Arrangements,GNU C++14,Accepted,15 ms,1900 KB,2017-08-07 11:33:00
29260881,Aug/07/2017 12:12,jstztzy,838D - Airplane Arrangements,GNU C++14,Accepted,15 ms,1900 KB,2017-08-07 12:12:00
55088955,Jun/04/2019 16:42,Chlience,838D - Airplane Arrangements,GNU C++11,Accepted,31 ms,0 KB,2019-06-04 16:42:00
77344873,Apr/20/2020 12:29,20050901,838D - Airplane Arrangements,GNU C++11,Accepted,31 ms,0 KB,2020-04-20 12:29:00
40391900,Jul/16/2018 04:37,luogu_bot1,838D - Airplane Arrangements,GNU C++,Accepted,31 ms,0 KB,2018-07-16 04:37:00
30767524,Sep/27/2017 07:35,Magolor,838D - Airplane Arrangements,GNU C++,Accepted,15 ms,0 KB,2017-09-27 07:35:00
30767529,Sep/27/2017 07:35,vjudge2,838D - Airplane Arrangements,GNU C++,Accepted,15 ms,0 KB,2017-09-27 07:35:00
79442492,May/09/2020 11:00,JKLover,838D - Airplane Arrangements,GNU C++17,Accepted,31 ms,3900 KB,2020-05-09 11:00:00
54546798,May/24/2019 09:41,luogu_bot4,838D - Airplane Arrangements,GNU C++11,Accepted,31 ms,0 KB,2019-05-24 09:41:00
