16782140,Mar/18/2016 16:09,Deemo#,237D - T-decomposition,GNU C++11,Accepted,872 ms,3700 KB,2016-03-18 16:09:00
18446125,Jun/14/2016 11:05,behnood,237D - T-decomposition,GNU C++11,Accepted,1590 ms,5700 KB,2016-06-14 11:05:00
4059720,Jul/13/2013 17:03,Baoge,237D - T-decomposition,GNU C++,Accepted,375 ms,4600 KB,2013-07-13 17:03:00
10096608,Mar/01/2015 16:29,fnoi05cxyde,237D - T-decomposition,GNU C++,Accepted,280 ms,3700 KB,2015-03-01 16:29:00
2683418,Dec/01/2012 15:00,Master_Prog,237D - T-decomposition,GNU C++,Accepted,281 ms,3700 KB,2012-12-01 15:00:00
10096619,Mar/01/2015 16:29,vjudge2,237D - T-decomposition,GNU C++,Accepted,310 ms,3700 KB,2015-03-01 16:29:00
4210658,Jul/31/2013 23:13,chipchip3412,237D - T-decomposition,FPC,Accepted,312 ms,1600 KB,2013-07-31 23:13:00
2436501,Oct/26/2012 10:23,sspa,237D - T-decomposition,GNU C++,Accepted,250 ms,3700 KB,2012-10-26 10:23:00
2822448,Dec/24/2012 17:21,ChuckLin2014#,237D - T-decomposition,GNU C++,Accepted,234 ms,4600 KB,2012-12-24 17:21:00
58150917,Aug/02/2019 05:31,vjudge3,237D - T-decomposition,GNU C++17,Accepted,342 ms,4600 KB,2019-08-02 05:31:00
58150968,Aug/02/2019 05:33,vjudge3,237D - T-decomposition,GNU C++11,Accepted,280 ms,6400 KB,2019-08-02 05:33:00
2471324,Oct/30/2012 19:23,watashi,237D - T-decomposition,Haskell,Accepted,1750 ms,23600 KB,2012-10-30 19:23:00
58159902,Aug/02/2019 10:03,vjudge2,237D - T-decomposition,GNU C++14,Accepted,278 ms,4600 KB,2019-08-02 10:03:00
58217115,Aug/03/2019 14:11,vjudge4,237D - T-decomposition,GNU C++17,Accepted,248 ms,4600 KB,2019-08-03 14:11:00
36565943,Mar/24/2018 10:07,vjudge2,237D - T-decomposition,GNU C++11,Accepted,592 ms,21100 KB,2018-03-24 10:07:00
58216861,Aug/03/2019 14:06,vjudge4,237D - T-decomposition,GNU C++14,Accepted,248 ms,4600 KB,2019-08-03 14:06:00
9732601,Feb/06/2015 04:19,Nouran_Abdelaziz,237D - T-decomposition,GNU C++,Accepted,280 ms,3700 KB,2015-02-06 04:19:00
2432303,Oct/25/2012 20:50,alex-mercer,237D - T-decomposition,GNU C++,Accepted,562 ms,3700 KB,2012-10-25 20:50:00
58218923,Aug/03/2019 14:50,vjudge4,237D - T-decomposition,GNU C++11,Accepted,1714 ms,4900 KB,2019-08-03 14:50:00
2432499,Oct/25/2012 20:54,* kawatea,237D - T-decomposition,GNU C++,Accepted,281 ms,3700 KB,2012-10-25 20:54:00
4311806,Aug/19/2013 14:14,KrK,237D - T-decomposition,GNU C++,Accepted,498 ms,11600 KB,2013-08-19 14:14:00
58216977,Aug/03/2019 14:08,vjudge5,237D - T-decomposition,GNU C++11,Accepted,248 ms,6500 KB,2019-08-03 14:08:00
23563756,Jan/06/2017 01:16,Ali.Pi,237D - T-decomposition,GNU C++14,Accepted,622 ms,13400 KB,2017-01-06 01:16:00
2696259,Dec/05/2012 12:20,UESTC_ElemeNtLz,237D - T-decomposition,GNU C++,Accepted,265 ms,3700 KB,2012-12-05 12:20:00
