35413140,Feb/17/2018 14:53,EnderBracket,939D - Love Rescue,GNU C++,Accepted,15 ms,2000 KB,2018-02-17 14:53:00
35418709,Feb/17/2018 17:05,Protego_totalum,939D - Love Rescue,GNU C++14,Accepted,46 ms,2100 KB,2018-02-17 17:05:00
35428265,Feb/17/2018 21:40,Brankonymous,939D - Love Rescue,GNU C++14,Accepted,46 ms,2100 KB,2018-02-17 21:40:00
40171466,Jul/10/2018 15:40,vjudge3,939D - Love Rescue,GNU C++,Accepted,46 ms,400 KB,2018-07-10 15:40:00
60704394,Sep/17/2019 06:46,BabaYaga42,939D - Love Rescue,GNU C++17,Accepted,46 ms,200 KB,2019-09-17 06:46:00
35762807,Feb/27/2018 16:05,mihai.alpha,939D - Love Rescue,GNU C++11,Accepted,46 ms,2200 KB,2018-02-27 16:05:00
38938055,Jun/04/2018 11:05,Taz,939D - Love Rescue,Python 3,Accepted,249 ms,7400 KB,2018-06-04 11:05:00
44683159,Oct/22/2018 10:49,luogu_bot4,939D - Love Rescue,GNU C++11,Accepted,31 ms,1000 KB,2018-10-22 10:49:00
68053687,Jan/01/2020 23:30,ayush_ar0204,939D - Love Rescue,GNU C++17,Accepted,31 ms,200 KB,2020-01-01 23:30:00
35409930,Feb/17/2018 14:34,BLeavesCoder,939D - Love Rescue,GNU C++17,Accepted,15 ms,2200 KB,2018-02-17 14:34:00
35428652,Feb/17/2018 21:55,Brankonymous,939D - Love Rescue,GNU C++14,Accepted,62 ms,2000 KB,2018-02-17 21:55:00
35407682,Feb/17/2018 14:21,xuanyi,939D - Love Rescue,GNU C++,Accepted,15 ms,2000 KB,2018-02-17 14:21:00
35403387,Feb/17/2018 13:59,rbenic,939D - Love Rescue,GNU C++11,Accepted,31 ms,2000 KB,2018-02-17 13:59:00
45154698,Nov/01/2018 02:33,UnitedDips,939D - Love Rescue,Python 3,Accepted,170 ms,500 KB,2018-11-01 02:33:00
35427697,Feb/17/2018 21:17,bass.exe,939D - Love Rescue,Python 3,Accepted,265 ms,6000 KB,2018-02-17 21:17:00
35832518,Mar/02/2018 13:29,coderpractices,939D - Love Rescue,GNU C++,Accepted,46 ms,2400 KB,2018-03-02 13:29:00
50057094,Feb/17/2019 13:54,Siyuan,939D - Love Rescue,GNU C++11,Accepted,31 ms,200 KB,2019-02-17 13:54:00
69243465,Jan/21/2020 15:11,luogu_bot4,939D - Love Rescue,GNU C++11,Accepted,62 ms,7800 KB,2020-01-21 15:11:00
35420056,Feb/17/2018 17:27,RoadToTheMaster,939D - Love Rescue,GNU C++14,Accepted,46 ms,2200 KB,2018-02-17 17:27:00
35413752,Feb/17/2018 14:56,forkkr,939D - Love Rescue,GNU C++14,Accepted,46 ms,2200 KB,2018-02-17 14:56:00
47327825,Dec/21/2018 14:21,luogu_bot4,939D - Love Rescue,GNU C++11,Accepted,31 ms,400 KB,2018-12-21 14:21:00
