30319561,Sep/14/2017 06:32,parsaasaeii0016,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,546 ms,6300 KB,2017-09-14 06:32:00
13415396,Oct/05/2015 15:18,baqargam,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,452 ms,6300 KB,2015-10-05 15:18:00
12592226,Aug/18/2015 20:48,shark_s,567D - One-Dimensional Battle Ships,GNU C++,Accepted,140 ms,6300 KB,2015-08-18 20:48:00
51444832,Mar/18/2019 15:00,crpboy,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,171 ms,6300 KB,2019-03-18 15:00:00
58703844,Aug/13/2019 11:45,printfok,567D - One-Dimensional Battle Ships,MS C++ 2017,Accepted,327 ms,6300 KB,2019-08-13 11:45:00
59623068,Aug/28/2019 17:52,amirmz,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,451 ms,6300 KB,2019-08-28 17:52:00
36799545,Apr/01/2018 16:26,vjudge3,567D - One-Dimensional Battle Ships,GNU C++,Accepted,171 ms,9700 KB,2018-04-01 16:26:00
16288403,Feb/23/2016 10:53,vjudge2,567D - One-Dimensional Battle Ships,GNU C++,Accepted,156 ms,6300 KB,2016-02-23 10:53:00
12818029,Sep/02/2015 19:29,1twy#,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,171 ms,7100 KB,2015-09-02 19:29:00
34447266,Jan/22/2018 15:43,vjudge4,567D - One-Dimensional Battle Ships,GNU C++,Accepted,234 ms,8300 KB,2018-01-22 15:43:00
12630572,Aug/21/2015 19:06,vanjo9800,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,218 ms,6300 KB,2015-08-21 19:06:00
34472021,Jan/23/2018 10:21,yyhhenry,567D - One-Dimensional Battle Ships,GNU C++,Accepted,202 ms,8300 KB,2018-01-23 10:21:00
51582316,Mar/20/2019 17:55,vjudge4,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,156 ms,6300 KB,2019-03-20 17:55:00
51633997,Mar/21/2019 19:01,vjudge5,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,171 ms,6300 KB,2019-03-21 19:01:00
16191242,Feb/19/2016 06:27,AwD,567D - One-Dimensional Battle Ships,GNU C++,Accepted,483 ms,6300 KB,2016-02-19 06:27:00
40772408,Jul/26/2018 12:11,vjudge2,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,608 ms,6300 KB,2018-07-26 12:11:00
14579090,Dec/01/2015 05:39,cielavenir,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,140 ms,6300 KB,2015-12-01 05:39:00
12605772,Aug/19/2015 18:39,deer,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,498 ms,6300 KB,2015-08-19 18:39:00
12920269,Sep/10/2015 11:48,HSD,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,468 ms,6300 KB,2015-09-10 11:48:00
32340231,Nov/15/2017 21:25,lukamosiashvili,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,155 ms,6300 KB,2017-11-15 21:25:00
34917340,Feb/04/2018 11:01,yyhhenry,567D - One-Dimensional Battle Ships,GNU C++,Accepted,234 ms,8300 KB,2018-02-04 11:01:00
12379487,Aug/06/2015 03:26,Glaceon08,567D - One-Dimensional Battle Ships,GNU C++,Accepted,156 ms,6300 KB,2015-08-06 03:26:00
21758559,Oct/24/2016 22:55,rajat_95,567D - One-Dimensional Battle Ships,GNU C++,Accepted,171 ms,6300 KB,2016-10-24 22:55:00
