23373677,Dec/28/2016 11:39,rkb123,721D - Maxim and Array,GNU C++,Accepted,810 ms,12000 KB,2016-12-28 11:39:00
23876409,Jan/16/2017 10:43,DeadPillow,721D - Maxim and Array,GNU C++11,Accepted,685 ms,9800 KB,2017-01-16 10:43:00
80242121,May/15/2020 18:53,loc_321,721D - Maxim and Array,GNU C++14,Accepted,483 ms,11400 KB,2020-05-15 18:53:00
56038920,Jun/25/2019 16:23,AriForces,721D - Maxim and Array,GNU C++17,Accepted,202 ms,4700 KB,2019-06-25 16:23:00
21049000,Sep/30/2016 22:18,Gilmour,721D - Maxim and Array,GNU C++11,Accepted,795 ms,9400 KB,2016-09-30 22:18:00
42071504,Aug/25/2018 04:03,abce,721D - Maxim and Array,GNU C++11,Accepted,748 ms,9500 KB,2018-08-25 04:03:00
57723528,Jul/25/2019 09:25,vjudge4,721D - Maxim and Array,GNU C++11,Accepted,748 ms,9500 KB,2019-07-25 09:25:00
21030610,Sep/30/2016 18:00,* mjhun,721D - Maxim and Array,GNU C++,Accepted,171 ms,7700 KB,2016-09-30 18:00:00
67310220,Dec/21/2019 05:04,lszxj,721D - Maxim and Array,GNU C++11,Accepted,155 ms,7600 KB,2019-12-21 05:04:00
21110930,Oct/02/2016 12:46,hbcbs110,721D - Maxim and Array,GNU C++,Accepted,499 ms,11000 KB,2016-10-02 12:46:00
21199305,Oct/05/2016 05:04,thanhan.ttth,721D - Maxim and Array,GNU C++,Accepted,748 ms,7700 KB,2016-10-05 05:04:00
21505557,Oct/16/2016 22:24,wgan,721D - Maxim and Array,GNU C++,Accepted,1013 ms,9700 KB,2016-10-16 22:24:00
21114836,Oct/02/2016 15:41,asahi,721D - Maxim and Array,GNU C++11,Accepted,748 ms,3500 KB,2016-10-02 15:41:00
70571932,Feb/08/2020 17:37,big_tq,721D - Maxim and Array,GNU C++11,Accepted,156 ms,7600 KB,2020-02-08 17:37:00
21036786,Sep/30/2016 18:33,Daniar,721D - Maxim and Array,GNU C++11,Accepted,265 ms,7700 KB,2016-09-30 18:33:00
72622285,Mar/07/2020 10:50,vipghn2003,721D - Maxim and Array,GNU C++17,Accepted,187 ms,7800 KB,2020-03-07 10:50:00
21738525,Oct/24/2016 13:39,knayam_sharma,721D - Maxim and Array,GNU C++14,Accepted,233 ms,2400 KB,2016-10-24 13:39:00
