47337439,Dec/21/2018 18:45,sound_of_silence,999D - Equalize the Remainders,GNU C++11,Accepted,561 ms,8100 KB,2018-12-21 18:45:00
40504888,Jul/18/2018 10:56,luogu_bot5,999D - Equalize the Remainders,GNU C++,Accepted,733 ms,9400 KB,2018-07-18 10:56:00
45751940,Nov/15/2018 05:09,5_Problems_1_Day,999D - Equalize the Remainders,GNU C++14,Accepted,217 ms,9600 KB,2018-11-15 05:09:00
41327234,Aug/08/2018 09:25,vjudge1,999D - Equalize the Remainders,GNU C++,Accepted,249 ms,9400 KB,2018-08-08 09:25:00
66576963,Dec/10/2019 10:46,begin-a-new-memory,999D - Equalize the Remainders,GNU C++11,Accepted,639 ms,22000 KB,2019-12-10 10:46:00
39505800,Jun/22/2018 07:51,ysj1173886760,999D - Equalize the Remainders,GNU C++11,Accepted,234 ms,5500 KB,2018-06-22 07:51:00
66453487,Dec/07/2019 15:20,vjudge1,999D - Equalize the Remainders,GNU C++11,Accepted,624 ms,22000 KB,2019-12-07 15:20:00
53802413,May/05/2019 22:55,Shajib_,999D - Equalize the Remainders,GNU C++14,Accepted,233 ms,9600 KB,2019-05-05 22:55:00
56520039,Jul/04/2019 17:30,Kaitokid,999D - Equalize the Remainders,GNU C++11,Accepted,295 ms,7900 KB,2019-07-04 17:30:00
40153566,Jul/10/2018 03:41,abce,999D - Equalize the Remainders,GNU C++,Accepted,234 ms,9400 KB,2018-07-10 03:41:00
39515096,Jun/22/2018 14:37,MajAK,999D - Equalize the Remainders,Python 3,Accepted,1918 ms,44300 KB,2018-06-22 14:37:00
41324373,Aug/08/2018 06:55,vjudge1,999D - Equalize the Remainders,MS C++,Accepted,295 ms,9400 KB,2018-08-08 06:55:00
44906253,Oct/26/2018 14:36,lxtywyy,999D - Equalize the Remainders,GNU C++17,Accepted,233 ms,9800 KB,2018-10-26 14:36:00
39889061,Jul/03/2018 12:17,ILLLZKQF,999D - Equalize the Remainders,GNU C++,Accepted,248 ms,9700 KB,2018-07-03 12:17:00
39513847,Jun/22/2018 13:48,vaibhav711,999D - Equalize the Remainders,GNU C++14,Accepted,545 ms,9600 KB,2018-06-22 13:48:00
65648095,Nov/24/2019 12:33,vjudge2,999D - Equalize the Remainders,GNU C++11,Accepted,218 ms,7900 KB,2019-11-24 12:33:00
68889088,Jan/16/2020 03:57,mth1908,999D - Equalize the Remainders,PyPy 3,Accepted,904 ms,89000 KB,2020-01-16 03:57:00
55668399,Jun/17/2019 08:57,vjudge5,999D - Equalize the Remainders,GNU C++11,Accepted,592 ms,9400 KB,2019-06-17 08:57:00
41958570,Aug/22/2018 11:07,abce,999D - Equalize the Remainders,GNU C++11,Accepted,249 ms,9400 KB,2018-08-22 11:07:00
42571992,Sep/06/2018 19:13,ccw630,999D - Equalize the Remainders,GNU C++14,Accepted,249 ms,14300 KB,2018-09-06 19:13:00
77930241,Apr/24/2020 18:33,AcidMango,999D - Equalize the Remainders,GNU C++17,Accepted,514 ms,9600 KB,2020-04-24 18:33:00
41322732,Aug/08/2018 05:36,vjudge5,999D - Equalize the Remainders,GNU C++,Accepted,748 ms,9400 KB,2018-08-08 05:36:00
43160477,Sep/21/2018 03:26,tritanngo99,999D - Equalize the Remainders,GNU C++11,Accepted,732 ms,9400 KB,2018-09-21 03:26:00
44583188,Oct/20/2018 11:56,vjudge5,999D - Equalize the Remainders,GNU C++17,Accepted,233 ms,9800 KB,2018-10-20 11:56:00
41125276,Aug/02/2018 16:58,vjudge2,999D - Equalize the Remainders,GNU C++,Accepted,234 ms,9400 KB,2018-08-02 16:58:00
73647030,Mar/19/2020 14:16,auouo#,999D - Equalize the Remainders,PyPy 3,Accepted,810 ms,31600 KB,2020-03-19 14:16:00
67064589,Dec/17/2019 13:36,GTrigger,999D - Equalize the Remainders,PyPy 3,Accepted,733 ms,27000 KB,2019-12-17 13:36:00
39777222,Jun/29/2018 20:58,Legendaddy,999D - Equalize the Remainders,Python 3,Accepted,1653 ms,28400 KB,2018-06-29 20:58:00
49398008,Feb/03/2019 16:19,Libm#,999D - Equalize the Remainders,GNU C++11,Accepted,342 ms,9400 KB,2019-02-03 16:19:00
49105385,Jan/28/2019 15:55,vjudge5,999D - Equalize the Remainders,MS C++,Accepted,452 ms,11000 KB,2019-01-28 15:55:00
76943707,Apr/16/2020 10:54,vjudge4,999D - Equalize the Remainders,GNU C++11,Accepted,342 ms,9400 KB,2020-04-16 10:54:00
39471622,Jun/21/2018 17:52,* aayush9,999D - Equalize the Remainders,GNU C++14,Accepted,249 ms,9600 KB,2018-06-21 17:52:00
39501513,Jun/22/2018 00:52,kirisame9,999D - Equalize the Remainders,GNU C++11,Accepted,187 ms,5500 KB,2018-06-22 00:52:00
56731838,Jul/09/2019 05:02,vjudge2,999D - Equalize the Remainders,GNU C++17,Accepted,171 ms,8300 KB,2019-07-09 05:02:00
65660507,Nov/24/2019 15:11,vjudge1,999D - Equalize the Remainders,MS C++,Accepted,374 ms,14100 KB,2019-11-24 15:11:00
76492559,Apr/13/2020 16:16,pdCodeGuy,999D - Equalize the Remainders,GNU C++14,Accepted,545 ms,7200 KB,2020-04-13 16:16:00
42847787,Sep/14/2018 05:16,Steven233,999D - Equalize the Remainders,GNU C++14,Accepted,249 ms,9600 KB,2018-09-14 05:16:00
39501535,Jun/22/2018 00:54,kirisame9,999D - Equalize the Remainders,GNU C++11,Accepted,202 ms,6200 KB,2018-06-22 00:54:00
39544520,Jun/23/2018 18:05,LudwigVanBeethoven,999D - Equalize the Remainders,GNU C++11,Accepted,234 ms,9400 KB,2018-06-23 18:05:00
44029151,Oct/09/2018 12:39,ZGalaxy,999D - Equalize the Remainders,GNU C++14,Accepted,280 ms,9600 KB,2018-10-09 12:39:00
52904420,Apr/17/2019 15:12,vjudge3,999D - Equalize the Remainders,MS C++,Accepted,233 ms,9400 KB,2019-04-17 15:12:00
50440395,Feb/24/2019 18:53,vjudge1,999D - Equalize the Remainders,GNU C++11,Accepted,233 ms,9400 KB,2019-02-24 18:53:00
39501579,Jun/22/2018 00:58,kirisame9,999D - Equalize the Remainders,GNU C++11,Accepted,124 ms,5500 KB,2018-06-22 00:58:00
61972337,Oct/06/2019 12:27,vjudge2,999D - Equalize the Remainders,GNU C++17,Accepted,280 ms,8800 KB,2019-10-06 12:27:00
40571759,Jul/20/2018 11:33,hongye123456#,999D - Equalize the Remainders,GNU C++14,Accepted,249 ms,8800 KB,2018-07-20 11:33:00
40196662,Jul/11/2018 12:37,thirtiseven,999D - Equalize the Remainders,GNU C++17,Accepted,249 ms,9900 KB,2018-07-11 12:37:00
40825948,Jul/27/2018 06:01,GUANZEYING,999D - Equalize the Remainders,GNU C++,Accepted,218 ms,7900 KB,2018-07-27 06:01:00
39691658,Jun/27/2018 08:24,nupt_ant,999D - Equalize the Remainders,GNU C++17,Accepted,546 ms,9600 KB,2018-06-27 08:24:00
39650842,Jun/25/2018 16:29,ikooo,999D - Equalize the Remainders,GNU C++14,Accepted,529 ms,8000 KB,2018-06-25 16:29:00
48684291,Jan/21/2019 17:34,vjudge3,999D - Equalize the Remainders,MS C++,Accepted,265 ms,11000 KB,2019-01-21 17:34:00
39893610,Jul/03/2018 15:28,appleeated,999D - Equalize the Remainders,GNU C,Accepted,124 ms,5500 KB,2018-07-03 15:28:00
56537434,Jul/05/2019 05:14,cherish_lin,999D - Equalize the Remainders,GNU C++14,Accepted,498 ms,9600 KB,2019-07-05 05:14:00
62684104,Oct/16/2019 16:37,zx1473619689,999D - Equalize the Remainders,GNU C++11,Accepted,218 ms,9400 KB,2019-10-16 16:37:00
