51970576,Mar/29/2019 15:15,sywfid188,416D - Population Size,GNU C++17,Accepted,62 ms,1600 KB,2019-03-29 15:15:00
12490508,Aug/13/2015 13:43,SHaao,416D - Population Size,GNU C++,Accepted,468 ms,1700 KB,2015-08-13 13:43:00
40038146,Jul/06/2018 20:16,kill_em_all,416D - Population Size,GNU C++14,Accepted,78 ms,1500 KB,2018-07-06 20:16:00
22503365,Nov/26/2016 10:54,chzeze,416D - Population Size,GNU C++14,Accepted,343 ms,1600 KB,2016-11-26 10:54:00
22503420,Nov/26/2016 10:57,chzeze,416D - Population Size,GNU C++,Accepted,514 ms,1600 KB,2016-11-26 10:57:00
22503228,Nov/26/2016 10:46,chzeze,416D - Population Size,GNU C++14,Accepted,374 ms,1600 KB,2016-11-26 10:46:00
22503473,Nov/26/2016 11:00,chzeze,416D - Population Size,GNU C++14,Accepted,93 ms,1600 KB,2016-11-26 11:00:00
31688110,Oct/24/2017 19:02,Haru_,416D - Population Size,GNU C++,Accepted,467 ms,3600 KB,2017-10-24 19:02:00
22503190,Nov/26/2016 10:44,chzeze,416D - Population Size,GNU C++14,Accepted,390 ms,1600 KB,2016-11-26 10:44:00
7726649,Sep/09/2014 12:48,panyuchong,416D - Population Size,GNU C++,Accepted,46 ms,1500 KB,2014-09-09 12:48:00
22503265,Nov/26/2016 10:48,chzeze,416D - Population Size,GNU C++14,Accepted,374 ms,1600 KB,2016-11-26 10:48:00
12490501,Aug/13/2015 13:43,Sunyuchen,416D - Population Size,GNU C++,Accepted,62 ms,1400 KB,2015-08-13 13:43:00
12702704,Aug/26/2015 05:15,AFGhazy,416D - Population Size,GNU C++11,Accepted,61 ms,1600 KB,2015-08-26 05:15:00
26641180,Apr/24/2017 16:09,cnnfls_csy,416D - Population Size,GNU C++14,Accepted,78 ms,3500 KB,2017-04-24 16:09:00
22503496,Nov/26/2016 11:01,chzeze,416D - Population Size,GNU C++,Accepted,77 ms,1600 KB,2016-11-26 11:01:00
37927636,May/06/2018 14:45,vjudge3,416D - Population Size,GNU C++11,Accepted,499 ms,5000 KB,2018-05-06 14:45:00
6533177,May/02/2014 23:40,asvid,416D - Population Size,MS C++,Accepted,202 ms,1600 KB,2014-05-02 23:40:00
6347996,Apr/13/2014 23:32,forlfs,416D - Population Size,GNU C,Accepted,46 ms,11700 KB,2014-04-13 23:32:00
7568413,Aug/24/2014 22:14,WARenie,416D - Population Size,Python 3,Accepted,389 ms,16000 KB,2014-08-24 22:14:00
22503342,Nov/26/2016 10:53,chzeze,416D - Population Size,GNU C++14,Accepted,78 ms,1600 KB,2016-11-26 10:53:00
31947987,Nov/01/2017 14:38,Denverjin,416D - Population Size,GNU C++11,Accepted,61 ms,1400 KB,2017-11-01 14:38:00
8529210,Nov/03/2014 00:22,WARenie,416D - Population Size,Python 3,Accepted,358 ms,14900 KB,2014-11-03 00:22:00
12492768,Aug/13/2015 16:49,as_clever_as_a_T_A_R,416D - Population Size,GNU C++,Accepted,467 ms,1600 KB,2015-08-13 16:49:00
7306375,Aug/01/2014 13:52,kkglove,416D - Population Size,GNU C++,Accepted,46 ms,1500 KB,2014-08-01 13:52:00
6954252,Jun/24/2014 21:45,gustokashin,416D - Population Size,Python 3,Accepted,373 ms,16000 KB,2014-06-24 21:45:00
7727743,Sep/09/2014 15:44,ArcherKing,416D - Population Size,GNU C++,Accepted,62 ms,1500 KB,2014-09-09 15:44:00
26641296,Apr/24/2017 16:14,cnnfls_csy,416D - Population Size,GNU C++14,Accepted,78 ms,9700 KB,2017-04-24 16:14:00
17144862,Apr/03/2016 15:30,freebsdx,416D - Population Size,GNU C++11,Accepted,46 ms,3500 KB,2016-04-03 15:30:00
20899965,Sep/25/2016 06:16,vjudge3,416D - Population Size,GNU C++,Accepted,62 ms,1600 KB,2016-09-25 06:16:00
26641401,Apr/24/2017 16:17,cnnfls_csy,416D - Population Size,GNU C++14,Accepted,77 ms,9700 KB,2017-04-24 16:17:00
22502563,Nov/26/2016 10:04,chzeze,416D - Population Size,GNU C,Accepted,77 ms,1600 KB,2016-11-26 10:04:00
7726874,Sep/09/2014 13:19,syc1999,416D - Population Size,GNU C++,Accepted,62 ms,1600 KB,2014-09-09 13:19:00
31098461,Oct/07/2017 06:53,vjudge3,416D - Population Size,GNU C++,Accepted,46 ms,600 KB,2017-10-07 06:53:00
22502671,Nov/26/2016 10:10,chzeze,416D - Population Size,GNU C,Accepted,61 ms,1600 KB,2016-11-26 10:10:00
24016310,Jan/21/2017 20:24,gosaindhruv,416D - Population Size,GNU C++14,Accepted,78 ms,5000 KB,2017-01-21 20:24:00
6508841,Apr/30/2014 09:18,guille,416D - Population Size,GNU C++,Accepted,171 ms,7800 KB,2014-04-30 09:18:00
22502595,Nov/26/2016 10:06,chzeze,416D - Population Size,GNU C,Accepted,78 ms,1600 KB,2016-11-26 10:06:00
45395267,Nov/07/2018 06:37,Denverjin,416D - Population Size,GNU C++14,Accepted,62 ms,8200 KB,2018-11-07 06:37:00
39267038,Jun/15/2018 16:12,liyifeng,416D - Population Size,GNU C++,Accepted,46 ms,800 KB,2018-06-15 16:12:00
35804436,Mar/01/2018 10:10,vjudge5,416D - Population Size,GNU C++,Accepted,61 ms,3400 KB,2018-03-01 10:10:00
37927621,May/06/2018 14:44,XianHZ,416D - Population Size,GNU C++11,Accepted,467 ms,5000 KB,2018-05-06 14:44:00
37625578,Apr/26/2018 09:08,XianHZ,416D - Population Size,GNU C++11,Accepted,468 ms,5600 KB,2018-04-26 09:08:00
67349605,Dec/21/2019 14:59,luogu_bot4,416D - Population Size,GNU C++11,Accepted,405 ms,2000 KB,2019-12-21 14:59:00
27070704,May/13/2017 10:39,vjudge2,416D - Population Size,GNU C++,Accepted,467 ms,1600 KB,2017-05-13 10:39:00
27071039,May/13/2017 10:59,vjudge3,416D - Population Size,GNU C++,Accepted,467 ms,800 KB,2017-05-13 10:59:00
27071026,May/13/2017 10:58,vjudge2,416D - Population Size,GNU C++,Accepted,468 ms,1600 KB,2017-05-13 10:58:00
7184987,Jul/20/2014 13:23,zhengyang,416D - Population Size,GNU C++,Accepted,61 ms,1700 KB,2014-07-20 13:23:00
27070678,May/13/2017 10:37,vjudge1,416D - Population Size,GNU C++,Accepted,577 ms,1600 KB,2017-05-13 10:37:00
16281879,Feb/22/2016 21:05,Deltadromeus,416D - Population Size,GNU C++11,Accepted,140 ms,15700 KB,2016-02-22 21:05:00
20899521,Sep/25/2016 05:17,caidongxiao,416D - Population Size,GNU C++,Accepted,61 ms,1800 KB,2016-09-25 05:17:00
8933796,Dec/02/2014 18:21,Sunnat#,416D - Population Size,GNU C++,Accepted,186 ms,1700 KB,2014-12-02 18:21:00
50414244,Feb/24/2019 08:32,vjudge5,416D - Population Size,GNU C++11,Accepted,62 ms,7900 KB,2019-02-24 08:32:00
35041952,Feb/08/2018 06:01,Andy20070106,416D - Population Size,GNU C++,Accepted,155 ms,3600 KB,2018-02-08 06:01:00
31738704,Oct/26/2017 16:30,vjudge3,416D - Population Size,GNU C++,Accepted,62 ms,1600 KB,2017-10-26 16:30:00
7727820,Sep/09/2014 15:57,jiangshibiao,416D - Population Size,GNU C++,Accepted,46 ms,1500 KB,2014-09-09 15:57:00
60559073,Sep/14/2019 17:34,rainboy,416D - Population Size,GNU C11,Accepted,61 ms,800 KB,2019-09-14 17:34:00
39281593,Jun/16/2018 10:37,tmwilliamlin168,416D - Population Size,GNU C++14,Accepted,77 ms,1600 KB,2018-06-16 10:37:00
7246412,Jul/26/2014 06:17,_NeverMore,416D - Population Size,GNU C++,Accepted,171 ms,1600 KB,2014-07-26 06:17:00
7001215,Jul/03/2014 09:01,vjudge3,416D - Population Size,MS C++,Accepted,46 ms,0 KB,2014-07-03 09:01:00
50414064,Feb/24/2019 08:24,vjudge4,416D - Population Size,GNU C++11,Accepted,62 ms,7800 KB,2019-02-24 08:24:00
6729397,May/28/2014 19:31,Kurosaki,416D - Population Size,GNU C++,Accepted,156 ms,800 KB,2014-05-28 19:31:00
6345736,Apr/13/2014 16:53,ProjectZero,416D - Population Size,GNU C++,Accepted,46 ms,800 KB,2014-04-13 16:53:00
6901087,Jun/16/2014 23:22,thesilione,416D - Population Size,GNU C++,Accepted,186 ms,800 KB,2014-06-16 23:22:00
54274132,May/17/2019 13:15,chaorenhaha,416D - Population Size,FPC,Accepted,62 ms,8200 KB,2019-05-17 13:15:00
25507508,Mar/15/2017 18:20,hellomath,416D - Population Size,GNU C++,Accepted,452 ms,3600 KB,2017-03-15 18:20:00
27107606,May/14/2017 16:42,zhuky.RLG,416D - Population Size,GNU C++,Accepted,140 ms,1600 KB,2017-05-14 16:42:00
14430449,Nov/23/2015 20:18,_Eren_,416D - Population Size,GNU C++,Accepted,62 ms,1600 KB,2015-11-23 20:18:00
6363002,Apr/15/2014 10:30,lmhunter,416D - Population Size,GNU C++,Accepted,46 ms,1500 KB,2014-04-15 10:30:00
7729644,Sep/09/2014 20:11,sxczf,416D - Population Size,GNU C++,Accepted,61 ms,7800 KB,2014-09-09 20:11:00
35002106,Feb/07/2018 17:42,Best_Memories,416D - Population Size,GNU C++14,Accepted,373 ms,3400 KB,2018-02-07 17:42:00
12480011,Aug/12/2015 16:18,qiaozhanrong,416D - Population Size,GNU C++,Accepted,46 ms,600 KB,2015-08-12 16:18:00
35000062,Feb/07/2018 16:38,Best_Memories,416D - Population Size,GNU C++14,Accepted,390 ms,3400 KB,2018-02-07 16:38:00
25506707,Mar/15/2017 18:18,vjudge1,416D - Population Size,GNU C++,Accepted,468 ms,3600 KB,2017-03-15 18:18:00
6343755,Apr/13/2014 14:25,aaaaajack,416D - Population Size,GNU C++,Accepted,108 ms,800 KB,2014-04-13 14:25:00
48090815,Jan/08/2019 16:42,chuducanhchy,416D - Population Size,GNU C++11,Accepted,140 ms,3100 KB,2019-01-08 16:42:00
6420840,Apr/19/2014 23:17,DELETED_USER,416D - Population Size,GNU C++,Accepted,61 ms,800 KB,2014-04-19 23:17:00
39267136,Jun/15/2018 16:16,liyifeng,416D - Population Size,GNU C++,Accepted,46 ms,800 KB,2018-06-15 16:16:00
49076118,Jan/28/2019 06:13,qinding,416D - Population Size,GNU C++11,Accepted,62 ms,7800 KB,2019-01-28 06:13:00
31703562,Oct/25/2017 12:02,vjudge1,416D - Population Size,GNU C++,Accepted,46 ms,1700 KB,2017-10-25 12:02:00
7303832,Aug/01/2014 07:48,xylophone,416D - Population Size,GNU C++,Accepted,171 ms,0 KB,2014-08-01 07:48:00
14646390,Dec/04/2015 14:14,vjudge1,416D - Population Size,GNU C++,Accepted,46 ms,1600 KB,2015-12-04 14:14:00
37222908,Apr/11/2018 15:29,vjudge3,416D - Population Size,GNU C++,Accepted,499 ms,5000 KB,2018-04-11 15:29:00
6343674,Apr/13/2014 14:23,452660407,416D - Population Size,GNU C++,Accepted,186 ms,11100 KB,2014-04-13 14:23:00
6484561,Apr/27/2014 17:56,Zach,416D - Population Size,GNU C++,Accepted,187 ms,1600 KB,2014-04-27 17:56:00
14646953,Dec/04/2015 14:46,vjudge2,416D - Population Size,GNU C++,Accepted,62 ms,1600 KB,2015-12-04 14:46:00
30297201,Sep/13/2017 03:44,ivanzuki,416D - Population Size,GNU C++11,Accepted,46 ms,9700 KB,2017-09-13 03:44:00
37221933,Apr/11/2018 15:00,vjudge4,416D - Population Size,GNU C++,Accepted,451 ms,5200 KB,2018-04-11 15:00:00
7727768,Sep/09/2014 15:48,1234567891,416D - Population Size,FPC,Accepted,61 ms,7800 KB,2014-09-09 15:48:00
22694353,Dec/04/2016 14:17,vjudge5,416D - Population Size,GNU C++,Accepted,46 ms,1400 KB,2016-12-04 14:17:00
20358472,Sep/03/2016 13:22,OmarHashim,416D - Population Size,GNU C++11,Accepted,62 ms,1600 KB,2016-09-03 13:22:00
31703551,Oct/25/2017 12:01,wangcwc,416D - Population Size,GNU C++11,Accepted,46 ms,1700 KB,2017-10-25 12:01:00
7334166,Aug/03/2014 07:38,jyx,416D - Population Size,GNU C++,Accepted,61 ms,0 KB,2014-08-03 07:38:00
25505459,Mar/15/2017 18:14,vjudge4,416D - Population Size,GNU C++,Accepted,467 ms,3600 KB,2017-03-15 18:14:00
12492366,Aug/13/2015 16:18,qazxsw123,416D - Population Size,GNU C++,Accepted,452 ms,1600 KB,2015-08-13 16:18:00
6383560,Apr/17/2014 14:01,RestlessAnchoret,416D - Population Size,MS C++,Accepted,171 ms,800 KB,2014-04-17 14:01:00
31737764,Oct/26/2017 15:19,vjudge5,416D - Population Size,GNU C++,Accepted,452 ms,1600 KB,2017-10-26 15:19:00
