5836371,Jan/30/2014 10:06,vjudge2,47D - Safe,GNU C++,Accepted,498 ms,0 KB,2014-01-30 10:06:00
215185,Dec/08/2010 00:39,mohammadrdeh,47D - Safe,GNU C++,Accepted,90 ms,1300 KB,2010-12-08 00:39:00
1706469,May/20/2012 19:28,renisfan,47D - Safe,MS C++,Accepted,140 ms,1400 KB,2012-05-20 19:28:00
2236372,Sep/24/2012 12:56,sspa,47D - Safe,GNU C++,Accepted,140 ms,0 KB,2012-09-24 12:56:00
3495111,Apr/09/2013 08:07,vjudge2,47D - Safe,GNU C++,Accepted,109 ms,0 KB,2013-04-09 08:07:00
861655,Nov/13/2011 15:39,James,47D - Safe,GNU C++,Accepted,80 ms,1300 KB,2011-11-13 15:39:00
5836276,Jan/30/2014 09:40,vjudge5,47D - Safe,GNU C++,Accepted,92 ms,0 KB,2014-01-30 09:40:00
1894736,Jul/12/2012 11:35,vjudge4,47D - Safe,MS C++,Accepted,140 ms,1400 KB,2012-07-12 11:35:00
1894833,Jul/12/2012 11:57,vjudge3,47D - Safe,MS C++,Accepted,140 ms,1400 KB,2012-07-12 11:57:00
215929,Dec/17/2010 15:40,moondy,47D - Safe,MS C++,Accepted,90 ms,1500 KB,2010-12-17 15:40:00
8123684,Oct/07/2014 02:06,Aalaa_Mohamed,47D - Safe,GNU C++,Accepted,62 ms,0 KB,2014-10-07 02:06:00
50239541,Feb/20/2019 15:22,fsh317574518,47D - Safe,GNU C++11,Accepted,62 ms,0 KB,2019-02-20 15:22:00
1044843,Jan/14/2012 11:42,DoubleLu,47D - Safe,GNU C++,Accepted,770 ms,1400 KB,2012-01-14 11:42:00
10256185,Mar/13/2015 13:17,M.Mahdi,47D - Safe,GNU C++0x,Accepted,186 ms,0 KB,2015-03-13 13:17:00
10256186,Mar/13/2015 13:17,M.Mahdi,47D - Safe,GNU C++0x,Accepted,186 ms,0 KB,2015-03-13 13:17:00
52966405,Apr/18/2019 19:01,vjudge5,47D - Safe,GNU C++11,Accepted,124 ms,0 KB,2019-04-18 19:01:00
67692242,Dec/27/2019 14:38,user060804,47D - Safe,GNU C++17,Accepted,92 ms,0 KB,2019-12-27 14:38:00
16989490,Mar/28/2016 18:29,yongwhan,47D - Safe,GNU C++11,Accepted,124 ms,2200 KB,2016-03-28 18:29:00
60348037,Sep/10/2019 16:17,oneman233,47D - Safe,GNU C++17,Accepted,560 ms,35800 KB,2019-09-10 16:17:00
61949062,Oct/06/2019 05:17,LastOneman233,47D - Safe,GNU C++11,Accepted,622 ms,35700 KB,2019-10-06 05:17:00
1015682,Jan/07/2012 05:32,KiraZ,47D - Safe,GNU C++,Accepted,840 ms,1400 KB,2012-01-07 05:32:00
4130303,Jul/21/2013 19:45,netman,47D - Safe,GNU C++,Accepted,2406 ms,124800 KB,2013-07-21 19:45:00
2420139,Oct/24/2012 10:48,zsyzgu#,47D - Safe,GNU C++,Accepted,218 ms,0 KB,2012-10-24 10:48:00
915379,Dec/02/2011 19:24,tmt514,47D - Safe,GNU C++,Accepted,630 ms,8200 KB,2011-12-02 19:24:00
215558,Dec/09/2010 11:35,Zachary,47D - Safe,GNU C++,Accepted,160 ms,1300 KB,2010-12-09 11:35:00
47594019,Dec/27/2018 20:33,moss3s,47D - Safe,Kotlin,Accepted,1778 ms,6000 KB,2018-12-27 20:33:00
18357453,Jun/10/2016 14:33,IMAN_GH#,47D - Safe,GNU C++11,Accepted,1248 ms,5000 KB,2016-06-10 14:33:00
1786930,Jun/12/2012 11:50,vjudge4,47D - Safe,GNU C++,Accepted,80 ms,1400 KB,2012-06-12 11:50:00
70785697,Feb/11/2020 15:16,kpgong,47D - Safe,GNU C++11,Accepted,92 ms,0 KB,2020-02-11 15:16:00
7247822,Jul/26/2014 11:28,vjudge3,47D - Safe,GNU C++,Accepted,92 ms,0 KB,2014-07-26 11:28:00
7811405,Sep/16/2014 20:10,vjudge2,47D - Safe,GNU C++,Accepted,122 ms,0 KB,2014-09-16 20:10:00
73812605,Mar/20/2020 19:55,CaiJiZXY,47D - Safe,GNU C++11,Accepted,92 ms,0 KB,2020-03-20 19:55:00
56678824,Jul/07/2019 20:02,sombra99,47D - Safe,GNU C++17,Accepted,2556 ms,200 KB,2019-07-07 20:02:00
724272,Sep/25/2011 19:23,Archon.JK,47D - Safe,GNU C++0x,Accepted,520 ms,10100 KB,2011-09-25 19:23:00
216088,Jan/02/2011 16:55,NotOnlySuccess,47D - Safe,GNU C++,Accepted,1000 ms,1300 KB,2011-01-02 16:55:00
514404,Jun/30/2011 13:11,aan93,47D - Safe,MS C++,Accepted,250 ms,1400 KB,2011-06-30 13:11:00
215546,Dec/09/2010 02:54,PanZverski,47D - Safe,MS C++,Accepted,90 ms,1300 KB,2010-12-09 02:54:00
18903166,Jul/05/2016 18:06,mhadih,47D - Safe,GNU C++11,Accepted,1934 ms,131000 KB,2016-07-05 18:06:00
9707717,Feb/04/2015 03:38,MohamedElhawaty,47D - Safe,GNU C++,Accepted,92 ms,0 KB,2015-02-04 03:38:00
9707723,Feb/04/2015 03:40,tweetyAboElftoh,47D - Safe,GNU C++,Accepted,92 ms,0 KB,2015-02-04 03:40:00
16738945,Mar/16/2016 10:22,Mohammad.Sj#,47D - Safe,GNU C++11,Accepted,154 ms,0 KB,2016-03-16 10:22:00
214130,Dec/07/2010 19:39,andrehahn,47D - Safe,GNU C++,Accepted,220 ms,1300 KB,2010-12-07 19:39:00
9160130,Dec/17/2014 13:07,bnuvjudge,47D - Safe,GNU C++,Accepted,498 ms,0 KB,2014-12-17 13:07:00
20766436,Sep/20/2016 03:37,"life for aruba: AkaneSasu, rxdoi, Dirak#",47D - Safe,GNU C++11,Accepted,2370 ms,27200 KB,2016-09-20 03:37:00
62681899,Oct/16/2019 16:05,vjudge4,47D - Safe,GNU C++17,Accepted,498 ms,33300 KB,2019-10-16 16:05:00
12256957,Jul/29/2015 00:28,maxkvant#,47D - Safe,GNU C++11,Accepted,3242 ms,129500 KB,2015-07-29 00:28:00
2105779,Sep/09/2012 12:42,nijuyoumo,47D - Safe,GNU C++,Accepted,380 ms,1400 KB,2012-09-09 12:42:00
788593,Oct/21/2011 16:58,vjudge3,47D - Safe,GNU C++,Accepted,60 ms,1400 KB,2011-10-21 16:58:00
3847363,Jun/08/2013 17:53,numitus,47D - Safe,GNU C++,Accepted,93 ms,0 KB,2013-06-08 17:53:00
455353,May/14/2011 21:41,vlad107,47D - Safe,FPC,Accepted,190 ms,1000 KB,2011-05-14 21:41:00
28706274,Jul/20/2017 01:58,alimamdouh1809,47D - Safe,GNU C++14,Accepted,92 ms,1900 KB,2017-07-20 01:58:00
5836649,Jan/30/2014 11:00,vjudge1,47D - Safe,GNU C++,Accepted,92 ms,0 KB,2014-01-30 11:00:00
2565577,Nov/16/2012 06:57,dut200901102,47D - Safe,GNU C++,Accepted,140 ms,0 KB,2012-11-16 06:57:00
215392,Dec/08/2010 13:38,Connector,47D - Safe,MS C++,Accepted,840 ms,8900 KB,2010-12-08 13:38:00
3831013,Jun/07/2013 15:24,JFantasy,47D - Safe,GNU C++,Accepted,78 ms,0 KB,2013-06-07 15:24:00
45765373,Nov/15/2018 14:53,Photon_,47D - Safe,GNU C++17,Accepted,92 ms,0 KB,2018-11-15 14:53:00
215371,Dec/08/2010 12:29,Connector,47D - Safe,MS C++,Accepted,880 ms,8900 KB,2010-12-08 12:29:00
215968,Dec/19/2010 16:45,phamducgiam,47D - Safe,MS C++,Accepted,300 ms,1300 KB,2010-12-19 16:45:00
673287,Sep/08/2011 11:13,vjudge5,47D - Safe,GNU C++,Accepted,90 ms,1400 KB,2011-09-08 11:13:00
21802940,Oct/26/2016 20:49,carlosvfs,47D - Safe,GNU C++11,Accepted,156 ms,0 KB,2016-10-26 20:49:00
22216169,Nov/15/2016 06:28,Mjgonzales#,47D - Safe,GNU C++14,Accepted,186 ms,17700 KB,2016-11-15 06:28:00
1895087,Jul/12/2012 12:53,vjudge2,47D - Safe,MS C++,Accepted,160 ms,1400 KB,2012-07-12 12:53:00
570072,Jul/30/2011 07:55,AekdyCoin,47D - Safe,GNU C++,Accepted,2220 ms,126000 KB,2011-07-30 07:55:00
5836457,Jan/30/2014 10:26,vjudge4,47D - Safe,GNU C++,Accepted,122 ms,100 KB,2014-01-30 10:26:00
1894986,Jul/12/2012 12:26,vjudge3,47D - Safe,MS C++,Accepted,130 ms,1400 KB,2012-07-12 12:26:00
3561390,Apr/18/2013 21:10,hananahmad114,47D - Safe,Java 7,Accepted,265 ms,100 KB,2013-04-18 21:10:00
38320996,May/16/2018 15:30,kasrakhoshjoo,47D - Safe,GNU C++14,Accepted,2556 ms,105500 KB,2018-05-16 15:30:00
278054,Feb/10/2011 08:43,Ahmed_Salama,47D - Safe,GNU C++,Accepted,270 ms,1300 KB,2011-02-10 08:43:00
9737833,Feb/06/2015 18:40,vontman,47D - Safe,GNU C++,Accepted,62 ms,0 KB,2015-02-06 18:40:00
