21224224,Oct/06/2016 04:50,Xin-Jie,714D - Searching Rectangles,GNU C++14,Accepted,15 ms,0 KB,2016-10-06 04:50:00
23516833,Jan/03/2017 16:07,smeke#,713B - Searching Rectangles,GNU C++11,Accepted,15 ms,1900 KB,2017-01-03 16:07:00
20816295,Sep/22/2016 15:04,Tzn-40,713B - Searching Rectangles,GNU C++,Accepted,15 ms,0 KB,2016-09-22 15:04:00
20630504,Sep/15/2016 05:48,bluefi,713B - Searching Rectangles,GNU C++11,Accepted,31 ms,0 KB,2016-09-15 05:48:00
71168885,Feb/15/2020 19:09,blackcoffee,713B - Searching Rectangles,GNU C++11,Accepted,31 ms,0 KB,2020-02-15 19:09:00
20767657,Sep/20/2016 06:17,RedBowtie,714D - Searching Rectangles,GNU C++,Accepted,15 ms,0 KB,2016-09-20 06:17:00
20597686,Sep/13/2016 22:50,Klungs,714D - Searching Rectangles,GNU C++,Accepted,31 ms,0 KB,2016-09-13 22:50:00
20582210,Sep/13/2016 20:10,csehydrogen,713B - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-09-13 20:10:00
20587948,Sep/13/2016 20:36,tun,713B - Searching Rectangles,GNU C++11,Accepted,31 ms,0 KB,2016-09-13 20:36:00
27009814,May/11/2017 13:05,RNS3,713B - Searching Rectangles,GNU C++14,Accepted,15 ms,0 KB,2017-05-11 13:05:00
22512482,Nov/26/2016 18:44,theodor.moroianu,714D - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-11-26 18:44:00
27828036,Jun/16/2017 18:02,awatjkim,714D - Searching Rectangles,GNU C++,Accepted,15 ms,0 KB,2017-06-16 18:02:00
20583078,Sep/13/2016 20:13,Ra16bit,713B - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-09-13 20:13:00
20901648,Sep/25/2016 09:20,ankiteciitkgp,714D - Searching Rectangles,GNU C++14,Accepted,15 ms,0 KB,2016-09-25 09:20:00
20993433,Sep/29/2016 16:27,ManiSadati,713B - Searching Rectangles,GNU C++14,Accepted,15 ms,0 KB,2016-09-29 16:27:00
20615669,Sep/14/2016 16:30,iamexist,714D - Searching Rectangles,MS C++,Accepted,15 ms,0 KB,2016-09-14 16:30:00
20630760,Sep/15/2016 06:22,SGZW,714D - Searching Rectangles,GNU C++11,Accepted,31 ms,0 KB,2016-09-15 06:22:00
23416505,Dec/30/2016 12:50,Vladyslav,713B - Searching Rectangles,GNU C++14,Accepted,30 ms,1900 KB,2016-12-30 12:50:00
20778768,Sep/20/2016 17:55,sagitta,713B - Searching Rectangles,GNU C++11,Accepted,31 ms,0 KB,2016-09-20 17:55:00
22204308,Nov/14/2016 11:22,Philipsweng#,713B - Searching Rectangles,GNU C++14,Accepted,31 ms,100 KB,2016-11-14 11:22:00
27340895,May/25/2017 19:25,vjudge5,713B - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2017-05-25 19:25:00
20609088,Sep/14/2016 11:09,452660407,713B - Searching Rectangles,GNU C++11,Accepted,30 ms,143800 KB,2016-09-14 11:09:00
35190131,Feb/13/2018 04:59,laugher#,713B - Searching Rectangles,GNU C++,Accepted,15 ms,1800 KB,2018-02-13 04:59:00
78402850,Apr/28/2020 19:04,peti1234,714D - Searching Rectangles,GNU C++17,Accepted,31 ms,0 KB,2020-04-28 19:04:00
20622579,Sep/14/2016 19:37,widelec,713B - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-09-14 19:37:00
47506540,Dec/26/2018 04:05,markotee,713B - Searching Rectangles,GNU C++17,Accepted,31 ms,0 KB,2018-12-26 04:05:00
20614754,Sep/14/2016 16:04,OnionPringles,713B - Searching Rectangles,GNU C++14,Accepted,31 ms,0 KB,2016-09-14 16:04:00
26654103,Apr/25/2017 09:30,Herrwerner,714D - Searching Rectangles,GNU C++,Accepted,15 ms,1900 KB,2017-04-25 09:30:00
22694263,Dec/04/2016 14:12,krishnkant_,714D - Searching Rectangles,GNU C++11,Accepted,30 ms,0 KB,2016-12-04 14:12:00
61737177,Oct/02/2019 21:39,Anachor,713B - Searching Rectangles,GNU C++17,Accepted,31 ms,0 KB,2019-10-02 21:39:00
20599226,Sep/13/2016 23:29,faiface,714D - Searching Rectangles,Go,Accepted,31 ms,0 KB,2016-09-13 23:29:00
27340762,May/25/2017 19:18,ccw630,713B - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2017-05-25 19:18:00
45503879,Nov/10/2018 12:14,__ShaW,713B - Searching Rectangles,GNU C++14,Accepted,31 ms,0 KB,2018-11-10 12:14:00
20681060,Sep/17/2016 14:45,plzrun,713B - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-09-17 14:45:00
27486064,Jun/01/2017 16:52,Addy,713B - Searching Rectangles,GNU C++14,Accepted,15 ms,0 KB,2017-06-01 16:52:00
54621258,May/25/2019 15:23,Panole233#,713B - Searching Rectangles,GNU C++11,Accepted,31 ms,0 KB,2019-05-25 15:23:00
20598847,Sep/13/2016 23:17,please_delete_account,713B - Searching Rectangles,GNU C++14,Accepted,31 ms,0 KB,2016-09-13 23:17:00
26303342,Apr/11/2017 19:13,freefood,713B - Searching Rectangles,GNU C++,Accepted,15 ms,1900 KB,2017-04-11 19:13:00
23047201,Dec/17/2016 15:31,Arkcy,713B - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-12-17 15:31:00
20590679,Sep/13/2016 20:54,frcepeda,713B - Searching Rectangles,GNU C++11,Accepted,30 ms,0 KB,2016-09-13 20:54:00
20824731,Sep/22/2016 21:40,victorsenam#,713B - Searching Rectangles,GNU C++11,Accepted,30 ms,0 KB,2016-09-22 21:40:00
20606516,Sep/14/2016 08:53,Allanur,713B - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-09-14 08:53:00
21107916,Oct/02/2016 10:23,tapasjain#,714D - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-10-02 10:23:00
20600432,Sep/14/2016 00:33,supersayadilson,713B - Searching Rectangles,GNU C++11,Accepted,31 ms,0 KB,2016-09-14 00:33:00
74223211,Mar/24/2020 19:50,Alexdat2000,713B - Searching Rectangles,PyPy 3,Accepted,155 ms,0 KB,2020-03-24 19:50:00
20618601,Sep/14/2016 17:36,Eat_KFC,714D - Searching Rectangles,GNU C++,Accepted,15 ms,0 KB,2016-09-14 17:36:00
20603361,Sep/14/2016 05:24,arman.t,714D - Searching Rectangles,Python 2,Accepted,62 ms,0 KB,2016-09-14 05:24:00
26716143,Apr/28/2017 12:16,SegmentationRight,714D - Searching Rectangles,GNU C++11,Accepted,15 ms,1900 KB,2017-04-28 12:16:00
20578836,Sep/13/2016 19:58,Um_nik,713B - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-09-13 19:58:00
20639233,Sep/15/2016 15:16,0ogway,714D - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-09-15 15:16:00
63876521,Oct/30/2019 22:10,pajenegod,713B - Searching Rectangles,PyPy 2,Accepted,202 ms,0 KB,2019-10-30 22:10:00
20691323,Sep/17/2016 17:09,cacachandrika#,714D - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-09-17 17:09:00
20592251,Sep/13/2016 21:04,NADAF,713B - Searching Rectangles,GNU C++14,Accepted,15 ms,0 KB,2016-09-13 21:04:00
20580004,Sep/13/2016 20:02,Herzu,713B - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-09-13 20:02:00
20630221,Sep/15/2016 05:17,sfiction,713B - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-09-15 05:17:00
27824685,Jun/16/2017 15:22,vjudge1,713B - Searching Rectangles,GNU C++,Accepted,15 ms,0 KB,2017-06-16 15:22:00
20977157,Sep/28/2016 21:57,tankche1,713B - Searching Rectangles,GNU C++,Accepted,15 ms,0 KB,2016-09-28 21:57:00
39802725,Jun/30/2018 19:38,Tosic,714D - Searching Rectangles,GNU C++14,Accepted,31 ms,0 KB,2018-06-30 19:38:00
39802798,Jun/30/2018 19:42,Tosic,714D - Searching Rectangles,GNU C++14,Accepted,31 ms,0 KB,2018-06-30 19:42:00
39803048,Jun/30/2018 19:54,Tosic,714D - Searching Rectangles,GNU C++14,Accepted,31 ms,0 KB,2018-06-30 19:54:00
39807407,Jun/30/2018 23:59,Tosic,714D - Searching Rectangles,GNU C++14,Accepted,31 ms,0 KB,2018-06-30 23:59:00
22869350,Dec/11/2016 05:59,YxuanwKeith,713B - Searching Rectangles,GNU C++,Accepted,15 ms,0 KB,2016-12-11 05:59:00
25564061,Mar/17/2017 07:59,Toxel,714D - Searching Rectangles,GNU C++11,Accepted,15 ms,2000 KB,2017-03-17 07:59:00
20584084,Sep/13/2016 20:17,SeyedParsa,713B - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-09-13 20:17:00
64681974,Nov/11/2019 13:25,737,714D - Searching Rectangles,GNU C++11,Accepted,31 ms,0 KB,2019-11-11 13:25:00
20644975,Sep/15/2016 20:07,Heisenberg302,713B - Searching Rectangles,GNU C++14,Accepted,15 ms,0 KB,2016-09-15 20:07:00
20645043,Sep/15/2016 20:10,Heisenberg302,713B - Searching Rectangles,GNU C++14,Accepted,15 ms,0 KB,2016-09-15 20:10:00
20824390,Sep/22/2016 21:23,.I.,713B - Searching Rectangles,GNU C++11,Accepted,30 ms,0 KB,2016-09-22 21:23:00
21182125,Oct/04/2016 11:37,bibibibi,713B - Searching Rectangles,GNU C++14,Accepted,15 ms,0 KB,2016-10-04 11:37:00
20644951,Sep/15/2016 20:05,Heisenberg302,713B - Searching Rectangles,GNU C++14,Accepted,15 ms,0 KB,2016-09-15 20:05:00
21182144,Oct/04/2016 11:38,bibibibi,713B - Searching Rectangles,GNU C++14,Accepted,30 ms,0 KB,2016-10-04 11:38:00
70570306,Feb/08/2020 17:13,big_tq,714D - Searching Rectangles,GNU C++11,Accepted,31 ms,0 KB,2020-02-08 17:13:00
20654855,Sep/16/2016 10:35,Theodor1000,714D - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-09-16 10:35:00
20642553,Sep/15/2016 17:46,Harry.Guo2012,713B - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-09-15 17:46:00
