47506012,Dec/26/2018 02:46,daifucong,949D - Curfew,GNU C++11,Accepted,46 ms,1600 KB,2018-12-26 02:46:00
39984741,Jul/05/2018 15:53,jz_597,950F - Curfew,GNU C++11,Accepted,31 ms,600 KB,2018-07-05 15:53:00
40013897,Jul/06/2018 02:27,gjx,950F - Curfew,GNU C++,Accepted,46 ms,800 KB,2018-07-06 02:27:00
39983623,Jul/05/2018 15:10,jokergh,950F - Curfew,GNU C++,Accepted,46 ms,1400 KB,2018-07-05 15:10:00
36133492,Mar/10/2018 04:18,MilagrosRuiz,950F - Curfew,GNU C++14,Accepted,31 ms,2200 KB,2018-03-10 04:18:00
39983535,Jul/05/2018 15:08,Iking,950F - Curfew,GNU C++,Accepted,46 ms,600 KB,2018-07-05 15:08:00
36110799,Mar/09/2018 13:22,_ChenKerui,950F - Curfew,GNU C++11,Accepted,31 ms,2500 KB,2018-03-09 13:22:00
36116603,Mar/09/2018 15:47,wadith,950F - Curfew,GNU C++,Accepted,31 ms,2400 KB,2018-03-09 15:47:00
38562109,May/23/2018 15:41,adoubiq,949D - Curfew,GNU C++11,Accepted,31 ms,1000 KB,2018-05-23 15:41:00
36708056,Mar/29/2018 06:00,-Invoid,950F - Curfew,GNU C++,Accepted,46 ms,4500 KB,2018-03-29 06:00:00
38576763,May/24/2018 07:49,lhylhy,950F - Curfew,GNU C++,Accepted,31 ms,1500 KB,2018-05-24 07:49:00
59000059,Aug/18/2019 16:19,ivanovcraft,949D - Curfew,GNU C++11,Accepted,46 ms,400 KB,2019-08-18 16:19:00
36572830,Mar/24/2018 14:42,a1214034447,950F - Curfew,GNU C++11,Accepted,46 ms,4200 KB,2018-03-24 14:42:00
43447983,Sep/26/2018 15:12,litble,949D - Curfew,GNU C++11,Accepted,31 ms,1100 KB,2018-09-26 15:12:00
39976715,Jul/05/2018 11:06,leason,950F - Curfew,GNU C++,Accepted,46 ms,1700 KB,2018-07-05 11:06:00
36395928,Mar/18/2018 20:15,hustle235,950F - Curfew,GNU C++14,Accepted,46 ms,3700 KB,2018-03-18 20:15:00
39985041,Jul/05/2018 16:04,liuzian8394,950F - Curfew,GNU C++,Accepted,46 ms,600 KB,2018-07-05 16:04:00
36112779,Mar/09/2018 13:39,Memphis,949D - Curfew,GNU C++11,Accepted,31 ms,3700 KB,2018-03-09 13:39:00
39977525,Jul/05/2018 11:32,OIer_lh,950F - Curfew,GNU C++,Accepted,46 ms,1700 KB,2018-07-05 11:32:00
43178861,Sep/21/2018 15:34,SYCstudio,949D - Curfew,GNU C++14,Accepted,46 ms,1900 KB,2018-09-21 15:34:00
43178878,Sep/21/2018 15:35,luogu_bot2,949D - Curfew,GNU C++11,Accepted,46 ms,1900 KB,2018-09-21 15:35:00
39983308,Jul/05/2018 14:59,dengyipeng,950F - Curfew,FPC,Accepted,31 ms,900 KB,2018-07-05 14:59:00
73114568,Mar/13/2020 05:55,aaaaajack,949D - Curfew,GNU C++14,Accepted,46 ms,400 KB,2020-03-13 05:55:00
39976760,Jul/05/2018 11:08,fengqiyuka,950F - Curfew,GNU C++,Accepted,31 ms,1900 KB,2018-07-05 11:08:00
39977678,Jul/05/2018 11:37,yangzhanyu,950F - Curfew,FPC,Accepted,31 ms,1700 KB,2018-07-05 11:37:00
43990555,Oct/08/2018 12:54,vjudge4,949D - Curfew,GNU C++11,Accepted,31 ms,15700 KB,2018-10-08 12:54:00
43998247,Oct/08/2018 15:30,water_mi,949D - Curfew,GNU C++11,Accepted,46 ms,1400 KB,2018-10-08 15:30:00
43998275,Oct/08/2018 15:31,vjudge1,949D - Curfew,GNU C++11,Accepted,46 ms,1400 KB,2018-10-08 15:31:00
65704700,Nov/25/2019 15:10,vjudge5,950F - Curfew,GNU C++17,Accepted,124 ms,7800 KB,2019-11-25 15:10:00
70479180,Feb/07/2020 08:17,vjudge2,949D - Curfew,GNU C++11,Accepted,171 ms,7800 KB,2020-02-07 08:17:00
36876616,Apr/02/2018 14:40,Mingqi_H,949D - Curfew,GNU C++,Accepted,31 ms,4800 KB,2018-04-02 14:40:00
70484635,Feb/07/2020 10:00,vjudge2,949D - Curfew,GNU C++11,Accepted,46 ms,1600 KB,2020-02-07 10:00:00
39984586,Jul/05/2018 15:47,doggy_zheng,950F - Curfew,GNU C++,Accepted,46 ms,1600 KB,2018-07-05 15:47:00
43236377,Sep/22/2018 11:16,Matsuk,949D - Curfew,GNU C++11,Accepted,31 ms,800 KB,2018-09-22 11:16:00
43396946,Sep/25/2018 09:02,luogu_bot5,949D - Curfew,GNU C++11,Accepted,46 ms,1100 KB,2018-09-25 09:02:00
36288933,Mar/15/2018 04:51,Chentiancai_nn,949D - Curfew,GNU C++11,Accepted,15 ms,2800 KB,2018-03-15 04:51:00
39985666,Jul/05/2018 16:26,liziyang,950F - Curfew,GNU C++,Accepted,31 ms,600 KB,2018-07-05 16:26:00
56782747,Jul/10/2019 10:00,vjudge5,949D - Curfew,GNU C++11,Accepted,31 ms,400 KB,2019-07-10 10:00:00
36332528,Mar/16/2018 20:02,yuma_,949D - Curfew,GNU C++14,Accepted,124 ms,3700 KB,2018-03-16 20:02:00
43990620,Oct/08/2018 12:56,luogu_bot2,949D - Curfew,GNU C++11,Accepted,46 ms,15700 KB,2018-10-08 12:56:00
59981998,Sep/04/2019 11:49,luogu_bot2,949D - Curfew,GNU C++11,Accepted,46 ms,1600 KB,2019-09-04 11:49:00
39985248,Jul/05/2018 16:11,hanguandong,950F - Curfew,GNU C++,Accepted,46 ms,1400 KB,2018-07-05 16:11:00
36109104,Mar/09/2018 13:05,cxt,949D - Curfew,GNU C++14,Accepted,46 ms,4300 KB,2018-03-09 13:05:00
37021707,Apr/06/2018 16:17,Twenty_Fifteen,950F - Curfew,GNU C++11,Accepted,31 ms,3900 KB,2018-04-06 16:17:00
39983011,Jul/05/2018 14:50,Phoenix_Little_Chance,950F - Curfew,GNU C++17,Accepted,46 ms,400 KB,2018-07-05 14:50:00
41620014,Aug/15/2018 14:32,O_O_,950F - Curfew,GNU C++17,Accepted,46 ms,800 KB,2018-08-15 14:32:00
43171654,Sep/21/2018 11:52,luogu_bot4,949D - Curfew,GNU C++14,Accepted,46 ms,1200 KB,2018-09-21 11:52:00
39971616,Jul/05/2018 06:02,O.K,950F - Curfew,FPC,Accepted,31 ms,1600 KB,2018-07-05 06:02:00
36274112,Mar/14/2018 14:58,scy_666,950F - Curfew,GNU C++,Accepted,31 ms,4600 KB,2018-03-14 14:58:00
43398692,Sep/25/2018 10:13,luogu_bot1,949D - Curfew,GNU C++11,Accepted,31 ms,16000 KB,2018-09-25 10:13:00
37091690,Apr/08/2018 11:40,polarz,950F - Curfew,GNU C++14,Accepted,46 ms,4100 KB,2018-04-08 11:40:00
39970696,Jul/05/2018 05:09,kyrie_lrving#,950F - Curfew,FPC,Accepted,46 ms,1600 KB,2018-07-05 05:09:00
58942148,Aug/17/2019 10:22,betrue12#,949D - Curfew,GNU C++14,Accepted,124 ms,800 KB,2019-08-17 10:22:00
36148542,Mar/10/2018 14:28,DeaphetS,949D - Curfew,GNU C++11,Accepted,31 ms,2800 KB,2018-03-10 14:28:00
39976944,Jul/05/2018 11:15,sulvshuo,950F - Curfew,GNU C++17,Accepted,46 ms,2600 KB,2018-07-05 11:15:00
58999939,Aug/18/2019 16:16,ivanovcraft,949D - Curfew,GNU C++11,Accepted,46 ms,800 KB,2019-08-18 16:16:00
36114496,Mar/09/2018 15:07,abc473848880,949D - Curfew,GNU C++14,Accepted,46 ms,3200 KB,2018-03-09 15:07:00
40087823,Jul/08/2018 17:33,YxuanwKeith#,949D - Curfew,GNU C++14,Accepted,46 ms,1500 KB,2018-07-08 17:33:00
43998146,Oct/08/2018 15:28,water_mi,949D - Curfew,GNU C++11,Accepted,31 ms,1600 KB,2018-10-08 15:28:00
43171629,Sep/21/2018 11:51,yybyyb,949D - Curfew,GNU C++11,Accepted,31 ms,1200 KB,2018-09-21 11:51:00
36424830,Mar/20/2018 08:03,icebound_,949D - Curfew,GNU C++14,Accepted,46 ms,4500 KB,2018-03-20 08:03:00
36428622,Mar/20/2018 12:13,yantang,949D - Curfew,GNU C++14,Accepted,46 ms,4500 KB,2018-03-20 12:13:00
36444339,Mar/21/2018 04:03,lagerst,949D - Curfew,GNU C++14,Accepted,140 ms,4500 KB,2018-03-21 04:03:00
36110889,Mar/09/2018 13:22,q707185547,949D - Curfew,GNU C++11,Accepted,31 ms,3100 KB,2018-03-09 13:22:00
44255973,Oct/13/2018 15:21,luogu_bot3,949D - Curfew,GNU C++11,Accepted,46 ms,1600 KB,2018-10-13 15:21:00
60818252,Sep/19/2019 00:37,icecuber#,949D - Curfew,GNU C++14,Accepted,46 ms,1600 KB,2019-09-19 00:37:00
