2668369,Nov/27/2012 16:58,zzxchavo,250D - Building Bridge,GNU C++,Accepted,140 ms,1200 KB,2012-11-27 16:58:00
2667435,Nov/27/2012 14:03,Slipper,250D - Building Bridge,GNU C++,Accepted,375 ms,1200 KB,2012-11-27 14:03:00
11939091,Jul/05/2015 23:01,alihaghighatjavan,250D - Building Bridge,GNU C++,Accepted,1152 ms,1200 KB,2015-07-05 23:01:00
2745466,Dec/10/2012 08:05,lysine,250D - Building Bridge,GNU C++,Accepted,1984 ms,2400 KB,2012-12-10 08:05:00
3149583,Feb/20/2013 12:08,Petrushenko,250D - Building Bridge,FPC,Accepted,125 ms,5900 KB,2013-02-20 12:08:00
2669025,Nov/27/2012 18:49,betasspace,250D - Building Bridge,GNU C++,Accepted,1656 ms,2400 KB,2012-11-27 18:49:00
2678586,Nov/30/2012 06:00,zhj,250D - Building Bridge,GNU C++,Accepted,156 ms,1400 KB,2012-11-30 06:00:00
49967119,Feb/16/2019 00:36,ignifi,250D - Building Bridge,GNU C++17,Accepted,421 ms,800 KB,2019-02-16 00:36:00
32924938,Dec/04/2017 18:47,_fake_id,250D - Building Bridge,GNU C++11,Accepted,296 ms,4400 KB,2017-12-04 18:47:00
2673342,Nov/28/2012 18:22,95487701,250D - Building Bridge,GNU C++,Accepted,343 ms,1200 KB,2012-11-28 18:22:00
9795779,Feb/11/2015 09:43,Daneel,250D - Building Bridge,FPC,Accepted,312 ms,1200 KB,2015-02-11 09:43:00
2696285,Dec/05/2012 12:30,2011330300713,250D - Building Bridge,GNU C++,Accepted,640 ms,2300 KB,2012-12-05 12:30:00
7124288,Jul/17/2014 17:30,SoroushE,250D - Building Bridge,GNU C++,Accepted,404 ms,1200 KB,2014-07-17 17:30:00
2667923,Nov/27/2012 15:38,hanfei19910905#,250D - Building Bridge,GNU C++,Accepted,1890 ms,2400 KB,2012-11-27 15:38:00
2660162,Nov/26/2012 18:40,* dhh1995,250D - Building Bridge,GNU C++,Accepted,156 ms,1900 KB,2012-11-26 18:40:00
5333038,Dec/02/2013 16:29,PSDEV,250D - Building Bridge,GNU C++,Accepted,124 ms,1200 KB,2013-12-02 16:29:00
2664917,Nov/26/2012 23:26,Hinidu,250D - Building Bridge,Haskell,Accepted,500 ms,22800 KB,2012-11-26 23:26:00
78555994,Apr/30/2020 13:18,Scut82,250D - Building Bridge,GNU C++14,Accepted,93 ms,1200 KB,2020-04-30 13:18:00
55425508,Jun/11/2019 11:44,chongryong,250D - Building Bridge,GNU C++17,Accepted,109 ms,1200 KB,2019-06-11 11:44:00
13858446,Oct/25/2015 21:45,Anjytka,250D - Building Bridge,Python 3,Accepted,1122 ms,11600 KB,2015-10-25 21:45:00
2665371,Nov/27/2012 01:37,d40a,250D - Building Bridge,Delphi,Accepted,359 ms,39100 KB,2012-11-27 01:37:00
4111431,Jul/20/2013 14:42,vjudge5,250D - Building Bridge,GNU C++,Accepted,125 ms,1200 KB,2013-07-20 14:42:00
2673968,Nov/28/2012 20:39,csdon111,250D - Building Bridge,GNU C++,Accepted,375 ms,1200 KB,2012-11-28 20:39:00
16523645,Mar/05/2016 00:38,Amirnasr#,250D - Building Bridge,GNU C++11,Accepted,186 ms,1200 KB,2016-03-05 00:38:00
2681983,Nov/30/2012 23:23,SeyedParsa,250D - Building Bridge,GNU C++0x,Accepted,421 ms,3900 KB,2012-11-30 23:23:00
28550195,Jul/14/2017 17:02,Smaug,250D - Building Bridge,GNU C++11,Accepted,296 ms,64700 KB,2017-07-14 17:02:00
4111411,Jul/20/2013 14:40,Taburiss1993,250D - Building Bridge,GNU C++,Accepted,125 ms,1200 KB,2013-07-20 14:40:00
2669065,Nov/27/2012 18:54,squarefk,250D - Building Bridge,GNU C++,Accepted,656 ms,2300 KB,2012-11-27 18:54:00
2684482,Dec/01/2012 20:03,Haile,250D - Building Bridge,GNU C++,Accepted,656 ms,2300 KB,2012-12-01 20:03:00
2669049,Nov/27/2012 18:52,betasspace,250D - Building Bridge,GNU C++,Accepted,359 ms,2400 KB,2012-11-27 18:52:00
3149716,Feb/20/2013 12:49,kuskova,250D - Building Bridge,FPC,Accepted,406 ms,2400 KB,2013-02-20 12:49:00
3149772,Feb/20/2013 13:06,yanush,250D - Building Bridge,FPC,Accepted,156 ms,82200 KB,2013-02-20 13:06:00
2664909,Nov/26/2012 23:23,Hinidu,250D - Building Bridge,Haskell,Accepted,390 ms,22700 KB,2012-11-26 23:23:00
2682854,Dec/01/2012 10:40,AYBCO,250D - Building Bridge,GNU C++,Accepted,1843 ms,2400 KB,2012-12-01 10:40:00
4812650,Oct/17/2013 13:26,vjudge1,250D - Building Bridge,GNU C++,Accepted,436 ms,1200 KB,2013-10-17 13:26:00
24525800,Feb/08/2017 15:12,NourElRashidy,250D - Building Bridge,GNU C++11,Accepted,109 ms,3600 KB,2017-02-08 15:12:00
28550728,Jul/14/2017 17:28,Smaug,250D - Building Bridge,GNU C++11,Accepted,655 ms,64700 KB,2017-07-14 17:28:00
2666780,Nov/27/2012 11:40,xesmaster,250D - Building Bridge,GNU C++,Accepted,359 ms,2300 KB,2012-11-27 11:40:00
2669478,Nov/27/2012 20:24,Archon.JK#,250D - Building Bridge,GNU C++0x,Accepted,312 ms,1200 KB,2012-11-27 20:24:00
2684652,Dec/01/2012 20:51,omeger,250D - Building Bridge,GNU C++,Accepted,1687 ms,1200 KB,2012-12-01 20:51:00
2660257,Nov/26/2012 18:42,* Sampson,250D - Building Bridge,GNU C++,Accepted,375 ms,2700 KB,2012-11-26 18:42:00
9710538,Feb/04/2015 12:12,KyntsevichVova,250D - Building Bridge,FPC,Accepted,122 ms,2400 KB,2015-02-04 12:12:00
2906354,Jan/12/2013 04:15,simpletest,250D - Building Bridge,GNU C++,Accepted,406 ms,1200 KB,2013-01-12 04:15:00
2685103,Dec/02/2012 01:23,idwin,250D - Building Bridge,GNU C++,Accepted,453 ms,1300 KB,2012-12-02 01:23:00
2906346,Jan/12/2013 04:12,simpletest,250D - Building Bridge,GNU C++,Accepted,406 ms,1200 KB,2013-01-12 04:12:00
9795834,Feb/11/2015 09:52,Dearg,250D - Building Bridge,FPC,Accepted,248 ms,2400 KB,2015-02-11 09:52:00
28550818,Jul/14/2017 17:32,Smaug,250D - Building Bridge,GNU C++11,Accepted,655 ms,64700 KB,2017-07-14 17:32:00
2673089,Nov/28/2012 17:39,gryffindor,250D - Building Bridge,GNU C++,Accepted,375 ms,2300 KB,2012-11-28 17:39:00
2675774,Nov/29/2012 11:15,irakli_p,250D - Building Bridge,GNU C++,Accepted,375 ms,2300 KB,2012-11-29 11:15:00
4258899,Aug/10/2013 05:32,sumy,250D - Building Bridge,GNU C++,Accepted,248 ms,2400 KB,2013-08-10 05:32:00
4812653,Oct/17/2013 13:27,ypa,250D - Building Bridge,GNU C++,Accepted,404 ms,1200 KB,2013-10-17 13:27:00
78628106,May/01/2020 09:39,Scut82,250D - Building Bridge,GNU C++14,Accepted,233 ms,2400 KB,2020-05-01 09:39:00
2662969,Nov/26/2012 19:58,nownikhil,250D - Building Bridge,GNU C++,Accepted,1984 ms,23500 KB,2012-11-26 19:58:00
3264663,Mar/08/2013 11:18,nzamulov,250D - Building Bridge,GNU C++,Accepted,437 ms,1200 KB,2013-03-08 11:18:00
40619018,Jul/22/2018 00:51,Jonothor_Darry,250D - Building Bridge,GNU C++,Accepted,93 ms,2400 KB,2018-07-22 00:51:00
5918786,Mar/04/2014 05:36,dashuiren,250D - Building Bridge,GNU C++,Accepted,374 ms,2300 KB,2014-03-04 05:36:00
2685095,Dec/02/2012 01:20,idwin,250D - Building Bridge,GNU C++,Accepted,468 ms,1300 KB,2012-12-02 01:20:00
8630027,Nov/10/2014 13:23,TrinhVuAn,250D - Building Bridge,FPC,Accepted,154 ms,11700 KB,2014-11-10 13:23:00
3014903,Jan/27/2013 09:12,christinass,250D - Building Bridge,GNU C++,Accepted,109 ms,1200 KB,2013-01-27 09:12:00
52350366,Apr/05/2019 17:21,frankoo,250D - Building Bridge,GNU C++14,Accepted,982 ms,11100 KB,2019-04-05 17:21:00
2664443,Nov/26/2012 21:50,San4eS,250D - Building Bridge,Delphi,Accepted,500 ms,1200 KB,2012-11-26 21:50:00
12011683,Jul/11/2015 21:34,mindbeats,250D - Building Bridge,GNU C++,Accepted,1216 ms,1200 KB,2015-07-11 21:34:00
2754839,Dec/12/2012 17:58,Robert#,250D - Building Bridge,GNU C++,Accepted,500 ms,3100 KB,2012-12-12 17:58:00
4103888,Jul/19/2013 13:30,vjudge5,250D - Building Bridge,GNU C++,Accepted,640 ms,1200 KB,2013-07-19 13:30:00
55487504,Jun/12/2019 11:33,chongryong,250D - Building Bridge,GNU C++17,Accepted,78 ms,2000 KB,2019-06-12 11:33:00
2663639,Nov/26/2012 20:24,fnoifgyu,250D - Building Bridge,GNU C++,Accepted,140 ms,2300 KB,2012-11-26 20:24:00
2666670,Nov/27/2012 11:08,MMJ,250D - Building Bridge,GNU C++,Accepted,1953 ms,3500 KB,2012-11-27 11:08:00
2880065,Jan/07/2013 12:41,haruki_K,250D - Building Bridge,GNU C++,Accepted,406 ms,1200 KB,2013-01-07 12:41:00
11939200,Jul/05/2015 23:18,EKGMA,250D - Building Bridge,GNU C++,Accepted,1184 ms,2000 KB,2015-07-05 23:18:00
2671972,Nov/28/2012 13:21,zxybazh,250D - Building Bridge,GNU C++,Accepted,140 ms,1300 KB,2012-11-28 13:21:00
2662180,Nov/26/2012 19:39,hota911,250D - Building Bridge,Java 6,Accepted,2000 ms,400 KB,2012-11-26 19:39:00
2663519,Nov/26/2012 20:18,huangriq#,250D - Building Bridge,MS C++,Accepted,265 ms,3100 KB,2012-11-26 20:18:00
2669078,Nov/27/2012 18:57,guguli,250D - Building Bridge,GNU C++,Accepted,93 ms,1200 KB,2012-11-27 18:57:00
3610962,Apr/23/2013 16:04,ryunosuke.iwai,250D - Building Bridge,GNU C++,Accepted,218 ms,2300 KB,2013-04-23 16:04:00
2661169,Nov/26/2012 19:09,amir_sh,250D - Building Bridge,GNU C++,Accepted,281 ms,1600 KB,2012-11-26 19:09:00
75182201,Apr/02/2020 00:01,ArshiaDadras#,250D - Building Bridge,GNU C++17,Accepted,202 ms,1200 KB,2020-04-02 00:01:00
8632047,Nov/10/2014 18:05,greatsaiyanman,250D - Building Bridge,FPC,Accepted,184 ms,2900 KB,2014-11-10 18:05:00
29216755,Aug/05/2017 14:01,lukomskiy,250D - Building Bridge,GNU C++14,Accepted,93 ms,3100 KB,2017-08-05 14:01:00
2665538,Nov/27/2012 02:34,ikbal,250D - Building Bridge,GNU C++,Accepted,296 ms,2000 KB,2012-11-27 02:34:00
75183687,Apr/02/2020 00:28,Atreus#,250D - Building Bridge,GNU C++17,Accepted,124 ms,1600 KB,2020-04-02 00:28:00
28549901,Jul/14/2017 16:48,Smaug,250D - Building Bridge,GNU C++11,Accepted,265 ms,64700 KB,2017-07-14 16:48:00
4103891,Jul/19/2013 13:31,XiaoDan,250D - Building Bridge,GNU C++,Accepted,656 ms,1200 KB,2013-07-19 13:31:00
2673122,Nov/28/2012 17:44,gryffindor,250D - Building Bridge,GNU C++,Accepted,359 ms,2300 KB,2012-11-28 17:44:00
2686555,Dec/02/2012 16:49,BrightDays,250D - Building Bridge,FPC,Accepted,437 ms,39300 KB,2012-12-02 16:49:00
2662951,Nov/26/2012 19:58,* DeathCoil,250D - Building Bridge,Delphi,Accepted,375 ms,86200 KB,2012-11-26 19:58:00
2666676,Nov/27/2012 11:10,MMJ,250D - Building Bridge,GNU C++,Accepted,1734 ms,3500 KB,2012-11-27 11:10:00
2676981,Nov/29/2012 16:54,chubrik,250D - Building Bridge,Delphi,Accepted,500 ms,1200 KB,2012-11-29 16:54:00
3014900,Jan/27/2013 09:11,vjudge5,250D - Building Bridge,GNU C++,Accepted,125 ms,1200 KB,2013-01-27 09:11:00
2662221,Nov/26/2012 19:40,* radix.ru,250D - Building Bridge,GNU C++0x,Accepted,796 ms,1200 KB,2012-11-26 19:40:00
2695604,Dec/05/2012 03:26,sebastianclaici,250D - Building Bridge,GNU C++,Accepted,156 ms,1100 KB,2012-12-05 03:26:00
2664870,Nov/26/2012 23:14,potpath,250D - Building Bridge,GNU C++,Accepted,375 ms,2400 KB,2012-11-26 23:14:00
2661234,Nov/26/2012 19:11,Azoth,250D - Building Bridge,GNU C++,Accepted,453 ms,1200 KB,2012-11-26 19:11:00
2666753,Nov/27/2012 11:32,XxX_Sto,250D - Building Bridge,GNU C++,Accepted,421 ms,3100 KB,2012-11-27 11:32:00
2675124,Nov/29/2012 05:43,zcg.cs60,250D - Building Bridge,GNU C++,Accepted,406 ms,2300 KB,2012-11-29 05:43:00
2675125,Nov/29/2012 05:43,zcg.cs60,250D - Building Bridge,GNU C++,Accepted,390 ms,2300 KB,2012-11-29 05:43:00
2675126,Nov/29/2012 05:43,zcg.cs60,250D - Building Bridge,GNU C++,Accepted,406 ms,2300 KB,2012-11-29 05:43:00
2675127,Nov/29/2012 05:43,zcg.cs60,250D - Building Bridge,GNU C++,Accepted,406 ms,2300 KB,2012-11-29 05:43:00
2661529,Nov/26/2012 19:20,* ReDow,250D - Building Bridge,MS C++,Accepted,296 ms,2300 KB,2012-11-26 19:20:00
