000,10,100,1000,10000,1018,103,104,105,106,109,20,200,2000,50,500,64,absolute,appear,array,bit,cards,case,cell,character,characters,chronological,cin,colors,column,columns,consider,consist,consisting,consists,contain,containing,contains,coordinate,coordinates,correct,corresponding,correspondingly,cout,current,data,day,days,denotes,denoting,described,describes,describing,description,descriptions,different,digit,digits,distinct,does,doesn,element,elements,end,english,equal,equals,exactly,exceed,exceeding,exists,file,follow,following,format,friends,game,given,grid,group,guaranteed,house,i64d,inclusive,increasing,initial,input,integer,integers,latin,leading,left,length,lengths,letter,letters,lines,list,lld,located,lowercase,maximum,means,mm,names,needs,negative,nn,non,note,number,numbered,numbers,order,pair,pairs,participants,people,person,point,points,position,positions,positive,possible,problem,problems,read,representing,represents,required,respectively,right,row,rows,second,separated,sequence,set,single,size,sizes,small,space,spaces,square,stands,start,starts,statement,streams,string,strings,sum,symbols,table,th,time,total,type,uppercase,use,value,values,vasya,vertices,wants,word,words,write,written,zero,zeros
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47065244015550173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18021731645311956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31874220263877473,0.2848469730966842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4823321602965831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5750037362873205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.49011433270772337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2871375702368358,0.0,0.0,0.0,0.3062295391166783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2520123027824545,0.06087138732815714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23047945917976054,0.0,0.2795607870285992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2641308362976617,0.0,0.0,0.0,0.19242357804314406,0.0,0.21378384435546222,0.0,0.0,0.1652319908390941,0.0,0.0,0.17614747743217155,0.13320894585874646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28821557705488493,0.0,0.0,0.21722378164328845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1620150070309378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17954269348411986,0.0,0.0,0.0,0.0,0.0,0.0,0.25960768991470995,0.0,0.0,0.0,0.0,0.0632433908362726,0.0,0.5149274408684857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29832659276135565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22211445831133964,0.0,0.0,0.0,0.0,0.25146335953060783,0.0,0.0,0.0,0.0,0.0,0.2034459414672371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2430200533358127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5737611572431394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.536179630349881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2795519316888066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49443083612663624,0.4418527760377669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4412101473014373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.17311701687821995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21288191674504575,0.0,0.0,0.12811929494010152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2515631824495024,0.0,0.0,0.0,0.0,0.21288191674504575,0.0,0.0,0.0,0.0,0.17810533318807248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3616406589894491,0.0,0.0,0.0,0.0,0.0,0.22302708403462132,0.0,0.0,0.0,0.0,0.15308728857514672,0.0,0.0,0.2270365776144865,0.0,0.15381892165871736,0.0,0.0,0.0,0.0,0.0,0.0,0.10885106906295607,0.0,0.0,0.0,0.0,0.0,0.15963752921197913,0.0,0.0,0.15849794409689177,0.0,0.0,0.0,0.0,0.0,0.26118917559019467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2099795355319233,0.0,0.0,0.0,0.15166112345752575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4257638334900915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15236816265442912,0.0,0.0,0.0,0.0,0.0,0.10687104045538474,0.1593309978921055,0.0,0.0,0.22302708403462132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.2437128212856229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1270663526013972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6176455566550036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2247365009454033,0.20083789190346393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34007935284721835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4054195731030748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28559991977902266,0.0,0.0,0.0,0.0,0.0,0.0,0.3009044778241972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39239784307539705,0.16263132457420107,0.0,0.0,0.0,0.2665426001056102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11457282078901883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28819436886145644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28819436886145644,0.0,0.0,0.0,0.0,0.0,0.1791935457168632,0.0,0.0,0.13817273620888035,0.0,0.0,0.0,0.0,0.0,0.10131987863199955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2507274000359197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23321286470354846,0.0,0.0,0.0,0.19341221107259624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5197178185361878,0.28819436886145644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.06954503170673197,0.0,0.0,0.0,0.0,0.0,0.09927931873102355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18241148413381475,0.0,0.0,0.0,0.0,0.0,0.14884035660342884,0.0,0.1241833301758587,0.0,0.0,0.14503682611209842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14309790299142916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3028831583412305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2459945424162551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06413001581722723,0.0,0.0,0.25468887452986033,0.0,0.0,0.1968471935286435,0.0,0.0,0.3147768456058791,0.07934845731762237,0.0,0.0,0.0,0.23328250782904178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24370285093236688,0.0,0.0,0.0,0.0,0.2587870034550425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13933020016537317,0.0,0.24483898565218215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19301467761543073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4584639912881488,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16529537122724258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8315618810551462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2923504341752351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44239518743361855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.29698876867940766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21578306150373142,0.0,0.15484322655083307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3011711969230813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38261137041308535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2638821588241225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12237066130934901,0.10965957068256582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3388538340847438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20721057620726696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17401622135157077,0.0,0.0,0.0,0.0,0.0,0.0,0.18334129876243876,0.0,0.0,0.0,0.38261137041308535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3734762249650531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
