Source_ID,Similar_ID,Similarity
0,26184141,0.10916648204159488
0,47494714,0.09881949817524195
0,43949206,0.09069978714269863
0,75557360,0.09069978714269863
0,64797808,0.08143867108609679
0,43921567,0.06741565197961819
0,30334700,0.032723827138176884
0,11324563,0.0309352945868898
0,39424617,0.03035764011118939
1,43921567,0.4371543308745551
1,11324563,0.17749028734607342
1,47494714,0.1123490522581001
1,23413326,0.10916648204159488
1,43949206,0.10311765707839426
1,75557360,0.10311765707839426
1,64797808,0.09258858507312707
1,30334700,0.03720410478823065
1,39424617,0.03451395886706811
2,26184141,0.1123490522581001
2,64797808,0.10829828182386791
2,43949206,0.10269398964134455
2,75557360,0.10269398964134455
2,23413326,0.09881949817524195
2,43921567,0.0693810450389536
2,30334700,0.043516602205102006
2,11324563,0.041138186647636986
2,39424617,0.04037001366087392
3,26184141,0.4371543308745551
3,43949206,0.13509532910290833
3,75557360,0.13509532910290833
3,11324563,0.10960894972255442
3,47494714,0.0693810450389536
3,23413326,0.06741565197961819
3,64797808,0.05717798826014101
3,30334700,0.022975357762842877
3,39424617,0.02131406083539969
4,30334700,0.28717131522562
4,11324563,0.19111732608192886
4,64797808,0.08003014275616667
4,47494714,0.04037001366087392
4,43949206,0.03705292693852658
4,75557360,0.03705292693852658
4,26184141,0.03451395886706811
4,23413326,0.03035764011118939
4,43921567,0.02131406083539969
5,43949206,0.17702254827802072
5,43921567,0.13509532910290833
5,26184141,0.10311765707839426
5,47494714,0.10269398964134455
5,64797808,0.09939972668071848
5,23413326,0.09069978714269863
5,30334700,0.03994096944488536
5,11324563,0.03775798138299083
5,39424617,0.03705292693852658
6,39424617,0.19111732608192886
6,26184141,0.17749028734607342
6,43921567,0.10960894972255442
6,64797808,0.0815529808287151
6,47494714,0.041138186647636986
6,43949206,0.03775798138299083
6,75557360,0.03775798138299083
6,30334700,0.03276975927591641
6,23413326,0.0309352945868898
7,75557360,0.17702254827802072
7,43921567,0.13509532910290833
7,26184141,0.10311765707839426
7,47494714,0.10269398964134455
7,64797808,0.09939972668071848
7,23413326,0.09069978714269863
7,30334700,0.03994096944488536
7,11324563,0.03775798138299083
7,39424617,0.03705292693852658
8,39424617,0.28717131522562
8,64797808,0.08626798880954949
8,47494714,0.043516602205102006
8,43949206,0.03994096944488536
8,75557360,0.03994096944488536
8,26184141,0.03720410478823065
8,11324563,0.03276975927591641
8,23413326,0.032723827138176884
8,43921567,0.022975357762842877
9,47494714,0.10829828182386791
9,43949206,0.09939972668071848
9,75557360,0.09939972668071848
9,26184141,0.09258858507312707
9,30334700,0.08626798880954949
9,11324563,0.0815529808287151
9,23413326,0.08143867108609679
9,39424617,0.08003014275616667
9,43921567,0.05717798826014101
