17851024,May/11/2016 19:55,.I.,671A - Recycling Bottles,GNU C++11,Accepted,62 ms,2800 KB,2016-05-11 19:55:00
62503851,Oct/13/2019 14:47,wangxwgk#,671A - Recycling Bottles,GNU C++14,Accepted,358 ms,0 KB,2019-10-13 14:47:00
40502916,Jul/18/2018 10:08,vjudge5,671A - Recycling Bottles,GNU C++,Accepted,77 ms,0 KB,2018-07-18 10:08:00
17880674,May/12/2016 22:05,rek,672C - Recycling Bottles,PyPy 2,Accepted,1653 ms,37400 KB,2016-05-12 22:05:00
17880697,May/12/2016 22:07,rek,672C - Recycling Bottles,Python 2,Accepted,1341 ms,18400 KB,2016-05-12 22:07:00
17864417,May/11/2016 22:29,--d,672C - Recycling Bottles,PyPy 2,Accepted,1575 ms,41700 KB,2016-05-11 22:29:00
18132496,May/28/2016 16:58,14110401015,671A - Recycling Bottles,GNU C++11,Accepted,77 ms,2900 KB,2016-05-28 16:58:00
74022150,Mar/23/2020 11:54,vjudge3,671A - Recycling Bottles,GNU C++14,Accepted,140 ms,1500 KB,2020-03-23 11:54:00
17999931,May/20/2016 08:37,patientkiller,671A - Recycling Bottles,GNU C++,Accepted,514 ms,3000 KB,2016-05-20 08:37:00
18170688,May/31/2016 18:19,vjudge5,671A - Recycling Bottles,GNU C++,Accepted,124 ms,2000 KB,2016-05-31 18:19:00
18170700,May/31/2016 18:19,sherco,671A - Recycling Bottles,GNU C++,Accepted,93 ms,2000 KB,2016-05-31 18:19:00
17904946,May/14/2016 14:58,KTays,671A - Recycling Bottles,GNU C++11,Accepted,62 ms,2900 KB,2016-05-14 14:58:00
17986396,May/19/2016 08:38,i.am.batman,671A - Recycling Bottles,GNU C++11,Accepted,62 ms,2800 KB,2016-05-19 08:38:00
17880580,May/12/2016 21:56,rek,672C - Recycling Bottles,Python 2,Accepted,1497 ms,19900 KB,2016-05-12 21:56:00
17880628,May/12/2016 22:01,rek,672C - Recycling Bottles,PyPy 2,Accepted,1762 ms,37400 KB,2016-05-12 22:01:00
17880644,May/12/2016 22:02,rek,672C - Recycling Bottles,PyPy 2,Accepted,1964 ms,37400 KB,2016-05-12 22:02:00
18257039,Jun/05/2016 15:50,ahmedAbuamra,671A - Recycling Bottles,GNU C++,Accepted,514 ms,2200 KB,2016-06-05 15:50:00
17867598,May/12/2016 03:45,Butane,672C - Recycling Bottles,PyPy 2,Accepted,1013 ms,29700 KB,2016-05-12 03:45:00
17866564,May/12/2016 00:47,o_parmaksiz,672C - Recycling Bottles,GNU C++,Accepted,124 ms,5300 KB,2016-05-12 00:47:00
17976982,May/18/2016 12:18,Mohamed.gough,671A - Recycling Bottles,GNU C++11,Accepted,62 ms,2800 KB,2016-05-18 12:18:00
18714215,Jun/25/2016 09:02,anothervjudge,671A - Recycling Bottles,GNU C++,Accepted,1372 ms,0 KB,2016-06-25 09:02:00
18176359,Jun/01/2016 06:25,massimodong,671A - Recycling Bottles,GNU C++,Accepted,109 ms,5100 KB,2016-06-01 06:25:00
17901811,May/14/2016 09:28,orailly,671A - Recycling Bottles,Python 3,Accepted,343 ms,12300 KB,2016-05-14 09:28:00
