21518504,Oct/17/2016 15:17,Ortsb,727C - Guess the Array,Python 3,Accepted,218 ms,5500 KB,2016-10-17 15:17:00
21451201,Oct/15/2016 13:30,3EVEHAR_KOAVA,727C - Guess the Array,Python 3,Accepted,264 ms,5500 KB,2016-10-15 13:30:00
23047118,Dec/17/2016 15:26,edisonhello,727C - Guess the Array,GNU C++11,Accepted,62 ms,0 KB,2016-12-17 15:26:00
29420691,Aug/13/2017 05:43,exqt,727C - Guess the Array,Python 3,Accepted,186 ms,5400 KB,2017-08-13 05:43:00
21470650,Oct/16/2016 05:22,HeZiying,727C - Guess the Array,GNU C++11,Accepted,93 ms,4000 KB,2016-10-16 05:22:00
67512331,Dec/24/2019 12:37,Mkay6122,727C - Guess the Array,PyPy 3,Accepted,405 ms,8700 KB,2019-12-24 12:37:00
21467819,Oct/16/2016 00:12,Nikitka_Herach,727C - Guess the Array,GNU C++14,Accepted,62 ms,3800 KB,2016-10-16 00:12:00
67997823,Dec/31/2019 12:09,synapse,727C - Guess the Array,Go,Accepted,155 ms,0 KB,2019-12-31 12:09:00
21470518,Oct/16/2016 05:03,AlanSwift,727C - Guess the Array,GNU C++11,Accepted,62 ms,2100 KB,2016-10-16 05:03:00
68340207,Jan/07/2020 05:48,nealzane,727C - Guess the Array,Python 3,Accepted,280 ms,700 KB,2020-01-07 05:48:00
21446932,Oct/15/2016 12:47,* DmitryGrigorev,727C - Guess the Array,PyPy 3,Accepted,467 ms,29800 KB,2016-10-15 12:47:00
22490797,Nov/25/2016 17:22,abc_1988_1106#,727C - Guess the Array,PyPy 2,Accepted,560 ms,5200 KB,2016-11-25 17:22:00
46678058,Dec/06/2018 13:51,AbduSharif,727C - Guess the Array,Python 3,Accepted,311 ms,700 KB,2018-12-06 13:51:00
54433942,May/21/2019 06:22,SamuelLH,727C - Guess the Array,Python 3,Accepted,264 ms,1000 KB,2019-05-21 06:22:00
34961256,Feb/06/2018 08:09,vjudge5,727C - Guess the Array,GNU C++11,Accepted,77 ms,2400 KB,2018-02-06 08:09:00
23377853,Dec/28/2016 15:44,eddy1021,727C - Guess the Array,Python 3,Accepted,218 ms,5100 KB,2016-12-28 15:44:00
55925020,Jun/22/2019 11:57,Sevlll#,727C - Guess the Array,PyPy 3,Accepted,421 ms,6600 KB,2019-06-22 11:57:00
73649183,Mar/19/2020 14:46,luogu_bot2,727C - Guess the Array,GNU C++11,Accepted,77 ms,100 KB,2020-03-19 14:46:00
33601145,Dec/25/2017 00:12,warrior001,727C - Guess the Array,GNU C++14,Accepted,46 ms,1900 KB,2017-12-25 00:12:00
47723249,Dec/30/2018 15:42,adel54321,727C - Guess the Array,GNU C++17,Accepted,108 ms,0 KB,2018-12-30 15:42:00
21460862,Oct/15/2016 18:17,Arhimason,727C - Guess the Array,Python 3,Accepted,202 ms,5400 KB,2016-10-15 18:17:00
52329096,Apr/05/2019 06:46,rickyxin,727C - Guess the Array,Python 3,Accepted,264 ms,700 KB,2019-04-05 06:46:00
50527344,Feb/26/2019 15:21,vjudge5,727C - Guess the Array,GNU C++17,Accepted,93 ms,0 KB,2019-02-26 15:21:00
21448706,Oct/15/2016 13:05,* hhuuson97,727C - Guess the Array,GNU C++11,Accepted,93 ms,2100 KB,2016-10-15 13:05:00
22073015,Nov/06/2016 13:53,Aleks5d,727C - Guess the Array,GNU C++14,Accepted,62 ms,0 KB,2016-11-06 13:53:00
52328750,Apr/05/2019 06:27,ryan.yoshida,727C - Guess the Array,Python 3,Accepted,249 ms,700 KB,2019-04-05 06:27:00
24242422,Jan/29/2017 11:27,lessmeaning,727C - Guess the Array,Python 3,Accepted,218 ms,5400 KB,2017-01-29 11:27:00
47723327,Dec/30/2018 15:44,adel54321,727C - Guess the Array,GNU C++17,Accepted,93 ms,0 KB,2018-12-30 15:44:00
63663293,Oct/28/2019 17:30,marian013,727C - Guess the Array,GNU C++17,Accepted,108 ms,0 KB,2019-10-28 17:30:00
21467506,Oct/15/2016 23:54,Nikitka_Herach,727C - Guess the Array,GNU C++11,Accepted,78 ms,4000 KB,2016-10-15 23:54:00
