65613264,Nov/24/2019 04:25,924735361,32C - Flea,GNU C++14,Accepted,62 ms,200 KB,2019-11-24 04:25:00
68032211,Jan/01/2020 12:57,mottoper,32C - Flea,PyPy 3,Accepted,280 ms,0 KB,2020-01-01 12:57:00
140502,Oct/05/2010 02:41,gaston770,32C - Flea,GNU C++,Accepted,30 ms,1300 KB,2010-10-05 02:41:00
141522,Dec/27/2010 18:05,watashi,32C - Flea,Haskell,Accepted,30 ms,1500 KB,2010-12-27 18:05:00
4802595,Oct/16/2013 09:04,atubo,32C - Flea,Scala,Accepted,468 ms,100 KB,2013-10-16 09:04:00
53322251,Apr/26/2019 16:28,jaaguptamme,32C - Flea,GNU C++14,Accepted,62 ms,200 KB,2019-04-26 16:28:00
138272,Oct/02/2010 11:41,zpl1,32C - Flea,GNU C++,Accepted,30 ms,1300 KB,2010-10-02 11:41:00
15344042,Jan/14/2016 15:29,ITDOI,32C - Flea,GNU C++11,Accepted,30 ms,0 KB,2016-01-14 15:29:00
66669742,Dec/12/2019 11:45,lcezych,32C - Flea,GNU C++11,Accepted,60 ms,0 KB,2019-12-12 11:45:00
140850,Oct/07/2010 10:32,karldray,32C - Flea,Python 2,Accepted,60 ms,2700 KB,2010-10-07 10:32:00
7116635,Jul/16/2014 17:46,kunpeng#,32C - Flea,GNU C++,Accepted,62 ms,0 KB,2014-07-16 17:46:00
7116876,Jul/16/2014 18:10,htbb#,32C - Flea,GNU C++,Accepted,62 ms,0 KB,2014-07-16 18:10:00
14049256,Nov/04/2015 01:18,novice_4,32C - Flea,GNU C++,Accepted,30 ms,0 KB,2015-11-04 01:18:00
46003896,Nov/20/2018 18:56,innocent_coder,32C - Flea,GNU C++14,Accepted,60 ms,0 KB,2018-11-20 18:56:00
12684711,Aug/24/2015 16:28,karunk,32C - Flea,Python 2,Accepted,92 ms,0 KB,2015-08-24 16:28:00
15511706,Jan/23/2016 12:21,NWO,32C - Flea,GNU C++,Accepted,30 ms,0 KB,2016-01-23 12:21:00
32242830,Nov/12/2017 15:12,JordiR,32C - Flea,GNU C++14,Accepted,30 ms,0 KB,2017-11-12 15:12:00
61597804,Oct/01/2019 12:34,luogu_bot3,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2019-10-01 12:34:00
67696186,Dec/27/2019 15:58,mota_haathi,32C - Flea,GNU C++14,Accepted,62 ms,0 KB,2019-12-27 15:58:00
42134031,Aug/27/2018 00:20,Mk_Python_v1,32C - Flea,Python 3,Accepted,218 ms,0 KB,2018-08-27 00:20:00
60956463,Sep/21/2019 05:57,luogu_bot1,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2019-09-21 05:57:00
63371565,Oct/25/2019 12:33,luogu_bot5,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2019-10-25 12:33:00
59368455,Aug/23/2019 21:06,LintuStorm,32C - Flea,Python 3,Accepted,218 ms,0 KB,2019-08-23 21:06:00
23117567,Dec/19/2016 04:47,marcelotoribio,32C - Flea,GNU C++11,Accepted,30 ms,2000 KB,2016-12-19 04:47:00
140105,Oct/03/2010 18:57,Alisafe,32C - Flea,GNU C++,Accepted,30 ms,1300 KB,2010-10-03 18:57:00
14326696,Nov/18/2015 16:21,Anubarakh,32C - Flea,GNU C++,Accepted,62 ms,0 KB,2015-11-18 16:21:00
