53664653,May/02/2019 12:39,vjudge4,799C - Fountains,GNU C++17,Accepted,1996 ms,1600 KB,2019-05-02 12:39:00
27047749,May/12/2017 09:03,eugalt,799C - Fountains,Python 3,Accepted,420 ms,9000 KB,2017-05-12 09:03:00
27102212,May/14/2017 10:21,865143034,799C - Fountains,GNU C++11,Accepted,405 ms,800 KB,2017-05-14 10:21:00
31467395,Oct/18/2017 06:21,GStnt,799C - Fountains,GNU C++14,Accepted,62 ms,2700 KB,2017-10-18 06:21:00
27026438,May/11/2017 19:38,dimionx,799C - Fountains,Python 2,Accepted,733 ms,11600 KB,2017-05-11 19:38:00
41589179,Aug/14/2018 16:09,vjudge4,799C - Fountains,GNU C++,Accepted,1497 ms,1600 KB,2018-08-14 16:09:00
27031924,May/11/2017 20:06,CookieDude,799C - Fountains,GNU C++14,Accepted,1232 ms,1200 KB,2017-05-11 20:06:00
69202057,Jan/20/2020 19:52,vjudge2,799C - Fountains,PyPy 3,Accepted,1123 ms,9500 KB,2020-01-20 19:52:00
27307733,May/23/2017 22:34,aadishj02,799C - Fountains,GNU C++14,Accepted,296 ms,2000 KB,2017-05-23 22:34:00
27022548,May/11/2017 19:11,Kuzey,799C - Fountains,GNU C++11,Accepted,140 ms,800 KB,2017-05-11 19:11:00
75747811,Apr/07/2020 16:21,AayushAC1998,799C - Fountains,GNU C++17,Accepted,296 ms,1400 KB,2020-04-07 16:21:00
27047074,May/12/2017 08:09,denny_sem,799C - Fountains,PyPy 3,Accepted,1279 ms,8100 KB,2017-05-12 08:09:00
27025814,May/11/2017 19:33,Roberto29,799C - Fountains,PyPy 3,Accepted,1528 ms,8000 KB,2017-05-11 19:33:00
27563913,Jun/04/2017 15:31,pankajAhuja,799C - Fountains,GNU C++14,Accepted,78 ms,1600 KB,2017-06-04 15:31:00
38123833,May/12/2018 00:26,lechinhin,799C - Fountains,MS C++,Accepted,187 ms,4900 KB,2018-05-12 00:26:00
75335013,Apr/03/2020 14:03,CKant787,799C - Fountains,GNU C++17,Accepted,1996 ms,1800 KB,2020-04-03 14:03:00
77308697,Apr/19/2020 22:43,Anish1712,799C - Fountains,GNU C++17,Accepted,1996 ms,1600 KB,2020-04-19 22:43:00
27032253,May/11/2017 20:08,hj_d,799C - Fountains,GNU C++,Accepted,78 ms,1000 KB,2017-05-11 20:08:00
50580743,Feb/28/2019 00:13,sandro1999,799C - Fountains,GNU C++14,Accepted,280 ms,800 KB,2019-02-28 00:13:00
31467440,Oct/18/2017 06:23,vjudge1,799C - Fountains,GNU C++11,Accepted,62 ms,2800 KB,2017-10-18 06:23:00
28696820,Jul/19/2017 15:54,Feeey,799C - Fountains,GNU C++,Accepted,46 ms,2600 KB,2017-07-19 15:54:00
