78048867,Apr/25/2020 19:56,demon.machine,79C - Beaver,GNU C++17,Accepted,124 ms,500 KB,2020-04-25 19:56:00
1619357,Apr/24/2012 10:47,shinian,79C - Beaver,GNU C++,Accepted,250 ms,1600 KB,2012-04-24 10:47:00
20776963,Sep/20/2016 16:31,somanynames,79C - Beaver,GNU C++11,Accepted,62 ms,300 KB,2016-09-20 16:31:00
2562741,Nov/15/2012 15:13,Alkochza,79C - Beaver,GNU C++,Accepted,843 ms,200 KB,2012-11-15 15:13:00
20776972,Sep/20/2016 16:31,vjudge2,79C - Beaver,GNU C++11,Accepted,62 ms,300 KB,2016-09-20 16:31:00
55115462,Jun/05/2019 11:26,kinji2k3,79C - Beaver,GNU C++14,Accepted,92 ms,300 KB,2019-06-05 11:26:00
55114625,Jun/05/2019 11:05,NDK218,79C - Beaver,GNU C++14,Accepted,62 ms,300 KB,2019-06-05 11:05:00
2022002,Aug/17/2012 16:46,makrusak,79C - Beaver,FPC,Accepted,90 ms,1800 KB,2012-08-17 16:46:00
27233902,May/20/2017 13:52,demonsbane,79C - Beaver,GNU C++14,Accepted,62 ms,300 KB,2017-05-20 13:52:00
418747,Apr/30/2011 20:24,svrsvr,79C - Beaver,MS C++,Accepted,50 ms,2400 KB,2011-04-30 20:24:00
51141618,Mar/10/2019 22:40,abhirock753,79C - Beaver,GNU C++14,Accepted,124 ms,16100 KB,2019-03-10 22:40:00
417779,Apr/30/2011 19:50,fengzlzl,79C - Beaver,GNU C++,Accepted,90 ms,1900 KB,2011-04-30 19:50:00
15184957,Jan/04/2016 22:36,TMC,79C - Beaver,GNU C++11,Accepted,62 ms,300 KB,2016-01-04 22:36:00
419804,Apr/30/2011 21:43,choice,79C - Beaver,GNU C,Accepted,50 ms,1800 KB,2011-04-30 21:43:00
2929504,Jan/16/2013 15:40,benyamin,79C - Beaver,GNU C++,Accepted,421 ms,300 KB,2013-01-16 15:40:00
49497942,Feb/05/2019 16:47,crathva,79C - Beaver,GNU C++17,Accepted,92 ms,900 KB,2019-02-05 16:47:00
55116094,Jun/05/2019 11:43,datik99lhp,79C - Beaver,GNU C++11,Accepted,186 ms,200 KB,2019-06-05 11:43:00
1930962,Jul/23/2012 21:06,tobpro,79C - Beaver,GNU C++,Accepted,280 ms,1700 KB,2012-07-23 21:06:00
421939,May/02/2011 12:58,lasten,79C - Beaver,GNU C++,Accepted,250 ms,1600 KB,2011-05-02 12:58:00
4320989,Aug/21/2013 21:13,Akzhol,79C - Beaver,GNU C++,Accepted,560 ms,1200 KB,2013-08-21 21:13:00
418821,Apr/30/2011 20:27,whhone,79C - Beaver,GNU C++,Accepted,50 ms,1800 KB,2011-04-30 20:27:00
17069225,Mar/31/2016 11:08,freebsdx,79C - Beaver,GNU C++11,Accepted,218 ms,2400 KB,2016-03-31 11:08:00
1881437,Jul/10/2012 14:08,Rosetta,79C - Beaver,FPC,Accepted,170 ms,1500 KB,2012-07-10 14:08:00
419087,Apr/30/2011 20:38,ASoboll,79C - Beaver,MS C++,Accepted,60 ms,1600 KB,2011-04-30 20:38:00
2562578,Nov/15/2012 14:35,3_pehr,79C - Beaver,GNU C++,Accepted,843 ms,200 KB,2012-11-15 14:35:00
32979732,Dec/06/2017 18:09,rashish2202,79C - Beaver,GNU C++11,Accepted,124 ms,2700 KB,2017-12-06 18:09:00
420508,May/01/2011 02:55,udayrocks2k8,79C - Beaver,GNU C++,Accepted,110 ms,1900 KB,2011-05-01 02:55:00
15417278,Jan/17/2016 20:21,coderans,79C - Beaver,GNU C++,Accepted,154 ms,600 KB,2016-01-17 20:21:00
39687007,Jun/27/2018 01:25,Emiso,79C - Beaver,GNU C++14,Accepted,372 ms,14700 KB,2018-06-27 01:25:00
2441879,Oct/27/2012 14:40,tamojit9,79C - Beaver,MS C++,Accepted,93 ms,200 KB,2012-10-27 14:40:00
602611,Aug/11/2011 15:49,b_r,79C - Beaver,GNU C++,Accepted,270 ms,1600 KB,2011-08-11 15:49:00
469142,May/24/2011 16:25,cavalier,79C - Beaver,GNU C++,Accepted,50 ms,1900 KB,2011-05-24 16:25:00
9478490,Jan/19/2015 20:29,hsnprsd,79C - Beaver,GNU C++,Accepted,310 ms,600 KB,2015-01-19 20:29:00
416810,Apr/30/2011 19:26,Shik,79C - Beaver,GNU C++,Accepted,80 ms,1800 KB,2011-04-30 19:26:00
6654267,May/19/2014 08:57,mopodao,79C - Beaver,GNU C++,Accepted,468 ms,400 KB,2014-05-19 08:57:00
6654265,May/19/2014 08:56,mopodao,79C - Beaver,GNU C++,Accepted,468 ms,400 KB,2014-05-19 08:56:00
484522,Jun/10/2011 05:34,Archon.JK,79C - Beaver,GNU C++0x,Accepted,50 ms,1400 KB,2011-06-10 05:34:00
418121,Apr/30/2011 19:59,krhgg,79C - Beaver,MS C++,Accepted,50 ms,1500 KB,2011-04-30 19:59:00
420314,May/01/2011 00:19,iscsi,79C - Beaver,GNU C++,Accepted,1000 ms,1700 KB,2011-05-01 00:19:00
735737,Oct/03/2011 15:46,guille,79C - Beaver,GNU C++,Accepted,270 ms,1600 KB,2011-10-03 15:46:00
600312,Aug/09/2011 16:09,Morandi,79C - Beaver,GNU C++,Accepted,250 ms,2000 KB,2011-08-09 16:09:00
430092,May/04/2011 12:30,asaveljevs,79C - Beaver,GNU C++,Accepted,90 ms,1400 KB,2011-05-04 12:30:00
30199856,Sep/08/2017 13:22,dailong,79C - Beaver,FPC,Accepted,62 ms,300 KB,2017-09-08 13:22:00
60371365,Sep/11/2019 05:17,Felix555,79C - Beaver,GNU C++17,Accepted,92 ms,300 KB,2019-09-11 05:17:00
25479221,Mar/14/2017 18:35,fmota,79C - Beaver,GNU C++14,Accepted,30 ms,2400 KB,2017-03-14 18:35:00
4213974,Aug/01/2013 16:44,Nik_Storm_2010,79C - Beaver,FPC,Accepted,124 ms,400 KB,2013-08-01 16:44:00
40632515,Jul/22/2018 13:07,vjudge4,79C - Beaver,GNU C++11,Accepted,62 ms,100 KB,2018-07-22 13:07:00
19458748,Jul/28/2016 12:46,Baby_Steps#,79C - Beaver,GNU C++11,Accepted,154 ms,300 KB,2016-07-28 12:46:00
15469234,Jan/21/2016 16:48,shubhamgoyal__,79C - Beaver,GNU C++11,Accepted,92 ms,1000 KB,2016-01-21 16:48:00
16832952,Mar/20/2016 09:56,rajeevkgp,79C - Beaver,GNU C++11,Accepted,62 ms,3200 KB,2016-03-20 09:56:00
9198803,Dec/19/2014 19:09,harrypotter192,79C - Beaver,GNU C++,Accepted,498 ms,8900 KB,2014-12-19 19:09:00
17077684,Mar/31/2016 19:22,Shurikenger,79C - Beaver,GNU C++11,Accepted,30 ms,2700 KB,2016-03-31 19:22:00
419379,Apr/30/2011 20:51,anders.westling,79C - Beaver,GNU C++,Accepted,330 ms,1600 KB,2011-04-30 20:51:00
21252756,Oct/07/2016 11:04,LinhNguyen,79C - Beaver,GNU C++,Accepted,92 ms,4700 KB,2016-10-07 11:04:00
26657841,Apr/25/2017 13:20,rawr,79C - Beaver,GNU C++14,Accepted,186 ms,2100 KB,2017-04-25 13:20:00
588782,Aug/07/2011 07:59,DoublePointer,79C - Beaver,Java 6,Accepted,160 ms,42100 KB,2011-08-07 07:59:00
5639831,Jan/09/2014 01:08,yugle7,79C - Beaver,Python 3,Accepted,436 ms,700 KB,2014-01-09 01:08:00
21626778,Oct/20/2016 22:22,aamine,79C - Beaver,Python 3,Accepted,1092 ms,300 KB,2016-10-20 22:22:00
1978921,Aug/06/2012 01:55,ehsanak,79C - Beaver,GNU C++,Accepted,250 ms,1700 KB,2012-08-06 01:55:00
5639843,Jan/09/2014 01:10,yugle7,79C - Beaver,Python 2,Accepted,342 ms,2200 KB,2014-01-09 01:10:00
6240017,Apr/02/2014 12:38,nka55,79C - Beaver,GNU C++,Accepted,62 ms,500 KB,2014-04-02 12:38:00
473684,Jun/01/2011 05:59,balroginfire,79C - Beaver,GNU C++,Accepted,50 ms,1400 KB,2011-06-01 05:59:00
11402419,Jun/03/2015 16:45,xiaoxin#,79C - Beaver,GNU C++11,Accepted,30 ms,300 KB,2015-06-03 16:45:00
16307265,Feb/24/2016 13:58,sankalpsingh,79C - Beaver,GNU C++11,Accepted,124 ms,1000 KB,2016-02-24 13:58:00
417097,Apr/30/2011 19:32,WXYZ,79C - Beaver,GNU C++,Accepted,50 ms,1800 KB,2011-04-30 19:32:00
445122,May/11/2011 17:17,dragon007,79C - Beaver,GNU C++,Accepted,50 ms,1900 KB,2011-05-11 17:17:00
51753451,Mar/23/2019 13:34,vjudge5,79C - Beaver,GNU C++11,Accepted,122 ms,700 KB,2019-03-23 13:34:00
42134202,Aug/27/2018 00:32,Mk_Python_v1,79C - Beaver,Python 3,Accepted,1028 ms,200 KB,2018-08-27 00:32:00
74920662,Mar/31/2020 15:18,smit.mangukiya,79C - Beaver,GNU C++17,Accepted,436 ms,500 KB,2020-03-31 15:18:00
3703078,May/11/2013 20:38,delta_4d,79C - Beaver,GNU C++,Accepted,15 ms,100 KB,2013-05-11 20:38:00
13829655,Oct/24/2015 21:41,bhargav104,79C - Beaver,GNU C++11,Accepted,62 ms,300 KB,2015-10-24 21:41:00
14933546,Dec/23/2015 08:48,fengsuiyan,79C - Beaver,GNU C++11,Accepted,62 ms,500 KB,2015-12-23 08:48:00
28408056,Jul/10/2017 16:12,vjudge2,79C - Beaver,GNU C++,Accepted,30 ms,2400 KB,2017-07-10 16:12:00
17378471,Apr/18/2016 18:59,bernett,79C - Beaver,GNU C++11,Accepted,92 ms,2800 KB,2016-04-18 18:59:00
26075445,Apr/02/2017 13:29,fan_hd,79C - Beaver,GNU C++,Accepted,30 ms,2300 KB,2017-04-02 13:29:00
48775483,Jan/23/2019 06:38,zarif_2002,79C - Beaver,GNU C++11,Accepted,92 ms,300 KB,2019-01-23 06:38:00
38534431,May/22/2018 15:04,vjudge5,79C - Beaver,GNU C++,Accepted,124 ms,600 KB,2018-05-22 15:04:00
421621,May/02/2011 00:28,mob_lived,79C - Beaver,MS C++,Accepted,90 ms,1900 KB,2011-05-02 00:28:00
731996,Sep/30/2011 20:27,EriKKo,79C - Beaver,Java 6,Accepted,140 ms,34400 KB,2011-09-30 20:27:00
23680438,Jan/10/2017 15:11,y_shindoh,79C - Beaver,GNU C++11,Accepted,62 ms,2300 KB,2017-01-10 15:11:00
419840,Apr/30/2011 21:46,rdivyanshu,79C - Beaver,GNU C++,Accepted,60 ms,2000 KB,2011-04-30 21:46:00
419841,Apr/30/2011 21:47,rdivyanshu,79C - Beaver,GNU C++,Accepted,60 ms,2000 KB,2011-04-30 21:47:00
20414639,Sep/06/2016 11:15,vjudge1,79C - Beaver,GNU C++,Accepted,62 ms,700 KB,2016-09-06 11:15:00
422098,May/02/2011 16:42,bigeye,79C - Beaver,GNU C++,Accepted,270 ms,2000 KB,2011-05-02 16:42:00
416944,Apr/30/2011 19:29,Milanin,79C - Beaver,GNU C++,Accepted,30 ms,2200 KB,2011-04-30 19:29:00
422778,May/03/2011 12:06,lengxiang,79C - Beaver,GNU C++,Accepted,90 ms,1900 KB,2011-05-03 12:06:00
422809,May/03/2011 12:59,scaulyd,79C - Beaver,GNU C++,Accepted,50 ms,1400 KB,2011-05-03 12:59:00
419820,Apr/30/2011 21:45,yowa,79C - Beaver,Ruby,Accepted,950 ms,7900 KB,2011-04-30 21:45:00
75164612,Apr/01/2020 20:20,amiralisalimi#,79C - Beaver,GNU C++14,Accepted,92 ms,300 KB,2020-04-01 20:20:00
417089,Apr/30/2011 19:32,Archon.JK,79C - Beaver,GNU C++,Accepted,50 ms,1400 KB,2011-04-30 19:32:00
835156,Nov/04/2011 22:43,_Vadim_,79C - Beaver,Delphi,Accepted,250 ms,1500 KB,2011-11-04 22:43:00
418245,Apr/30/2011 20:03,balakrishnan,79C - Beaver,MS C++,Accepted,80 ms,1600 KB,2011-04-30 20:03:00
419810,Apr/30/2011 21:44,rdivyanshu,79C - Beaver,GNU C++,Accepted,80 ms,2000 KB,2011-04-30 21:44:00
19457997,Jul/28/2016 11:59,zetamoo#,79C - Beaver,GNU C++11,Accepted,92 ms,200 KB,2016-07-28 11:59:00
28799931,Jul/23/2017 14:44,vjudge3,79C - Beaver,GNU C++,Accepted,30 ms,2100 KB,2017-07-23 14:44:00
4311914,Aug/19/2013 14:47,Misha100896,79C - Beaver,Delphi,Accepted,1684 ms,300 KB,2013-08-19 14:47:00
