9439533,Jan/16/2015 03:01,Mintoo,16C - Monitor,GNU C++,Accepted,15 ms,0 KB,2015-01-16 03:01:00
15169539,Jan/03/2016 17:42,shubhamgoyal__,16C - Monitor,GNU C++11,Accepted,15 ms,0 KB,2016-01-03 17:42:00
15223203,Jan/07/2016 12:51,god,16C - Monitor,GNU C++11,Accepted,15 ms,0 KB,2016-01-07 12:51:00
26563914,Apr/21/2017 20:12,namunaal,16C - Monitor,GNU C++,Accepted,15 ms,2100 KB,2017-04-21 20:12:00
60904945,Sep/20/2019 04:45,maih_40,16C - Monitor,Python 3,Accepted,124 ms,0 KB,2019-09-20 04:45:00
989193,Dec/28/2011 07:50,random.johnnyh,16C - Monitor,GNU C++,Accepted,30 ms,1400 KB,2011-12-28 07:50:00
49661748,Feb/09/2019 15:42,827852427,16C - Monitor,GNU C++17,Accepted,31 ms,200 KB,2019-02-09 15:42:00
77417531,Apr/21/2020 03:29,vjudge4,16C - Monitor,GNU C++17,Accepted,30 ms,0 KB,2020-04-21 03:29:00
53099565,Apr/21/2019 18:35,1999abdo21,16C - Monitor,GNU C++14,Accepted,30 ms,0 KB,2019-04-21 18:35:00
18287593,Jun/07/2016 19:56,akashPatel,16C - Monitor,GNU C++,Accepted,15 ms,2200 KB,2016-06-07 19:56:00
57878503,Jul/28/2019 09:40,kakakasss,16C - Monitor,GNU C++11,Accepted,31 ms,0 KB,2019-07-28 09:40:00
10059227,Feb/28/2015 07:29,jhonber,16C - Monitor,Python 2,Accepted,140 ms,5200 KB,2015-02-28 07:29:00
19511611,Jul/30/2016 10:10,LocknKey,16C - Monitor,GNU C++11,Accepted,15 ms,0 KB,2016-07-30 10:10:00
34095226,Jan/11/2018 22:09,arifshopu07,16C - Monitor,GNU C++11,Accepted,15 ms,2000 KB,2018-01-11 22:09:00
14302061,Nov/16/2015 21:04,soziro,16C - Monitor,GNU C++11,Accepted,15 ms,0 KB,2015-11-16 21:04:00
60699636,Sep/17/2019 01:29,luogu_bot4,16C - Monitor,GNU C++11,Accepted,31 ms,0 KB,2019-09-17 01:29:00
7451902,Aug/15/2014 13:26,sjhshuan_NOW,16C - Monitor,Python 3,Accepted,62 ms,0 KB,2014-08-15 13:26:00
30224160,Sep/09/2017 14:27,last-phoenix,16C - Monitor,GNU C++,Accepted,31 ms,0 KB,2017-09-09 14:27:00
75538251,Apr/05/2020 09:12,tetravious,16C - Monitor,GNU C++14,Accepted,31 ms,0 KB,2020-04-05 09:12:00
