20543678,Sep/12/2016 09:15,sensei11,297C - Splitting the Uniqueness,GNU C++14,Accepted,498 ms,1600 KB,2016-09-12 09:15:00
77631526,Apr/22/2020 13:06,Hoshi08,297C - Splitting the Uniqueness,GNU C++17,Accepted,186 ms,2400 KB,2020-04-22 13:06:00
9387310,Jan/08/2015 18:45,Man,297C - Splitting the Uniqueness,GNU C++0x,Accepted,280 ms,1600 KB,2015-01-08 18:45:00
3614759,Apr/24/2013 07:41,494884547,297C - Splitting the Uniqueness,GNU C++,Accepted,125 ms,1600 KB,2013-04-24 07:41:00
16981308,Mar/28/2016 03:36,.I.,297C - Splitting the Uniqueness,GNU C++11,Accepted,156 ms,5000 KB,2016-03-28 03:36:00
3582109,Apr/20/2013 21:28,lxc,297C - Splitting the Uniqueness,GNU C++,Accepted,156 ms,1500 KB,2013-04-20 21:28:00
3653431,Apr/30/2013 11:18,wzc1995,298E - Splitting the Uniqueness,GNU C++,Accepted,140 ms,1600 KB,2013-04-30 11:18:00
5414455,Dec/12/2013 15:52,Ruthles#,297C - Splitting the Uniqueness,GNU C++,Accepted,156 ms,1900 KB,2013-12-12 15:52:00
26334864,Apr/13/2017 13:41,geniucos,297C - Splitting the Uniqueness,GNU C++11,Accepted,186 ms,3600 KB,2017-04-13 13:41:00
5180089,Nov/20/2013 22:34,SoroushE,297C - Splitting the Uniqueness,GNU C++,Accepted,248 ms,15700 KB,2013-11-20 22:34:00
3620848,Apr/25/2013 18:04,lqxml,297C - Splitting the Uniqueness,Python 2,Accepted,671 ms,11600 KB,2013-04-25 18:04:00
37054108,Apr/07/2018 18:13,edisonhello,297C - Splitting the Uniqueness,GNU C++11,Accepted,748 ms,5000 KB,2018-04-07 18:13:00
45356104,Nov/06/2018 11:29,py3,297C - Splitting the Uniqueness,GNU C++11,Accepted,312 ms,1600 KB,2018-11-06 11:29:00
3600217,Apr/22/2013 13:49,Arterm,297C - Splitting the Uniqueness,GNU C++,Accepted,250 ms,3100 KB,2013-04-22 13:49:00
3753834,May/21/2013 20:49,Dlintao,297C - Splitting the Uniqueness,GNU C++,Accepted,156 ms,1500 KB,2013-05-21 20:49:00
39278790,Jun/16/2018 07:27,tmwilliamlin168,297C - Splitting the Uniqueness,GNU C++14,Accepted,156 ms,1600 KB,2018-06-16 07:27:00
29495314,Aug/16/2017 06:28,Minology,297C - Splitting the Uniqueness,GNU C++,Accepted,156 ms,3800 KB,2017-08-16 06:28:00
3601240,Apr/22/2013 18:32,Archon.JK,297C - Splitting the Uniqueness,GNU C++0x,Accepted,140 ms,1500 KB,2013-04-22 18:32:00
3724418,May/15/2013 21:16,ShadowSong,297C - Splitting the Uniqueness,GNU C++,Accepted,140 ms,1700 KB,2013-05-15 21:16:00
4597239,Sep/28/2013 15:02,_ShadowSong,297C - Splitting the Uniqueness,GNU C++,Accepted,156 ms,1700 KB,2013-09-28 15:02:00
3609825,Apr/23/2013 12:00,mlz000,297C - Splitting the Uniqueness,GNU C++,Accepted,140 ms,1200 KB,2013-04-23 12:00:00
5180092,Nov/20/2013 22:34,vjudge4,297C - Splitting the Uniqueness,GNU C++,Accepted,248 ms,15700 KB,2013-11-20 22:34:00
3687202,May/06/2013 18:49,eric16,297C - Splitting the Uniqueness,GNU C++,Accepted,156 ms,1600 KB,2013-05-06 18:49:00
12905936,Sep/09/2015 09:29,michael12,297C - Splitting the Uniqueness,GNU C++,Accepted,186 ms,1700 KB,2015-09-09 09:29:00
14216251,Nov/12/2015 18:50,letsLoseOnceAgain,297C - Splitting the Uniqueness,GNU C++11,Accepted,186 ms,1600 KB,2015-11-12 18:50:00
14216266,Nov/12/2015 18:52,letsLoseOnceAgain,298E - Splitting the Uniqueness,GNU C++11,Accepted,186 ms,1600 KB,2015-11-12 18:52:00
9350363,Jan/03/2015 09:53,skywalkert,298E - Splitting the Uniqueness,GNU C++,Accepted,186 ms,1700 KB,2015-01-03 09:53:00
9350395,Jan/03/2015 09:57,skywalkert,297C - Splitting the Uniqueness,GNU C++,Accepted,186 ms,1700 KB,2015-01-03 09:57:00
12905931,Sep/09/2015 09:28,michael12,297C - Splitting the Uniqueness,GNU C++,Accepted,186 ms,1700 KB,2015-09-09 09:28:00
25163213,Mar/03/2017 08:49,jubayercseruet,297C - Splitting the Uniqueness,GNU C++14,Accepted,530 ms,5000 KB,2017-03-03 08:49:00
3575174,Apr/19/2013 21:24,knightL,297C - Splitting the Uniqueness,GNU C++,Accepted,218 ms,4400 KB,2013-04-19 21:24:00
37373458,Apr/16/2018 16:13,vjudge3,297C - Splitting the Uniqueness,GNU C++14,Accepted,216 ms,4500 KB,2018-04-16 16:13:00
3581168,Apr/20/2013 17:57,Flandre_Scarlet,297C - Splitting the Uniqueness,GNU C++,Accepted,156 ms,2600 KB,2013-04-20 17:57:00
3599562,Apr/22/2013 07:43,Yukine_Chris,297C - Splitting the Uniqueness,GNU C++,Accepted,156 ms,2600 KB,2013-04-22 07:43:00
23189102,Dec/21/2016 03:34,SiriusRen,297C - Splitting the Uniqueness,GNU C++11,Accepted,280 ms,3400 KB,2016-12-21 03:34:00
3579033,Apr/20/2013 10:52,TroyI118,297C - Splitting the Uniqueness,GNU C++,Accepted,140 ms,1600 KB,2013-04-20 10:52:00
12429576,Aug/09/2015 22:46,numbertheorist17#,297C - Splitting the Uniqueness,GNU C++11,Accepted,156 ms,1600 KB,2015-08-09 22:46:00
12902044,Sep/08/2015 21:46,HannaYz,297C - Splitting the Uniqueness,GNU C++,Accepted,280 ms,1600 KB,2015-09-08 21:46:00
12039563,Jul/14/2015 12:34,Olaf,297C - Splitting the Uniqueness,GNU C++,Accepted,716 ms,1200 KB,2015-07-14 12:34:00
3568610,Apr/19/2013 20:06,Gassa,297C - Splitting the Uniqueness,D,Accepted,453 ms,1800 KB,2013-04-19 20:06:00
3646102,Apr/28/2013 11:11,sampson.wong123#,298E - Splitting the Uniqueness,GNU C++,Accepted,406 ms,5300 KB,2013-04-28 11:11:00
4268328,Aug/12/2013 11:34,Yao,298E - Splitting the Uniqueness,GNU C++,Accepted,342 ms,7200 KB,2013-08-12 11:34:00
21597750,Oct/19/2016 18:32,vjudge4,297C - Splitting the Uniqueness,GNU C++,Accepted,248 ms,3400 KB,2016-10-19 18:32:00
4267999,Aug/12/2013 09:25,Yao,298E - Splitting the Uniqueness,GNU C++,Accepted,342 ms,7200 KB,2013-08-12 09:25:00
23779772,Jan/13/2017 11:32,McGinn,298E - Splitting the Uniqueness,GNU C++11,Accepted,186 ms,3600 KB,2017-01-13 11:32:00
3581640,Apr/20/2013 19:30,nwi,297C - Splitting the Uniqueness,GNU C++,Accepted,125 ms,1600 KB,2013-04-20 19:30:00
21597766,Oct/19/2016 18:33,weak_male,297C - Splitting the Uniqueness,GNU C++14,Accepted,218 ms,3400 KB,2016-10-19 18:33:00
4268351,Aug/12/2013 11:40,Yao,298E - Splitting the Uniqueness,GNU C++,Accepted,342 ms,7200 KB,2013-08-12 11:40:00
77313001,Apr/20/2020 00:15,KevinWan,297C - Splitting the Uniqueness,GNU C++17,Accepted,156 ms,12200 KB,2020-04-20 00:15:00
37375682,Apr/16/2018 17:36,kazuma,297C - Splitting the Uniqueness,GNU C++14,Accepted,218 ms,4500 KB,2018-04-16 17:36:00
39679893,Jun/26/2018 18:42,cai_lw,297C - Splitting the Uniqueness,GNU C++17,Accepted,186 ms,1500 KB,2018-06-26 18:42:00
3784027,May/27/2013 16:53,jupanul,297C - Splitting the Uniqueness,GNU C++,Accepted,156 ms,2300 KB,2013-05-27 16:53:00
14703906,Dec/08/2015 23:27,Deemo,298E - Splitting the Uniqueness,GNU C++11,Accepted,156 ms,1600 KB,2015-12-08 23:27:00
3581867,Apr/20/2013 20:29,alex_world,298E - Splitting the Uniqueness,GNU C++,Accepted,234 ms,1600 KB,2013-04-20 20:29:00
3581919,Apr/20/2013 20:44,alex_world,297C - Splitting the Uniqueness,GNU C++,Accepted,234 ms,1600 KB,2013-04-20 20:44:00
3860356,Jun/12/2013 16:03,scli,297C - Splitting the Uniqueness,GNU C++,Accepted,140 ms,1700 KB,2013-06-12 16:03:00
3810466,Jun/01/2013 12:52,tmt514,297C - Splitting the Uniqueness,GNU C++,Accepted,140 ms,1200 KB,2013-06-01 12:52:00
3657100,May/01/2013 14:04,Williamacm,298E - Splitting the Uniqueness,GNU C++,Accepted,280 ms,1600 KB,2013-05-01 14:04:00
16388066,Feb/27/2016 20:03,vjudge4,297C - Splitting the Uniqueness,GNU C++,Accepted,218 ms,1000 KB,2016-02-27 20:03:00
17463702,Apr/23/2016 02:41,OmarHashim,297C - Splitting the Uniqueness,GNU C++11,Accepted,156 ms,3800 KB,2016-04-23 02:41:00
8367230,Oct/23/2014 16:21,nuip,297C - Splitting the Uniqueness,GNU C++0x,Accepted,248 ms,1600 KB,2014-10-23 16:21:00
11908013,Jul/03/2015 11:37,PoPoQQQ,297C - Splitting the Uniqueness,GNU C++,Accepted,218 ms,1600 KB,2015-07-03 11:37:00
3582699,Apr/21/2013 01:39,NegaTeeF,297C - Splitting the Uniqueness,GNU C++,Accepted,140 ms,1600 KB,2013-04-21 01:39:00
31829980,Oct/28/2017 12:01,Anti-Light,297C - Splitting the Uniqueness,GNU C++14,Accepted,154 ms,2000 KB,2017-10-28 12:01:00
38421033,May/19/2018 10:17,sinus_070,297C - Splitting the Uniqueness,GNU C++17,Accepted,218 ms,3400 KB,2018-05-19 10:17:00
