768521,Oct/15/2011 18:28,kokopelli,119C - Education Reform,MS C++,Accepted,190 ms,176300 KB,2011-10-15 18:28:00
30574303,Sep/21/2017 13:47,Brough,119C - Education Reform,GNU C++11,Accepted,61 ms,5000 KB,2017-09-21 13:47:00
761627,Oct/14/2011 19:30,sevenkplus,119C - Education Reform,GNU C++,Accepted,80 ms,6600 KB,2011-10-14 19:30:00
765895,Oct/14/2011 21:40,sevenkplus,119C - Education Reform,GNU C++,Accepted,80 ms,6600 KB,2011-10-14 21:40:00
21400318,Oct/13/2016 13:19,2020.01.09_Restart,119C - Education Reform,GNU C++,Accepted,46 ms,6400 KB,2016-10-13 13:19:00
69973559,Feb/01/2020 17:24,backPacker,119C - Education Reform,GNU C++11,Accepted,77 ms,6700 KB,2020-02-01 17:24:00
766343,Oct/14/2011 22:06,fura2,119C - Education Reform,GNU C++,Accepted,160 ms,5300 KB,2011-10-14 22:06:00
764858,Oct/14/2011 20:43,shinian,119C - Education Reform,GNU C++,Accepted,270 ms,6900 KB,2011-10-14 20:43:00
30903758,Oct/01/2017 11:52,danya.smelskiy,119C - Education Reform,GNU C++14,Accepted,31 ms,7500 KB,2017-10-01 11:52:00
70478350,Feb/07/2020 07:56,big_tq,119C - Education Reform,GNU C++11,Accepted,46 ms,6700 KB,2020-02-07 07:56:00
73820036,Mar/20/2020 21:05,CaiJiZXY,119C - Education Reform,GNU C++11,Accepted,46 ms,6700 KB,2020-03-20 21:05:00
762121,Oct/14/2011 19:38,KOTEHOK,119C - Education Reform,GNU C++,Accepted,130 ms,8400 KB,2011-10-14 19:38:00
4414289,Sep/06/2013 15:17,Hasan0540,119C - Education Reform,GNU C++,Accepted,124 ms,2200 KB,2013-09-06 15:17:00
2068301,Aug/30/2012 09:55,vjudge3,119C - Education Reform,GNU C++,Accepted,110 ms,8900 KB,2012-08-30 09:55:00
9723514,Feb/05/2015 08:26,CchOOlak,119C - Education Reform,GNU C++0x,Accepted,92 ms,6800 KB,2015-02-05 08:26:00
762462,Oct/14/2011 19:46,chnlich,119C - Education Reform,GNU C++,Accepted,330 ms,9200 KB,2011-10-14 19:46:00
783981,Oct/19/2011 12:59,KrK,119C - Education Reform,GNU C++,Accepted,530 ms,5800 KB,2011-10-19 12:59:00
23619529,Jan/07/2017 11:07,Ali.Pi,119C - Education Reform,GNU C++14,Accepted,280 ms,6300 KB,2017-01-07 11:07:00
768693,Oct/15/2011 20:23,heyihong,119C - Education Reform,GNU C++,Accepted,90 ms,3600 KB,2011-10-15 20:23:00
766619,Oct/14/2011 22:42,manishmap2,119C - Education Reform,GNU C++,Accepted,110 ms,7600 KB,2011-10-14 22:42:00
763507,Oct/14/2011 20:09,csimstu,119C - Education Reform,GNU C++,Accepted,500 ms,9200 KB,2011-10-14 20:09:00
785303,Oct/19/2011 23:17,I_love_Malika,119C - Education Reform,Java 6,Accepted,750 ms,42400 KB,2011-10-19 23:17:00
11337985,May/28/2015 22:26,Amr_Hassan,119C - Education Reform,GNU C++,Accepted,312 ms,7800 KB,2015-05-28 22:26:00
762883,Oct/14/2011 19:55,flashmt,119C - Education Reform,GNU C++,Accepted,280 ms,4000 KB,2011-10-14 19:55:00
767425,Oct/15/2011 06:59,rankalee,119C - Education Reform,GNU C++,Accepted,60 ms,4400 KB,2011-10-15 06:59:00
59109780,Aug/19/2019 22:51,rainboy,119C - Education Reform,GNU C11,Accepted,31 ms,7900 KB,2019-08-19 22:51:00
913949,Dec/02/2011 13:04,QZAR,119C - Education Reform,GNU C++,Accepted,410 ms,4300 KB,2011-12-02 13:04:00
767757,Oct/15/2011 10:53,stephydx,119C - Education Reform,GNU C++,Accepted,30 ms,6300 KB,2011-10-15 10:53:00
10128528,Mar/03/2015 08:43,wyxourlove,119C - Education Reform,GNU C++,Accepted,62 ms,4800 KB,2015-03-03 08:43:00
762833,Oct/14/2011 19:54,subscriber,119C - Education Reform,GNU C++,Accepted,190 ms,22800 KB,2011-10-14 19:54:00
2953098,Jan/17/2013 18:40,rankalee,119C - Education Reform,GNU C++,Accepted,78 ms,4000 KB,2013-01-17 18:40:00
77210473,Apr/18/2020 20:47,pen1s,119C - Education Reform,GNU C++17,Accepted,218 ms,47200 KB,2020-04-18 20:47:00
11081272,May/12/2015 22:00,tenshi_kanade#,119C - Education Reform,GNU C++11,Accepted,218 ms,12000 KB,2015-05-12 22:00:00
766155,Oct/14/2011 21:51,fengzlzl,119C - Education Reform,GNU C++,Accepted,200 ms,4700 KB,2011-10-14 21:51:00
2799528,Dec/20/2012 21:49,-Emilchess-,119C - Education Reform,MS C++,Accepted,109 ms,5800 KB,2012-12-20 21:49:00
766474,Oct/14/2011 22:21,MarioYC,119C - Education Reform,GNU C++,Accepted,50 ms,5700 KB,2011-10-14 22:21:00
765816,Oct/14/2011 21:37,reiracofage,119C - Education Reform,GNU C++,Accepted,160 ms,52700 KB,2011-10-14 21:37:00
763182,Oct/14/2011 20:02,buko,119C - Education Reform,GNU C++,Accepted,230 ms,6300 KB,2011-10-14 20:02:00
4128867,Jul/21/2013 15:30,lilione,119C - Education Reform,FPC,Accepted,1062 ms,40800 KB,2013-07-21 15:30:00
74496056,Mar/26/2020 21:21,suvro_coder,119C - Education Reform,GNU C++14,Accepted,842 ms,6500 KB,2020-03-26 21:21:00
56169194,Jun/27/2019 18:40,limage,119C - Education Reform,GNU C++17,Accepted,529 ms,104400 KB,2019-06-27 18:40:00
56176574,Jun/27/2019 22:30,limage,119C - Education Reform,GNU C++17,Accepted,46 ms,18100 KB,2019-06-27 22:30:00
763104,Oct/14/2011 20:00,kohyatoh,119C - Education Reform,GNU C++,Accepted,60 ms,9600 KB,2011-10-14 20:00:00
771608,Oct/18/2011 00:42,alexander86,119C - Education Reform,GNU C++,Accepted,80 ms,7100 KB,2011-10-18 00:42:00
767298,Oct/15/2011 05:34,qqz003,119C - Education Reform,GNU C++,Accepted,130 ms,48300 KB,2011-10-15 05:34:00
12100504,Jul/18/2015 05:47,vjudge5,119C - Education Reform,GNU C++,Accepted,248 ms,4100 KB,2015-07-18 05:47:00
764074,Oct/14/2011 20:22,piloop,119C - Education Reform,GNU C++,Accepted,50 ms,6000 KB,2011-10-14 20:22:00
1047588,Jan/16/2012 07:13,claire_,119C - Education Reform,GNU C++,Accepted,60 ms,8800 KB,2012-01-16 07:13:00
1507330,Apr/09/2012 19:27,jiangzhijie,119C - Education Reform,GNU C++,Accepted,60 ms,6400 KB,2012-04-09 19:27:00
762927,Oct/14/2011 19:56,freak93,119C - Education Reform,MS C++,Accepted,130 ms,19500 KB,2011-10-14 19:56:00
17430888,Apr/22/2016 09:50,fengsuiyan,119C - Education Reform,GNU C++11,Accepted,31 ms,9000 KB,2016-04-22 09:50:00
798232,Oct/27/2011 11:53,ILJ,119C - Education Reform,GNU C++,Accepted,90 ms,5800 KB,2011-10-27 11:53:00
765136,Oct/14/2011 20:51,Hossein_Hima,119C - Education Reform,MS C++,Accepted,330 ms,189200 KB,2011-10-14 20:51:00
769120,Oct/16/2011 05:46,YuukaKazami,119C - Education Reform,GNU C++,Accepted,190 ms,34600 KB,2011-10-16 05:46:00
974129,Dec/24/2011 14:47,RazeN,119C - Education Reform,FPC,Accepted,1110 ms,41800 KB,2011-12-24 14:47:00
2510511,Nov/05/2012 15:19,seeeeei,119C - Education Reform,GNU C++,Accepted,78 ms,7500 KB,2012-11-05 15:19:00
29434944,Aug/13/2017 16:28,Momentum,119C - Education Reform,GNU C++14,Accepted,77 ms,203800 KB,2017-08-13 16:28:00
767559,Oct/15/2011 08:31,flydutchman,119C - Education Reform,FPC,Accepted,1090 ms,41800 KB,2011-10-15 08:31:00
764296,Oct/14/2011 20:27,jki14,119C - Education Reform,GNU C++,Accepted,80 ms,22200 KB,2011-10-14 20:27:00
766531,Oct/14/2011 22:29,dreamoon_love_AA,119C - Education Reform,GNU C++,Accepted,110 ms,5900 KB,2011-10-14 22:29:00
766407,Oct/14/2011 22:13,whd,119C - Education Reform,GNU C++,Accepted,60 ms,17700 KB,2011-10-14 22:13:00
1149295,Feb/04/2012 19:22,pavel.savchenkov,119C - Education Reform,GNU C++,Accepted,80 ms,3400 KB,2012-02-04 19:22:00
36670226,Mar/27/2018 17:02,RayPatterson,119C - Education Reform,GNU C++14,Accepted,202 ms,9700 KB,2018-03-27 17:02:00
783557,Oct/19/2011 07:53,whanda,119C - Education Reform,GNU C++,Accepted,30 ms,5000 KB,2011-10-19 07:53:00
765704,Oct/14/2011 21:34,CherryTree,119C - Education Reform,Delphi,Accepted,220 ms,190100 KB,2011-10-14 21:34:00
787387,Oct/20/2011 23:01,v.haralampiev,119C - Education Reform,GNU C++,Accepted,130 ms,7500 KB,2011-10-20 23:01:00
3702756,May/11/2013 18:45,__mehhas__,119C - Education Reform,GNU C++,Accepted,156 ms,187900 KB,2013-05-11 18:45:00
762674,Oct/14/2011 19:50,Komaki,119C - Education Reform,GNU C++,Accepted,140 ms,11300 KB,2011-10-14 19:50:00
4807720,Oct/16/2013 18:57,yangff,119C - Education Reform,GNU C++,Accepted,92 ms,31300 KB,2013-10-16 18:57:00
21370932,Oct/12/2016 02:05,javacoder1,119C - Education Reform,GNU C++11,Accepted,31 ms,8400 KB,2016-10-12 02:05:00
31199456,Oct/10/2017 20:44,bill_kondo,119C - Education Reform,GNU C++11,Accepted,61 ms,9300 KB,2017-10-10 20:44:00
784930,Oct/19/2011 20:01,guille,119C - Education Reform,GNU C++,Accepted,220 ms,7500 KB,2011-10-19 20:01:00
842718,Nov/09/2011 11:02,husheyn,119C - Education Reform,GNU C++,Accepted,90 ms,6300 KB,2011-11-09 11:02:00
771357,Oct/14/2011 19:44,borisgrubic#,119C - Education Reform,GNU C++,Accepted,420 ms,6300 KB,2011-10-14 19:44:00
765846,Oct/14/2011 21:38,shilov,119C - Education Reform,GNU C++,Accepted,160 ms,6400 KB,2011-10-14 21:38:00
43755548,Oct/04/2018 08:59,Dalgerok,119C - Education Reform,GNU C++17,Accepted,61 ms,27200 KB,2018-10-04 08:59:00
766400,Oct/14/2011 22:12,vlad107,119C - Education Reform,FPC,Accepted,90 ms,45900 KB,2011-10-14 22:12:00
1808820,Jun/18/2012 16:17,xingh.dll,119C - Education Reform,GNU C++,Accepted,90 ms,5600 KB,2012-06-18 16:17:00
761844,Oct/14/2011 19:33,Sereja,119C - Education Reform,FPC,Accepted,690 ms,7500 KB,2011-10-14 19:33:00
61687295,Oct/02/2019 07:25,vjudge4,119C - Education Reform,MS C++ 2017,Accepted,31 ms,7300 KB,2019-10-02 07:25:00
763202,Oct/14/2011 20:02,Skird,119C - Education Reform,GNU C++,Accepted,80 ms,5500 KB,2011-10-14 20:02:00
34087445,Jan/11/2018 15:25,harshit_ag456,119C - Education Reform,GNU C++,Accepted,62 ms,8200 KB,2018-01-11 15:25:00
862688,Nov/14/2011 09:24,lehien271,119C - Education Reform,GNU C++,Accepted,300 ms,4000 KB,2011-11-14 09:24:00
985839,Dec/25/2011 20:20,Shinta,119C - Education Reform,GNU C++,Accepted,50 ms,5500 KB,2011-12-25 20:20:00
13422626,Oct/05/2015 23:16,justHusam,119C - Education Reform,GNU C++11,Accepted,62 ms,2000 KB,2015-10-05 23:16:00
14793951,Dec/13/2015 22:43,Breezy1,119C - Education Reform,GNU C++11,Accepted,46 ms,2000 KB,2015-12-13 22:43:00
766769,Oct/14/2011 23:23,pva701,119C - Education Reform,GNU C++,Accepted,480 ms,16500 KB,2011-10-14 23:23:00
2522728,Nov/08/2012 17:12,liujinyu,119C - Education Reform,GNU C++,Accepted,203 ms,4100 KB,2012-11-08 17:12:00
70686662,Feb/09/2020 21:21,JBer,119C - Education Reform,GNU C++17,Accepted,31 ms,14000 KB,2020-02-09 21:21:00
