1516723,Apr/13/2012 12:11,flexme,174C - Range Increments,GNU C++,Accepted,230 ms,3200 KB,2012-04-13 12:11:00
21319338,Oct/09/2016 16:18,vjudge3,174C - Range Increments,GNU C++11,Accepted,156 ms,4600 KB,2016-10-09 16:18:00
4220399,Aug/03/2013 15:05,marty.stranger,174C - Range Increments,Haskell,Accepted,936 ms,19700 KB,2013-08-03 15:05:00
1504912,Apr/08/2012 23:03,marty.magician,174C - Range Increments,GNU C++,Accepted,110 ms,2500 KB,2012-04-08 23:03:00
1516256,Apr/12/2012 22:57,qvazar,174C - Range Increments,GNU C++,Accepted,230 ms,3000 KB,2012-04-12 22:57:00
4814999,Oct/17/2013 19:35,hkglly,174C - Range Increments,GNU C++,Accepted,92 ms,800 KB,2013-10-17 19:35:00
1506967,Apr/09/2012 17:37,ugly.frog2805,174C - Range Increments,GNU C++,Accepted,170 ms,3200 KB,2012-04-09 17:37:00
1502706,Apr/08/2012 20:47,jberci,174C - Range Increments,GNU C,Accepted,140 ms,2500 KB,2012-04-08 20:47:00
15764001,Feb/03/2016 10:43,nysanier,174C - Range Increments,PyPy 3,Accepted,1152 ms,29300 KB,2016-02-03 10:43:00
15764031,Feb/03/2016 10:47,nysanier,174C - Range Increments,Python 3,Accepted,1870 ms,19100 KB,2016-02-03 10:47:00
2477701,Nov/01/2012 15:26,Alkochza,174C - Range Increments,GNU C++,Accepted,265 ms,800 KB,2012-11-01 15:26:00
45211077,Nov/02/2018 18:12,_Solenya_,174C - Range Increments,GNU C++14,Accepted,342 ms,3000 KB,2018-11-02 18:12:00
42271326,Aug/30/2018 11:36,Hitler,174C - Range Increments,GNU C++17,Accepted,748 ms,2200 KB,2018-08-30 11:36:00
4220433,Aug/03/2013 15:19,marty.stranger,174C - Range Increments,Haskell,Accepted,966 ms,19700 KB,2013-08-03 15:19:00
42492011,Sep/05/2018 15:34,Kianaz.A,174C - Range Increments,GNU C++14,Accepted,840 ms,6400 KB,2018-09-05 15:34:00
4220562,Aug/03/2013 16:25,marty.stranger,174C - Range Increments,Haskell,Accepted,936 ms,19700 KB,2013-08-03 16:25:00
2466526,Oct/29/2012 15:29,Hello_World,174C - Range Increments,GNU C++,Accepted,109 ms,1600 KB,2012-10-29 15:29:00
1619434,Apr/24/2012 11:49,tmt514,174C - Range Increments,GNU C++,Accepted,130 ms,3700 KB,2012-04-24 11:49:00
27266244,May/21/2017 14:55,tronicBeast,174C - Range Increments,GNU C++14,Accepted,342 ms,2200 KB,2017-05-21 14:55:00
1507278,Apr/09/2012 19:09,liuzixing,174C - Range Increments,GNU C++,Accepted,160 ms,3900 KB,2012-04-09 19:09:00
8123818,Oct/07/2014 02:36,dzhu,174C - Range Increments,GNU C++,Accepted,218 ms,800 KB,2014-10-07 02:36:00
11270411,May/25/2015 23:50,Amr_Hassan,174C - Range Increments,GNU C++,Accepted,560 ms,800 KB,2015-05-25 23:50:00
3005427,Jan/25/2013 01:32,noh4h_ss,174C - Range Increments,GNU C++,Accepted,109 ms,400 KB,2013-01-25 01:32:00
1502925,Apr/08/2012 20:52,lyc12345,174C - Range Increments,GNU C++,Accepted,130 ms,2500 KB,2012-04-08 20:52:00
30983983,Oct/04/2017 08:44,vjudge5,174C - Range Increments,GNU C++,Accepted,716 ms,800 KB,2017-10-04 08:44:00
1508432,Apr/10/2012 13:59,liouzhou_101,174C - Range Increments,GNU C++,Accepted,110 ms,3300 KB,2012-04-10 13:59:00
51917981,Mar/28/2019 03:46,yuhta,174C - Range Increments,GNU C++17,Accepted,154 ms,2400 KB,2019-03-28 03:46:00
47026363,Dec/15/2018 10:10,NonGoxicTum,174C - Range Increments,GNU C++17,Accepted,872 ms,2600 KB,2018-12-15 10:10:00
2047479,Aug/25/2012 06:31,logan.glasson,174C - Range Increments,GNU C++,Accepted,130 ms,3500 KB,2012-08-25 06:31:00
3600049,Apr/22/2013 12:36,T0RRES,174C - Range Increments,FPC,Accepted,62 ms,1700 KB,2013-04-22 12:36:00
15981633,Feb/13/2016 07:54,shubhamgoyal__,174C - Range Increments,GNU C++11,Accepted,1122 ms,11900 KB,2016-02-13 07:54:00
30985358,Oct/04/2017 10:05,vjudge3,174C - Range Increments,GNU C++,Accepted,966 ms,900 KB,2017-10-04 10:05:00
1538928,Apr/15/2012 00:01,simsa.st,174C - Range Increments,GNU C++,Accepted,110 ms,2500 KB,2012-04-15 00:01:00
1501534,Apr/08/2012 20:13,ADJA,174C - Range Increments,FPC,Accepted,80 ms,20600 KB,2012-04-08 20:13:00
1508346,Apr/10/2012 12:55,Niko,174C - Range Increments,MS C++,Accepted,330 ms,4300 KB,2012-04-10 12:55:00
26967095,May/09/2017 06:49,gaporf,174C - Range Increments,GNU C++14,Accepted,154 ms,2700 KB,2017-05-09 06:49:00
1510318,Apr/11/2012 18:41,J_M,174C - Range Increments,MS C++,Accepted,110 ms,2600 KB,2012-04-11 18:41:00
1501841,Apr/08/2012 20:21,Zhuravlyov.A,174C - Range Increments,GNU C++,Accepted,130 ms,2700 KB,2012-04-08 20:21:00
1508207,Apr/10/2012 10:36,RepairComputer,174C - Range Increments,MS C++,Accepted,140 ms,4300 KB,2012-04-10 10:36:00
40557282,Jul/19/2018 22:19,Ownography,174C - Range Increments,GNU C++11,Accepted,996 ms,2100 KB,2018-07-19 22:19:00
43742359,Oct/03/2018 21:31,nikolapesic2802,174C - Range Increments,GNU C++11,Accepted,156 ms,900 KB,2018-10-03 21:31:00
31529031,Oct/20/2017 13:04,vjudge2,174C - Range Increments,GNU C++,Accepted,466 ms,4600 KB,2017-10-20 13:04:00
49206851,Jan/30/2019 17:09,vjudge3,174C - Range Increments,GNU C++11,Accepted,124 ms,800 KB,2019-01-30 17:09:00
6573686,May/08/2014 21:21,KerollosAsaad,174C - Range Increments,GNU C++,Accepted,560 ms,1400 KB,2014-05-08 21:21:00
17391301,Apr/19/2016 21:52,ELDVN,174C - Range Increments,GNU C++11,Accepted,124 ms,4700 KB,2016-04-19 21:52:00
54086239,May/14/2019 10:34,Sidiq_HA,174C - Range Increments,GNU C++14,Accepted,154 ms,2200 KB,2019-05-14 10:34:00
21247849,Oct/07/2016 04:23,ManiSadati,174C - Range Increments,GNU C++,Accepted,1184 ms,6100 KB,2016-10-07 04:23:00
