16819490,Mar/19/2016 16:05,VAVAvile,572C - Lengthening Sticks,GNU C++11,Accepted,15 ms,2000 KB,2016-03-19 16:05:00
12670905,Aug/23/2015 12:11,yongwoods,571A - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2015-08-23 12:11:00
12670908,Aug/23/2015 12:11,yongwoods,572C - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2015-08-23 12:11:00
12673499,Aug/23/2015 16:09,yongwhan,572C - Lengthening Sticks,GNU C++,Accepted,15 ms,0 KB,2015-08-23 16:09:00
12772398,Aug/30/2015 10:52,jerry,571A - Lengthening Sticks,GNU C++11,Accepted,15 ms,0 KB,2015-08-30 10:52:00
12678359,Aug/24/2015 03:00,ggoh,571A - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2015-08-24 03:00:00
12665131,Aug/22/2015 23:52,guille,571A - Lengthening Sticks,GNU C++,Accepted,31 ms,0 KB,2015-08-22 23:52:00
12672600,Aug/23/2015 14:47,Kuzey,571A - Lengthening Sticks,GNU C++,Accepted,31 ms,0 KB,2015-08-23 14:47:00
12908071,Sep/09/2015 13:36,Ra16bit,571A - Lengthening Sticks,GNU C++,Accepted,30 ms,0 KB,2015-09-09 13:36:00
13833645,Oct/25/2015 08:14,130705009,571A - Lengthening Sticks,GNU C++,Accepted,15 ms,0 KB,2015-10-25 08:14:00
52664638,Apr/13/2019 06:42,vjudge2,571A - Lengthening Sticks,GNU C++17,Accepted,31 ms,0 KB,2019-04-13 06:42:00
12670874,Aug/23/2015 12:09,yongwoods,572C - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2015-08-23 12:09:00
12670883,Aug/23/2015 12:09,yongwoods,571A - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2015-08-23 12:09:00
12683964,Aug/24/2015 15:19,woyeshizuile,571A - Lengthening Sticks,GNU C++,Accepted,31 ms,0 KB,2015-08-24 15:19:00
12805932,Sep/01/2015 20:31,iletavcioski,571A - Lengthening Sticks,GNU C++,Accepted,15 ms,0 KB,2015-09-01 20:31:00
64200143,Nov/04/2019 14:12,XianHZ,572C - Lengthening Sticks,GNU C++14,Accepted,46 ms,0 KB,2019-11-04 14:12:00
64200191,Nov/04/2019 14:13,XianHZ,571A - Lengthening Sticks,GNU C++14,Accepted,46 ms,0 KB,2019-11-04 14:13:00
13276491,Sep/28/2015 15:10,rednatsybon,571A - Lengthening Sticks,GNU C++11,Accepted,30 ms,0 KB,2015-09-28 15:10:00
12675843,Aug/23/2015 20:13,Vladyslav,571A - Lengthening Sticks,PyPy 3,Accepted,233 ms,5500 KB,2015-08-23 20:13:00
12778897,Aug/30/2015 18:47,ntu_vjudge_2,571A - Lengthening Sticks,GNU C++11,Accepted,15 ms,0 KB,2015-08-30 18:47:00
13934861,Oct/29/2015 17:22,ACchallenge,572C - Lengthening Sticks,GNU C++,Accepted,31 ms,0 KB,2015-10-29 17:22:00
21331799,Oct/10/2016 10:09,mybloodtop,571A - Lengthening Sticks,GNU C++14,Accepted,15 ms,1900 KB,2016-10-10 10:09:00
12672430,Aug/23/2015 14:32,Kuzey,572C - Lengthening Sticks,GNU C++,Accepted,31 ms,0 KB,2015-08-23 14:32:00
12672484,Aug/23/2015 14:36,Kuzey,571A - Lengthening Sticks,GNU C++,Accepted,31 ms,0 KB,2015-08-23 14:36:00
24604173,Feb/12/2017 11:16,WAonce,572C - Lengthening Sticks,GNU C++,Accepted,15 ms,2000 KB,2017-02-12 11:16:00
13543285,Oct/11/2015 12:05,Athena99,572C - Lengthening Sticks,GNU C++,Accepted,31 ms,0 KB,2015-10-11 12:05:00
41964710,Aug/22/2018 14:39,vjudge3,571A - Lengthening Sticks,GNU C++,Accepted,31 ms,0 KB,2018-08-22 14:39:00
18031338,May/22/2016 15:31,Gray_58,572C - Lengthening Sticks,FPC,Accepted,46 ms,1800 KB,2016-05-22 15:31:00
12830940,Sep/03/2015 18:54,kranthi_algo,572C - Lengthening Sticks,GNU C++,Accepted,15 ms,0 KB,2015-09-03 18:54:00
31707218,Oct/25/2017 14:36,I_always_love_cc,572C - Lengthening Sticks,GNU C++11,Accepted,30 ms,0 KB,2017-10-25 14:36:00
15784180,Feb/04/2016 12:07,anh1l1ator,571A - Lengthening Sticks,GNU C++11,Accepted,15 ms,0 KB,2016-02-04 12:07:00
12675633,Aug/23/2015 19:51,sinen,571A - Lengthening Sticks,GNU C++,Accepted,31 ms,0 KB,2015-08-23 19:51:00
12729647,Aug/28/2015 13:07,cheater2k,571A - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2015-08-28 13:07:00
52664645,Apr/13/2019 06:42,luogu_bot4,571A - Lengthening Sticks,GNU C++17,Accepted,31 ms,0 KB,2019-04-13 06:42:00
12672377,Aug/23/2015 14:29,Kuzey,572C - Lengthening Sticks,GNU C++,Accepted,15 ms,0 KB,2015-08-23 14:29:00
12668290,Aug/23/2015 08:04,RAF,571A - Lengthening Sticks,PyPy 3,Accepted,234 ms,5600 KB,2015-08-23 08:04:00
12684073,Aug/24/2015 15:30,lightbulb12294,571A - Lengthening Sticks,GNU C++11,Accepted,15 ms,0 KB,2015-08-24 15:30:00
24665050,Feb/14/2017 13:32,nudun001,571A - Lengthening Sticks,GNU C++,Accepted,15 ms,2000 KB,2017-02-14 13:32:00
13099495,Sep/19/2015 12:57,sesshomalong,571A - Lengthening Sticks,GNU C++,Accepted,31 ms,0 KB,2015-09-19 12:57:00
