31333357,Oct/15/2017 11:08,fine_,872A - Search for Pretty Integers,Ruby,Accepted,93 ms,6200 KB,2017-10-15 11:08:00
31337575,Oct/15/2017 11:17,Taxman,872A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-10-15 11:17:00
33607918,Dec/25/2017 06:50,mengmeizhi,870A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-12-25 06:50:00
31418185,Oct/16/2017 19:22,usachevd0,870A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-10-16 19:22:00
31514052,Oct/19/2017 19:35,nonamerus,870A - Search for Pretty Integers,Python 3,Accepted,61 ms,5400 KB,2017-10-19 19:35:00
40832073,Jul/27/2018 09:13,luogu_bot4,870A - Search for Pretty Integers,Python 3,Accepted,124 ms,0 KB,2018-07-27 09:13:00
40832148,Jul/27/2018 09:14,luogu_bot2,870A - Search for Pretty Integers,Python 3,Accepted,124 ms,0 KB,2018-07-27 09:14:00
73204045,Mar/14/2020 13:04,shantol,870A - Search for Pretty Integers,PyPy 3,Accepted,155 ms,0 KB,2020-03-14 13:04:00
33225273,Dec/13/2017 23:51,merolish,870A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-12-13 23:51:00
71278522,Feb/17/2020 15:59,stars_in_the_sky,870A - Search for Pretty Integers,Python 3,Accepted,124 ms,300 KB,2020-02-17 15:59:00
31366676,Oct/15/2017 16:27,aman_shahi2#,872A - Search for Pretty Integers,Python 2,Accepted,62 ms,4500 KB,2017-10-15 16:27:00
31511733,Oct/19/2017 17:49,jdk1997,870A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-10-19 17:49:00
38439975,May/19/2018 21:17,tchr,870A - Search for Pretty Integers,Python 3,Accepted,93 ms,0 KB,2018-05-19 21:17:00
33013945,Dec/08/2017 07:23,scott_wu,870A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-12-08 07:23:00
31512465,Oct/19/2017 18:31,defunator01,870A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-10-19 18:31:00
33009950,Dec/07/2017 23:33,frikha,870A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-12-07 23:33:00
55678254,Jun/17/2019 14:41,frikhaa,870A - Search for Pretty Integers,Python 3,Accepted,109 ms,0 KB,2019-06-17 14:41:00
31346369,Oct/15/2017 11:44,khazbs,870A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-10-15 11:44:00
31376192,Oct/15/2017 22:28,fortmax120#,872A - Search for Pretty Integers,PyPy 2,Accepted,93 ms,20700 KB,2017-10-15 22:28:00
31735733,Oct/26/2017 13:56,inishchith.,870A - Search for Pretty Integers,PyPy 3,Accepted,124 ms,300 KB,2017-10-26 13:56:00
