70564447,Feb/08/2020 15:49,w190971822,566C - Logistical Questions,GNU C++11,Accepted,217 ms,23600 KB,2020-02-08 15:49:00
79356500,May/08/2020 10:56,wh_ZH,566C - Logistical Questions,GNU C++11,Accepted,187 ms,26300 KB,2020-05-08 10:56:00
38706217,May/29/2018 03:00,qiqi20021026,566C - Logistical Questions,GNU C++14,Accepted,280 ms,39900 KB,2018-05-29 03:00:00
41288717,Aug/07/2018 02:55,newbiegcz,566C - Logistical Questions,GNU C++11,Accepted,156 ms,21700 KB,2018-08-07 02:55:00
64563113,Nov/09/2019 09:45,WZYYN,566C - Logistical Questions,GNU C++11,Accepted,234 ms,20300 KB,2019-11-09 09:45:00
80073513,May/14/2020 16:26,CTP_314,566C - Logistical Questions,GNU C++11,Accepted,608 ms,30200 KB,2020-05-14 16:26:00
27997986,Jun/24/2017 08:49,zhan8855,566C - Logistical Questions,GNU C++,Accepted,187 ms,114700 KB,2017-06-24 08:49:00
68871691,Jan/15/2020 18:26,PinkRabbit,566C - Logistical Questions,GNU C++14,Accepted,280 ms,27500 KB,2020-01-15 18:26:00
14267426,Nov/15/2015 13:52,grothendieck,566C - Logistical Questions,GNU C++11,Accepted,249 ms,28400 KB,2015-11-15 13:52:00
12719209,Aug/27/2015 15:14,cchao,566C - Logistical Questions,GNU C++11,Accepted,234 ms,28400 KB,2015-08-27 15:14:00
69890545,Jan/31/2020 12:51,Liuhunck,566C - Logistical Questions,GNU C++11,Accepted,608 ms,17200 KB,2020-01-31 12:51:00
70494331,Feb/07/2020 13:03,lcy-heart,566C - Logistical Questions,GNU C++11,Accepted,312 ms,23600 KB,2020-02-07 13:03:00
70426800,Feb/06/2020 13:17,jah_melon,566C - Logistical Questions,GNU C++17,Accepted,421 ms,28500 KB,2020-02-06 13:17:00
70341304,Feb/05/2020 11:29,liji,566C - Logistical Questions,GNU C++14,Accepted,373 ms,32200 KB,2020-02-05 11:29:00
64771456,Nov/13/2019 03:13,nqiiii,566C - Logistical Questions,GNU C++14,Accepted,405 ms,22700 KB,2019-11-13 03:13:00
65625422,Nov/24/2019 10:49,ohweonfire,566C - Logistical Questions,GNU C++11,Accepted,202 ms,22100 KB,2019-11-24 10:49:00
69883459,Jan/31/2020 10:17,luogu_bot1,566C - Logistical Questions,GNU C++11,Accepted,234 ms,27400 KB,2020-01-31 10:17:00
70541198,Feb/08/2020 09:00,big_tq,566C - Logistical Questions,GNU C++11,Accepted,217 ms,23600 KB,2020-02-08 09:00:00
12719236,Aug/27/2015 15:16,ntu_vjudge_1,566C - Logistical Questions,GNU C++11,Accepted,249 ms,28400 KB,2015-08-27 15:16:00
12719243,Aug/27/2015 15:17,ntu_vjudge_2,566C - Logistical Questions,GNU C++11,Accepted,280 ms,28400 KB,2015-08-27 15:17:00
12727615,Aug/28/2015 09:35,ntu_vjudge_1,566C - Logistical Questions,GNU C++11,Accepted,234 ms,28400 KB,2015-08-28 09:35:00
63354374,Oct/25/2019 04:10,vjudge2,566C - Logistical Questions,GNU C++14,Accepted,358 ms,25200 KB,2019-10-25 04:10:00
41288704,Aug/07/2018 02:53,newbiegcz,566C - Logistical Questions,GNU C++11,Accepted,140 ms,21700 KB,2018-08-07 02:53:00
63624802,Oct/28/2019 05:47,zhangzy,566C - Logistical Questions,GNU C++14,Accepted,873 ms,22100 KB,2019-10-28 05:47:00
79726436,May/11/2020 13:05,iefnah06,566C - Logistical Questions,GNU C++17 (64),Accepted,436 ms,41900 KB,2020-05-11 13:05:00
65687404,Nov/25/2019 04:32,cjy2003,566C - Logistical Questions,GNU C++11,Accepted,171 ms,23100 KB,2019-11-25 04:32:00
12703850,Aug/26/2015 08:55,wwt15,566C - Logistical Questions,GNU C++,Accepted,998 ms,19000 KB,2015-08-26 08:55:00
63957689,Nov/01/2019 06:06,hehezhou,566C - Logistical Questions,GNU C++11,Accepted,234 ms,13400 KB,2019-11-01 06:06:00
66204890,Dec/03/2019 04:34,Rivaille_Ackerman,566C - Logistical Questions,GNU C++11,Accepted,561 ms,19700 KB,2019-12-03 04:34:00
77154738,Apr/18/2020 10:37,Warriors_fsy,566C - Logistical Questions,GNU C++11,Accepted,218 ms,22500 KB,2020-04-18 10:37:00
42487537,Sep/05/2018 13:03,xyzzxy,566C - Logistical Questions,GNU C++11,Accepted,295 ms,22500 KB,2018-09-05 13:03:00
63904371,Oct/31/2019 09:04,Cyanic,566C - Logistical Questions,GNU C++14,Accepted,374 ms,25200 KB,2019-10-31 09:04:00
65577530,Nov/23/2019 12:54,zhongyuwei,566C - Logistical Questions,GNU C++14,Accepted,811 ms,24600 KB,2019-11-23 12:54:00
66329471,Dec/05/2019 17:56,djq_cpp,566C - Logistical Questions,GNU C++14,Accepted,467 ms,22300 KB,2019-12-05 17:56:00
68710409,Jan/13/2020 15:48,xymtxdy,566C - Logistical Questions,GNU C++17,Accepted,467 ms,35500 KB,2020-01-13 15:48:00
67607089,Dec/25/2019 17:00,nealchen,566C - Logistical Questions,GNU C++14,Accepted,264 ms,17300 KB,2019-12-25 17:00:00
12671401,Aug/23/2015 13:00,t1016d,566C - Logistical Questions,GNU C++11,Accepted,233 ms,24800 KB,2015-08-23 13:00:00
12323877,Aug/03/2015 12:20,KuribohG,566C - Logistical Questions,GNU C++,Accepted,390 ms,25400 KB,2015-08-03 12:20:00
36517084,Mar/23/2018 02:02,CQzhangyu,566C - Logistical Questions,GNU C++14,Accepted,373 ms,42400 KB,2018-03-23 02:02:00
29584946,Aug/19/2017 04:31,laofudasuan,566C - Logistical Questions,GNU C++,Accepted,202 ms,14300 KB,2017-08-19 04:31:00
52930169,Apr/18/2019 03:59,streek36,566C - Logistical Questions,GNU C++11,Accepted,249 ms,20300 KB,2019-04-18 03:59:00
14422890,Nov/23/2015 10:49,function348,566C - Logistical Questions,GNU C++,Accepted,811 ms,25800 KB,2015-11-23 10:49:00
28664315,Jul/18/2017 12:52,chitanda,566C - Logistical Questions,GNU C++11,Accepted,264 ms,32400 KB,2017-07-18 12:52:00
77917654,Apr/24/2020 16:47,K0u1e,566C - Logistical Questions,GNU C++14,Accepted,545 ms,28500 KB,2020-04-24 16:47:00
70722713,Feb/10/2020 13:51,gongsuidashen,566C - Logistical Questions,GNU C++17,Accepted,93 ms,21700 KB,2020-02-10 13:51:00
68838001,Jan/15/2020 07:24,Buzhibujue,566C - Logistical Questions,GNU C++11,Accepted,655 ms,15400 KB,2020-01-15 07:24:00
74389424,Mar/26/2020 16:15,luogu_bot2,566C - Logistical Questions,GNU C++11,Accepted,202 ms,32500 KB,2020-03-26 16:15:00
63291210,Oct/24/2019 14:47,skip1978,566C - Logistical Questions,GNU C++11,Accepted,561 ms,18800 KB,2019-10-24 14:47:00
72507307,Mar/05/2020 14:39,Pigbrain,566C - Logistical Questions,GNU C++11,Accepted,233 ms,19000 KB,2020-03-05 14:39:00
67988846,Dec/31/2019 05:29,251,566C - Logistical Questions,GNU C++14,Accepted,280 ms,24400 KB,2019-12-31 05:29:00
68452137,Jan/09/2020 17:44,luogu_bot1,566C - Logistical Questions,GNU C++11,Accepted,639 ms,25200 KB,2020-01-09 17:44:00
12671372,Aug/23/2015 12:58,ntu_vjudge_2,566C - Logistical Questions,GNU C++11,Accepted,249 ms,24800 KB,2015-08-23 12:58:00
12671409,Aug/23/2015 13:01,ntu_vjudge_1,566C - Logistical Questions,GNU C++11,Accepted,265 ms,24800 KB,2015-08-23 13:01:00
12691359,Aug/25/2015 07:14,ntu_vjudge_2,566C - Logistical Questions,GNU C++11,Accepted,234 ms,24800 KB,2015-08-25 07:14:00
71765011,Feb/24/2020 16:13,YaoBIG,566C - Logistical Questions,GNU C++17,Accepted,249 ms,24400 KB,2020-02-24 16:13:00
77031680,Apr/17/2020 06:36,AThousandMoon,566C - Logistical Questions,GNU C++11,Accepted,93 ms,12300 KB,2020-04-17 06:36:00
39761872,Jun/29/2018 10:48,X_emad_X,566C - Logistical Questions,GNU C++14,Accepted,1887 ms,24800 KB,2018-06-29 10:48:00
64664684,Nov/11/2019 03:45,weng_233,566C - Logistical Questions,GNU C++11,Accepted,872 ms,22900 KB,2019-11-11 03:45:00
52895933,Apr/17/2019 11:49,Als123,566C - Logistical Questions,GNU C++17,Accepted,577 ms,36300 KB,2019-04-17 11:49:00
12707561,Aug/26/2015 15:18,Dylans,566C - Logistical Questions,GNU C++,Accepted,358 ms,18800 KB,2015-08-26 15:18:00
12696186,Aug/25/2015 16:25,Remilia-Scarlet,566C - Logistical Questions,GNU C++11,Accepted,420 ms,21300 KB,2015-08-25 16:25:00
71764984,Feb/24/2020 16:13,YaoBIG,566C - Logistical Questions,GNU C++17,Accepted,280 ms,24400 KB,2020-02-24 16:13:00
71647820,Feb/23/2020 09:46,Itsuka__Shido,566C - Logistical Questions,GNU C++11,Accepted,155 ms,24900 KB,2020-02-23 09:46:00
66389988,Dec/06/2019 11:48,MarkF,566C - Logistical Questions,GNU C++11,Accepted,451 ms,25400 KB,2019-12-06 11:48:00
75215695,Apr/02/2020 11:13,howardyang,566C - Logistical Questions,GNU C++11,Accepted,343 ms,23900 KB,2020-04-02 11:13:00
12691232,Aug/25/2015 06:42,b92paul,566C - Logistical Questions,GNU C++11,Accepted,249 ms,26400 KB,2015-08-25 06:42:00
15141365,Jan/01/2016 00:24,HappyNewYearMike,566C - Logistical Questions,GNU C++11,Accepted,265 ms,26400 KB,2016-01-01 00:24:00
75244085,Apr/02/2020 16:19,Harry_bh,566C - Logistical Questions,GNU C++11,Accepted,233 ms,28500 KB,2020-04-02 16:19:00
12691246,Aug/25/2015 06:45,ntu_vjudge_1,566C - Logistical Questions,GNU C++11,Accepted,296 ms,26400 KB,2015-08-25 06:45:00
12691368,Aug/25/2015 07:15,ntu_vjudge_2,566C - Logistical Questions,GNU C++11,Accepted,264 ms,26400 KB,2015-08-25 07:15:00
68313324,Jan/06/2020 15:12,Hercier,566C - Logistical Questions,GNU C++11,Accepted,623 ms,28400 KB,2020-01-06 15:12:00
12636991,Aug/22/2015 08:26,ikatanic,566C - Logistical Questions,GNU C++11,Accepted,311 ms,24800 KB,2015-08-22 08:26:00
77279425,Apr/19/2020 16:34,luogu_bot3,566C - Logistical Questions,GNU C++11,Accepted,156 ms,20900 KB,2020-04-19 16:34:00
67006727,Dec/16/2019 11:15,Chthollypipishan,566C - Logistical Questions,GNU C++11,Accepted,577 ms,23300 KB,2019-12-16 11:15:00
69732997,Jan/29/2020 16:57,Roal_L,566C - Logistical Questions,GNU C++11,Accepted,607 ms,19700 KB,2020-01-29 16:57:00
27979568,Jun/23/2017 10:44,jiyutian,566C - Logistical Questions,GNU C++,Accepted,171 ms,27700 KB,2017-06-23 10:44:00
72576267,Mar/06/2020 16:27,huhaoo,566C - Logistical Questions,GNU C++11,Accepted,592 ms,34000 KB,2020-03-06 16:27:00
74789753,Mar/30/2020 09:08,command_block,566C - Logistical Questions,GNU C++11,Accepted,249 ms,28400 KB,2020-03-30 09:08:00
69936069,Feb/01/2020 06:50,vjudge3,566C - Logistical Questions,GNU C++11,Accepted,624 ms,19700 KB,2020-02-01 06:50:00
69703619,Jan/29/2020 05:56,Kewth,566C - Logistical Questions,GNU C++11,Accepted,264 ms,23700 KB,2020-01-29 05:56:00
63292550,Oct/24/2019 15:09,panole,566C - Logistical Questions,GNU C++11,Accepted,202 ms,29200 KB,2019-10-24 15:09:00
57844785,Jul/27/2019 13:38,SuperFF,566C - Logistical Questions,GNU C++14,Accepted,77 ms,18700 KB,2019-07-27 13:38:00
