2039161,Aug/21/2012 04:59,xlk,38A - Army,Ruby,Accepted,140 ms,5500 KB,2012-08-21 04:59:00
15913496,Feb/09/2016 16:18,not_bot_but_POT,38A - Army,Ruby,Accepted,124 ms,0 KB,2016-02-09 16:18:00
22890015,Dec/11/2016 20:15,ohNoo,38A - Army,Ruby,Accepted,124 ms,0 KB,2016-12-11 20:15:00
56015269,Jun/24/2019 23:40,sorry_im_smurfing,38A - Army,Ruby,Accepted,124 ms,0 KB,2019-06-24 23:40:00
176059,Oct/31/2010 15:15,urutom,38A - Army,Ruby,Accepted,50 ms,2100 KB,2010-10-31 15:15:00
35857612,Mar/02/2018 23:44,______M______,38A - Army,Ruby,Accepted,154 ms,6100 KB,2018-03-02 23:44:00
35859271,Mar/03/2018 00:16,______i______,38A - Army,Ruby,Accepted,154 ms,6100 KB,2018-03-03 00:16:00
35859808,Mar/03/2018 00:28,______h______,38A - Army,Ruby,Accepted,154 ms,6100 KB,2018-03-03 00:28:00
35859829,Mar/03/2018 00:28,______k______,38A - Army,Ruby,Accepted,154 ms,6100 KB,2018-03-03 00:28:00
35862828,Mar/03/2018 01:32,_____k_____,38A - Army,Ruby,Accepted,154 ms,6100 KB,2018-03-03 01:32:00
35862884,Mar/03/2018 01:34,_____i_____,38A - Army,Ruby,Accepted,154 ms,6100 KB,2018-03-03 01:34:00
35863316,Mar/03/2018 01:43,______n______,38A - Army,Ruby,Accepted,154 ms,6100 KB,2018-03-03 01:43:00
35863497,Mar/03/2018 01:47,______u______,38A - Army,Ruby,Accepted,154 ms,6100 KB,2018-03-03 01:47:00
472464,May/30/2011 04:10,1tthinking,38A - Army,Ruby,Accepted,110 ms,3500 KB,2011-05-30 04:10:00
175641,Oct/30/2010 20:55,Chortos-2,38A - Army,Ruby,Accepted,50 ms,2100 KB,2010-10-30 20:55:00
175574,Oct/30/2010 20:21,Chortos-2,38A - Army,Python 2,Accepted,60 ms,2700 KB,2010-10-30 20:21:00
1629286,Apr/26/2012 16:25,mera_sirgiy,38A - Army,Python 2,Accepted,60 ms,2800 KB,2012-04-26 16:25:00
2014081,Aug/15/2012 00:13,Unlenin,38A - Army,Python 2,Accepted,110 ms,2900 KB,2012-08-15 00:13:00
9665167,Feb/01/2015 15:26,Greenwicher,38A - Army,Python 2,Accepted,124 ms,0 KB,2015-02-01 15:26:00
3637558,Apr/26/2013 22:45,Varsag,38A - Army,Python 2,Accepted,62 ms,0 KB,2013-04-26 22:45:00
177553,Jan/01/2011 21:18,watashi,38A - Army,Python 2,Accepted,60 ms,2700 KB,2011-01-01 21:18:00
6290810,Apr/07/2014 06:03,jamespan,38A - Army,Python 2,Accepted,92 ms,0 KB,2014-04-07 06:03:00
10873292,Apr/26/2015 17:04,itchyny,38A - Army,Haskell,Accepted,62 ms,2800 KB,2015-04-26 17:04:00
406958,Apr/24/2011 15:00,RomanAkberov,38A - Army,Python 2,Accepted,60 ms,2800 KB,2011-04-24 15:00:00
18220295,Jun/02/2016 19:34,Amores,38A - Army,PyPy 3,Accepted,248 ms,22700 KB,2016-06-02 19:34:00
12128238,Jul/20/2015 13:52,motivation_error,38A - Army,Python 2,Accepted,92 ms,0 KB,2015-07-20 13:52:00
17016435,Mar/29/2016 11:53,ArGuTe,38A - Army,Python 2,Accepted,124 ms,4600 KB,2016-03-29 11:53:00
27549337,Jun/03/2017 20:08,BlueHazard_rony,38A - Army,Python 2,Accepted,92 ms,0 KB,2017-06-03 20:08:00
173599,Oct/30/2010 18:00,* nab,38A - Army,Ruby,Accepted,50 ms,2100 KB,2010-10-30 18:00:00
32194434,Nov/10/2017 15:08,cchao,38A - Army,PyPy 2,Accepted,124 ms,0 KB,2017-11-10 15:08:00
170694,Oct/30/2010 16:09,* kt3k,38A - Army,Python 2,Accepted,60 ms,2700 KB,2010-10-30 16:09:00
69675628,Jan/28/2020 17:12,stars_in_the_sky,38A - Army,Python 3,Accepted,218 ms,0 KB,2020-01-28 17:12:00
567761,Jul/28/2011 02:42,SkorKNURE,38A - Army,Python 2,Accepted,60 ms,2800 KB,2011-07-28 02:42:00
5674796,Jan/12/2014 21:09,meskill,38A - Army,Python 3,Accepted,92 ms,100 KB,2014-01-12 21:09:00
7006552,Jul/03/2014 23:39,Arsegg,38A - Army,Python 2,Accepted,92 ms,0 KB,2014-07-03 23:39:00
51600829,Mar/21/2019 06:34,chauhain,38A - Army,Python 3,Accepted,248 ms,0 KB,2019-03-21 06:34:00
66813418,Dec/14/2019 07:25,S.Sino,38A - Army,Python 3,Accepted,248 ms,0 KB,2019-12-14 07:25:00
174571,Oct/30/2010 18:55,* Chortos-2,38A - Army,Python 2,Accepted,50 ms,2700 KB,2010-10-30 18:55:00
841462,Nov/08/2011 17:47,Martial,38A - Army,Python 2,Accepted,60 ms,2800 KB,2011-11-08 17:47:00
2157676,Sep/13/2012 14:27,changyuheng,38A - Army,Python 2,Accepted,90 ms,2900 KB,2012-09-13 14:27:00
2545031,Nov/12/2012 18:09,were3441,38A - Army,Python 2,Accepted,62 ms,0 KB,2012-11-12 18:09:00
2685442,Dec/02/2012 07:52,astep,38A - Army,Ruby,Accepted,109 ms,0 KB,2012-12-02 07:52:00
74139519,Mar/23/2020 21:57,coderemite,38A - Army,Python 3,Accepted,248 ms,0 KB,2020-03-23 21:57:00
23649130,Jan/08/2017 19:04,YazanRi,38A - Army,Python 3,Accepted,186 ms,4500 KB,2017-01-08 19:04:00
41982705,Aug/23/2018 06:14,Mk_Python_v1,38A - Army,Python 3,Accepted,248 ms,0 KB,2018-08-23 06:14:00
76481713,Apr/13/2020 14:22,sagalpreet,38A - Army,Python 3,Accepted,218 ms,0 KB,2020-04-13 14:22:00
4101961,Jul/19/2013 06:50,demoslam,38A - Army,Python 2,Accepted,62 ms,0 KB,2013-07-19 06:50:00
175572,Oct/30/2010 20:21,kusano,38A - Army,Python 2,Accepted,80 ms,2700 KB,2010-10-30 20:21:00
526488,Jul/03/2011 04:32,hobagos,38A - Army,Python 2,Accepted,60 ms,2800 KB,2011-07-03 04:32:00
756205,Oct/12/2011 03:35,lilEzek,38A - Army,Python 2,Accepted,50 ms,2800 KB,2011-10-12 03:35:00
3900892,Jun/15/2013 15:23,gravity_01,38A - Army,Python 2,Accepted,46 ms,0 KB,2013-06-15 15:23:00
17545561,Apr/27/2016 22:00,UnusedFever,38A - Army,PyPy 3,Accepted,248 ms,22700 KB,2016-04-27 22:00:00
19534046,Jul/31/2016 11:42,kcherdakov,38A - Army,Python 3,Accepted,124 ms,0 KB,2016-07-31 11:42:00
58998318,Aug/18/2019 15:29,anonymous43,38A - Army,Python 3,Accepted,218 ms,0 KB,2019-08-18 15:29:00
68039667,Jan/01/2020 16:43,chauhan002,38A - Army,Python 3,Accepted,248 ms,300 KB,2020-01-01 16:43:00
78473509,Apr/29/2020 15:12,preethi001,38A - Army,PyPy 3,Accepted,280 ms,0 KB,2020-04-29 15:12:00
825014,Nov/02/2011 20:31,alex.alex,38A - Army,Python 2,Accepted,50 ms,2800 KB,2011-11-02 20:31:00
1834923,Jun/27/2012 18:49,devoto13,38A - Army,Python 2,Accepted,110 ms,2900 KB,2012-06-27 18:49:00
26902808,May/06/2017 16:54,lelius,38A - Army,Python 3,Accepted,124 ms,0 KB,2017-05-06 16:54:00
63296023,Oct/24/2019 16:00,vishnutheerthep,38A - Army,Python 3,Accepted,218 ms,0 KB,2019-10-24 16:00:00
273722,Feb/02/2011 20:24,ajmarin,38A - Army,Python 2,Accepted,60 ms,2700 KB,2011-02-02 20:24:00
7790854,Sep/14/2014 09:57,rincewind,38A - Army,Python 2,Accepted,92 ms,0 KB,2014-09-14 09:57:00
12128287,Jul/20/2015 13:57,motivation_error,38A - Army,Python 2,Accepted,124 ms,0 KB,2015-07-20 13:57:00
22785066,Dec/07/2016 15:14,franckmy,38A - Army,Python 2,Accepted,92 ms,4500 KB,2016-12-07 15:14:00
29606768,Aug/19/2017 22:07,rgkbitw,38A - Army,Python 3,Accepted,154 ms,0 KB,2017-08-19 22:07:00
40199971,Jul/11/2018 14:56,cs1g,38A - Army,Python 3,Accepted,248 ms,0 KB,2018-07-11 14:56:00
44284304,Oct/14/2018 09:40,SarveshDubey,38A - Army,PyPy 3,Accepted,278 ms,0 KB,2018-10-14 09:40:00
51409633,Mar/17/2019 14:30,jvti,38A - Army,Python 3,Accepted,248 ms,0 KB,2019-03-17 14:30:00
55649356,Jun/16/2019 16:47,chiragsoni812,38A - Army,Python 3,Accepted,218 ms,0 KB,2019-06-16 16:47:00
67664271,Dec/26/2019 20:09,sandeepvallabhareddy,38A - Army,Python 3,Accepted,218 ms,0 KB,2019-12-26 20:09:00
72960702,Mar/11/2020 17:13,krishna369,38A - Army,PyPy 3,Accepted,310 ms,0 KB,2020-03-11 17:13:00
76283987,Apr/12/2020 07:17,Subarna578,38A - Army,PyPy 3,Accepted,280 ms,0 KB,2020-04-12 07:17:00
170306,Oct/30/2010 16:02,* itchyny,38A - Army,Python 2,Accepted,60 ms,2700 KB,2010-10-30 16:02:00
170547,Oct/30/2010 16:06,* kusano,38A - Army,Python 2,Accepted,60 ms,2700 KB,2010-10-30 16:06:00
328639,Mar/08/2011 16:50,hyon,38A - Army,Python 2,Accepted,60 ms,2800 KB,2011-03-08 16:50:00
