38643420,May/27/2018 00:11,boulevard,907A - Masha and Bears,GNU C++14,Accepted,31 ms,0 KB,2018-05-27 00:11:00
33580876,Dec/24/2017 02:26,wangkan2001,907A - Masha and Bears,Python 2,Accepted,62 ms,4500 KB,2017-12-24 02:26:00
34574804,Jan/26/2018 15:10,ghottu,907A - Masha and Bears,GNU C++14,Accepted,15 ms,1800 KB,2018-01-26 15:10:00
35734037,Feb/26/2018 16:51,random_shuffle01,907A - Masha and Bears,GNU C++14,Accepted,31 ms,2000 KB,2018-02-26 16:51:00
49877745,Feb/13/2019 19:41,toysheeyeyraku,907A - Masha and Bears,Python 3,Accepted,109 ms,0 KB,2019-02-13 19:41:00
33903746,Jan/04/2018 16:12,shrihari.messi10,907A - Masha and Bears,GNU C++11,Accepted,30 ms,2000 KB,2018-01-04 16:12:00
50278379,Feb/21/2019 14:28,bhargav_0085,907A - Masha and Bears,GNU C++14,Accepted,46 ms,0 KB,2019-02-21 14:28:00
33635114,Dec/26/2017 05:48,sarah.mathew98,907A - Masha and Bears,GNU C++14,Accepted,15 ms,1900 KB,2017-12-26 05:48:00
35049248,Feb/08/2018 10:53,the_old_one,907A - Masha and Bears,GNU C++14,Accepted,15 ms,1900 KB,2018-02-08 10:53:00
35754425,Feb/27/2018 10:34,GXF000,907A - Masha and Bears,GNU C++17,Accepted,15 ms,2000 KB,2018-02-27 10:34:00
51272927,Mar/13/2019 22:03,repper,907A - Masha and Bears,GNU C++17,Accepted,30 ms,0 KB,2019-03-13 22:03:00
33651321,Dec/26/2017 19:00,khangtran97,907A - Masha and Bears,GNU C++14,Accepted,15 ms,1900 KB,2017-12-26 19:00:00
33545242,Dec/23/2017 17:23,denny_sem,907A - Masha and Bears,Python 3,Accepted,62 ms,5400 KB,2017-12-23 17:23:00
56437217,Jul/02/2019 17:42,vjudge4,907A - Masha and Bears,GNU C++11,Accepted,31 ms,0 KB,2019-07-02 17:42:00
33694848,Dec/27/2017 22:47,maic,907A - Masha and Bears,GNU C++14,Accepted,30 ms,1900 KB,2017-12-27 22:47:00
35573962,Feb/22/2018 16:17,NovikovAlex,907A - Masha and Bears,GNU C++14,Accepted,15 ms,1900 KB,2018-02-22 16:17:00
36327588,Mar/16/2018 16:44,Apurbo,907A - Masha and Bears,GNU C++11,Accepted,31 ms,3400 KB,2018-03-16 16:44:00
60202708,Sep/07/2019 09:36,vjudge4,907A - Masha and Bears,PyPy 2,Accepted,171 ms,0 KB,2019-09-07 09:36:00
33911020,Jan/04/2018 23:11,mrigank9,907A - Masha and Bears,GNU C++14,Accepted,30 ms,1900 KB,2018-01-04 23:11:00
35128996,Feb/10/2018 18:09,Halah_Hoshma,907A - Masha and Bears,GNU C++17 Diagnostics,Accepted,888 ms,97200 KB,2018-02-10 18:09:00
33591721,Dec/24/2017 14:30,zhaominyiz,907A - Masha and Bears,GNU C++14,Accepted,15 ms,1900 KB,2017-12-24 14:30:00
33607412,Dec/25/2017 05:57,Ridiculo_us,907A - Masha and Bears,GNU C++11,Accepted,15 ms,2000 KB,2017-12-25 05:57:00
33615912,Dec/25/2017 15:02,Dannor,907A - Masha and Bears,GNU C++11,Accepted,15 ms,2000 KB,2017-12-25 15:02:00
33634128,Dec/26/2017 03:15,Bn_anwar,907A - Masha and Bears,GNU C++11,Accepted,15 ms,2000 KB,2017-12-26 03:15:00
33649995,Dec/26/2017 17:50,manka,907A - Masha and Bears,GNU C++,Accepted,15 ms,2000 KB,2017-12-26 17:50:00
37676422,Apr/28/2018 08:08,Howkits,907A - Masha and Bears,GNU C++,Accepted,31 ms,3400 KB,2018-04-28 08:08:00
33559627,Dec/23/2017 18:12,eugalt,907A - Masha and Bears,Python 3,Accepted,62 ms,5400 KB,2017-12-23 18:12:00
