4820843,Oct/18/2013 20:32,Unlenin,8A - Train and Peter,Python 2,Accepted,92 ms,200 KB,2013-10-18 20:32:00
53695361,May/03/2019 10:26,daotiennamhlvl,8A - Train and Peter,Python 3,Accepted,218 ms,200 KB,2019-05-03 10:26:00
55736243,Jun/19/2019 07:15,divyang.timbadiya8394,8A - Train and Peter,Python 3,Accepted,218 ms,200 KB,2019-06-19 07:15:00
58899981,Aug/16/2019 11:49,darkshadow07,8A - Train and Peter,Python 3,Accepted,248 ms,200 KB,2019-08-16 11:49:00
5098224,Nov/14/2013 18:33,yugle7,8A - Train and Peter,Python 2,Accepted,92 ms,400 KB,2013-11-14 18:33:00
5923583,Mar/04/2014 16:38,Nekrolm,8A - Train and Peter,Python 2,Accepted,124 ms,500 KB,2014-03-04 16:38:00
48489423,Jan/17/2019 13:02,boboquack,8A - Train and Peter,Python 3,Accepted,248 ms,200 KB,2019-01-17 13:02:00
34162809,Jan/14/2018 01:34,arknave#,8A - Train and Peter,PyPy 3,Accepted,280 ms,29200 KB,2018-01-14 01:34:00
33405448,Dec/19/2017 14:04,tomarov,8A - Train and Peter,Python 2,Accepted,124 ms,4900 KB,2017-12-19 14:04:00
24474118,Feb/06/2017 21:35,foobarthomas,8A - Train and Peter,Python 3,Accepted,124 ms,4700 KB,2017-02-06 21:35:00
41982490,Aug/23/2018 06:03,Mostafa_Khaled_Robot,8A - Train and Peter,Python 3,Accepted,218 ms,200 KB,2018-08-23 06:03:00
41982579,Aug/23/2018 06:08,Mk_Python_v1,8A - Train and Peter,Python 3,Accepted,218 ms,200 KB,2018-08-23 06:08:00
5098105,Nov/14/2013 18:19,yugle7,8A - Train and Peter,Python 3,Accepted,92 ms,300 KB,2013-11-14 18:19:00
3009893,Jan/26/2013 07:12,YX201314,8A - Train and Peter,Python 2,Accepted,62 ms,400 KB,2013-01-26 07:12:00
43866057,Oct/05/2018 21:07,III_Wolverine_III,8A - Train and Peter,Python 3,Accepted,404 ms,700 KB,2018-10-05 21:07:00
