6795154,Jun/04/2014 12:55,alex48,254A - Cards with Numbers,GNU C++,Accepted,202 ms,2500 KB,2014-06-04 12:55:00
10432245,Mar/25/2015 13:49,khewalgaurav,254A - Cards with Numbers,GNU C++,Accepted,202 ms,2400 KB,2015-03-25 13:49:00
40032475,Jul/06/2018 17:07,prankster________,254A - Cards with Numbers,GNU C++14,Accepted,249 ms,2500 KB,2018-07-06 17:07:00
2956539,Jan/18/2013 17:22,tjsudys,254A - Cards with Numbers,GNU C,Accepted,359 ms,2500 KB,2013-01-18 17:22:00
7798371,Sep/15/2014 07:20,nickyname,254A - Cards with Numbers,GNU C++,Accepted,202 ms,2500 KB,2014-09-15 07:20:00
14907600,Dec/21/2015 09:09,alishaterian,254A - Cards with Numbers,GNU C++,Accepted,202 ms,2400 KB,2015-12-21 09:09:00
19037044,Jul/12/2016 00:23,Koshlendra7,254A - Cards with Numbers,GNU C,Accepted,218 ms,2500 KB,2016-07-12 00:23:00
46821075,Dec/09/2018 18:19,Mohamed_Ayman,254A - Cards with Numbers,Python 3,Accepted,998 ms,48500 KB,2018-12-09 18:19:00
12221827,Jul/25/2015 09:26,thepotatoranch#,254A - Cards with Numbers,Python 2,Accepted,935 ms,33300 KB,2015-07-25 09:26:00
38077653,May/09/2018 20:02,Jozifo,254A - Cards with Numbers,GNU C++11,Accepted,265 ms,8300 KB,2018-05-09 20:02:00
36886218,Apr/02/2018 21:12,rishi_keshav,254A - Cards with Numbers,GNU C++14,Accepted,233 ms,5800 KB,2018-04-02 21:12:00
69250978,Jan/21/2020 17:15,anujpuri72,254A - Cards with Numbers,PyPy 3,Accepted,888 ms,44700 KB,2020-01-21 17:15:00
79390110,May/08/2020 18:02,GarbageValue,254A - Cards with Numbers,GNU C++17 (64),Accepted,498 ms,6700 KB,2020-05-08 18:02:00
2750046,Dec/11/2012 11:52,hariprasath,254A - Cards with Numbers,GNU C,Accepted,375 ms,2500 KB,2012-12-11 11:52:00
2750058,Dec/11/2012 11:54,hARRAY,254A - Cards with Numbers,GNU C,Accepted,375 ms,2500 KB,2012-12-11 11:54:00
4720387,Oct/09/2013 23:18,yugle7,254A - Cards with Numbers,Python 2,Accepted,966 ms,39300 KB,2013-10-09 23:18:00
2742967,Dec/09/2012 18:29,karanaggarwal,254A - Cards with Numbers,GNU C,Accepted,359 ms,2500 KB,2012-12-09 18:29:00
4720400,Oct/09/2013 23:20,yugle7,254A - Cards with Numbers,Python 2,Accepted,966 ms,39300 KB,2013-10-09 23:20:00
4649963,Oct/03/2013 18:40,Unlenin,254A - Cards with Numbers,Python 2,Accepted,966 ms,38200 KB,2013-10-03 18:40:00
3135086,Feb/16/2013 06:50,woaishizhan,254A - Cards with Numbers,GNU C++,Accepted,359 ms,2500 KB,2013-02-16 06:50:00
2771096,Dec/15/2012 23:25,avalya7,254A - Cards with Numbers,GNU C++,Accepted,375 ms,2500 KB,2012-12-15 23:25:00
19209831,Jul/18/2016 13:42,Nodare,254A - Cards with Numbers,GNU C++11,Accepted,264 ms,4900 KB,2016-07-18 13:42:00
62922585,Oct/19/2019 13:26,ankitpriyarup#,254A - Cards with Numbers,GNU C++17,Accepted,296 ms,4900 KB,2019-10-19 13:26:00
79735405,May/11/2020 14:55,_Setu_,254A - Cards with Numbers,GNU C++17,Accepted,265 ms,8500 KB,2020-05-11 14:55:00
2768017,Dec/15/2012 02:14,Stalker,254A - Cards with Numbers,FPC,Accepted,187 ms,200 KB,2012-12-15 02:14:00
2768018,Dec/15/2012 02:15,Stalker,254A - Cards with Numbers,FPC,Accepted,203 ms,200 KB,2012-12-15 02:15:00
5894065,Feb/04/2014 14:16,catTom,254A - Cards with Numbers,Python 2,Accepted,1013 ms,32700 KB,2014-02-04 14:16:00
75165511,Apr/01/2020 20:30,garganshika620,254A - Cards with Numbers,GNU C++11,Accepted,234 ms,4900 KB,2020-04-01 20:30:00
21322720,Oct/09/2016 19:31,whisper,254A - Cards with Numbers,Ruby,Accepted,841 ms,113600 KB,2016-10-09 19:31:00
53427533,Apr/27/2019 17:26,yfo,254A - Cards with Numbers,Python 2,Accepted,811 ms,30400 KB,2019-04-27 17:26:00
2744117,Dec/09/2012 21:08,serega.belarus,254A - Cards with Numbers,GNU C++,Accepted,375 ms,2500 KB,2012-12-09 21:08:00
53866501,May/08/2019 07:35,jameslol,254A - Cards with Numbers,PyPy 3,Accepted,888 ms,42400 KB,2019-05-08 07:35:00
14968525,Dec/24/2015 14:24,elistark,254A - Cards with Numbers,Python 2,Accepted,967 ms,30400 KB,2015-12-24 14:24:00
