78937231,May/04/2020 09:10,vjudge2,183A - Headquarters,GNU C++17,Accepted,404 ms,0 KB,2020-05-04 09:10:00
1631953,Apr/27/2012 18:39,* tyamgin,183A - Headquarters,MS C++,Accepted,90 ms,1400 KB,2012-04-27 18:39:00
42121752,Aug/26/2018 15:51,terry182#,183A - Headquarters,GNU C++,Accepted,528 ms,0 KB,2018-08-26 15:51:00
78860310,May/03/2020 04:31,vjudge4,183A - Headquarters,GNU C++17 (64),Accepted,312 ms,0 KB,2020-05-03 04:31:00
2637434,Nov/24/2012 16:10,hariprasath,183A - Headquarters,GNU C++,Accepted,187 ms,0 KB,2012-11-24 16:10:00
5614520,Jan/04/2014 11:59,PSDEV,183A - Headquarters,GNU C++,Accepted,218 ms,0 KB,2014-01-04 11:59:00
1631256,Apr/27/2012 17:31,neex.emil,183A - Headquarters,Python 2,Accepted,390 ms,2800 KB,2012-04-27 17:31:00
14169797,Nov/09/2015 15:11,130705009,183A - Headquarters,GNU C++,Accepted,498 ms,0 KB,2015-11-09 15:11:00
3993757,Jun/30/2013 00:07,neharao9,183A - Headquarters,GNU C++,Accepted,218 ms,0 KB,2013-06-30 00:07:00
4275864,Aug/14/2013 08:56,hkglly,183A - Headquarters,GNU C++,Accepted,124 ms,0 KB,2013-08-14 08:56:00
57073537,Jul/15/2019 06:51,_ShadowSong,183A - Headquarters,GNU C++11,Accepted,122 ms,0 KB,2019-07-15 06:51:00
78944726,May/04/2020 10:46,vjudge4,183A - Headquarters,GNU C++11,Accepted,498 ms,0 KB,2020-05-04 10:46:00
1632190,Apr/27/2012 19:05,* constkir,183A - Headquarters,MS C++,Accepted,160 ms,1400 KB,2012-04-27 19:05:00
16261016,Feb/21/2016 18:00,yarak,183A - Headquarters,GNU C++11,Accepted,530 ms,0 KB,2016-02-21 18:00:00
11988270,Jul/09/2015 19:29,guille,183A - Headquarters,GNU C++,Accepted,186 ms,0 KB,2015-07-09 19:29:00
56776257,Jul/10/2019 05:49,vjudge5,183A - Headquarters,MS C++,Accepted,156 ms,0 KB,2019-07-10 05:49:00
1643440,Apr/29/2012 10:20,alexlinzhai,183A - Headquarters,GNU C++,Accepted,340 ms,1400 KB,2012-04-29 10:20:00
56742044,Jul/09/2019 11:07,vjudge1,183A - Headquarters,GNU C++11,Accepted,530 ms,0 KB,2019-07-09 11:07:00
40547903,Jul/19/2018 15:46,vjudge3,183A - Headquarters,GNU C++,Accepted,530 ms,0 KB,2018-07-19 15:46:00
1633063,Apr/28/2012 08:18,dadongking,183A - Headquarters,GNU C++,Accepted,80 ms,1400 KB,2012-04-28 08:18:00
1633071,Apr/28/2012 08:21,dadongking,183A - Headquarters,GNU C++,Accepted,90 ms,1400 KB,2012-04-28 08:21:00
42026922,Aug/24/2018 16:04,markslow#,183A - Headquarters,GNU C++11,Accepted,560 ms,0 KB,2018-08-24 16:04:00
56760913,Jul/09/2019 18:50,vjudge4,183A - Headquarters,GNU C++11,Accepted,498 ms,0 KB,2019-07-09 18:50:00
1631225,Apr/27/2012 17:25,* sevenkplus,183A - Headquarters,GNU C++,Accepted,80 ms,1400 KB,2012-04-27 17:25:00
23494189,Jan/02/2017 09:49,Ali.Pi,183A - Headquarters,GNU C++14,Accepted,92 ms,1900 KB,2017-01-02 09:49:00
