17276059,Apr/11/2016 13:29,belyj_max,660A - Co-prime Array,GNU C++11,Accepted,15 ms,0 KB,2016-04-11 13:29:00
17330711,Apr/15/2016 21:33,dvssrockz,660A - Co-prime Array,GNU C++11,Accepted,15 ms,0 KB,2016-04-15 21:33:00
17357114,Apr/17/2016 06:18,orailly,660A - Co-prime Array,Python 3,Accepted,62 ms,5000 KB,2016-04-17 06:18:00
76094736,Apr/10/2020 16:33,ashwani45,660A - Co-prime Array,GNU C++17,Accepted,46 ms,0 KB,2020-04-10 16:33:00
76932682,Apr/16/2020 08:53,meme_lord,660A - Co-prime Array,GNU C++17,Accepted,31 ms,300 KB,2020-04-16 08:53:00
23506426,Jan/02/2017 23:52,tieuchanlong,660A - Co-prime Array,GNU C++,Accepted,30 ms,2100 KB,2017-01-02 23:52:00
17241310,Apr/08/2016 20:06,ArGuTe,660A - Co-prime Array,Python 2,Accepted,124 ms,9600 KB,2016-04-08 20:06:00
36702391,Mar/28/2018 22:16,petiteteaparty#,660A - Co-prime Array,Python 3,Accepted,140 ms,8700 KB,2018-03-28 22:16:00
18755998,Jun/27/2016 20:25,dante2000#,660A - Co-prime Array,GNU C++,Accepted,30 ms,0 KB,2016-06-27 20:25:00
17256055,Apr/09/2016 21:20,daniil_m,660A - Co-prime Array,Python 3,Accepted,124 ms,5900 KB,2016-04-09 21:20:00
40522214,Jul/18/2018 20:17,pzdba,660A - Co-prime Array,Python 3,Accepted,124 ms,0 KB,2018-07-18 20:17:00
58930380,Aug/17/2019 02:39,zlczlc,660A - Co-prime Array,GNU C++11,Accepted,31 ms,0 KB,2019-08-17 02:39:00
74644062,Mar/28/2020 16:34,pavanbsp,660A - Co-prime Array,Python 3,Accepted,124 ms,300 KB,2020-03-28 16:34:00
17232786,Apr/08/2016 18:14,Agham,660A - Co-prime Array,Python 2,Accepted,124 ms,9600 KB,2016-04-08 18:14:00
19111261,Jul/14/2016 18:53,SyntexError,660A - Co-prime Array,Python 2,Accepted,139 ms,5300 KB,2016-07-14 18:53:00
44089570,Oct/10/2018 21:25,Arrias,660A - Co-prime Array,Python 3,Accepted,124 ms,200 KB,2018-10-10 21:25:00
17249501,Apr/09/2016 10:57,ttt,660A - Co-prime Array,Python 3,Accepted,62 ms,5000 KB,2016-04-09 10:57:00
28679135,Jul/19/2017 01:09,yurigurgenidze,660A - Co-prime Array,GNU C++11,Accepted,15 ms,2100 KB,2017-07-19 01:09:00
17237476,Apr/08/2016 19:04,jaya_8896,660A - Co-prime Array,Python 2,Accepted,124 ms,9600 KB,2016-04-08 19:04:00
68827126,Jan/14/2020 22:43,vulcanx21,660A - Co-prime Array,Python 3,Accepted,109 ms,300 KB,2020-01-14 22:43:00
17328392,Apr/15/2016 17:42,TeddyMichael,660A - Co-prime Array,Python 3,Accepted,62 ms,500 KB,2016-04-15 17:42:00
17286493,Apr/12/2016 10:03,AlvinMax,660A - Co-prime Array,Python 3,Accepted,62 ms,500 KB,2016-04-12 10:03:00
17291949,Apr/12/2016 18:51,kliner,660A - Co-prime Array,PyPy 2,Accepted,108 ms,1400 KB,2016-04-12 18:51:00
17242695,Apr/08/2016 21:09,alishaterian,660A - Co-prime Array,GNU C++11,Accepted,30 ms,2200 KB,2016-04-08 21:09:00
17927752,May/16/2016 09:59,Hedayet,660A - Co-prime Array,Python 2,Accepted,78 ms,4600 KB,2016-05-16 09:59:00
17231800,Apr/08/2016 18:04,sempav,660A - Co-prime Array,Python 3,Accepted,124 ms,6000 KB,2016-04-08 18:04:00
17233118,Apr/08/2016 18:17,zq13,660A - Co-prime Array,Python 2,Accepted,62 ms,4600 KB,2016-04-08 18:17:00
56409281,Jul/02/2019 00:48,knight-erraunt,660A - Co-prime Array,Python 3,Accepted,109 ms,300 KB,2019-07-02 00:48:00
23685733,Jan/10/2017 20:53,xarshila_#,660A - Co-prime Array,Python 3,Accepted,109 ms,5900 KB,2017-01-10 20:53:00
58194369,Aug/03/2019 01:14,saku7#,660A - Co-prime Array,PyPy 3,Accepted,156 ms,4300 KB,2019-08-03 01:14:00
17239031,Apr/08/2016 19:25,rohansumant,660A - Co-prime Array,Haskell,Accepted,15 ms,52000 KB,2016-04-08 19:25:00
17387307,Apr/19/2016 16:02,ruoxuanwang,660A - Co-prime Array,Python 2,Accepted,155 ms,9700 KB,2016-04-19 16:02:00
17231995,Apr/08/2016 18:06,Vorinclex,660A - Co-prime Array,Python 3,Accepted,62 ms,5100 KB,2016-04-08 18:06:00
49997853,Feb/16/2019 18:53,hrustim25,660A - Co-prime Array,Python 3,Accepted,124 ms,500 KB,2019-02-16 18:53:00
17232010,Apr/08/2016 18:06,EvgeniSergeev,660A - Co-prime Array,Python 2,Accepted,124 ms,9600 KB,2016-04-08 18:06:00
72214816,Mar/01/2020 22:48,DeaphetS,660A - Co-prime Array,GNU C++11,Accepted,31 ms,0 KB,2020-03-01 22:48:00
17400646,Apr/20/2016 17:10,Tetin.ilya,660A - Co-prime Array,Python 3,Accepted,77 ms,5000 KB,2016-04-20 17:10:00
20614676,Sep/14/2016 16:01,_hawkins,660A - Co-prime Array,PyPy 2,Accepted,93 ms,100 KB,2016-09-14 16:01:00
17245133,Apr/09/2016 00:41,I_love_Captain_America,660A - Co-prime Array,GNU C++11,Accepted,15 ms,2200 KB,2016-04-09 00:41:00
17246987,Apr/09/2016 04:52,Mrbird,660A - Co-prime Array,GNU C++11,Accepted,15 ms,2200 KB,2016-04-09 04:52:00
17250696,Apr/09/2016 12:47,1414,660A - Co-prime Array,GNU C++11,Accepted,15 ms,2200 KB,2016-04-09 12:47:00
17394889,Apr/20/2016 08:19,A.Arslan2016,660A - Co-prime Array,GNU C++,Accepted,15 ms,2200 KB,2016-04-20 08:19:00
17702972,May/04/2016 00:55,tehqin#,660A - Co-prime Array,Python 2,Accepted,124 ms,9600 KB,2016-05-04 00:55:00
17285063,Apr/12/2016 05:34,Butane,660A - Co-prime Array,PyPy 2,Accepted,93 ms,2900 KB,2016-04-12 05:34:00
19048308,Jul/12/2016 13:17,agarajaev#,660A - Co-prime Array,GNU C++11,Accepted,31 ms,200 KB,2016-07-12 13:17:00
23483552,Jan/01/2017 15:51,ragingbull,660A - Co-prime Array,PyPy 2,Accepted,124 ms,25300 KB,2017-01-01 15:51:00
54098497,May/14/2019 17:25,ayush_73,660A - Co-prime Array,GNU C++14,Accepted,46 ms,200 KB,2019-05-14 17:25:00
22650392,Dec/02/2016 04:33,BrenoSouza,660A - Co-prime Array,Python 2,Accepted,108 ms,5200 KB,2016-12-02 04:33:00
26938756,May/07/2017 20:39,Ridowan_Ahmed,660A - Co-prime Array,GNU C++11,Accepted,15 ms,0 KB,2017-05-07 20:39:00
17231881,Apr/08/2016 18:05,TokuchiToa,660A - Co-prime Array,PyPy 2,Accepted,249 ms,35600 KB,2016-04-08 18:05:00
17235145,Apr/08/2016 18:36,hareesh.veligeti,660A - Co-prime Array,Python 2,Accepted,62 ms,4600 KB,2016-04-08 18:36:00
17240478,Apr/08/2016 19:49,bhargavkonkathi,660A - Co-prime Array,Python 2,Accepted,62 ms,4600 KB,2016-04-08 19:49:00
17311375,Apr/14/2016 10:53,fourele,660A - Co-prime Array,Python 3,Accepted,62 ms,400 KB,2016-04-14 10:53:00
18436637,Jun/13/2016 23:14,Racsoth,660A - Co-prime Array,Python 3,Accepted,62 ms,5000 KB,2016-06-13 23:14:00
17233194,Apr/08/2016 18:18,julikN,660A - Co-prime Array,Python 3,Accepted,77 ms,5000 KB,2016-04-08 18:18:00
28670171,Jul/18/2017 16:50,z_karaulashvili,660A - Co-prime Array,GNU C++14,Accepted,15 ms,1900 KB,2017-07-18 16:50:00
36427726,Mar/20/2018 11:22,NeedWay,660A - Co-prime Array,GNU C++11,Accepted,31 ms,3500 KB,2018-03-20 11:22:00
18642352,Jun/22/2016 10:52,ayrusreev,660A - Co-prime Array,GNU C++11,Accepted,15 ms,0 KB,2016-06-22 10:52:00
17543334,Apr/27/2016 18:59,kaykobad_reza,660A - Co-prime Array,GNU C++11,Accepted,15 ms,2600 KB,2016-04-27 18:59:00
17248351,Apr/09/2016 09:01,sharma2,660A - Co-prime Array,GNU C++,Accepted,15 ms,2600 KB,2016-04-09 09:01:00
17253464,Apr/09/2016 17:23,sabbir_cse14,660A - Co-prime Array,GNU C++,Accepted,15 ms,6100 KB,2016-04-09 17:23:00
17237418,Apr/08/2016 19:03,herkarlsson,660A - Co-prime Array,GNU C++11,Accepted,31 ms,2200 KB,2016-04-08 19:03:00
60532172,Sep/14/2019 15:57,Javi2004,660A - Co-prime Array,GNU C++11,Accepted,31 ms,0 KB,2019-09-14 15:57:00
77379641,Apr/20/2020 18:39,kunalkumar050894,660A - Co-prime Array,GNU C++17,Accepted,31 ms,0 KB,2020-04-20 18:39:00
65262198,Nov/17/2019 18:26,vovik123,660A - Co-prime Array,PyPy 3,Accepted,170 ms,2700 KB,2019-11-17 18:26:00
26938818,May/07/2017 20:40,vjudge1,660A - Co-prime Array,GNU C++14,Accepted,15 ms,0 KB,2017-05-07 20:40:00
23792911,Jan/13/2017 22:50,drack3800,660A - Co-prime Array,Python 2,Accepted,62 ms,4600 KB,2017-01-13 22:50:00
17390098,Apr/19/2016 19:50,Y.Wassouf,660A - Co-prime Array,GNU C++11,Accepted,15 ms,10000 KB,2016-04-19 19:50:00
59835790,Sep/01/2019 06:56,shenqihao,660A - Co-prime Array,GNU C++17,Accepted,46 ms,0 KB,2019-09-01 06:56:00
17246941,Apr/09/2016 04:44,koshin,660A - Co-prime Array,Python 3,Accepted,62 ms,5000 KB,2016-04-09 04:44:00
17316506,Apr/14/2016 18:36,assassin1789,660A - Co-prime Array,GNU C++,Accepted,15 ms,0 KB,2016-04-14 18:36:00
65110163,Nov/16/2019 00:45,Tornado_2004,660A - Co-prime Array,GNU C++17,Accepted,31 ms,0 KB,2019-11-16 00:45:00
22527471,Nov/27/2016 16:34,Ninguem13,660A - Co-prime Array,Python 2,Accepted,62 ms,0 KB,2016-11-27 16:34:00
22527513,Nov/27/2016 16:37,ThaynanAndrey,660A - Co-prime Array,Python 2,Accepted,62 ms,0 KB,2016-11-27 16:37:00
18131942,May/28/2016 16:12,CyberZHG,660A - Co-prime Array,Haskell,Accepted,15 ms,52200 KB,2016-05-28 16:12:00
46733455,Dec/07/2018 21:34,Somesh_963,660A - Co-prime Array,GNU C++14,Accepted,30 ms,0 KB,2018-12-07 21:34:00
17885334,May/13/2016 10:43,vcfl,660A - Co-prime Array,GNU C++11,Accepted,15 ms,2200 KB,2016-05-13 10:43:00
43748078,Oct/04/2018 02:11,stilllHungry,660A - Co-prime Array,GNU C++14,Accepted,31 ms,0 KB,2018-10-04 02:11:00
17845133,May/11/2016 18:15,abdullahshakkhor,660A - Co-prime Array,GNU C++11,Accepted,15 ms,2200 KB,2016-05-11 18:15:00
17252817,Apr/09/2016 16:20,nishantarora,660A - Co-prime Array,GNU C++11,Accepted,15 ms,2200 KB,2016-04-09 16:20:00
17259462,Apr/10/2016 06:23,Eeyore,660A - Co-prime Array,PyPy 2,Accepted,78 ms,1400 KB,2016-04-10 06:23:00
17285290,Apr/12/2016 06:35,rahul73,660A - Co-prime Array,GNU C++,Accepted,15 ms,0 KB,2016-04-12 06:35:00
17371162,Apr/18/2016 06:58,Captain_Knuckles,660A - Co-prime Array,GNU C++,Accepted,15 ms,2200 KB,2016-04-18 06:58:00
58930367,Aug/17/2019 02:38,luogu_bot5,660A - Co-prime Array,GNU C++11,Accepted,31 ms,0 KB,2019-08-17 02:38:00
17237049,Apr/08/2016 18:58,amtematem,660A - Co-prime Array,Haskell,Accepted,15 ms,52000 KB,2016-04-08 18:58:00
17237948,Apr/08/2016 19:11,st-Firdavs,660A - Co-prime Array,GNU C++11,Accepted,15 ms,2200 KB,2016-04-08 19:11:00
17273909,Apr/11/2016 08:39,aste,660A - Co-prime Array,Python 3,Accepted,77 ms,300 KB,2016-04-11 08:39:00
17242405,Apr/08/2016 20:53,saumye,660A - Co-prime Array,GNU C++,Accepted,15 ms,2200 KB,2016-04-08 20:53:00
41445874,Aug/11/2018 02:48,Ahmed.Nouralla,660A - Co-prime Array,GNU C++11,Accepted,31 ms,0 KB,2018-08-11 02:48:00
17232073,Apr/08/2016 18:07,omar42,660A - Co-prime Array,GNU C++11,Accepted,15 ms,2200 KB,2016-04-08 18:07:00
17696376,May/03/2016 11:43,shrenikjain38,660A - Co-prime Array,Python 2,Accepted,77 ms,4600 KB,2016-05-03 11:43:00
19968416,Aug/19/2016 20:34,pavel.rosputko#,660A - Co-prime Array,Haskell,Accepted,30 ms,43800 KB,2016-08-19 20:34:00
17404164,Apr/20/2016 18:45,thai9cdb1,660A - Co-prime Array,GNU C++11,Accepted,15 ms,2200 KB,2016-04-20 18:45:00
23986622,Jan/20/2017 14:03,I_Scream_4_Icecream,660A - Co-prime Array,GNU C++,Accepted,15 ms,2800 KB,2017-01-20 14:03:00
68656429,Jan/12/2020 15:22,Sworddust,660A - Co-prime Array,GNU C++11,Accepted,31 ms,0 KB,2020-01-12 15:22:00
73765550,Mar/20/2020 09:23,rishikesh.che18,660A - Co-prime Array,GNU C++17,Accepted,46 ms,0 KB,2020-03-20 09:23:00
17979394,May/18/2016 15:18,Shamsutdin,660A - Co-prime Array,Python 3,Accepted,77 ms,5100 KB,2016-05-18 15:18:00
18355983,Jun/10/2016 12:58,vjudge5,660A - Co-prime Array,GNU C++,Accepted,31 ms,2200 KB,2016-06-10 12:58:00
17251273,Apr/09/2016 13:43,omarosama96,660A - Co-prime Array,GNU C++11,Accepted,15 ms,2200 KB,2016-04-09 13:43:00
17333264,Apr/16/2016 03:38,aim97,660A - Co-prime Array,GNU C++11,Accepted,15 ms,0 KB,2016-04-16 03:38:00
47302845,Dec/20/2018 18:06,anand2000,660A - Co-prime Array,Python 3,Accepted,124 ms,1000 KB,2018-12-20 18:06:00
17274369,Apr/11/2016 09:58,okuzn,660A - Co-prime Array,GNU C++11,Accepted,15 ms,100 KB,2016-04-11 09:58:00
58931453,Aug/17/2019 04:03,luogu_bot3,660A - Co-prime Array,GNU C++11,Accepted,31 ms,0 KB,2019-08-17 04:03:00
17232623,Apr/08/2016 18:13,yeser,660A - Co-prime Array,GNU C++11,Accepted,15 ms,2200 KB,2016-04-08 18:13:00
32061673,Nov/04/2017 22:06,Eddax#,660A - Co-prime Array,GNU C++11,Accepted,15 ms,0 KB,2017-11-04 22:06:00
79372368,May/08/2020 14:26,_Setu_,660A - Co-prime Array,GNU C++17,Accepted,46 ms,3700 KB,2020-05-08 14:26:00
17235284,Apr/08/2016 18:37,arnabsamanta,660A - Co-prime Array,GNU C++11,Accepted,15 ms,2200 KB,2016-04-08 18:37:00
17251256,Apr/09/2016 13:42,omarosama96,660A - Co-prime Array,GNU C++11,Accepted,30 ms,2200 KB,2016-04-09 13:42:00
17299976,Apr/13/2016 12:31,Butskhrikidze,660A - Co-prime Array,GNU C++11,Accepted,31 ms,0 KB,2016-04-13 12:31:00
42464983,Sep/04/2018 18:23,Obada_Saleh,660A - Co-prime Array,GNU C++11,Accepted,31 ms,0 KB,2018-09-04 18:23:00
46986908,Dec/13/2018 23:58,tortoise1,660A - Co-prime Array,GNU C++14,Accepted,31 ms,200 KB,2018-12-13 23:58:00
17244380,Apr/08/2016 23:16,LordArian,660A - Co-prime Array,GNU C++,Accepted,15 ms,2000 KB,2016-04-08 23:16:00
17250736,Apr/09/2016 12:50,willav_v,660A - Co-prime Array,Python 2,Accepted,124 ms,9600 KB,2016-04-09 12:50:00
47277254,Dec/19/2018 23:13,shaikh_ubaid,660A - Co-prime Array,Python 3,Accepted,109 ms,200 KB,2018-12-19 23:13:00
17233835,Apr/08/2016 18:23,thegreatshasha,660A - Co-prime Array,Python 3,Accepted,62 ms,5000 KB,2016-04-08 18:23:00
18851310,Jul/02/2016 11:40,vjudge4,660A - Co-prime Array,GNU C++,Accepted,31 ms,100 KB,2016-07-02 11:40:00
28669917,Jul/18/2017 16:41,z_karaulashvili,660A - Co-prime Array,GNU C++14,Accepted,15 ms,1900 KB,2017-07-18 16:41:00
65534242,Nov/22/2019 16:35,luogu_bot3,660A - Co-prime Array,GNU C++11,Accepted,31 ms,0 KB,2019-11-22 16:35:00
17232086,Apr/08/2016 18:07,mowji,660A - Co-prime Array,GNU C++11,Accepted,31 ms,2600 KB,2016-04-08 18:07:00
17280258,Apr/11/2016 18:49,grandhi,660A - Co-prime Array,GNU C++11,Accepted,15 ms,0 KB,2016-04-11 18:49:00
65577294,Nov/23/2019 12:49,wuhuang1,660A - Co-prime Array,GNU C++11,Accepted,31 ms,0 KB,2019-11-23 12:49:00
17248679,Apr/09/2016 09:42,almasalmas,660A - Co-prime Array,GNU C++11,Accepted,15 ms,2200 KB,2016-04-09 09:42:00
17366421,Apr/17/2016 18:54,saba2000,660A - Co-prime Array,GNU C++11,Accepted,15 ms,2300 KB,2016-04-17 18:54:00
27448085,May/30/2017 15:28,axa,660A - Co-prime Array,GNU C++11,Accepted,15 ms,0 KB,2017-05-30 15:28:00
44722067,Oct/23/2018 08:53,Emma194#,660A - Co-prime Array,GNU C++11,Accepted,31 ms,0 KB,2018-10-23 08:53:00
17232522,Apr/08/2016 18:12,ATofighi,660A - Co-prime Array,GNU C++11,Accepted,15 ms,6100 KB,2016-04-08 18:12:00
17234777,Apr/08/2016 18:32,Aradicator,660A - Co-prime Array,GNU C++,Accepted,15 ms,2200 KB,2016-04-08 18:32:00
61200316,Sep/24/2019 10:29,LittleBeetle,660A - Co-prime Array,GNU C++11,Accepted,31 ms,0 KB,2019-09-24 10:29:00
17266777,Apr/10/2016 18:21,Solve_Every_Where,660A - Co-prime Array,GNU C++,Accepted,15 ms,0 KB,2016-04-10 18:21:00
17762307,May/06/2016 16:42,Sashok0#,660A - Co-prime Array,Python 3,Accepted,62 ms,5000 KB,2016-05-06 16:42:00
17248038,Apr/09/2016 08:14,RETURNCZQ,660A - Co-prime Array,GNU C++11,Accepted,30 ms,2200 KB,2016-04-09 08:14:00
17257879,Apr/10/2016 02:33,anthonyhkf,660A - Co-prime Array,GNU C++11,Accepted,15 ms,2000 KB,2016-04-10 02:33:00
17557487,Apr/28/2016 22:10,abrd17,660A - Co-prime Array,Python 3,Accepted,62 ms,5100 KB,2016-04-28 22:10:00
17297587,Apr/13/2016 08:05,CraigCarr,660A - Co-prime Array,Python 3,Accepted,93 ms,1200 KB,2016-04-13 08:05:00
18494009,Jun/15/2016 13:14,sasssz,660A - Co-prime Array,GNU C++11,Accepted,15 ms,2200 KB,2016-06-15 13:14:00
17845640,May/11/2016 18:58,Hunter_tushar,660A - Co-prime Array,GNU C++11,Accepted,30 ms,2200 KB,2016-05-11 18:58:00
17530134,Apr/27/2016 05:33,xuruifan,660A - Co-prime Array,GNU C++11,Accepted,15 ms,2000 KB,2016-04-27 05:33:00
54386910,May/19/2019 16:52,VBZ1,660A - Co-prime Array,GNU C++17,Accepted,31 ms,0 KB,2019-05-19 16:52:00
17231854,Apr/08/2016 18:05,NSV,660A - Co-prime Array,GNU C++11,Accepted,15 ms,2200 KB,2016-04-08 18:05:00
71481105,Feb/20/2020 11:25,wenjunrui,660A - Co-prime Array,GNU C++11,Accepted,31 ms,0 KB,2020-02-20 11:25:00
17232347,Apr/08/2016 18:10,Akemi__Homura,660A - Co-prime Array,GNU C++11,Accepted,15 ms,2200 KB,2016-04-08 18:10:00
17544212,Apr/27/2016 20:08,Turysbek,660A - Co-prime Array,GNU C++11,Accepted,15 ms,2200 KB,2016-04-27 20:08:00
17363471,Apr/17/2016 14:57,vjudge4,660A - Co-prime Array,GNU C++,Accepted,15 ms,2200 KB,2016-04-17 14:57:00
17399905,Apr/20/2016 16:15,dhipta_78,660A - Co-prime Array,GNU C++11,Accepted,15 ms,2200 KB,2016-04-20 16:15:00
17688045,May/02/2016 14:07,bagpipe,660A - Co-prime Array,GNU C++11,Accepted,31 ms,2000 KB,2016-05-02 14:07:00
20195944,Aug/27/2016 16:20,Profeeder,660A - Co-prime Array,GNU C++11,Accepted,15 ms,2000 KB,2016-08-27 16:20:00
17232067,Apr/08/2016 18:07,Nekketsu,660A - Co-prime Array,GNU C++,Accepted,31 ms,2200 KB,2016-04-08 18:07:00
17235430,Apr/08/2016 18:39,Smaug,660A - Co-prime Array,FPC,Accepted,15 ms,1800 KB,2016-04-08 18:39:00
17249447,Apr/09/2016 10:53,Slaaava,660A - Co-prime Array,GNU C++,Accepted,15 ms,2200 KB,2016-04-09 10:53:00
17997407,May/20/2016 00:12,UGetNothing,660A - Co-prime Array,GNU C++11,Accepted,15 ms,2200 KB,2016-05-20 00:12:00
17997410,May/20/2016 00:12,Nodare,660A - Co-prime Array,GNU C++11,Accepted,15 ms,2200 KB,2016-05-20 00:12:00
17232249,Apr/08/2016 18:09,ACkf,660A - Co-prime Array,Python 3,Accepted,62 ms,5000 KB,2016-04-08 18:09:00
17316520,Apr/14/2016 18:37,130705009,660A - Co-prime Array,GNU C++,Accepted,15 ms,0 KB,2016-04-14 18:37:00
18511389,Jun/16/2016 06:51,Isidev96#,660A - Co-prime Array,GNU C++,Accepted,15 ms,0 KB,2016-06-16 06:51:00
61363924,Sep/27/2019 15:56,theSiddhantSharma,660A - Co-prime Array,GNU C++17,Accepted,31 ms,0 KB,2019-09-27 15:56:00
17254752,Apr/09/2016 19:19,neroond#,660A - Co-prime Array,GNU C++11,Accepted,15 ms,2200 KB,2016-04-09 19:19:00
