51542737,Mar/19/2019 21:55,d0m9r.zh,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2019-03-19 21:55:00
53600123,May/01/2019 10:10,helu,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2019-05-01 10:10:00
57903867,Jul/28/2019 19:48,meghana_499,131A - cAPS lOCK,Python 3,Accepted,155 ms,0 KB,2019-07-28 19:48:00
57914897,Jul/29/2019 03:19,lopare,131A - cAPS lOCK,Python 3,Accepted,124 ms,0 KB,2019-07-29 03:19:00
63915827,Oct/31/2019 13:02,karthik_7,131A - cAPS lOCK,Python 3,Accepted,124 ms,0 KB,2019-10-31 13:02:00
64700029,Nov/11/2019 17:32,Nikita_Baranovskiy,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2019-11-11 17:32:00
64880167,Nov/14/2019 14:23,virajudaysingh,131A - cAPS lOCK,Python 3,Accepted,124 ms,0 KB,2019-11-14 14:23:00
66548943,Dec/09/2019 17:10,devasriharsha444,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2019-12-09 17:10:00
67179113,Dec/19/2019 00:10,4u2c,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2019-12-19 00:10:00
67513263,Dec/24/2019 12:56,Ismail_Akram,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2019-12-24 12:56:00
67736969,Dec/27/2019 19:07,meme_lord,131A - cAPS lOCK,Python 3,Accepted,109 ms,300 KB,2019-12-27 19:07:00
68916222,Jan/16/2020 11:32,Azad_J_Yassin,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2020-01-16 11:32:00
69848481,Jan/30/2020 17:57,saikrishna759,131A - cAPS lOCK,Python 3,Accepted,124 ms,100 KB,2020-01-30 17:57:00
70153526,Feb/03/2020 16:32,prashanth7638,131A - cAPS lOCK,Python 3,Accepted,124 ms,100 KB,2020-02-03 16:32:00
71836188,Feb/25/2020 08:38,slepok,131A - cAPS lOCK,Python 3,Accepted,109 ms,300 KB,2020-02-25 08:38:00
73011218,Mar/12/2020 12:52,ece_18wh1a0445,131A - cAPS lOCK,Python 3,Accepted,109 ms,300 KB,2020-03-12 12:52:00
73422676,Mar/16/2020 19:12,pavankalyan_10,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2020-03-16 19:12:00
74167571,Mar/24/2020 09:28,saiteja3009,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2020-03-24 09:28:00
75468621,Apr/04/2020 11:42,18wh1a0430,131A - cAPS lOCK,PyPy 3,Accepted,155 ms,0 KB,2020-04-04 11:42:00
76089569,Apr/10/2020 15:37,coderemite,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2020-04-10 15:37:00
76150377,Apr/10/2020 18:29,adarshvuppala,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2020-04-10 18:29:00
12339117,Aug/04/2015 16:41,UnusedFever,131A - cAPS lOCK,Python 3,Accepted,62 ms,0 KB,2015-08-04 16:41:00
13259334,Sep/28/2015 11:54,Ahmad_tarraf,131A - cAPS lOCK,Python 3,Accepted,62 ms,0 KB,2015-09-28 11:54:00
14613269,Dec/02/2015 09:34,ZackSun,131A - cAPS lOCK,Python 3,Accepted,77 ms,0 KB,2015-12-02 09:34:00
14614573,Dec/02/2015 11:11,Duc_cmn_Le,131A - cAPS lOCK,Python 3,Accepted,93 ms,0 KB,2015-12-02 11:11:00
18101851,May/26/2016 12:56,oyouoo,131A - cAPS lOCK,Python 3,Accepted,62 ms,4800 KB,2016-05-26 12:56:00
23008198,Dec/15/2016 16:59,Yash_,131A - cAPS lOCK,PyPy 3,Accepted,109 ms,300 KB,2016-12-15 16:59:00
24563960,Feb/10/2017 09:51,Elahe.hb,131A - cAPS lOCK,Python 3,Accepted,62 ms,4500 KB,2017-02-10 09:51:00
26790420,May/01/2017 21:20,decoder123,131A - cAPS lOCK,Python 3,Accepted,62 ms,5400 KB,2017-05-01 21:20:00
29900160,Aug/29/2017 21:49,dreamondreamer,131A - cAPS lOCK,Python 3,Accepted,77 ms,0 KB,2017-08-29 21:49:00
32088517,Nov/06/2017 09:49,KanhuKeNanu,131A - cAPS lOCK,Python 3,Accepted,62 ms,0 KB,2017-11-06 09:49:00
33830068,Dec/31/2017 14:07,giorgi,131A - cAPS lOCK,Python 3,Accepted,62 ms,5500 KB,2017-12-31 14:07:00
34421763,Jan/21/2018 20:59,Gleb_Dubosarskii,131A - cAPS lOCK,Python 3,Accepted,62 ms,5500 KB,2018-01-21 20:59:00
35712360,Feb/25/2018 23:33,armencho,131A - cAPS lOCK,Python 3,Accepted,62 ms,5500 KB,2018-02-25 23:33:00
36276059,Mar/14/2018 15:53,amiprogrammer,131A - cAPS lOCK,Python 3,Accepted,62 ms,5500 KB,2018-03-14 15:53:00
36795728,Apr/01/2018 13:51,vinay_lingam,131A - cAPS lOCK,Python 3,Accepted,93 ms,6900 KB,2018-04-01 13:51:00
37366624,Apr/16/2018 10:23,mda.,131A - cAPS lOCK,Python 3,Accepted,93 ms,6900 KB,2018-04-16 10:23:00
37430808,Apr/18/2018 12:40,Abdumajid,131A - cAPS lOCK,Python 3,Accepted,93 ms,6900 KB,2018-04-18 12:40:00
37577869,Apr/24/2018 19:04,Heidi_Mady,131A - cAPS lOCK,Python 3,Accepted,93 ms,6900 KB,2018-04-24 19:04:00
38352825,May/17/2018 17:49,AnushaM,131A - cAPS lOCK,Python 3,Accepted,93 ms,6900 KB,2018-05-17 17:49:00
41416861,Aug/10/2018 06:53,daniel01035,131A - cAPS lOCK,Python 3,Accepted,124 ms,0 KB,2018-08-10 06:53:00
