17009967,Mar/28/2016 23:12,Dalisyron,658B - Bear and Displayed Friends,GNU C++11,Accepted,1076 ms,6800 KB,2016-03-28 23:12:00
16991910,Mar/28/2016 19:47,testt,658B - Bear and Displayed Friends,GNU C++11,Accepted,998 ms,2900 KB,2016-03-28 19:47:00
25141051,Mar/02/2017 09:19,mk_codeit,658B - Bear and Displayed Friends,GNU C++,Accepted,997 ms,2600 KB,2017-03-02 09:19:00
17611298,May/01/2016 20:42,kylin1993,658B - Bear and Displayed Friends,Python 3,Accepted,1996 ms,17700 KB,2016-05-01 20:42:00
17001240,Mar/28/2016 20:47,mastermind_,658B - Bear and Displayed Friends,GNU C++11,Accepted,967 ms,2900 KB,2016-03-28 20:47:00
79021104,May/05/2020 07:47,nitvjudge2,639A - Bear and Displayed Friends,GNU C++14,Accepted,140 ms,600 KB,2020-05-05 07:47:00
19782395,Aug/11/2016 13:55,MarcoXerox,639A - Bear and Displayed Friends,Python 3,Accepted,1762 ms,17600 KB,2016-08-11 13:55:00
16994358,Mar/28/2016 20:00,Крокодиловая ферма: evg.anikin,639A - Bear and Displayed Friends,Python 2,Accepted,702 ms,12600 KB,2016-03-28 20:00:00
18655492,Jun/23/2016 05:29,xidebixia,658B - Bear and Displayed Friends,Python 3,Accepted,1918 ms,13100 KB,2016-06-23 05:29:00
16992556,Mar/28/2016 19:50,"Marvellous shuteyka: Bullbas, cugel",639A - Bear and Displayed Friends,Python 3,Accepted,1762 ms,17600 KB,2016-03-28 19:50:00
28425291,Jul/11/2017 14:40,yurigurgenidze,639A - Bear and Displayed Friends,GNU C++11,Accepted,1232 ms,6000 KB,2017-07-11 14:40:00
16990676,Mar/28/2016 19:41,"ИТМО: Ну да ладно: Niko, chavit",639A - Bear and Displayed Friends,GNU C++11,Accepted,982 ms,2600 KB,2016-03-28 19:41:00
17087839,Apr/01/2016 12:49,almahfuz,658B - Bear and Displayed Friends,GNU C++,Accepted,1029 ms,41300 KB,2016-04-01 12:49:00
22314396,Nov/18/2016 23:17,mak_1920,639A - Bear and Displayed Friends,GNU C++11,Accepted,1123 ms,600 KB,2016-11-18 23:17:00
27468555,May/31/2017 17:07,fanzhirui#,639A - Bear and Displayed Friends,GNU C++14,Accepted,794 ms,600 KB,2017-05-31 17:07:00
25269703,Mar/05/2017 20:35,Unlenin,639A - Bear and Displayed Friends,PyPy 2,Accepted,1512 ms,34200 KB,2017-03-05 20:35:00
17019090,Mar/29/2016 15:03,dashakisik,639A - Bear and Displayed Friends,Python 3,Accepted,951 ms,17400 KB,2016-03-29 15:03:00
17474970,Apr/24/2016 01:57,omarosama96,639A - Bear and Displayed Friends,GNU C++11,Accepted,982 ms,3400 KB,2016-04-24 01:57:00
17474972,Apr/24/2016 01:58,omarosama96,639A - Bear and Displayed Friends,MS C++,Accepted,529 ms,3400 KB,2016-04-24 01:58:00
27466708,May/31/2017 15:35,YxuanwKeith#,639A - Bear and Displayed Friends,GNU C++11,Accepted,966 ms,1200 KB,2017-05-31 15:35:00
16997642,Mar/28/2016 20:21,"More Smoked Leet Chicken: vos, hellman_",639A - Bear and Displayed Friends,PHP,Accepted,670 ms,23200 KB,2016-03-28 20:21:00
43001515,Sep/17/2018 17:02,ekaterine2017,639A - Bear and Displayed Friends,GNU C++11,Accepted,1029 ms,600 KB,2018-09-17 17:02:00
79021094,May/05/2020 07:47,bitetheDDDDt,639A - Bear and Displayed Friends,GNU C++17,Accepted,124 ms,600 KB,2020-05-05 07:47:00
16994142,Mar/28/2016 19:59,packwolf,658B - Bear and Displayed Friends,Python 2,Accepted,686 ms,12600 KB,2016-03-28 19:59:00
17474266,Apr/23/2016 23:53,omarosama96,639A - Bear and Displayed Friends,MS C++,Accepted,530 ms,3400 KB,2016-04-23 23:53:00
17699398,May/03/2016 17:14,mike_nzk,658B - Bear and Displayed Friends,Python 3,Accepted,1419 ms,17900 KB,2016-05-03 17:14:00
17013458,Mar/29/2016 07:01,avamsi,658B - Bear and Displayed Friends,PyPy 2,Accepted,451 ms,35300 KB,2016-03-29 07:01:00
17023575,Mar/29/2016 20:19,Ahmed-Ibrahim,639A - Bear and Displayed Friends,GNU C++11,Accepted,1044 ms,8000 KB,2016-03-29 20:19:00
17030674,Mar/30/2016 12:04,nishantarora,658B - Bear and Displayed Friends,GNU C++11,Accepted,109 ms,1200 KB,2016-03-30 12:04:00
17837319,May/11/2016 01:22,Nymphet,658B - Bear and Displayed Friends,Python 3,Accepted,748 ms,17900 KB,2016-05-11 01:22:00
18901545,Jul/05/2016 16:18,The_suspect,639A - Bear and Displayed Friends,GNU C++11,Accepted,1357 ms,5900 KB,2016-07-05 16:18:00
25442812,Mar/12/2017 23:12,mohit_97,639A - Bear and Displayed Friends,GNU C++14,Accepted,826 ms,7700 KB,2017-03-12 23:12:00
17611317,May/01/2016 20:44,kylin1993,658B - Bear and Displayed Friends,Python 3,Accepted,826 ms,17700 KB,2016-05-01 20:44:00
17612085,May/01/2016 21:59,kylin1993,658B - Bear and Displayed Friends,Python 3,Accepted,873 ms,17300 KB,2016-05-01 21:59:00
17000275,Mar/28/2016 20:40,Unknown: i8b00ff,639A - Bear and Displayed Friends,PHP,Accepted,623 ms,30900 KB,2016-03-28 20:40:00
17086005,Apr/01/2016 10:17,RETURNCZQ,639A - Bear and Displayed Friends,GNU C++,Accepted,93 ms,2800 KB,2016-04-01 10:17:00
17837331,May/11/2016 01:30,Nymphet,658B - Bear and Displayed Friends,Python 3,Accepted,779 ms,17900 KB,2016-05-11 01:30:00
17837332,May/11/2016 01:30,Nymphet,658B - Bear and Displayed Friends,Python 3,Accepted,779 ms,17900 KB,2016-05-11 01:30:00
17002850,Mar/28/2016 21:00,Kirillzzy,658B - Bear and Displayed Friends,Python 3,Accepted,873 ms,15900 KB,2016-03-28 21:00:00
17021636,Mar/29/2016 18:00,iamstg,658B - Bear and Displayed Friends,GNU C++11,Accepted,374 ms,6900 KB,2016-03-29 18:00:00
17687791,May/02/2016 13:38,alishaterian,639A - Bear and Displayed Friends,GNU C++11,Accepted,1029 ms,5900 KB,2016-05-02 13:38:00
17395552,Apr/20/2016 09:45,thabetx#,658B - Bear and Displayed Friends,GNU C++11,Accepted,1044 ms,2900 KB,2016-04-20 09:45:00
16991527,Mar/28/2016 19:45,DmitryBelikov,658B - Bear and Displayed Friends,GNU C++11,Accepted,1044 ms,3100 KB,2016-03-28 19:45:00
16995611,Mar/28/2016 20:08,ssmiler,658B - Bear and Displayed Friends,PyPy 3,Accepted,1138 ms,39700 KB,2016-03-28 20:08:00
16998655,Mar/28/2016 20:28,Givemetips,658B - Bear and Displayed Friends,Python 3,Accepted,1590 ms,17600 KB,2016-03-28 20:28:00
17365162,Apr/17/2016 17:03,luka25,639A - Bear and Displayed Friends,GNU C++11,Accepted,1029 ms,4500 KB,2016-04-17 17:03:00
17474257,Apr/23/2016 23:53,omarosama96,639A - Bear and Displayed Friends,MS C++,Accepted,608 ms,3300 KB,2016-04-23 23:53:00
17531157,Apr/27/2016 08:55,chronocorax,658B - Bear and Displayed Friends,Python 3,Accepted,1777 ms,17400 KB,2016-04-27 08:55:00
35751628,Feb/27/2018 08:03,Howkits,639A - Bear and Displayed Friends,GNU C++,Accepted,93 ms,2900 KB,2018-02-27 08:03:00
16990511,Mar/28/2016 19:40,ZK: Alex_2oo8,639A - Bear and Displayed Friends,GNU C++11,Accepted,93 ms,3800 KB,2016-03-28 19:40:00
16991769,Mar/28/2016 19:46,avamsi,658B - Bear and Displayed Friends,PyPy 2,Accepted,1793 ms,35900 KB,2016-03-28 19:46:00
23356532,Dec/27/2016 12:56,mediteran13,658B - Bear and Displayed Friends,GNU C++11,Accepted,342 ms,2800 KB,2016-12-27 12:56:00
16993037,Mar/28/2016 19:52,Cuellius,658B - Bear and Displayed Friends,GNU C++11,Accepted,93 ms,3100 KB,2016-03-28 19:52:00
47849539,Jan/02/2019 19:49,TadijaSebez,639A - Bear and Displayed Friends,GNU C++14,Accepted,124 ms,600 KB,2019-01-02 19:49:00
17004137,Mar/28/2016 21:10,azaza: winogradoff,639A - Bear and Displayed Friends,Python 3,Accepted,1700 ms,18200 KB,2016-03-28 21:10:00
17014722,Mar/29/2016 09:25,kuna,658B - Bear and Displayed Friends,GNU C++11,Accepted,109 ms,2800 KB,2016-03-29 09:25:00
17314016,Apr/14/2016 15:19,kuna,658B - Bear and Displayed Friends,GNU C++11,Accepted,109 ms,600 KB,2016-04-14 15:19:00
17706211,May/04/2016 12:35,LSLSLS,658B - Bear and Displayed Friends,Python 3,Accepted,1606 ms,17900 KB,2016-05-04 12:35:00
35751639,Feb/27/2018 08:03,Howkits,639A - Bear and Displayed Friends,GNU C++,Accepted,93 ms,2900 KB,2018-02-27 08:03:00
80192644,May/15/2020 08:20,lafifi,639A - Bear and Displayed Friends,GNU C++17,Accepted,842 ms,7400 KB,2020-05-15 08:20:00
17147935,Apr/03/2016 19:17,ordan,658B - Bear and Displayed Friends,GNU C++11,Accepted,109 ms,2900 KB,2016-04-03 19:17:00
42254634,Aug/29/2018 22:56,rianradeck,658B - Bear and Displayed Friends,GNU C++17,Accepted,935 ms,600 KB,2018-08-29 22:56:00
16995187,Mar/28/2016 20:05,"MMS: SendThemToHell, michailfadin",639A - Bear and Displayed Friends,Python 3,Accepted,951 ms,17500 KB,2016-03-28 20:05:00
35971919,Mar/05/2018 19:31,okwedook,639A - Bear and Displayed Friends,GNU C++14,Accepted,795 ms,2400 KB,2018-03-05 19:31:00
65920348,Nov/28/2019 19:07,YaNurs,658B - Bear and Displayed Friends,GNU C++14,Accepted,858 ms,600 KB,2019-11-28 19:07:00
16991119,Mar/28/2016 19:43,kalafina,658B - Bear and Displayed Friends,GNU C++11,Accepted,93 ms,2600 KB,2016-03-28 19:43:00
16995155,Mar/28/2016 20:05,"Prodeb: Vosatorp, DebNatkh",639A - Bear and Displayed Friends,GNU C++11,Accepted,1091 ms,2800 KB,2016-03-28 20:05:00
60382690,Sep/11/2019 13:00,Sali_adelkhah,639A - Bear and Displayed Friends,GNU C++17,Accepted,842 ms,600 KB,2019-09-11 13:00:00
60382694,Sep/11/2019 13:00,Sali_adelkhah,658B - Bear and Displayed Friends,GNU C++17,Accepted,842 ms,600 KB,2019-09-11 13:00:00
16992550,Mar/28/2016 19:50,Ra8,658B - Bear and Displayed Friends,GNU C++11,Accepted,1013 ms,10100 KB,2016-03-28 19:50:00
47900479,Jan/04/2019 16:46,cgiosy0,658B - Bear and Displayed Friends,GNU C++17,Accepted,109 ms,1400 KB,2019-01-04 16:46:00
16993329,Mar/28/2016 19:54,"FMSH 2007: iSerya, vas_che",639A - Bear and Displayed Friends,Python 3,Accepted,1793 ms,17600 KB,2016-03-28 19:54:00
17013936,Mar/29/2016 08:02,rcpp,639A - Bear and Displayed Friends,GNU C++11,Accepted,499 ms,4200 KB,2016-03-29 08:02:00
31496518,Oct/19/2017 05:53,_LowestJN,639A - Bear and Displayed Friends,GNU C++14,Accepted,124 ms,3100 KB,2017-10-19 05:53:00
17313954,Apr/14/2016 15:14,Butskhrikidze,658B - Bear and Displayed Friends,GNU C++11,Accepted,109 ms,600 KB,2016-04-14 15:14:00
73184166,Mar/14/2020 07:07,ujjwalsingh30,658B - Bear and Displayed Friends,GNU C++17,Accepted,842 ms,600 KB,2020-03-14 07:07:00
16991136,Mar/28/2016 19:43,descrip,658B - Bear and Displayed Friends,GNU C++11,Accepted,265 ms,2900 KB,2016-03-28 19:43:00
17077459,Mar/31/2016 19:07,assasin1996,658B - Bear and Displayed Friends,GNU C++,Accepted,1060 ms,3200 KB,2016-03-31 19:07:00
16991812,Mar/28/2016 19:46,agaga,658B - Bear and Displayed Friends,GNU C++11,Accepted,109 ms,2900 KB,2016-03-28 19:46:00
17313924,Apr/14/2016 15:13,Butskhrikidze,658B - Bear and Displayed Friends,GNU C++11,Accepted,327 ms,600 KB,2016-04-14 15:13:00
16990512,Mar/28/2016 19:40,Yermakov: yermak0v,639A - Bear and Displayed Friends,GNU C++11,Accepted,1060 ms,2900 KB,2016-03-28 19:40:00
17313836,Apr/14/2016 15:06,Butskhrikidze,658B - Bear and Displayed Friends,GNU C++11,Accepted,326 ms,600 KB,2016-04-14 15:06:00
16991636,Mar/28/2016 19:46,"gamezars: baqargam, vanogam",639A - Bear and Displayed Friends,GNU C++11,Accepted,1029 ms,2900 KB,2016-03-28 19:46:00
17008160,Mar/28/2016 22:13,Mostafa_Hussien,658B - Bear and Displayed Friends,GNU C++11,Accepted,1029 ms,2800 KB,2016-03-28 22:13:00
